LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_34170_873149	"LINE BASHBISH RD"	0	0	34170	873149
M_35352_877177	"WEST ST"	OFF	0	35352	877177
M_35547_878167	"WEST ST"	0	0	35547	878167
M_35564_878292	"WEST ST"	0	0	35564	878292
M_35565_878135	"WEST ST"	0	0	35565	878135
M_35573_878115	"WEST ST"	0	0	35573	878115
M_35586_878098	"WEST ST"	0	0	35586	878098
M_35606_878185	"WEST ST"	0	0	35606	878185
M_35608_877311	"WEST ST"	10	0	35608	877311
M_35613_877977	"WEST ST"	0	0	35613	877977
M_35678_873175	"WEST ST"	0	0	35678	873175
M_35712_878584	"WEST ST"	0	0	35712	878584
M_35745_876318	"WEST ST"	0	0	35745	876318
M_35754_877906	"WEST ST"	0	0	35754	877906
M_35766_878151	"WEST ST"	3	0	35766	878151
M_35946_875751	"WEST ST"	OFF	0	35946	875751
M_35979_877795	"WEST ST"	0	0	35979	877795
M_36007_875151	"BASH BISH FALLS RD"	0	0	36007	875151
M_36007_877969	"WEST ST"	1	0	36007	877969
M_36072_877699	"WEST ST"	0	0	36072	877699
M_36102_874335	"WEST ST"	0	0	36102	874335
M_36129_879904	"EAST ST"	0	0	36129	879904
M_36133_877033	"WEST ST"	0	0	36133	877033
M_36264_875562	"BASH BISH FALLS RD"	0	0	36264	875562
M_36283_874329	"WEST ST"	0	0	36283	874329
M_36299_874463	"WEST ST"	0	0	36299	874463
M_36332_874092	"WEST ST"	0	0	36332	874092
M_36333_874521	"WEST ST"	0	0	36333	874521
M_36384_879860	"EAST ST"	0	0	36384	879860
M_36429_874386	"WEST ST"	0	0	36429	874386
M_36456_875329	"BASH BISH FALLS RD"	0	0	36456	875329
M_36463_874456	"WEST ST"	0	0	36463	874456
M_36507_877406	"WEST ST"	30	0	36507	877406
M_36514_876085	"WEST ST"	0	0	36514	876085
M_36534_875745	"WEST ST"	0	0	36534	875745
M_36546_879790	"EAST ST"	0	0	36546	879790
M_36549_875912	"WEST ST"	0	0	36549	875912
M_36550_874497	"WEST ST"	0	0	36550	874497
M_36554_875148	"BASH BISH FALLS RD"	0	0	36554	875148
M_36564_879864	"EAST ST"	0	0	36564	879864
M_36582_877677	"EAST + WEST ST"	0	0	36582	877677
M_36583_874842	"WEST ST"	0	0	36583	874842
M_36598_876993	"WEST ST"	0	0	36598	876993
M_36614_875447	"BASH BISH FALLS RD"	0	0	36614	875447
M_36617_874444	"WEST ST"	0	0	36617	874444
M_36630_875561	"WEST ST"	0	0	36630	875561
M_36633_875727	"WEST ST"	0	0	36633	875727
M_36635_875663	"WEST ST"	0	0	36635	875663
M_36638_874399	"WEST ST"	0	0	36638	874399
M_36644_875028	"WEST ST"	0	0	36644	875028
M_36667_875374	"CORNER BASH BISH FALLS RD"	0	0	36667	875374
M_36668_875259	"BASH BISH FALLS RD"	0	0	36668	875259
M_36700_869543	"EAST ST"	0	0	36700	869543
M_36716_875484	"WEST ST"	0	0	36716	875484
M_36741_879746	"EAST ST"	0	0	36741	879746
M_36775_875726	"WEST ST"	0	0	36775	875726
M_36786_877234	"HATCH HILL + WEST ST"	0	0	36786	877234
M_36830_874791	"WEST ST"	0	0	36830	874791
M_36895_874534	"WEST ST"	0	0	36895	874534
M_36899_874393	"WEST ST"	0	0	36899	874393
M_36915_871671	"EAST ST"	0	0	36915	871671
M_36916_871917	"EAST ST"	0	0	36916	871917
M_36917_871468	"EAST ST"	0	0	36917	871468
M_36918_876151	"EAST ST"	0	0	36918	876151
M_36928_875602	"WEST ST"	0	0	36928	875602
M_36929_875376	"WEST ST"	0	0	36929	875376
M_36936_874687	"WEST ST"	0	0	36936	874687
M_36947_873965	"WEST ST"	102	0	36947	873965
M_36959_875164	"WEST ST"	0	0	36959	875164
M_36966_875108	"WEST ST"	0	0	36966	875108
M_36975_874977	"WEST ST"	0	0	36975	874977
M_36982_876937	"SO HATCH HILL + EAST ST"	0	0	36982	876937
M_36989_875049	"WEST ST"	0	0	36989	875049
M_36994_876148	"WEST ST"	0	0	36994	876148
M_37000_876537	"WEST ST"	0	0	37000	876537
M_37030_873362	"WEST ST"	0	0	37030	873362
M_37045_872428	"EAST ST"	0	0	37045	872428
M_37073_874402	"WEST ST"	0	0	37073	874402
M_37099_874358	"WEST ST"	0	0	37099	874358
M_37100_871273	"EAST ST"	181	0	37100	871273
M_37128_874789	"WEST ST"	0	0	37128	874789
M_37130_873122	"WEST ST"	0	0	37130	873122
M_37131_872340	"ROADS END RD"	0	0	37131	872340
M_37136_877376	"EAST ST"	0	0	37136	877376
M_37139_871459	"EAST ST"	179	0	37139	871459
M_37142_879321	"EAST ST"	OFF	0	37142	879321
M_37143_869919	"EAST ST"	0	0	37143	869919
M_37151_877158	"HATCH HILL + EAST ST"	0	0	37151	877158
M_37160_869450	"EAST ST"	215	0	37160	869450
M_37168_869088	"EAST ST"	0	0	37168	869088
M_37170_872077	"EAST ST"	0	0	37170	872077
M_37173_875502	"EAST ST"	0	0	37173	875502
M_37176_870237	"EAST ST"	203	0	37176	870237
M_37183_874303	"WEST ST"	0	0	37183	874303
