LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_1008990_2563945	"ESTHER ISLAND"	0	0	307541	781492
F_1010118_2563087	"MASSACHUSETTS AV"	71	0	307885	781230
F_1010155_2563085	"MASSACHUSETTS AV"	71	0	307896	781230
F_1010192_2563082	"MASSACHUSETTS AV"	71	0	307907	781229
F_1010424_2563067	"MASSACHUSETTS AV"	59	0	307978	781224
F_1010524_2563060	"MASSACHUSETTS AV"	57	0	308008	781222
F_1010592_2563053	"MASSACHUSETTS AV"	47	0	308029	781220
F_1010660_2563064	"MASSACHUSETTS AV"	45	0	308050	781223
F_1010750_2562953	"MASSACHUSETTS AV"	38	0	308077	781190
F_1010783_2563085	"MASSACHUSETTS AV"	37	0	308087	781230
F_1010783_2563085	"MASSACHUSETTS AV"	37-37A	0	308087	781230
F_1010783_2563085	"MASSACHUSETTS AV"	43A	0	308087	781230
F_1010783_2563085	"MASSACHUSETTS AV"	43B	0	308087	781230
F_1010849_2562968	"MASSACHUSETTS AV"	34	0	308107	781194
F_1010861_2562888	"MASSACHUSETTS AV"	36	0	308111	781170
F_1010882_2563102	"MASSACHUSETTS AV"	35	0	308117	781235
F_1011023_2562913	"RHODE ISLAND AV"	37	0	308160	781177
F_1011031_2562591	"NEW HAMPSHIRE AV"	48	0	308163	781079
F_1011033_2562754	"RHODE ISLAND AV"	34	0	308163	781129
F_1011055_2562594	"NEW HAMPSHIRE AV"	48	0	308170	781080
F_1011076_2562799	"RHODE ISLAND AV"	32	0	308177	781143
F_1011088_2562720	"NEW HAMPSHIRE AV"	45	0	308180	781119
F_1011097_2562923	"RHODE ISLAND AV"	35	0	308183	781180
F_1011114_2562804	"RHODE ISLAND AV"	32	0	308188	781144
F_1011125_2562726	"NEW HAMPSHIRE AV"	43	0	308192	781120
F_1011143_2563141	"MASSACHUSETTS AV"	33	0	308197	781247
F_1011146_2562930	"RHODE ISLAND AV"	33	0	308198	781183
F_1011149_2563006	"MASSACHUSETTS AV"	30	0	308199	781206
F_1011175_2562813	"RHODE ISLAND AV"	30	0	308207	781147
F_1011196_2562937	"RHODE ISLAND AV"	31	0	308213	781185
F_1011224_2562739	"NEW HAMPSHIRE AV"	33	0	308222	781124
F_1011239_2563093	"MASSACHUSETTS AV"	31	0	308226	781232
F_1011242_2563053	"MASSACHUSETTS AV"	28	0	308227	781220
F_1011275_2562827	"RHODE ISLAND AV"	28	0	308237	781151
F_1011290_2562627	"NEW HAMPSHIRE AV"	30	0	308242	781090
F_1011308_2562952	"RHODE ISLAND AV"	29	0	308247	781189
F_1011323_2562753	"NEW HAMPSHIRE AV"	31	0	308252	781129
F_1011361_2562839	"RHODE ISLAND AV"	26	0	308263	781155
F_1011373_2562760	"NEW HAMPSHIRE AV"	29	0	308267	781131
F_1011427_2563181	"MASSACHUSETTS AV"	29	0	308284	781259
F_1011434_2563006	"RHODE ISLAND AV"	23-23A	0	308286	781206
F_1011434_2563006	"RHODE ISLAND AV"	23A	0	308286	781206
F_1011434_2563006	"RHODE ISLAND AV"	23B	0	308286	781206
F_1011434_2563006	"RHODE ISLAND AV"	23C	0	308286	781206
F_1011439_2562647	"NEW HAMPSHIRE AV"	28	0	308287	781096
F_1011466_2562813	"RHODE ISLAND AV"	24	0	308295	781147
F_1011481_2563057	"MASSACHUSETTS AV"	24	0	308300	781221
F_1011488_2562654	"NEW HAMPSHIRE AV"	26	0	308302	781099
F_1011537_2562661	"NEW HAMPSHIRE AV"	24	0	308317	781101
F_1011539_2563198	"MASSACHUSETTS AV"	27	0	308318	781264
F_1011556_2563067	"MASSACHUSETTS AV"	22	0	308323	781224
F_1011559_2562866	"RHODE ISLAND AV"	22	0	308324	781163
F_1011567_2562988	"NEW JERSEY AV"	14	0	308326	781200
F_1011571_2562787	"NEW HAMPSHIRE AV"	25	0	308327	781139
F_1011576_2563202	"MASSACHUSETTS AV"	25	0	308329	781266
