LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_710754_2923492	"CHARLES RIVER ST"	0	0	216638	891082
F_711032_2923879	"WINDING RIVER RD"	42	0	216723	891200
F_711150_2923676	"WINDING RIVER RD"	33	0	216759	891138
F_711151_2923441	"CHARLES RIVER ST"	901	0	216759	891067
F_711216_2924010	"WINDING RIVER RD"	56	0	216779	891240
F_711344_2923735	"WINDING RIVER RD"	59	0	216818	891156
F_711362_2923463	"CHARLES RIVER ST"	883	0	216824	891073
F_711385_2924113	"WINDING RIVER RD"	70	0	216831	891271
F_711540_2923795	"WINDING RIVER RD"	75	0	216878	891174
F_711547_2924185	"WINDING RIVER RD"	86	0	216880	891293
F_711560_2923497	"CHARLES RIVER ST"	869	0	216884	891084
F_711733_2923858	"WINDING RIVER RD"	91	0	216937	891194
F_711733_2924221	"WINDING RIVER RD"	100	0	216937	891304
F_711752_2923530	"CHARLES RIVER ST"	851	0	216942	891094
F_711835_2924616	"WINDING RIVER RD"	150	0	216968	891425
F_711847_2924400	"WINDING RIVER RD"	130	0	216971	891359
F_711920_2923520	"CHARLES RIVER ST"	0	0	216994	891091
F_711985_2924145	"WINDING RIVER RD"	115	0	217013	891281
F_712075_2924793	"WINDING RIVER RD"	161	0	217041	891479
F_712085_2923851	"CHARLES RIVER ST"	827	0	217044	891192
F_712110_2922688	"CHARLES RIVER ST"	914	0	217052	890837
F_712118_2923516	"CHARLES RIVER ST"	823	0	217054	891089
F_712195_2924570	"WINDING RIVER RD"	145	0	217077	891411
F_712258_2924382	"WINDING RIVER RD"	131	0	217097	891353
F_712356_2923909	"CHARLES RIVER ST"	805	0	217127	891209
F_712365_2924912	"LOCUST LN"	130	0	217129	891515
F_712448_2924782	"LOCUST LN"	120	0	217155	891475
F_712483_2923559	"CHARLES RIVER ST"	795	0	217165	891103
F_712519_2924660	"LOCUST LN"	108	0	217176	891438
F_712535_2924142	"LOCUST LN"	60	0	217181	891280
F_712571_2924534	"LOCUST LN"	94	0	217192	891400
F_712589_2923874	"LOCUST LN"	44	0	217198	891199
F_712603_2924358	"LOCUST LN"	80	0	217202	891346
F_712648_2923665	"LOCUST LN"	26	0	217216	891135
F_712695_2923489	"CHARLES RIVER ST"	771	0	217230	891081
F_712704_2925272	"LOCUST LN"	0	0	217233	891625
F_712797_2924110	"LOCUST LN"	59	0	217261	891271
F_712839_2925003	"LOCUST LN"	131	0	217274	891543
F_712862_2924881	"LOCUST LN"	119	0	217281	891506
F_712874_2923902	"LOCUST LN"	41	0	217284	891207
F_712876_2924311	"LOCUST LN"	71	0	217285	891332
F_712897_2924761	"LOCUST LN"	107	0	217291	891469
F_712902_2924473	"LOCUST LN"	89	0	217293	891381
F_712932_2924639	"LOCUST LN"	97	0	217302	891432
F_712939_2923758	"LOCUST LN"	27	0	217304	891163
F_712953_2923544	"CHARLES RIVER ST"	749	0	217309	891098
F_712965_2924104	"CHARLES RIVER ST"	689	0	217312	891269
F_713114_2923576	"CHARLES RIVER ST"	737	0	217358	891108
F_713189_2925703	"GROVE ST"	373	0	217380	891756
F_713267_2923668	"CHARLES RIVER ST"	723	0	217404	891136
F_713291_2924010	"CHARLES RIVER ST"	685	0	217412	891240
F_713342_2924990	"GROVE ST"	433	0	217427	891539
F_713346_2925216	"GROVE ST"	419	0	217428	891608
F_713398_2924783	"GROVE ST"	447	0	217444	891476
F_713431_2924608	"GROVE ST"	461	0	217454	891422
F_713469_2925706	"GROVE ST"	389	0	217466	891757
F_713473_2925467	"GROVE ST"	403	0	217467	891684
F_713483_2923730	"CHARLES RIVER ST"	699	0	217470	891155
F_713499_2925977	"GROVE ST"	359	0	217475	891840
F_713500_2926189	"GROVE ST"	339	0	217475	891904
F_713547_2924478	"GROVE ST"	465	0	217490	891383
F_713611_2922920	"CHARLES RIVER ST"	636	0	217509	890908
F_713639_2924331	"GROVE ST"	471	0	217518	891338
F_713761_2923474	"CHARLES RIVER ST"	698	0	217555	891077
F_713763_2924199	"GROVE ST"	499	0	217555	891298
F_713797_2923780	"CHARLES RIVER ST"	671	0	217566	891170
F_713840_2925182	"GROVE ST"	430	0	217579	891597
F_713846_2924049	"GROVE ST"	517	0	217581	891252
F_713926_2926443	"GROVE ST"	330	0	217605	891982
F_713998_2923938	"GROVE ST"	529	0	217627	891218
F_714012_2924757	"GROVE ST"	0	0	217631	891468
F_714031_2926220	"GROVE ST"	348	0	217637	891914
F_714049_2923069	"CHARLES RIVER ST"	640	0	217643	890953
F_714055_2926771	"BEARD WAY"	0	0	217644	892082
F_714065_2923801	"GROVE ST"	541	0	217647	891176
F_714073_2925304	"GROVE ST"	426	0	217650	891634
F_714073_2925519	"GROVE ST"	402	0	217650	891700
F_714107_2925968	"GROVE ST"	380	0	217660	891837
F_714158_2924596	"GROVE ST"	486	0	217676	891419
F_714194_2926820	"BEARD WAY"	52	0	217687	892097
F_714209_2924996	"GROVE ST"	454	0	217691	891541
F_714213_2924265	"PINE HILL DR"	8	0	217693	891318
F_714224_2922251	"CHARLES RIVER ST"	634	0	217696	890704
F_714318_2926520	"GROVE ST"	320	0	217725	892005
F_714321_2923514	"CHARLES RIVER ST"	0	0	217725	891089
F_714330_2926805	"BEARD WAY"	66	0	217728	892092
F_714331_2923247	"CHARLES RIVER ST"	0	0	217729	891007
F_714346_2925736	"GROVE ST"	390	0	217733	891766
F_714372_2924356	"PINE HILL DR"	22	0	217741	891345
F_714378_2924679	"PINE HILL DR"	25	0	217743	891444
F_714421_2924068	"GROVE ST"	526	0	217756	891258
F_714468_2926781	"BEARD WAY"	74	0	217770	892085
F_714487_2923063	"CHARLES RIVER ST"	0	0	217776	890951
F_714498_2927141	"COLGATE RD"	0	0	217779	892194
F_714522_2924715	"PINE HILL DR"	35	0	217787	891455
F_714560_2924345	"PINE HILL DR"	38	0	217798	891342
F_714592_2923934	"CHARLES RIVER ST"	0	0	217808	891217
F_714605_2926750	"BEARD WAY"	84	0	217812	892075
F_714611_2922113	"CHARLES RIVER ST"	600	0	217814	890662
F_714659_2924662	"PINE HILL DR"	47	0	217828	891439
F_714662_2927343	"COLGATE RD"	0	0	217829	892256
F_714667_2927092	"BEARD WAY"	85	0	217831	892179
F_714704_2925044	"PHEASANT LANDING RD"	91	0	217842	891555
F_714743_2926732	"BEARD WAY"	96	0	217854	892070
F_714754_2924296	"PINE HILL DR"	50	0	217857	891327
F_714765_2924845	"PHEASANT LANDING RD"	87	0	217861	891495
F_714766_2923955	"CHARLES RIVER ST"	603	0	217861	891223
F_714772_2923131	"CHARLES RIVER ST"	0	0	217863	890972
F_714796_2927503	"CORNELL RD"	0	0	217870	892305
F_714805_2927071	"BEARD WAY"	95	0	217873	892173
F_714828_2926924	"BEARD WAY"	0	0	217880	892128
F_714854_2924669	"PHEASANT LANDING RD"	73	0	217888	891441
F_714890_2926746	"BEARD WAY"	116	0	217899	892074
F_714912_2924517	"PHEASANT LANDING RD"	61	0	217906	891395
F_714914_2923979	"PHEASANT LANDING RD"	19	0	217906	891231
F_714924_2927505	"CORNELL RD"	43	0	217909	892305
F_714942_2926612	"BEARD WAY"	130	0	217915	892033
F_714953_2927034	"BEARD WAY"	105	0	217918	892162
F_714960_2924309	"PHEASANT LANDING RD"	49	0	217920	891331
F_714978_2926466	"BEARD WAY"	140	0	217926	891989
F_715040_2922179	"CHARLES RIVER ST"	0	0	217945	890682
F_715055_2923311	"CHARLES RIVER ST"	590	0	217949	891027
F_715056_2926289	"BEARD WAY"	146	0	217950	891935
F_715058_2924890	"PHEASANT LANDING RD"	88	0	217950	891508
F_715070_2921594	"CHARLES RIVER ST"	0	0	217954	890504
F_715078_2923822	"PHEASANT LANDING RD"	12	0	217956	891183
F_715093_2926933	"BEARD WAY"	115	0	217961	892131
F_715123_2927756	"CORNELL RD"	48	0	217970	892382
F_715143_2927514	"CORNELL RD"	51	0	217976	892308
F_715160_2923998	"PHEASANT LANDING RD"	22	0	217981	891236
F_715178_2926790	"BEARD WAY"	125	0	217987	892087
F_715183_2925919	"GROVE ST"	0	0	217988	891822
F_715201_2923532	"CHARLES RIVER ST"	570	0	217994	891094
F_715228_2924746	"PHEASANT LANDING RD"	0	0	218002	891464
F_715247_2926658	"BEARD WAY"	137	0	218008	892047
F_715256_2926339	"BEARD WAY"	149	0	218010	891950
F_715258_2924652	"PHEASANT LANDING RD"	68	0	218011	891436
F_715264_2924141	"PHEASANT LANDING RD"	36	0	218013	891280
F_715273_2923834	"CHARLES RIVER ST"	569	0	218016	891186
F_715319_2924254	"PHEASANT LANDING RD"	46	0	218030	891314
F_715326_2926513	"BEARD WAY"	145	0	218032	892003
F_715336_2927956	"LEHIGH RD"	0	0	218035	892443
F_715337_2927532	"LEHIGH RD"	61	0	218035	892314
F_715369_2924465	"PHEASANT LANDING RD"	54	0	218045	891379
F_715393_2921348	"WHITMAN RD"	161	0	218052	890429
F_715394_2920743	"WHITMAN RD"	179	0	218053	890244
F_715394_2921628	"WHITMAN RD"	155	0	218053	890514
F_715396_2921862	"WHITMAN RD"	119	0	218053	890585
F_715396_2927811	"LEHIGH RD"	50	0	218053	892399
F_715427_2922095	"WHITMAN RD"	99	0	218063	890656
F_715460_2922329	"WHITMAN RD"	81	0	218073	890728
F_715494_2922563	"WHITMAN RD"	65	0	218083	890799
F_715526_2922796	"WHITMAN RD"	43	0	218093	890870
F_715558_2923031	"WHITMAN RD"	25	0	218103	890942
F_715584_2923267	"CHARLES RIVER ST"	534	0	218110	891014
F_715596_2920655	"WHITMAN RD"	176	0	218114	890217
F_715608_2921377	"WHITMAN RD"	156	0	218118	890437
F_715635_2924513	"PHEASANT LD RD"	0	0	218126	891393
F_715638_2921218	"WHITMAN RD"	0	0	218127	890389
F_715648_2921824	"WHITMAN RD"	120	0	218130	890574
F_715658_2922062	"WHITMAN RD"	100	0	218133	890646
F_715685_2922273	"WHITMAN RD"	84	0	218141	890711
F_715688_2927593	"CARTWRIGHT RD"	0	0	218142	892332
F_715698_2921628	"WHITMAN RD"	140	0	218145	890514
F_715715_2922486	"WHITMAN RD"	70	0	218150	890776
F_715745_2922705	"WHITMAN RD"	54	0	218160	890842
F_715758_2921091	"WHITMAN RD"	170	0	218163	890350
F_715761_2921365	"WHITMAN RD"	164	0	218164	890434
F_715774_2920513	"WHITMAN RD"	0	0	218168	890174
F_715775_2922929	"WHITMAN RD"	34	0	218169	890911
F_715801_2923150	"WHITMAN RD"	16	0	218177	890978
F_715971_2928498	"CARTWRIGHT RD"	411	0	218228	892608
F_716023_2928117	"CARTWRIGHT RD"	376	0	218244	892492
F_716098_2928326	"CARTWRIGHT RD"	367	0	218267	892556
F_716137_2927711	"CARTWRIGHT RD"	358	0	218279	892368
F_716137_2927711	"CARTWRIGHT RD"	362	0	218279	892368
F_716137_2927711	"CARTWRIGHT RD"	366	0	218279	892368
F_716211_2928517	"CARTWRIGHT RD"	355	0	218302	892614
F_716235_2928765	"CARTWRIGHT RD"	0	0	218309	892689
F_716287_2928120	"CARTWRIGHT RD"	366	0	218325	892493
F_716381_2928530	"CARTWRIGHT RD"	345	0	218353	892618
F_716416_2921723	"CHARLES RIVER ST"	484	0	218364	890543
F_716481_2928895	"CARTWRIGHT RD"	0	0	218384	892729
F_716554_2928544	"CARTWRIGHT RD"	333	0	218406	892622
F_716586_2925271	"CHARLES RIVER ST"	463	0	218416	891624
F_716594_2928254	"CARTWRIGHT RD"	342	0	218418	892534
F_716636_2928023	"WHITNEY WAY"	0	0	218431	892463
F_716695_2921737	"CHARLES RIVER ST"	478	0	218449	890547
F_716722_2927685	"CARTWRIGHT RD"	0	0	218457	892360
F_716904_2922955	"CHARLES RIVER ST"	0	0	218513	890918
F_716904_2928725	"CARTWRIGHT RD"	321	0	218513	892677
F_717006_2928329	"CARTWRIGHT RD"	0	0	218544	892556
F_717042_2923339	"CHARLES RIVER ST"	419	0	218555	891036
F_717146_2923221	"CHARLES RIVER ST"	403	0	218587	891000
F_717159_2928341	"CARTWRIGHT RD"	286	0	218591	892560
