LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_799429_2708411	"OLD PLAINVILLE RD"	1634	0	243666	825525
F_799572_2708444	"OLD PLAINVILLE RD"	1620	0	243710	825535
F_799717_2708449	"OLD PLAINVILLE RD"	1580	0	243754	825537
F_799762_2708650	"OLD PLAINVILLE RD"	1583	0	243768	825598
F_799842_2708677	"OLD PLAINVILLE RD"	1563	0	243792	825606
F_799922_2708473	"OLD PLAINVILLE RD"	1556	0	243817	825544
F_799956_2708879	"NEW PLAINVILLE RD"	825	0	243827	825668
F_799993_2709184	"OLD PLAINVILLE RD"	1559	0	243838	825761
F_800030_2708498	"OLD PLAINVILLE RD"	1546	0	243850	825552
F_800049_2708845	"NEW PLAINVILLE RD"	807	0	243855	825658
F_800051_2709700	"SHAWMUT AVE"	2053	0	243856	825918
F_800060_2709524	"SHAWMUT AVE"	2043	0	243859	825865
F_800114_2709452	"SHAWMUT AVE"	2033	0	243875	825843
F_800118_2708855	"NEW PLAINVILLE RD"	801	0	243876	825661
F_800125_2708518	"OLD PLAINVILLE RD"	1534	0	243879	825558
F_800171_2708894	"NEW PLAINVILLE RD"	795	0	243893	825673
F_800223_2708965	"NEW PLAINVILLE RD"	787	0	243908	825694
F_800296_2709006	"NEW PLAINVILLE RD"	777	0	243931	825707
F_800338_2709436	"SHAWMUT AVE"	2015	0	243944	825838
F_800338_2709686	"SHAWMUT AVE"	2036	0	243944	825914
F_800364_2709947	"SHAWMUT AVE"	2044	0	243951	825993
F_800379_2709648	"SHAWMUT AVE"	2030	0	243956	825902
F_800388_2708863	"NEW PLAINVILLE RD"	780	0	243959	825663
F_800399_2708775	"OLD PLAINVILLE RD"	1515	0	243962	825636
F_800420_2709059	"NEW PLAINVILLE RD"	769	0	243969	825723
F_800453_2708541	"OLD PLAINVILLE RD"	1530	0	243979	825565
F_800466_2708911	"NEW PLAINVILLE RD"	772	0	243983	825678
F_800476_2708804	"OLD PLAINVILLE RD"	1509	0	243986	825645
F_800541_2708665	"OLD PLAINVILLE RD"	1500	0	244005	825603
F_800554_2708966	"NEW PLAINVILLE RD"	766	0	244009	825694
F_800557_2708832	"OLD PLAINVILLE RD"	1503	0	244010	825654
F_800615_2708682	"OLD PLAINVILLE RD"	1496	0	244028	825608
F_800622_2709759	"SHAWMUT AVE"	2020	0	244030	825936
F_800634_2708860	"OLD PLAINVILLE RD"	1493	0	244034	825662
F_800636_2709013	"NEW PLAINVILLE RD"	762	0	244034	825709
F_800712_2708888	"OLD PLAINVILLE RD"	1487	0	244058	825671
F_800722_2709096	"SHAWMUT AVE"	1999	0	244061	825734
F_800730_2708725	"OLD PLAINVILLE RD"	1490	0	244063	825621
F_800748_2708620	"FALMOUTH ST"	137	0	244068	825589
F_800783_2708722	"OLD PLAINVILLE RD"	1484	0	244079	825620
F_800798_2709028	"SHAWMUT AVE"	1993	0	244084	825713
F_800808_2709553	"SHAWMUT AVE"	2004	0	244087	825873
F_800835_2708653	"FALMOUTH ST"	125	0	244095	825599
F_800878_2708921	"OLD PLAINVILLE RD"	1477	0	244108	825681
F_800910_2708752	"OLD PLAINVILLE RD"	1476	0	244118	825629
F_800917_2709145	"SHAWMUT AVE"	1996	0	244120	825749
F_800918_2708645	"FALMOUTH ST"	117	0	244120	825597
F_800964_2708764	"OLD PLAINVILLE RD"	1466	0	244134	825633
F_800978_2708659	"FALMOUTH ST"	113	0	244139	825601
F_801005_2709050	"SHAWMUT AVE"	1984	0	244147	825720
F_801016_2698295	"VALLEY VIEW DR"	79	0	244150	822442
F_801022_2698102	"VALLEY VIEW DR"	68	0	244152	822383
F_801036_2708672	"FALMOUTH ST"	105	0	244156	825605
F_801047_2709182	"NEW PLAINVILLE RD"	708	0	244160	825760
F_801052_2698040	"VALLEY VIEW DR"	58	0	244161	822364
F_801062_2698805	"VALLEY VIEW DR"	84	0	244164	822597
F_801077_2697975	"VALLEY VIEW DR"	52	0	244169	822344
F_801089_2708969	"OLD PLAINVILLE RD"	1451	0	244172	825695
F_801096_2708704	"FALMOUTH ST"	101	0	244175	825615
F_801102_2697910	"VALLEY VIEW DR"	48	0	244176	822325
F_801105_2698213	"VALLEY VIEW DR"	71	0	244177	822417
F_801141_2697671	"HATHAWAY RD"	915	0	244188	822252
F_801141_2708318	"FALMOUTH ST"	114	0	244188	825497
F_801148_2698158	"VALLEY VIEW DR"	63	0	244190	822400
F_801164_2708679	"FALMOUTH ST"	93	0	244195	825607
F_801171_2708421	"FALMOUTH ST"	108	0	244197	825528
F_801179_2698253	"NELLIE RD"	77	0	244200	822429
F_801179_2708165	"FALMOUTH ST"	94	0	244200	825450
F_801189_2698101	"VALLEY VIEW DR"	57	0	244203	822383
F_801195_2708995	"OLD PLAINVILLE RD"	1443	0	244205	825703
F_801197_2708536	"FALMOUTH ST"	102	0	244205	825563
F_801209_2708831	"OLD PLAINVILLE RD"	1450	0	244209	825653
F_801217_2709266	"NEW PLAINVILLE RD"	692	0	244211	825786
F_801230_2698196	"NELLIE RD"	71	0	244215	822412
F_801231_2698045	"VALLEY VIEW DR"	51	0	244216	822366
F_801233_2698591	"NELLIE RD"	103	0	244216	822532
F_801262_2709011	"OLD PLAINVILLE RD"	1437	0	244225	825708
F_801266_2709362	"NEW PLAINVILLE RD"	684	0	244226	825815
F_801273_2697988	"VALLEY VIEW DR"	45	0	244228	822348
F_801278_2698654	"NELLIE RD"	111	0	244230	822551
F_801281_2707849	"SHAWMUT AVE"	1871	0	244231	825354
F_801285_2698138	"NELLIE RD"	63	0	244232	822394
F_801306_2697376	"HATHAWAY RD"	906	0	244239	822162
F_801314_2697931	"VALLEY VIEW DR"	39	0	244241	822331
F_801324_2698720	"NELLIE RD"	119	0	244244	822572
F_801341_2698060	"NELLIE RD"	53	0	244249	822370
F_801341_2708726	"SHAWMUT AVE"	1930	0	244249	825621
F_801341_2708837	"OLD PLAINVILLE RD"	1434	0	244249	825655
F_801354_2698295	"NELLIE RD"	74	0	244253	822442
F_801359_2698800	"NELLIE RD"	129	0	244255	822596
F_801361_2698891	"NELLIE RD"	139	0	244255	822624
F_801361_2709043	"OLD PLAINVILLE RD"	1431	0	244255	825718
F_801368_2698363	"NELLIE RD"	84	0	244257	822463
F_801374_2697645	"HATHAWAY RD"	901	0	244259	822244
F_801377_2697298	"GERALDINE ST"	982	0	244260	822138
F_801383_2698431	"NELLIE RD"	94	0	244262	822483
F_801385_2698226	"NELLIE RD"	60	0	244263	822421
F_801387_2699212	"JOY RD"	89	0	244263	822721
F_801395_2698959	"NELLIE RD"	147	0	244266	822644
F_801404_2697241	"GERALDINE ST"	978	0	244268	822121
F_801404_2699043	"NELLIE RD"	155	0	244268	822670
F_801408_2697820	"VALLEY VIEW DR"	27	0	244270	822297
F_801411_2697988	"NELLIE RD"	43	0	244271	822348
F_801412_2698496	"NELLIE RD"	102	0	244271	822503
F_801433_2708698	"SHAWMUT AVE"	1914	0	244277	825613
F_801443_2698567	"NELLIE RD"	110	0	244280	822525
F_801449_2697368	"HATHAWAY RD"	892	0	244282	822159
F_801452_2723905	"SAMUEL BARNETT BLVD"	181	0	244283	830248
F_801463_2708862	"OLD PLAINVILLE RD"	1418	0	244286	825663
F_801471_2709142	"OLD PLAINVILLE RD"	1415	0	244289	825748
F_801474_2698640	"NELLIE RD"	118	0	244290	822547
F_801497_2697199	"GERALDINE ST"	968	0	244297	822108
F_801503_2697415	"TRADEWIND ST"	989	0	244299	822174
F_801505_2699195	"JOY RD"	81	0	244299	822716
F_801505_2723065	"SAMUEL BARNETT BLVD"	214	0	244299	829992
F_801509_2698718	"NELLIE RD"	126	0	244300	822571
F_801527_2707309	"SHAWMUT AVE"	1861	0	244306	825189
F_801534_2697702	"HATHAWAY RD"	877	0	244308	822261
F_801537_2708631	"SHAWMUT AVE"	1878	0	244309	825592
F_801541_2698800	"NELLIE RD"	134	0	244310	822596
F_801547_2698876	"NELLIE RD"	142	0	244312	822619
