LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_244131_945445	"FOREST ST"	43	0	244131	945445
M_244247_945022	"FOREST ST"	OFF	0	244247	945022
M_244372_944881	"FOREST ST"	OFF	0	244372	944881
M_244473_945578	"FOREST ST"	30	0	244473	945578
M_244482_945099	"FOREST ST"	0	0	244482	945099
M_244492_945986	"FOREST ST"	66	0	244492	945986
M_244498_945687	"FOREST ST"	32	0	244498	945687
M_244500_944849	"KNOBB HILL"	16	0	244500	944849
M_244502_945187	"FOREST ST"	21R	0	244502	945187
M_244555_944766	"KNOBB HILL"	21	0	244555	944766
M_244576_944937	"KNOBB HILL"	14	0	244576	944937
M_244591_945394	"FOREST ST"	27	0	244591	945394
M_244605_945059	"FOREST ST"	9R	0	244605	945059
M_244624_945412	"FOREST ST"	25	0	244624	945412
M_244625_945306	"FOREST ST"	21	0	244625	945306
M_244636_944728	"KNOBB HILL"	19	0	244636	944728
M_244649_945508	"FOREST ST"	24	0	244649	945508
M_244658_944934	"KNOBB HILL"	12	0	244658	944934
M_244658_945407	"FOREST ST"	23	0	244658	945407
M_244689_946495	"MOODY ST"	47	0	244689	946495
M_244692_944754	"KNOBB HILL"	17	0	244692	944754
M_244694_945331	"FOREST ST"	19	0	244694	945331
M_244696_945020	"RIVER ST"	21	0	244696	945020
M_244696_945199	"RIVER ST"	23	0	244696	945199
M_244698_945455	"FOREST ST"	22	0	244698	945455
M_244710_945302	"FOREST ST"	17	0	244710	945302
M_244712_944641	"KNOBB HILL W"	11	0	244712	944641
M_244716_944875	"KNOBB HILL"	10	0	244716	944875
M_244721_945125	"RIVER ST"	19	0	244721	945125
M_244733_944596	"KNOBB HILL W"	9	0	244733	944596
M_244735_945299	"FOREST ST"	15	0	244735	945299
M_244737_945222	"RIVER ST"	24	0	244737	945222
M_244738_945504	"FOREST ST"	20	0	244738	945504
M_244743_946399	"MOODY ST"	45	0	244743	946399
M_244752_944679	"KNOBB HILL W"	13	0	244752	944679
M_244753_944846	"KNOBB HILL"	8	0	244753	944846
M_244761_945406	"FOREST ST"	18	0	244761	945406
M_244769_944726	"KNOBB HILL"	15	0	244769	944726
M_244772_945287	"FOREST ST"	13	0	244772	945287
M_244784_944965	"RIVER ST"	15	0	244784	944965
M_244791_944815	"KNOBB HILL"	6	0	244791	944815
M_244797_944555	"KNOBB HILL W"	7	0	244797	944555
M_244804_945146	"RIVER ST"	20	0	244804	945146
M_244807_946225	"MOODY ST"	OFF	0	244807	946225
M_244818_945319	"FOREST ST"	11	0	244818	945319
M_244819_945051	"RIVER ST"	18	0	244819	945051
M_244822_945242	"FOREST ST"	11R	0	244822	945242
M_244822_945515	"FOREST ST"	OFF	0	244822	945515
M_244833_944789	"KNOBB HILL"	4	0	244833	944789
M_244845_945449	"FOREST ST"	16	0	244845	945449
M_244853_945336	"FOREST ST"	9R	0	244853	945336
M_244856_946569	"MOODY ST"	48	0	244856	946569
M_244862_944937	"RIVER ST"	13	0	244862	944937
M_244865_944651	"KNOBB HILL W"	3	0	244865	944651
M_244868_946366	"MOODY ST"	43	0	244868	946366
M_244873_945758	"GROVE ST"	14	0	244873	945758
M_244876_946415	"MOODY ST"	41	0	244876	946415
M_244879_944577	"KNOBB HILL W"	5	0	244879	944577
M_244899_945438	"FOREST ST"	12	0	244899	945438
M_244904_945604	"FOREST ST"	OFF	0	244904	945604
