LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_246017_952240	"CURZON MILL RD"	84	0	246017	952240
M_246040_952277	"CURZON MILL RD"	82	0	246040	952277
M_246046_952231	"CURZON MILL RD"	101	0	246046	952231
M_246049_952366	"CURZON MILL RD"	80	0	246049	952366
M_246102_952304	"CURZON MILL RD"	78	0	246102	952304
M_246126_952214	"CURZON MILL RD"	99	0	246126	952214
M_246260_952435	"CURZON MILL RD"	0	0	246260	952435
M_246392_952206	"CURZON MILL RD"	97	0	246392	952206
M_246433_951916	"CURZON MILL RD"	93	0	246433	951916
M_246481_952185	"CURZON MILL RD"	95	0	246481	952185
M_246607_951562	"STOREY AVE"	239	0	246607	951562
M_246688_950649	"LONGFELLOW DR"	40	0	246688	950649
M_246695_950619	"LONGFELLOW DR"	42	0	246695	950619
M_246696_950586	"LONGFELLOW DR"	44	0	246696	950586
M_246703_950679	"LONGFELLOW DR"	38	0	246703	950679
M_246703_951536	"STOREY AVE"	235	0	246703	951536
M_246705_950708	"LONGFELLOW DR"	36	0	246705	950708
M_246711_950736	"LONGFELLOW DR"	34	0	246711	950736
M_246716_950554	"LONGFELLOW DR"	46	0	246716	950554
M_246723_951666	"STOREY AVE"	232	0	246723	951666
M_246723_952501	"CURZON MILL RD"	91	0	246723	952501
M_246725_950768	"LONGFELLOW DR"	32	0	246725	950768
M_246730_950533	"LONGFELLOW DR"	48	0	246730	950533
M_246732_950796	"LONGFELLOW DR"	30	0	246732	950796
M_246735_951485	"STOREY AVE"	233	0	246735	951485
M_246739_950838	"LONGFELLOW DR"	28	0	246739	950838
M_246741_950510	"LONGFELLOW DR"	50	0	246741	950510
M_246744_950630	"LONGFELLOW DR"	39	0	246744	950630
M_246745_950661	"LONGFELLOW DR"	37	0	246745	950661
M_246747_950608	"LONGFELLOW DR"	41	0	246747	950608
M_246753_950588	"LONGFELLOW DR"	43	0	246753	950588
M_246755_950680	"LONGFELLOW DR"	35	0	246755	950680
M_246758_950710	"LONGFELLOW DR"	33	0	246758	950710
M_246763_950738	"LONGFELLOW DR"	31	0	246763	950738
M_246764_951355	"FINNEGAN WAY"	26	0	246764	951355
M_246767_950485	"LONGFELLOW DR"	52	0	246767	950485
M_246771_950556	"LONGFELLOW DR"	45	0	246771	950556
M_246771_951416	"STOREY AVE"	237	0	246771	951416
M_246771_951519	"STOREY AVE"	231	0	246771	951519
M_246773_950847	"LONGFELLOW DR"	26	0	246773	950847
M_246774_950767	"LONGFELLOW DR"	29	0	246774	950767
M_246779_950798	"LONGFELLOW DR"	27	0	246779	950798
M_246781_952516	"CURZON MILL RD"	89	0	246781	952516
M_246786_950536	"LONGFELLOW DR"	47	0	246786	950536
M_246792_950628	"MARQUAND LN"	21	0	246792	950628
M_246792_951318	"EVERETTE DR"	23	0	246792	951318
M_246795_950411	"PLUMMER SPRING RD"	24	0	246795	950411
M_246795_950474	"LONGFELLOW DR"	54	0	246795	950474
M_246795_950655	"MARQUAND LN"	23	0	246795	950655
M_246795_950679	"MARQUAND LN"	25	0	246795	950679
M_246796_951452	"FINNEGAN WAY"	22	0	246796	951452
M_246801_950570	"NEWHALL LN"	24	0	246801	950570
M_246801_950708	"MARQUAND LN"	27	0	246801	950708
M_246802_951403	"FINNEGAN WAY"	24	0	246802	951403
M_246804_950844	"LONGFELLOW DR"	24	0	246804	950844
M_246806_950734	"MARQUAND LN"	29	0	246806	950734
M_246807_950595	"MARQUAND LN"	19	0	246807	950595
M_246807_950761	"MARQUAND LN"	31	0	246807	950761
M_246808_951483	"FINNEGAN WAY"	20	0	246808	951483
M_246815_950802	"MARQUAND LN"	33	0	246815	950802
M_246824_950462	"LONGFELLOW DR"	56	0	246824	950462
M_246828_951729	"HOYTS LN"	1	0	246828	951729
M_246829_951566	"STOREY AVE"	215	0	246829	951566
M_246830_951670	"STOREY AVE"	210	0	246830	951670
M_246832_950541	"NEWHALL LN"	21	0	246832	950541
M_246835_950678	"MARQUAND LN"	22	0	246835	950678
M_246836_950509	"LONGFELLOW DR"	49	0	246836	950509
M_246836_950843	"LONGFELLOW DR"	22	0	246836	950843
M_246837_950641	"MARQUAND LN"	20	0	246837	950641
M_246842_951514	"FINNEGAN WAY"	14	0	246842	951514
M_246846_950394	"PLUMMER SPRING RD"	22	0	246846	950394
M_246846_951438	"FINNEGAN WAY"	15	0	246846	951438
M_246847_950560	"MARQUAND LN"	17	0	246847	950560
M_246850_950458	"LONGFELLOW DR"	58	0	246850	950458
M_246852_950757	"PETERS RD"	8	0	246852	950757
M_246856_950721	"PETERS RD"	7	0	246856	950721
M_246856_951323	"EVERETTE DR"	19	0	246856	951323
M_246861_951381	"FINNEGAN WAY"	19	0	246861	951381
M_246863_951585	"STOREY AVE"	211	0	246863	951585
M_246865_951233	"BOURBEAU TERR"	15	0	246865	951233
M_246867_950842	"LONGFELLOW DR"	20	0	246867	950842
M_246868_950499	"LONGFELLOW DR"	51	0	246868	950499
M_246868_950659	"NEWHALL LN"	18	0	246868	950659
M_246869_951191	"BOURBEAU TERR"	13	0	246869	951191
M_246870_950803	"LONGFELLOW DR"	15	0	246870	950803
M_246874_951536	"FINNEGAN WAY"	12	0	246874	951536
M_246875_950608	"NEWHALL LN"	17	0	246875	950608
M_246876_950437	"LONGFELLOW DR"	60	0	246876	950437
M_246882_950758	"PETERS RD"	6	0	246882	950758
M_246883_951277	"BOURBEAU TERR"	17	0	246883	951277
M_246885_950385	"PLUMMER SPRING RD"	20	0	246885	950385
M_246889_950595	"MARQUAND LN"	16	0	246889	950595
M_246889_951712	"STOREY AVE"	200	0	246889	951712
M_246890_950538	"MARQUAND LN"	15	0	246890	950538
M_246890_951491	"FINNEGAN WAY"	11	0	246890	951491
M_246890_952443	"CURZON MILL RD"	87	0	246890	952443
M_246892_950496	"LONGFELLOW DR"	53	0	246892	950496
M_246892_950680	"NEWHALL LN"	16	0	246892	950680
M_246892_950842	"LONGFELLOW DR"	18	0	246892	950842
M_246893_951449	"JONES DR"	12	0	246893	951449
M_246894_951322	"EVERETTE DR"	15	0	246894	951322
M_246894_951373	"JONES DR"	16	0	246894	951373
M_246896_951144	"BOURBEAU TERR"	11	0	246896	951144
M_246900_950625	"NEWHALL LN"	15	0	246900	950625
M_246902_950439	"LONGFELLOW DR"	62	0	246902	950439
M_246903_950723	"PETERS RD"	5	0	246903	950723
M_246909_951519	"FINNEGAN WAY"	9	0	246909	951519
M_246909_952016	"HOYTS LN"	24	0	246909	952016
M_246909_952053	"HOYTS LN"	26	0	246909	952053
M_246910_951984	"HOYTS LN"	22	0	246910	951984
M_246911_951960	"HOYTS LN"	20	0	246911	951960
M_246912_950580	"MARQUAND LN"	14	0	246912	950580
M_246912_950801	"LONGFELLOW DR"	13	0	246912	950801
M_246912_951760	"ARTICHOKE TERR"	3	0	246912	951760
M_246912_951929	"HOYTS LN"	18	0	246912	951929
M_246915_950372	"PLUMMER SPRING RD"	18	0	246915	950372
M_246916_951010	"WINDWARD DR"	15	0	246916	951010
M_246919_951814	"HOYTS LN"	14	0	246919	951814
M_246920_950759	"PETERS RD"	4	0	246920	950759
M_246920_950964	"WINDWARD DR"	13	0	246920	950964
M_246921_950527	"MARQUAND LN"	13	0	246921	950527
M_246921_951057	"WINDWARD DR"	17	0	246921	951057
M_246921_951624	"STOREY AVE"	209	0	246921	951624
M_246922_951229	"BOURBEAU TERR"	12	0	246922	951229
M_246923_950418	"LONGFELLOW DR"	64	0	246923	950418
M_246923_951579	"FINNEGAN WAY"	8	0	246923	951579
M_246924_950679	"NEWHALL LN"	14	0	246924	950679
M_246925_951191	"BOURBEAU TERR"	10	0	246925	951191
M_246926_950636	"NEWHALL LN"	13	0	246926	950636
M_246927_950842	"LONGFELLOW DR"	16	0	246927	950842
M_246928_951718	"ARTICHOKE TERR"	1	0	246928	951718
M_246930_951429	"JONES DR"	9	0	246930	951429
M_246931_950891	"WINDWARD DR"	11	0	246931	950891
M_246937_950721	"PETERS RD"	3	0	246937	950721
M_246940_951403	"CHATIGNY LN"	8	0	246940	951403
M_246940_951884	"DREW ST"	19	0	246940	951884
M_246941_950574	"HAWTHORNE RD"	14	0	246941	950574
M_246941_951139	"BOURBEAU TERR"	9	0	246941	951139
M_246941_951279	"BOURBEAU TERR"	19	0	246941	951279
M_246941_951639	"STOREY AVE"	207	0	246941	951639
M_246942_950476	"LONGFELLOW DR"	55	0	246942	950476
M_246945_950364	"PLUMMER SPRING RD"	16	0	246945	950364
M_246945_951600	"FINNEGAN WAY"	6	0	246945	951600
M_246946_951544	"FINNEGAN WAY"	5	0	246946	951544
M_246947_951499	"JONES DR"	8	0	246947	951499
M_246949_951325	"EVERETTE DR"	13	0	246949	951325
M_246951_950411	"LONGFELLOW DR"	66	0	246951	950411
M_246951_952064	"PHILIPS DR"	21	0	246951	952064
M_246952_950610	"HAWTHORNE RD"	12	0	246952	950610
M_246953_950759	"PETERS RD"	2	0	246953	950759
M_246954_952121	"PHILIPS DR"	23	0	246954	952121
M_246957_950840	"LONGFELLOW DR"	14	0	246957	950840
M_246957_952026	"PHILIPS DR"	19	0	246957	952026
M_246958_950802	"LONGFELLOW DR"	11	0	246958	950802
M_246959_951995	"PHILIPS DR"	17	0	246959	951995
M_246960_950639	"HAWTHORNE RD"	8	0	246960	950639
M_246961_950506	"MARQUAND LN"	11	0	246961	950506
M_246961_951100	"WINDWARD DR"	19	0	246961	951100
M_246964_950682	"HAWTHORNE RD"	6	0	246964	950682
M_246964_951658	"STOREY AVE"	203	0	246964	951658
M_246965_950716	"HAWTHORNE RD"	4	0	246965	950716
M_246965_951930	"DREW ST"	22	0	246965	951930
M_246965_951961	"PHILIPS DR"	15	0	246965	951961
M_246966_950392	"LONGFELLOW DR"	68	0	246966	950392
M_246966_951778	"ARTICHOKE TERR"	4	0	246966	951778
M_246971_951184	"BOURBEAU TERR"	8	0	246971	951184
M_246972_950462	"LONGFELLOW DR"	57	0	246972	950462
M_246972_950942	"WINDWARD DR"	10	0	246972	950942
M_246972_951034	"WINDWARD DR"	14	0	246972	951034
M_246973_951611	"FINNEGAN WAY"	4	0	246973	951611
M_246974_951232	"BOURBEAU TERR"	14	0	246974	951232
M_246974_951424	"CHATIGNY LN"	6	0	246974	951424
M_246975_950356	"PLUMMER SPRING RD"	14	0	246975	950356
M_246975_951522	"JONES DR"	6	0	246975	951522
M_246975_951731	"ARTICHOKE TERR"	2	0	246975	951731
M_246976_950987	"WINDWARD DR"	12	0	246976	950987
M_246977_951285	"BOURBEAU TERR"	21	0	246977	951285
M_246979_951466	"JONES DR"	5	0	246979	951466
M_246979_952146	"PHILIPS DR"	25	0	246979	952146
M_246982_950546	"MARQUAND LN"	10	0	246982	950546
M_246983_950886	"WINDWARD DR"	9	0	246983	950886
M_246987_951365	"EVERETTE DR"	8	0	246987	951365
M_246987_951573	"FINNEGAN WAY"	3	0	246987	951573
M_246988_950496	"MARQUAND LN"	9	0	246988	950496
M_246988_950575	"HAWTHORNE RD"	13	0	246988	950575
M_246988_950597	"HAWTHORNE RD"	11	0	246988	950597
M_246988_951673	"STOREY AVE"	201	0	246988	951673
M_246990_951885	"PHILIPS DR"	9	0	246990	951885
M_246991_951142	"BOURBEAU TERR"	7	0	246991	951142
M_246993_950841	"LONGFELLOW DR"	12	0	246993	950841
M_246996_951858	"PHILIPS DR"	7	0	246996	951858
M_246997_950632	"HAWTHORNE RD"	9	0	246997	950632
M_246998_950399	"LONGFELLOW DR"	70	0	246998	950399
M_246998_950454	"LONGFELLOW DR"	59	0	246998	950454
M_246999_951539	"JONES DR"	4	0	246999	951539
M_247000_950762	"HAWTHORNE RD"	3	0	247000	950762
M_247000_950798	"LONGFELLOW DR"	9	0	247000	950798
M_247000_951827	"PHILIPS DR"	5	0	247000	951827
M_247001_952161	"PHILIPS DR"	27	0	247001	952161
M_247002_950684	"HAWTHORNE RD"	7	0	247002	950684
M_247002_950723	"HAWTHORNE RD"	5	0	247002	950723
M_247003_951641	"DENNETT DR"	2	0	247003	951641
M_247004_952064	"PHILIPS DR"	16	0	247004	952064
M_247005_950349	"PLUMMER SPRING RD"	12	0	247005	950349
M_247005_951971	"PHILIPS DR"	12	0	247005	951971
M_247006_951325	"EVERETTE DR"	9	0	247006	951325
M_247006_952032	"PHILIPS DR"	14	0	247006	952032
M_247007_951796	"PHILIPS DR"	3	0	247007	951796
M_247008_949889	"TURKEY HILL RD"	101	0	247008	949889
M_247008_951035	"WINDWARD DR"	16	0	247008	951035
M_247010_951763	"PHILIPS DR"	1	0	247010	951763
M_247012_951395	"CHATIGNY LN"	3	0	247012	951395
M_247013_950896	"WINDWARD DR"	7	0	247013	950896
M_247014_951361	"EVERETTE DR"	6	0	247014	951361
M_247014_951495	"JONES DR"	3	0	247014	951495
M_247015_950533	"MARQUAND LN"	8	0	247015	950533
M_247016_950943	"WINDWARD DR"	8	0	247016	950943
M_247016_951592	"FINNEGAN WAY"	1	0	247016	951592
M_247017_951093	"WINDWARD DR"	21	0	247017	951093
M_247017_951193	"BOURBEAU TERR"	6	0	247017	951193
M_247017_951941	"PHILIPS DR"	10	0	247017	951941
M_247018_951730	"STOREY AVE"	192	0	247018	951730
M_247018_952093	"PHILIPS DR"	18	0	247018	952093
M_247019_950838	"LONGFELLOW DR"	10	0	247019	950838
M_247022_950488	"MARQUAND LN"	7	0	247022	950488
M_247023_950442	"LONGFELLOW DR"	61	0	247023	950442
M_247023_951230	"BOURBEAU TERR"	16	0	247023	951230
M_247024_952176	"PHILIPS DR"	29	0	247024	952176
M_247025_951556	"JONES DR"	2	0	247025	951556
M_247026_952453	"CURZON MILL RD"	85	0	247026	952453
M_247030_952124	"PHILIPS DR"	20	0	247030	952124
M_247032_950390	"LONGFELLOW DR"	72	0	247032	950390
M_247032_951325	"EVERETTE DR"	7	0	247032	951325
M_247034_951285	"BOURBEAU TERR"	23	0	247034	951285
M_247035_950342	"PLUMMER SPRING RD"	10	0	247035	950342
M_247035_950796	"ELIZABETH LN"	2	0	247035	950796
M_247035_951511	"DENNETT DR"	10	0	247035	951511
M_247036_951983	"RYAN RD"	15	0	247036	951983
M_247037_951886	"PHILIPS DR"	6	0	247037	951886
M_247038_951010	"WINDWARD DR"	18	0	247038	951010
M_247038_951140	"BOURBEAU TERR"	5	0	247038	951140
M_247038_951677	"DENNETT DR"	1	0	247038	951677
M_247039_950751	"ELIZABETH LN"	4	0	247039	950751
M_247039_950957	"WINDWARD DR"	6	0	247039	950957
M_247040_950707	"ELIZABETH LN"	6	0	247040	950707
M_247041_950595	"ELIZABETH LN"	12	0	247041	950595
M_247041_950671	"ELIZABETH LN"	8	0	247041	950671
M_247042_950624	"NEWHALL LN"	7	0	247042	950624
M_247043_950566	"ELIZABETH LN"	14	0	247043	950566
M_247044_951394	"CHATIGNY LN"	1	0	247044	951394
M_247044_951441	"CHATIGNY LN"	2	0	247044	951441
M_247045_951479	"DENNETT DR"	12	0	247045	951479
M_247045_951843	"PHILIPS DR"	4	0	247045	951843
M_247045_951939	"DREW ST"	18	0	247045	951939
M_247046_950527	"ELIZABETH LN"	16	0	247046	950527
M_247047_951074	"WINDWARD DR"	23	0	247047	951074
M_247047_952139	"PHILIPS DR"	22	0	247047	952139
M_247048_951633	"DENNETT DR"	3	0	247048	951633
M_247049_950470	"ELIZABETH LN"	18	0	247049	950470
M_247049_950838	"LONGFELLOW DR"	8	0	247049	950838
M_247049_951364	"EVERETTE DR"	4	0	247049	951364
M_247050_950911	"WINDWARD DR"	5	0	247050	950911
M_247051_950438	"LONGFELLOW DR"	63	0	247051	950438
M_247055_951784	"PHILIPS DR"	2	0	247055	951784
M_247056_950181	"TURKEY HILL RD"	100	0	247056	950181
M_247057_950387	"LONGFELLOW DR"	74	0	247057	950387
M_247058_952283	"PHILIPS DR"	31-33	0	247058	952283
M_247063_951747	"STOREY AVE"	188	0	247063	951747
M_247063_952053	"RYAN RD"	12	0	247063	952053
M_247066_950334	"PLUMMER SPRING RD"	8	0	247066	950334
M_247067_951600	"DENNETT DR"	5	0	247067	951600
M_247069_951230	"BOURBEAU TERR"	18	0	247069	951230
M_247069_951894	"DREW ST"	15	0	247069	951894
M_247070_951190	"BOURBEAU TERR"	4	0	247070	951190
M_247070_951325	"EVERETTE DR"	5	0	247070	951325
M_247074_951542	"DENNETT DR"	7	0	247074	951542
M_247075_952433	"CURZON MILL RD"	83	0	247075	952433
M_247078_951687	"TURKEY HILL RD"	2	0	247078	951687
M_247081_951141	"BOURBEAU TERR"	3	0	247081	951141
M_247081_951286	"BOURBEAU TERR"	25	0	247081	951286
M_247081_951944	"DREW ST"	16	0	247081	951944
M_247082_950752	"ELIZABETH LN"	3	0	247082	950752
M_247082_951805	"SULLIVAN DR"	13	0	247082	951805
M_247083_950379	"LONGFELLOW DR"	76	0	247083	950379
M_247084_950699	"ELIZABETH LN"	7	0	247084	950699
M_247084_950840	"LONGFELLOW DR"	6	0	247084	950840
M_247085_950787	"ELIZABETH LN"	1	0	247085	950787
M_247085_951060	"WINDWARD DR"	25	0	247085	951060
M_247087_950723	"ELIZABETH LN"	5	0	247087	950723
M_247089_950581	"ELIZABETH LN"	13	0	247089	950581
M_247089_950961	"WINDWARD DR"	4	0	247089	950961
M_247090_951504	"DENNETT DR"	11	0	247090	951504
M_247090_951857	"SULLIVAN DR"	14	0	247090	951857
