LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_719424_2945259	"CONCORD ST"	48	0	219281	897717
F_719613_2945169	"CONCORD ST"	66	0	219338	897689
F_719646_2945273	"CONCORD ST"	50	0	219349	897721
F_719653_2945349	"PINE GROVE AVE"	194	0	219351	897744
F_719704_2945125	"CONCORD ST"	72	0	219366	897676
F_719716_2945403	"PINE GROVE AVE"	184	0	219370	897761
F_719777_2945090	"CONCORD ST"	82	0	219388	897665
F_719796_2944568	"CONCORD ST"	41	0	219394	897506
F_719800_2945424	"PINE GROVE AVE"	176	0	219395	897767
F_719822_2945193	"LAFAYETTE RD"	45	0	219402	897697
F_719849_2945056	"CONCORD ST"	86	0	219410	897655
F_719850_2945262	"LAFAYETTE RD"	39	0	219411	897718
F_719863_2945494	"PINE GROVE AVE"	168	0	219415	897788
F_719918_2945312	"LAFAYETTE RD"	31	0	219431	897733
F_719936_2945386	"LAFAYETTE RD"	25	0	219437	897755
F_719961_2945465	"LAFAYETTE RD"	17	0	219445	897780
F_719964_2945560	"PINE GROVE AVE"	160	0	219445	897808
F_719987_2944991	"CONCORD ST"	100	0	219452	897635
F_720067_2945080	"LAFAYETTE RD"	46	0	219477	897662
F_720082_2945160	"LAFAYETTE RD"	40	0	219481	897687
F_720095_2944940	"CONCORD ST"	108	0	219485	897620
F_720097_2945238	"LAFAYETTE RD"	34	0	219486	897710
F_720101_2944210	"GRAYSON LA"	43	0	219487	897397
F_720112_2945315	"LAFAYETTE RD"	28	0	219491	897734
F_720124_2945394	"LAFAYETTE RD"	22	0	219494	897758
F_720133_2945641	"PINE GROVE AVE"	142	0	219497	897833
F_720134_2945474	"LAFAYETTE RD"	16	0	219497	897782
F_720138_2945555	"LAFAYETTE RD"	10	0	219499	897807
F_720140_2944303	"GRAYSON LA"	37	0	219499	897425
F_720186_2944382	"GRAYSON LA"	29	0	219513	897449
F_720215_2945689	"PINE GROVE AVE"	136	0	219522	897848
F_720219_2944860	"CONCORD ST"	122	0	219523	897595
F_720222_2944463	"GRAYSON LA"	21	0	219524	897474
F_720231_2945018	"ST MARYS ST"	73	0	219527	897643
F_720240_2945093	"ST MARYS ST"	67	0	219530	897666
F_720242_2944947	"ST MARYS ST"	79	0	219530	897622
F_720249_2945168	"ST MARYS ST"	61	0	219532	897689
F_720258_2945241	"ST MARYS ST"	55	0	219535	897711
F_720259_2944550	"GRAYSON LA"	11	0	219535	897501
F_720267_2945315	"ST MARYS ST"	49	0	219538	897734
F_720274_2944272	"GRAYSON LA"	38	0	219540	897416
F_720276_2945390	"ST MARYS ST"	45	0	219541	897757
F_720284_2945465	"ST MARYS ST"	37	0	219543	897780
F_720294_2944161	"CONCORD ST"	151R	0	219546	897382
F_720294_2945540	"ST MARYS ST"	31	0	219546	897802
F_720302_2944646	"GRAYSON LA"	5	0	219548	897530
F_720313_2945615	"ST MARYS ST"	25	0	219552	897825
F_720314_2946436	"PINE GROVE AVE"	199	0	219552	898075
F_720324_2945701	"ST MARYS ST"	19	0	219555	897851
F_720333_2945784	"PINE GROVE AVE"	122	0	219558	897877
F_720342_2944342	"GRAYSON LA"	28	0	219561	897437
F_720368_2944413	"GRAYSON LA"	22	0	219569	897459
F_720381_2944490	"GRAYSON LA"	14	0	219573	897482
F_720382_2944784	"ST MARYS ST"	90	0	219573	897572
F_720403_2944583	"GRAYSON LA"	6	0	219579	897511
F_720452_2944875	"ST MARYS ST"	84	0	219594	897600
F_720453_2944950	"ST MARYS ST"	78	0	219595	897623
F_720453_2945025	"ST MARYS ST"	72	0	219595	897645
F_720453_2945100	"ST MARYS ST"	66	0	219595	897668
F_720457_2945176	"ST MARYS ST"	60	0	219596	897691
F_720463_2945251	"ST MARYS ST"	54	0	219598	897714
F_720465_2944756	"CONCORD ST"	144	0	219598	897563
F_720468_2945326	"ST MARYS ST"	48	0	219599	897737
F_720475_2945401	"ST MARYS ST"	42	0	219601	897760
F_720480_2945479	"ST MARYS ST"	36	0	219603	897784
F_720489_2945559	"ST MARYS ST"	30	0	219605	897808
F_720498_2945640	"ST MARYS ST"	24	0	219608	897833
F_720509_2945721	"ST MARYS ST"	18	0	219612	897858
F_720517_2945799	"ST MARYS ST"	10	0	219614	897881
F_720522_2945878	"ST MARYS ST"	2	0	219616	897905
F_720525_2944452	"CONCORD ST"	151-155	0	219616	897471
F_720541_2944736	"CONCORD ST"	150	0	219621	897557
F_720585_2945961	"PINE GROVE AVE"	100	0	219635	897931
F_720629_2945301	"NEAL ST"	18	0	219648	897730
F_720641_2945048	"BAKER PL"	25	0	219652	897652
F_720648_2945131	"BAKER PL"	17	0	219654	897678
F_720653_2944958	"BAKER PL"	29	0	219655	897625
F_720654_2945458	"NEAL ST"	19	0	219656	897777
F_720663_2945207	"BAKER PL"	11	0	219659	897701
F_720670_2944877	"BAKER PL"	35	0	219661	897600
F_720675_2945736	"ITHACA CIR"	27	0	219662	897862
F_720680_2949894	"COMMONWEALTH AVE"	2500	0	219664	899129
F_720685_2945627	"ITHACA CIR"	31	0	219665	897829
F_720688_2944804	"BAKER PL"	41	0	219666	897578
F_720691_2944482	"CONCORD ST"	165	0	219667	897480
F_720692_2944640	"BAKER PL"	63	0	219667	897528
F_720697_2945848	"ITHACA CIR"	21	0	219669	897896
F_720706_2944728	"BAKER PL"	51	0	219672	897555
