LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_229074_938704	"MASSACHUSETTS AVENU"	1	0	229074	938704
M_229120_938647	"COMMONWEALTH AVENU"	23	0	229120	938647
M_229126_938722	"MASSACHUSETTS AVENU"	17	0	229126	938722
M_229134_938662	"COMMONWEALTH AVENU"	19	0	229134	938662
M_229135_938616	"COMMONWEALTH AVENU"	0	0	229135	938616
M_229137_938781	"MASSACHUSETTS AVENU"	12	0	229137	938781
M_229140_938646	"COMMONWEALTH AVENU"	0	0	229140	938646
M_229142_938672	"COMMONWEALTH AVENU"	15	0	229142	938672
M_229149_938681	"COMMONWEALTH AVEN"	11	0	229149	938681
M_229157_938690	"COMMONWEALTH AVEN"	7	0	229157	938690
M_229159_938709	"MASSACHUSETTS AVENU"	25	0	229159	938709
M_229172_938609	"COMMONWEALTH AVENU"	24	0	229172	938609
M_229175_938698	"MASSACHUSETTS AVENU"	29	0	229175	938698
M_229180_938622	"COMMONWEALTH AVENU"	20	0	229180	938622
M_229187_938631	"COMMONWEALTH AVEN"	16	0	229187	938631
M_229195_938644	"COMMONWEALTH AVEN"	12	0	229195	938644
M_229197_938673	"MASSACHUSETTS AVENU"	35	0	229197	938673
M_229207_938753	"MASSACHUSETTS AVENU"	30	0	229207	938753
M_229208_938591	"MASSACHUSETTS AVENU"	0	0	229208	938591
M_229210_938667	"MASSACHUSETTS AVENU"	0	0	229210	938667
M_229217_938651	"MASSACHUSETTS AVENU"	0	0	229217	938651
M_229299_938800	"PERRY STREET"	0	0	229299	938800
M_229371_938383	"MABLIN AVENUE"	0	0	229371	938383
M_229380_938328	"ELMWOOD STREET"	49	0	229380	938328
M_229396_938483	"DANVERS STREET"	0	0	229396	938483
M_229402_938367	"ELMWOOD STREET"	43	0	229402	938367
M_229407_938293	"ELMWOOD STREET"	0	0	229407	938293
M_229415_938446	"MASSACHUSETTS AVENU"	105	0	229415	938446
M_229423_938265	"SHAWSHEEN AVENUE"	0	0	229423	938265
M_229425_939212	"SUFFOLK STREET"	0	0	229425	939212
M_229426_938530	"MASSACHUSETTS AVENU"	0	0	229426	938530
M_229426_939228	"SUFFOLK STREET"	0	0	229426	939228
M_229427_938406	"ELMWOOD STREET"	29	0	229427	938406
M_229429_938329	"ELMWOOD STREET"	50	0	229429	938329
M_229430_938788	"PERRY STREET"	23	0	229430	938788
M_229437_938287	"FERNWOOD STREET"	53	0	229437	938287
M_229440_938832	"UNION STREET"	0	0	229440	938832
M_229441_938348	"MABLIN AVENUE"	134	0	229441	938348
M_229444_938433	"ELMWOOD STREET"	23	0	229444	938433
M_229444_938787	"PERRY STREET"	21	0	229444	938787
M_229445_938713	"MIDDLESEX STREET"	0	0	229445	938713
M_229447_938667	"MIDDLESEX STREET"	330	0	229447	938667
M_229449_938307	"FERNWOOD STREET"	49	0	229449	938307
M_229451_938517	"MASSACHUSETTS AVENU"	115	0	229451	938517
M_229453_938492	"MASSACHUSETTS AVENU"	119	0	229453	938492
M_229455_938450	"ELMWOOD STREET"	17	0	229455	938450
M_229455_938712	"MIDDLESEX STREET"	327	0	229455	938712
M_229456_938741	"PERRY STREET"	18	0	229456	938741
M_229457_938873	"UNION STREET"	122	0	229457	938873
M_229459_938241	"SHAWSHEEN AVENUE"	0	0	229459	938241
M_229460_938635	"ROBINSON COURT"	11	0	229460	938635
M_229461_938380	"ELMWOOD STREET"	32	0	229461	938380
M_229461_938791	"PERRY STREET"	13	0	229461	938791
M_229462_938574	"MASSACHUSETTS AVENU"	0	0	229462	938574
M_229463_938329	"MABLIN AVENUE"	128	0	229463	938329
M_229463_938671	"MIDDLESEX STREET"	328	0	229463	938671
M_229467_938470	"ELMWOOD STREET"	13	0	229467	938470
M_229470_938715	"MIDDLESEX STREET"	323	0	229470	938715
M_229471_938600	"ROBINSON COURT"	19	0	229471	938600
M_229471_938934	"BEVERLY STREET"	65	0	229471	938934
M_229474_938400	"ELMWOOD STREET"	28	0	229474	938400
M_229476_938267	"FERNWOOD STREET"	58	0	229476	938267
M_229476_938846	"BEVERLY STREET"	89	0	229476	938846
M_229478_938501	"MASSACHUSETTS AVENU"	123	0	229478	938501
M_229478_938746	"PERRY STREET"	14	0	229478	938746
M_229478_938831	"BEVERLY STREET"	91	0	229478	938831
M_229479_938220	"SHAWSHEEN AVENUE"	0	0	229479	938220
M_229479_938893	"BEVERLY STREET"	75	0	229479	938893
M_229479_938893	"BEVERLY STREET"	77	0	229479	938893
M_229479_938893	"BEVERLY STREET"	79	0	229479	938893
M_229479_938893	"BEVERLY STREET"	81	0	229479	938893
M_229482_938790	"PERRY STREET"	9	0	229482	938790
M_229483_938814	"BEVERLY STREET"	97	0	229483	938814
M_229486_938364	"FERNWOOD STREET"	31	0	229486	938364
M_229486_938865	"BEVERLY STREET"	83	0	229486	938865
M_229486_938865	"BEVERLY STREET"	85	0	229486	938865
M_229488_938286	"FERNWOOD STREET"	50	0	229488	938286
M_229488_938286	"FERNWOOD STREET"	52	0	229488	938286
M_229489_938235	"GLENWOOD STREET"	57	0	229489	938235
M_229489_938678	"MIDDLESEX STREET"	322	0	229489	938678
M_229490_938426	"ELMWOOD STREET"	20	0	229490	938426
M_229491_938492	"MASSACHUSETTS AVENU"	127	0	229491	938492
M_229491_938566	"MASSACHUSETTS AVENU"	116	0	229491	938566
M_229491_938721	"MIDDLESEX STREET"	317	0	229491	938721
M_229494_938655	"ROBINSON COURT"	10	0	229494	938655
M_229496_938794	"PERRY STREET"	5	0	229496	938794
M_229498_938636	"ROBINSON COURT"	14	0	229498	938636
M_229499_938752	"PERRY STREET"	6	0	229499	938752
M_229500_938305	"MABLIN AVENUE"	116	0	229500	938305
M_229501_938940	"BEVERLY STREET"	68	0	229501	938940
M_229502_938255	"GLENWOOD STREET"	55	0	229502	938255
M_229506_938613	"ROBINSON COURT"	20	0	229506	938613
M_229507_938397	"FERNWOOD STREET"	17	0	229507	938397
M_229507_938453	"ELMWOOD STREET"	12	0	229507	938453
M_229507_939036	"MARBLEHEAD STREET"	0	0	229507	939036
M_229508_939006	"BEVERLY STREET"	50	0	229508	939006
M_229509_938682	"MIDDLESEX STREET"	316	0	229509	938682
M_229510_938797	"BEVERLY STREET"	105	0	229510	938797
M_229511_938896	"UNION STREET"	104	0	229511	938896
M_229512_938271	"GLENWOOD STREET"	45	0	229512	938271
M_229512_938983	"BEVERLY STREET"	56	0	229512	938983
M_229514_938477	"MASSACHUSETTS AVENU"	135	0	229514	938477
M_229515_938942	"UNION STREET"	101	0	229515	938942
M_229516_938969	"BEVERLY STREET"	58	0	229516	938969
M_229519_938728	"BEVERLY STREET"	127	0	229519	938728
M_229520_938757	"PERRY STREET"	2	0	229520	938757
M_229523_938210	"GLENWOOD STREET"	58	0	229523	938210
M_229523_938340	"FERNWOOD STREET"	36	0	229523	938340
M_229523_938875	"BEVERLY STREET"	84	0	229523	938875
M_229524_938289	"GLENWOOD STREET"	43	0	229524	938289
M_229524_938898	"UNION STREET"	100	0	229524	938898
M_229526_938469	"MASSACHUSETTS AVENU"	139	0	229526	938469
M_229527_938430	"FERNWOOD STREET"	11	0	229527	938430
M_229527_938430	"FERNWOOD STREET"	9	0	229527	938430
M_229530_938662	"BEVERLY STREET"	139	0	229530	938662
M_229530_938688	"MIDDLESEX STREET"	308	0	229530	938688
M_229535_938641	"BEVERLY STREET"	145	0	229535	938641
M_229537_938946	"UNION STREET"	93	0	229537	938946
M_229537_939070	"MARBLEHEAD STREET"	41	0	229537	939070
M_229538_939085	"MARBLEHEAD STREET"	37	0	229538	939085
M_229538_939100	"MARBLEHEAD STREET"	31	0	229538	939100
M_229539_938235	"GLENWOOD STREET"	56	0	229539	938235
M_229539_938461	"MASSACHUSETTS AVENU"	143	0	229539	938461
M_229539_939116	"MARBLEHEAD STREET"	27	0	229539	939116
M_229539_939132	"MARBLEHEAD STREET"	25	0	229539	939132
M_229540_938366	"FERNWOOD STREET"	24	0	229540	938366
M_229540_938622	"BEVERLY STREET"	149	0	229540	938622
M_229540_939148	"MARBLEHEAD STREET"	19	0	229540	939148
M_229541_938180	"HARWOOD STREET"	0	0	229541	938180
M_229541_939172	"MARBLEHEAD STREET"	17	0	229541	939172
M_229543_938553	"CARL THOMAS PARK"	0	0	229543	938553
M_229544_938858	"BEVERLY STREET"	90	0	229544	938858
M_229544_938858	"BEVERLY STREET"	92	0	229544	938858
M_229548_938191	"HARWOOD STREET"	0	0	229548	938191
M_229548_938325	"GLENWOOD STREET"	29	0	229548	938325
M_229548_938894	"UNION STREET"	92	0	229548	938894
M_229551_938453	"MASSACHUSETTS AVENU"	147	0	229551	938453
M_229552_938385	"FERNWOOD STREET"	18	0	229552	938385
M_229552_938826	"BEVERLY STREET"	98	0	229552	938826
M_229554_938735	"MIDDLESEX STREET"	299	0	229554	938735
M_229554_939058	"MARBLEHEAD STREET"	43	0	229554	939058
M_229556_938758	"BEVERLY STREET"	116	0	229556	938758
M_229556_939013	"MARBLEHEAD STREET"	55	0	229556	939013
M_229558_939043	"MARBLEHEAD STREET"	47	0	229558	939043
M_229559_938267	"MABLIN AVENUE"	94	0	229559	938267
M_229559_938267	"MABLIN AVENUE"	96	0	229559	938267
M_229561_938211	"HARWOOD STREET"	55	0	229561	938211
M_229561_938240	"HARWOOD STREET"	45	0	229561	938240
M_229561_938791	"BEVERLY STREET"	106	0	229561	938791
M_229561_939030	"MARBLEHEAD STREET"	51	0	229561	939030
M_229563_938349	"GLENWOOD STREET"	23	0	229563	938349
M_229563_938948	"UNION STREET"	87	0	229563	938948
M_229564_938405	"FERNWOOD STREET"	10	0	229564	938405
M_229564_938696	"MIDDLESEX STREET"	300	0	229564	938696
M_229566_938742	"MIDDLESEX STREET"	297	0	229566	938742
M_229569_938998	"MARBLEHEAD STREET"	59	0	229569	938998
M_229572_938667	"HAROLD STREET"	73	0	229572	938667
M_229573_938982	"MARBLEHEAD STREET"	65	0	229573	938982
M_229574_938898	"UNION STREET"	86	0	229574	938898
M_229575_938368	"GLENWOOD STREET"	17	0	229575	938368
M_229575_938437	"MASSACHUSETTS AVENU"	153	0	229575	938437
M_229577_938156	"HARWOOD STREET"	0	0	229577	938156
M_229582_938626	"HAROLD STREET"	72	0	229582	938626
M_229582_939018	"MARBLEHEAD STREET"	57	0	229582	939018
M_229583_938302	"GLENWOOD STREET"	34	0	229583	938302
M_229584_938168	"HARWOOD STREET"	0	0	229584	938168
M_229584_938768	"BEVERLY STREET"	114	0	229584	938768
M_229585_938383	"GLENWOOD STREET"	13	0	229585	938383
M_229585_938701	"MIDDLESEX STREET"	296	0	229585	938701
M_229586_938250	"MABLIN AVENUE"	88	0	229586	938250
M_229589_938746	"MIDDLESEX STREET"	291	0	229589	938746
M_229590_938965	"MARBLEHEAD STREET"	71	0	229590	938965
M_229591_938893	"UNION STREET"	84	0	229591	938893
M_229593_938181	"HARWOOD STREET"	0	0	229593	938181
M_229593_938672	"HAROLD STREET"	67	0	229593	938672
M_229594_938397	"GLENWOOD STREET"	5	0	229594	938397
M_229594_938425	"MASSACHUSETTS AVENU"	161	0	229594	938425
M_229594_939225	"MARBLEHEAD STREET"	8	0	229594	939225
M_229596_939163	"MARBLEHEAD STREET"	22	0	229596	939163
M_229597_938940	"MARBLEHEAD STREET"	79	0	229597	938940
M_229599_938630	"HAROLD STREET"	70	0	229599	938630
M_229600_938327	"GLENWOOD STREET"	24	0	229600	938327
M_229600_938327	"GLENWOOD STREET"	26	0	229600	938327
M_229602_938599	"BEVERLY STREET"	162	0	229602	938599
M_229604_939113	"MARBLEHEAD STREET"	34	0	229604	939113
M_229605_938708	"MIDDLESEX STREET"	288	0	229605	938708
M_229605_939148	"MARBLEHEAD STREET"	24	0	229605	939148
M_229606_938202	"HARWOOD STREET"	52	0	229606	938202
M_229606_938852	"MARBLEHEAD STREET"	101	0	229606	938852
M_229606_939128	"MARBLEHEAD STREET"	32	0	229606	939128
M_229608_938902	"UNION STREET"	78	0	229608	938902
M_229609_937158	"WINTHROP AVENUE"	260	0	229609	937158
M_229609_938285	"HARWOOD STREET"	25	0	229609	938285
M_229610_938152	"INGLEWOOD STREET"	61	0	229610	938152
M_229610_938152	"INGLEWOOD STREET"	63	0	229610	938152
M_229610_938884	"MARBLEHEAD STREET"	91	0	229610	938884
M_229611_938752	"MIDDLESEX STREET"	283	0	229611	938752
M_229612_938347	"GLENWOOD STREET"	18	0	229612	938347
M_229613_938413	"MASSACHUSETTS AVENU"	165	0	229613	938413
M_229613_938679	"HAROLD STREET"	61	0	229613	938679
M_229613_938821	"MARBLEHEAD STREET"	107	0	229613	938821
M_229614_939091	"MARBLEHEAD STREET"	42	0	229614	939091
M_229615_938514	"MARBLEHEAD STREET"	0	0	229615	938514
M_229615_938782	"MIDDLESEX STREET"	281	0	229615	938782
M_229617_938806	"MARBLEHEAD STREET"	111	0	229617	938806
M_229620_938636	"HAROLD STREET"	64	0	229620	938636
M_229622_938227	"MABLIN AVENUE"	72	0	229622	938227
M_229623_939053	"MARBLEHEAD STREET"	50	0	229623	939053
M_229623_939053	"MARBLEHEAD STREET"	52	0	229623	939053
M_229625_938366	"GLENWOOD STREET"	12	0	229625	938366
M_229626_938089	"SHAWSHEEN RIVER - NE"	0	0	229626	938089
M_229626_938311	"HARWOOD STREET"	15	0	229626	938311
M_229627_939246	"BELMONT STREET"	105	0	229627	939246
M_229630_938184	"INGLEWOOD STREET"	51	0	229630	938184
M_229631_938684	"MIDDLESEX STREET"	284	0	229631	938684
M_229633_939139	"MARBLEHEAD STREET"	30	0	229633	939139
M_229636_938397	"MASSACHUSETTS AVENU"	173	0	229636	938397
M_229636_938608	"DANA STREET"	55	0	229636	938608
M_229637_939006	"MARBLEHEAD STREET"	68	0	229637	939006
M_229638_938789	"MARBLEHEAD STREET"	119	0	229638	938789
M_229638_939169	"BELMONT STREET"	100	0	229638	939169
M_229639_938117	"INGLEWOOD STREET"	0	0	229639	938117
M_229642_938337	"HARWOOD STREET"	13	0	229642	938337
M_229642_939077	"MARBLEHEAD STREET"	46	0	229642	939077
M_229643_938716	"MIDDLESEX STREET"	280	0	229643	938716
M_229644_938262	"HARWOOD STREET"	32	0	229644	938262
M_229644_938769	"MARBLEHEAD STREET"	123	0	229644	938769
M_229645_938642	"HAROLD STREET"	56	0	229645	938642
M_229646_938946	"UNION STREET"	69	0	229646	938946
