LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_600089_2861891	"MAIN ST"	1330	0	182907	872306
F_601271_2862685	"MAIN ST"	1164	0	183268	872548
F_601387_2862418	"MAIN ST"	1167	0	183303	872467
F_601395_2862801	"MAIN ST"	1160	0	183306	872583
F_601434_2863719	"MAIN ST"	1152	0	183317	872863
F_601443_2870886	"PURGATORY RD"	481	0	183320	875048
F_601616_2863058	"MAIN ST"	1110	0	183373	872662
F_601675_2871305	"PURGATORY RD"	496	0	183391	875176
F_601810_2863184	"MAIN ST"	1096	0	183432	872700
F_601843_2871652	"PURGATORY RD"	496	0	183442	875281
F_601909_2871222	"PURGATORY RD"	480	0	183462	875150
F_602032_2863137	"MAIN ST"	1079	0	183500	872686
F_602103_2870409	"PURGATORY RD"	481	0	183521	874902
F_602113_2864566	"VALLEY PARKWAY"	100	0	183524	873121
F_602146_2871075	"PURGATORY RD"	462	0	183534	875105
F_602337_2870552	"PURGATORY RD"	419	0	183593	874946
F_602443_2863909	"MAIN ST"	1037	0	183625	872921
F_602511_2870477	"PURGATORY RD"	391-393	0	183646	874923
F_602514_2864058	"MAIN ST"	1019	0	183647	872967
F_602570_2866084	"PRENTICE RD"	119	0	183664	873584
F_602571_2864189	"MAIN ST"	1005	0	183664	873007
F_602581_2864814	"MAIN ST"	918	0	183667	873197
F_602608_2863566	"THERESA CIRCLE"	128	0	183675	872817
F_602617_2866002	"PRENTICE RD"	109	0	183678	873559
F_602617_2870327	"PURGATORY RD"	371	0	183678	874877
F_602633_2863734	"THERESA CIRCLE"	118	0	183683	872868
F_602636_2864312	"MAIN ST"	989	0	183684	873044
F_602655_2865926	"PRENTICE RD"	99	0	183690	873536
F_602662_2863865	"THERESA CIRCLE"	108	0	183692	872908
F_602699_2864413	"MAIN ST"	933	0	183703	873075
F_602700_2865852	"PRENTICE RD"	91	0	183703	873513
F_602718_2863464	"THERESA CIRCLE"	138	0	183709	872786
F_602719_2863990	"THERESA CIRCLE"	98	0	183709	872946
F_602744_2870585	"PURGATORY RD"	378	0	183717	874956
F_602751_2865760	"PRENTICE RD"	81	0	183719	873485
F_602756_2870336	"PURGATORY RD"	363	0	183720	874880
F_602763_2864492	"MAIN ST"	923	0	183723	873099
F_602765_2864894	"MAIN ST"	896	0	183723	873221
F_602786_2870143	"PURGATORY RD"	347	0	183730	874821
F_602788_2864123	"THERESA CIRCLE"	88	0	183730	872986
F_602794_2865658	"PRENTICE RD"	71	0	183732	873454
F_602802_2866341	"PRENTICE RD"	130	0	183734	873662
F_602835_2865561	"PRENTICE RD"	57	0	183744	873425
F_602836_2870523	"PURGATORY RD"	368	0	183745	874937
F_602840_2865462	"PRENTICE RD"	45	0	183746	873395
F_602844_2865361	"PRENTICE RD"	35	0	183747	873364
F_602852_2864553	"MAIN ST"	911	0	183750	873118
F_602857_2864970	"MAIN ST"	882	0	183751	873245
F_602862_2865263	"PRENTICE RD"	25	0	183753	873334
F_602896_2865974	"PRENTICE RD"	90	0	183763	873551
F_602903_2864250	"THERESA CIRCLE"	78	0	183765	873025
F_602906_2870433	"PURGATORY RD"	356	0	183766	874910
F_602912_2865173	"PRENTICE RD"	17	0	183768	873306
F_602912_2870137	"PURGATORY RD"	335	0	183768	874820
F_602915_2864631	"MAIN ST"	901	0	183769	873141
F_602937_2863932	"THERESA CIRCLE"	93	0	183776	872928
F_602954_2865759	"PRENTICE RD"	72	0	183781	873485
F_602962_2863727	"THERESA CIRCLE"	133	0	183783	872866
F_602964_2863466	"THERESA CIRCLE"	148	0	183784	872786
F_602971_2863830	"THERESA CIRCLE"	113	0	183786	872897
F_602971_2870038	"PURGATORY RD"	323	0	183786	874789
F_602977_2865059	"MAIN ST"	870	0	183788	873272
F_602998_2865647	"PRENTICE RD"	60	0	183794	873451
F_603028_2864315	"THERESA CIRCLE"	68	0	183803	873045
F_603028_2869908	"PURGATORY RD"	309	0	183803	874750
F_603036_2865487	"PRENTICE RD"	40	0	183806	873402
F_603043_2863969	"THERESA CIRCLE"	73	0	183808	872939
F_603061_2864762	"PRESCOTT RD"	16	0	183813	873181
F_603063_2863665	"THERESA CIRCLE"	151	0	183814	872847
F_603084_2865263	"PRENTICE RD"	20	0	183820	873334
F_603092_2866674	"PRENTICE RD"	150	0	183823	873764
F_603102_2870319	"PURGATORY RD"	340	0	183826	874875
F_603122_2864329	"THERESA CIRCLE"	58	0	183832	873049
F_603142_2863992	"THERESA CIRCLE"	63	0	183838	872947
F_603155_2865124	"MAIN ST"	850	0	183842	873292
F_603163_2863697	"THERESA CIRCLE"	167	0	183844	872857
F_603177_2863488	"THERESA CIRCLE"	164	0	183849	872793
F_603184_2869643	"PURGATORY RD"	275	0	183851	874669
F_603219_2865296	"MAIN ST"	836-838	0	183862	873344
F_603221_2864321	"THERESA CIRCLE"	48	0	183862	873047
F_603230_2870040	"PURGATORY RD"	308	0	183865	874790
F_603231_2870186	"PURGATORY RD"	322	0	183865	874834
F_603238_2863858	"THERESA CIRCLE"	209	0	183867	872906
F_603247_2864016	"THERESA CIRCLE"	53	0	183870	872954
F_603264_2864535	"PRESCOTT RD"	48	0	183875	873112
F_603265_2863750	"THERESA CIRCLE"	187	0	183876	872873
F_603321_2873094	"ROCKY RD"	154	0	183893	875721
F_603328_2864973	"MAIN ST"	853	0	183895	873246
F_603330_2864297	"THERESA CIRCLE"	38	0	183895	873039
F_603346_2869857	"PURGATORY RD"	290	0	183900	874734
F_603364_2873704	"ROCKY RD"	74	0	183906	875907
F_603378_2864483	"PRESCOTT RD"	56	0	183910	873096
F_603397_2863531	"THERESA CIRCLE"	178	0	183916	872806
F_603406_2864047	"THERESA CIRCLE"	37	0	183919	872963
F_603407_2869700	"PURGATORY RD"	276	0	183919	874686
F_603449_2864258	"THERESA CIRCLE"	26	0	183932	873028
F_603497_2864817	"PRESCOTT RD"	33	0	183946	873198
F_603498_2874162	"ROCKY RD"	54	0	183947	876046
F_603502_2864440	"PRESCOTT RD"	70	0	183948	873083
F_603509_2863914	"THERESA CIRCLE"	208	0	183950	872923
F_603522_2864058	"THERESA CIRCLE"	25	0	183954	872967
F_603524_2874418	"ROCKY RD"	24	0	183954	876124
F_603554_2869944	"PURGATORY RD"	296	0	183964	874761
F_603582_2869634	"PURGATORY RD"	248	0	183972	874666
F_603587_2874582	"ROCKY RD"	8	0	183974	876174
F_603593_2863617	"THERESA CIRCLE"	188	0	183976	872832
F_603593_2873892	"ROCKY RD"	84	0	183976	875964
F_603597_2864365	"PRESCOTT RD"	94	0	183977	873060
F_603597_2865694	"MAIN ST"	826	0	183977	873465
F_603614_2863774	"THERESA CIRCLE"	198	0	183982	872880
F_603617_2873742	"ROCKY RD"	100	0	183983	875918
F_603630_2864259	"PRESCOTT RD"	100	0	183987	873028
F_603653_2873439	"ROCKY RD"	130	0	183994	875826
F_603654_2872597	"ROCKY RD"	218	0	183994	875569
F_603666_2864112	"PRESCOTT RD"	120	0	183998	872983
F_603673_2873290	"ROCKY RD"	144	0	184000	875781
F_603712_2863998	"PRESCOTT RD"	128	0	184012	872948
F_603715_2873088	"ROCKY RD"	166	0	184013	875719
F_603727_2872704	"ROCKY RD"	210	0	184016	875602
F_603764_2872957	"ROCKY RD"	172	0	184028	875679
F_603769_2872819	"ROCKY RD"	196	0	184029	875637
F_603775_2864705	"PRESCOTT RD"	77	0	184031	873164
F_603779_2874535	"CARPENTER RD"	645	0	184032	876160
F_603788_2874299	"ROCKY RD"	33	0	184035	876088
F_603789_2863904	"PRESCOTT RD"	140	0	184035	872920
F_603796_2883521	"CHIPPER HILL RD"	213	0	184037	878899
F_603815_2865052	"MAIN ST"	781	0	184043	873270
F_603825_2864452	"PRESCOTT RD"	89	0	184046	873087
F_603838_2874110	"ROCKY RD"	67	0	184050	876030
F_603851_2863826	"PRESCOTT RD"	148	0	184054	872896
F_603857_2883240	"CHIPPER HILL RD"	191	0	184056	878813
F_603858_2864322	"PRESCOTT RD"	103	0	184056	873047
F_603889_2869838	"PURGATORY RD"	212	0	184066	874728
F_603891_2864226	"PRESCOTT RD"	115	0	184066	873018
F_603916_2863745	"PRESCOTT RD"	160	0	184074	872871
F_603920_2874421	"CARPENTER RD"	627	0	184075	876125
F_603925_2883056	"CHIPPER HILL RD"	171	0	184077	878757
F_603941_2864124	"PRESCOTT RD"	125	0	184082	872987
F_603942_2875031	"CARPENTER RD"	642	0	184082	876311
F_603966_2863601	"PRESCOTT RD"	172	0	184089	872827
F_603979_2868244	"CARR ST"	173	0	184093	874243
F_603989_2864488	"ORIOLE DR"	26	0	184096	873098
F_604001_2869474	"PURGATORY RD"	194	0	184100	874617
F_604001_2882873	"CHIPPER HILL RD"	151	0	184100	878701
F_604011_2864032	"PRESCOTT RD"	143	0	184103	872959
F_604015_2873664	"ROCKY RD"	113	0	184104	875895
F_604026_2873842	"ROCKY RD"	95	0	184107	875949
F_604037_2865004	"IVY LN"	18	0	184111	873255
F_604037_2882681	"CHIPPER HILL RD"	131	0	184111	878643
F_604038_2874340	"CARPENTER RD"	617	0	184111	876101
F_604042_2864657	"ORIOLE DR"	12	0	184112	873149
F_604053_2873492	"ROCKY RD"	127	0	184116	875842
F_604056_2882490	"CHIPPER HILL RD"	111	0	184117	878585
F_604075_2882291	"CHIPPER HILL RD"	91	0	184122	878524
F_604077_2864901	"IVY LN"	32	0	184123	873224
F_604080_2881684	"CHIPPER HILL RD"	29	0	184124	878339
F_604084_2863950	"PRESCOTT RD"	153	0	184125	872934
F_604093_2873343	"ROCKY RD"	135	0	184128	875797
F_604094_2881886	"CHIPPER HILL RD"	49	0	184128	878401
F_604094_2882087	"CHIPPER HILL RD"	73	0	184128	878462
F_604098_2881473	"SUTTON ST"	1112	0	184129	878275
F_604101_2874111	"CARPENTER RD"	605	0	184130	876031
F_604103_2864780	"IVY LN"	48	0	184131	873187
F_604127_2884199	"POLLARD RD"	423	0	184138	879106
F_604128_2873191	"ROCKY RD"	151	0	184139	875750
F_604129_2868436	"CARR ST"	125	0	184139	874301
F_604130_2881117	"SUTTON ST"	1109	0	184139	878166
F_604131_2864207	"ORIOLE DR"	50	0	184139	873012
F_604136_2869014	"PURGATORY RD"	179	0	184141	874477
F_604146_2869448	"PURGATORY RD"	184	0	184144	874609
F_604149_2863864	"PRESCOTT RD"	165	0	184145	872907
F_604158_2883809	"CHIPPER HILL RD"	210	0	184148	878987
F_604171_2873043	"ROCKY RD"	169	0	184152	875705
F_604180_2872526	"ROCKY RD"	207	0	184154	875548
F_604185_2872897	"ROCKY RD"	179	0	184156	875661
F_604189_2872738	"ROCKY RD"	195	0	184157	875612
F_604193_2874783	"CARPENTER RD"	640	0	184158	876236
F_604219_2864458	"ORIOLE DR"	27	0	184166	873089
F_604230_2863787	"PRESCOTT RD"	175	0	184170	872884
F_604237_2864105	"ORIOLE DR"	62	0	184172	872981
F_604252_2864932	"IVY LN"	35	0	184176	873233
F_604256_2883351	"CHIPPER HILL RD"	192	0	184178	878847
F_604259_2874212	"CARPENTER RD"	593	0	184179	876062
F_604280_2864610	"IVY LN"	58	0	184185	873135
F_604303_2864371	"ORIOLE DR"	45	0	184192	873062
F_604312_2863705	"PRESCOTT RD"	185	0	184195	872859
F_604320_2881165	"SUTTON ST"	1087	0	184197	878181
F_604325_2864026	"ORIOLE DR"	74	0	184199	872957
F_604328_2883170	"CHIPPER HILL RD"	170	0	184200	878792
F_604332_2874560	"CARPENTER RD"	638	0	184201	876168
F_604360_2864821	"IVY LN"	55	0	184209	873199
F_604393_2868398	"CARR ST"	101	0	184219	874289
F_604395_2863638	"PRESCOTT RD"	201	0	184220	872839
F_604395_2864303	"ORIOLE DR"	57	0	184220	873041
F_604399_2881547	"SUTTON ST"	1082	0	184221	878297
F_604404_2864534	"IVY LN"	72	0	184223	873112
F_604411_2863951	"ORIOLE DR"	86	0	184225	872934
F_604416_2882972	"CHIPPER HILL RD"	150	0	184226	878732
F_604425_2881772	"CHIPPER HILL RD"	34	0	184229	878366
F_604430_2873993	"CARPENTER RD"	567	0	184231	875995
F_604443_2882768	"CHIPPER HILL RD"	130	0	184235	878669
F_604457_2882573	"CHIPPER HILL RD"	110	0	184239	878610
F_604473_2864760	"IVY LN"	67	0	184244	873181
F_604473_2882366	"CHIPPER HILL RD"	92	0	184244	878547
F_604482_2881969	"CHIPPER HILL RD"	54	0	184246	878426
F_604482_2882164	"CHIPPER HILL RD"	76	0	184246	878485
F_604485_2884453	"POLLARD RD"	418	0	184247	879183
F_604490_2864241	"ORIOLE DR"	67	0	184249	873022
F_604490_2874691	"CARPENTER RD"	614	0	184249	876208
F_604497_2863890	"ORIOLE DR"	96	0	184251	872915
F_604507_2873434	"CARPENTER RD"	555	0	184254	875824
F_604514_2868893	"PURGATORY RD"	151	0	184256	874440
F_604518_2884150	"POLLARD RD"	395	0	184257	879091
F_604520_2874475	"CARPENTER RD"	578	0	184258	876142
F_604523_2864474	"IVY LN"	86	0	184259	873093
F_604542_2881202	"SUTTON ST"	1061	0	184265	878192
F_604570_2863820	"ORIOLE DR"	108	0	184273	872894
F_604570_2880316	"SUTTON ST"	1041	0	184273	877922
F_604573_2864967	"MEADOW POND RD"	61-101	0	184274	873244
F_604574_2872464	"CARPENTER RD"	531	0	184275	875529
F_604584_2864174	"ORIOLE DR"	79	0	184278	873002
F_604584_2864719	"IVY LN"	79	0	184278	873168
F_604592_2863685	"STONEY BROOK DR"	84	0	184280	872853
F_604592_2883989	"POLLARD RD"	381	0	184280	879042
F_604629_2881636	"SUTTON ST"	1060	0	184291	878324
F_604631_2864415	"IVY LN"	98	0	184292	873075
F_604631_2868443	"CARR ST"	61	0	184292	874303
F_604631_2873887	"CARPENTER RD"	561	0	184292	875963
F_604651_2868879	"PURGATORY RD"	123	0	184298	874436
F_604656_2883855	"POLLARD RD"	367	0	184300	879001
F_604656_2884330	"POLLARD RD"	396	0	184300	879146
F_604678_2864109	"ORIOLE DR"	91	0	184306	872982
F_604693_2864677	"IVY LN"	91	0	184311	873155
F_604706_2863762	"STONEY BROOK DR"	72	0	184315	872876
F_604724_2883735	"POLLARD RD"	353	0	184320	878964
