LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_147850_892587	"BARRETT RD"	25	0	147850	892587
M_148024_892934	"BARRETT RD"	21	0	148024	892934
M_148048_893184	"WAITE CORNER RD"	107	0	148048	893184
M_148075_893409	"WAITE CORNER RD"	111	0	148075	893409
M_148107_893519	"WAITE CORNER RD"	116	0	148107	893519
M_148129_893373	"WAITE CORNER RD"	109	0	148129	893373
M_148254_893340	"WAITE CORNER RD"	106	0	148254	893340
M_148271_892692	"BARRETT RD"	5	0	148271	892692
M_148279_893168	"WAITE CORNER RD"	103	0	148279	893168
M_148422_893082	"WAITE CORNER RD"	97	0	148422	893082
M_148468_893702	"WAITE CORNER RD"	110	0	148468	893702
M_148508_892371	"BARRETT RD"	19	0	148508	892371
M_148537_892901	"WAITE CORNER RD"	92	0	148537	892901
M_148544_893392	"KING RD"	66	0	148544	893392
M_148545_892826	"WAITE CORNER RD"	89	0	148545	892826
M_148552_892736	"BARRETT RD"	4	0	148552	892736
M_148560_893116	"KING RD"	65	0	148560	893116
M_148562_892672	"BARRETT RD"	6	0	148562	892672
M_148614_892798	"WAITE CORNER RD"	87	0	148614	892798
M_148638_893460	"KING RD"	62	0	148638	893460
M_148645_892658	"BARRETT RD"	8	0	148645	892658
M_148673_892771	"WAITE CORNER RD"	85	0	148673	892771
M_148697_890273	"SMITH HANSON RD"	83	0	148697	890273
M_148719_893685	"MURPHY RD"	9	0	148719	893685
M_148727_892733	"WAITE CORNER RD"	83	0	148727	892733
M_148729_892433	"BARRETT RD"	16	0	148729	892433
M_148731_893372	"KING RD"	63	0	148731	893372
M_148734_893454	"KING RD"	60	0	148734	893454
M_148738_894208	"MURPHY RD"	21	0	148738	894208
M_148768_892637	"WAITE CORNER RD"	81	0	148768	892637
M_148780_891204	"WIGWAM RD"	15	0	148780	891204
M_148787_891394	"WIGWAM RD"	19	0	148787	891394
M_148830_892606	"WAITE CORNER RD"	79	0	148830	892606
M_148853_890557	"SMITH HANSON RD"	69	0	148853	890557
M_148868_891587	"WIGWAM RD"	20	0	148868	891587
M_148870_894050	"MURPHY RD"	29	0	148870	894050
M_148875_892577	"WAITE CORNER RD"	77	0	148875	892577
M_148895_891670	"WIGWAM RD"	22	0	148895	891670
M_148895_892272	"BARRET RD"	20	0	148895	892272
M_148900_891189	"WIGWAM RD"	11	0	148900	891189
M_148912_893548	"KING RD"	50	0	148912	893548
M_148913_891481	"WIGWAM RD"	14	0	148913	891481
M_148913_891735	"WIGWAM RD"	13	0	148913	891735
M_148928_892519	"WAITE CORNER RD"	75	0	148928	892519
M_148937_892378	"WAITE CORNER RD"	69	0	148937	892378
M_148941_894205	"MURPHY RD"	33	0	148941	894205
M_148951_894112	"MURPHY RD"	31	0	148951	894112
M_148970_894457	"MURPHY RD"	39	0	148970	894457
M_148977_892457	"WAITE CORNER RD"	71	0	148977	892457
M_148980_891133	"WIGWAM RD"	7	0	148980	891133
M_148999_889872	"SMITH HANSON RD"	85	0	148999	889872
M_149001_890330	"SMITH HANSON RD"	71	0	149001	890330
M_149005_893883	"KING RD"	50	0	149005	893883
M_149005_894232	"MURPHY RD"	35	0	149005	894232
M_149018_891864	"SMITH HANSON RD"	13	0	149018	891864
M_149030_892795	"WAITE CORNER RD"	82	0	149030	892795
M_149073_894736	"MURPHY RD"	47	0	149073	894736
M_149077_888289	"WEST BROOKFIELD RD"	89	0	149077	888289
M_149084_891474	"WIGWAM RD"	8	0	149084	891474
M_149086_892357	"SMITH HANSON RD"	1	0	149086	892357
M_149091_892545	"WAITE CORNER RD"	72	0	149091	892545
M_149103_892280	"SMITH HANSON RD"	3	0	149103	892280
M_149118_892195	"SMITH HANSON RD"	5	0	149118	892195
M_149123_888308	"WEST BROOKFIELD RD"	89	0	149123	888308
M_149124_891839	"SMITH HANSON RD"	17	0	149124	891839
M_149134_891229	"WIGWAM RD"	5	0	149134	891229
M_149153_892410	"WAITE CORNER RD"	67	0	149153	892410
M_149154_889613	"SMITH HANSON RD"	94	0	149154	889613
M_149155_890174	"SMITH HANSON RD"	78	0	149155	890174
M_149158_890063	"SMITH HANSON RD"	80	0	149158	890063
M_149159_889665	"SMITH HANSON RD"	92	0	149159	889665
M_149159_893207	"KING RD"	47	0	149159	893207
M_149160_889756	"SMITH HANSON RD"	90	0	149160	889756
M_149176_890993	"SMITH HANSON RD"	53	0	149176	890993
M_149180_892143	"SMITH HANSON RD"	12	0	149180	892143
M_149192_888311	"WEST BROOKFIELD RD"	87	0	149192	888311
M_149193_892349	"WAITE CORNER RD"	65	0	149193	892349
M_149194_889919	"SMITH HANSON RD"	86	0	149194	889919
M_149199_890714	"SMITH HANSON RD"	61	0	149199	890714
M_149200_891820	"SMITH HANSON RD"	19	0	149200	891820
M_149212_891228	"WIGWAM RD"	3	0	149212	891228
M_149215_890774	"SMITH HANSON RD"	59	0	149215	890774
M_149223_889719	"OLD W BROOKFIELD RD"	34	0	149223	889719
M_149231_892132	"SMITH HANSON RD"	16	0	149231	892132
M_149232_889610	"OLD W BROOKFIELD RD"	34	0	149232	889610
M_149232_890854	"SMITH HANSON RD"	57	0	149232	890854
M_149251_892373	"WAITE CORNER RD"	63	0	149251	892373
M_149252_889535	"OLD W BROOKFIELD RD"	34	0	149252	889535
M_149252_891445	"SMITH HANSON RD"	41	0	149252	891445
M_149252_891624	"SMITH HANSON RD"	27	0	149252	891624
M_149257_892238	"SMITH HANSON RD"	8	0	149257	892238
M_149259_888407	"WEST BROOKFIELD RD"	85	0	149259	888407
M_149272_888122	"WEST BROOKFIELD RD"	86	0	149272	888122
M_149273_890926	"SMITH HANSON RD"	55	0	149273	890926
M_149273_893507	"KING RD"	50	0	149273	893507
M_149279_891210	"SMITH HANSON RD"	49	0	149279	891210
M_149280_888674	"WEST BROOKFIELD RD"	91	0	149280	888674
M_149281_891116	"SMITH HANSON RD"	51	0	149281	891116
M_149285_892497	"WAITE CORNER RD"	62	0	149285	892497
M_149287_889481	"OLD W BROOKFIELD RD"	36	0	149287	889481
M_149288_891861	"SMITH HANSON RD"	21	0	149288	891861
M_149294_890542	"SMITH HANSON RD"	66	0	149294	890542
M_149305_892093	"SMITH HANSON RD"	18	0	149305	892093
M_149306_890078	"SMITH HANSON RD"	82	0	149306	890078
M_149306_891301	"SMITH HANSON RD"	43	0	149306	891301
M_149312_890290	"SMITH HANSON RD"	76	0	149312	890290
M_149318_894303	"MURPHY RD"	38	0	149318	894303
M_149330_892046	"SMITH HANSON RD"	20	0	149330	892046
M_149344_890811	"SMITH HANSON RD"	52	0	149344	890811
M_149357_889541	"OLD W BROOKFIELD RD"	30	0	149357	889541
M_149366_888410	"WEST BROOKFIELD RD"	83	0	149366	888410
M_149371_891448	"SMITH HANSON RD"	39	0	149371	891448
M_149383_891878	"SMITH HANSON RD"	25	0	149383	891878
M_149389_892326	"SMITH HANSON RD"	8	0	149389	892326
M_149394_891265	"SMITH HANSON RD"	44	0	149394	891265
M_149397_891955	"SMITH HANSON RD"	18	0	149397	891955
M_149401_889582	"OLD W BROOKFIELD RD"	28	0	149401	889582
M_149401_892554	"WAITE CORNER RD"	60	0	149401	892554
M_149411_891534	"SMITH HANSON RD"	37	0	149411	891534
M_149415_892146	"COLLINS RD"	7	0	149415	892146
M_149419_892460	"WAITE CORNER RD"	56	0	149419	892460
M_149424_887933	"WINE RD"	5	0	149424	887933
M_149428_891322	"SMITH HANSON RD"	42	0	149428	891322
M_149431_891611	"SMITH HANSON RD"	33	0	149431	891611
M_149440_891684	"SMITH HANSON RD"	31	0	149440	891684
M_149448_889868	"SMITH HANSON RD"	88	0	149448	889868
M_149459_890993	"SMITH HANSON RD"	52	0	149459	890993
M_149466_889639	"OLD W BROOKFIELD RD"	26	0	149466	889639
M_149467_891393	"SMITH HANSON RD"	40	0	149467	891393
M_149471_893210	"BOYNTON RD"	41	0	149471	893210
M_149478_889262	"OLD W BROOKFIELD RD"	33	0	149478	889262
M_149478_891515	"SMITH HANSON RD"	36	0	149478	891515
M_149481_888089	"WEST BROOKFIELD RD"	78	0	149481	888089
M_149490_891904	"SMITH HANSON RD"	24	0	149490	891904
M_149491_890140	"TUCKER CROSS RD"	7	0	149491	890140
M_149493_890590	"TUCKER RD"	7	0	149493	890590
M_149493_894696	"MILL RD"	63	0	149493	894696
M_149501_891595	"SMITH HANSON RD"	34	0	149501	891595
M_149501_891975	"SMITH HANSON RD"	22	0	149501	891975
M_149502_892275	"COLLINS RD"	5	0	149502	892275
M_149503_892792	"BOYNTON RD"	27	0	149503	892792
M_149504_891663	"SMITH HANSON RD"	32	0	149504	891663
M_149511_888031	"WINE RD"	1	0	149511	888031
M_149512_888296	"WEST BROOKFIELD RD"	81	0	149512	888296
M_149518_889706	"OLD W BROOKFIELD RD"	24	0	149518	889706
M_149519_890449	"TUCKER RD"	15	0	149519	890449
M_149519_892057	"COLLINS RD"	12	0	149519	892057
M_149525_893567	"KING RD"	35	0	149525	893567
M_149527_891506	"BIGELOW RD"	32	0	149527	891506
M_149534_891806	"SMITH HANSON RD"	28	0	149534	891806
M_149540_891289	"BIGELOW RD"	29	0	149540	891289
M_149545_888050	"WEST BROOKFIELD RD"	74	0	149545	888050
M_149569_892490	"WAITE CORNER RD"	54	0	149569	892490
M_149578_890716	"TUCKER RD"	8	0	149578	890716
M_149585_892084	"COLLINS RD"	10	0	149585	892084
M_149591_891524	"BIGELOW RD"	30	0	149591	891524
M_149594_889554	"OLD W BROOKFIELD RD"	23	0	149594	889554
M_149596_890369	"TUCKER RD"	17	0	149596	890369
M_149609_893983	"KING RD"	26	0	149609	893983
M_149611_892126	"COLLINS RD"	8	0	149611	892126
M_149615_889190	"CIDER MILL RD"	29	0	149615	889190
M_149620_891647	"SMITH HANSON RD"	34	0	149620	891647
M_149625_892700	"BOYNTON RD"	17	0	149625	892700
M_149636_892181	"COLLINS RD"	6	0	149636	892181
M_149640_892371	"WAITE CORNER RD"	50	0	149640	892371
M_149650_892287	"COLLINS RD"	1	0	149650	892287
M_149655_888481	"WEST BROOKFIELD RD"	67	0	149655	888481
M_149661_890971	"TUCKER RD"	6	0	149661	890971
M_149664_892105	"COLLINS RD"	4	0	149664	892105
M_149669_891977	"WAITE CORNER RD"	53	0	149669	891977
M_149678_890522	"TUCKER RD"	14	0	149678	890522
M_149694_890158	"TUCKER RD"	25	0	149694	890158
M_149694_891375	"BIGELOW RD"	23	0	149694	891375
M_149726_892459	"BOYNTON RD"	3	0	149726	892459
M_149744_892597	"BOYNTON RD"	15	0	149744	892597
M_149752_889741	"OLD W BROOKFIELD RD"	22	0	149752	889741
M_149754_887656	"WINE RD"	3	0	149754	887656
M_149757_892185	"WAITE CORNER RD"	49	0	149757	892185
M_149767_892758	"BOYNTON RD"	19	0	149767	892758
M_149770_893273	"BOYNTON RD"	38	0	149770	893273
M_149782_891422	"BIGELOW RD"	21	0	149782	891422
M_149788_889966	"TUCKER CROSS RD"	5	0	149788	889966
M_149792_889854	"TUCKER CROSS RD"	3	0	149792	889854
M_149797_892355	"WAITE CORNER RD"	42	0	149797	892355
M_149797_892411	"WAITE CORNER RD"	40	0	149797	892411
M_149800_890165	"TUCKER CROSS RD"	15	0	149800	890165
M_149801_890279	"TUCKER RD"	30	0	149801	890279
M_149805_891762	"SMITH HANSON RD"	30	0	149805	891762
M_149807_887923	"WEST BROOKFIELD RD"	70	0	149807	887923
M_149826_893690	"KING RD"	27	0	149826	893690
M_149835_893961	"KING RD"	18	0	149835	893961
M_149841_890812	"TUCKER RD"	12	0	149841	890812
M_149843_891487	"BIGELOW RD"	19	0	149843	891487
M_149844_892060	"WAITE CORNER RD"	45	0	149844	892060
M_149859_889540	"CIDER MILL RD"	35	0	149859	889540
M_149863_892320	"WAITE CORNER RD"	44	0	149863	892320
M_149867_889299	"CIDER MILL RD"	23	0	149867	889299
M_149868_890109	"TUCKER RD"	35	0	149868	890109
M_149869_887694	"WEST BROOKFIELD RD"	72	0	149869	887694
M_149869_891625	"BIGELOW RD"	22	0	149869	891625
M_149879_889167	"CIDER MILL RD"	21	0	149879	889167
M_149881_889939	"TUCKER CROSS RD"	4	0	149881	889939
M_149882_890010	"TUCKER CROSS RD"	6	0	149882	890010
M_149907_889778	"OLD W BROOKFIELD RD"	20	0	149907	889778
M_149907_889874	"TUCKER CROSS RD"	2	0	149907	889874
M_149909_889035	"CIDER MILL RD"	19	0	149909	889035
M_149912_893944	"KING RD"	16	0	149912	893944
M_149926_890093	"TUCKER RD"	37	0	149926	890093
M_149928_890249	"TUCKER RD"	32	0	149928	890249
M_149941_890450	"TUCKER RD"	20	0	149941	890450
M_149974_889831	"OLD W BROOKFIELD RD"	18	0	149974	889831
M_149974_894388	"MILL RD"	39	0	149974	894388
M_149985_890064	"TUCKER RD"	39	0	149985	890064
M_150007_887514	"BROOKFIELD RD"	105	0	150007	887514
M_150012_889884	"OLD W BROOKFIELD RD"	16	0	150012	889884
M_150020_887792	"WEST BROOKFIELD RD"	68	0	150020	887792
M_150026_888948	"CIDER MILL RD"	17	0	150026	888948
M_150026_889683	"CIDER MILL RD"	34	0	150026	889683
M_150043_890012	"OLD W BROOKFIELD RD"	12	0	150043	890012
M_150047_893776	"KING RD"	11	0	150047	893776
M_150055_893889	"KING RD"	12	0	150055	893889
M_150057_889938	"OLD W BROOKFIELD RD"	14	0	150057	889938
