LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_129226_927832	"WEST ORANGE RD"	268	0	129226	927832
M_129269_927672	"WEST ORANGE RD"	0	0	129269	927672
M_129294_927843	"WEST ORANGE RD"	264	0	129294	927843
M_129300_928633	"MOSS BROOK RD"	0	0	129300	928633
M_129329_927770	"WEST ORANGE RD"	267	0	129329	927770
M_129381_927837	"WEST ORANGE RD"	0	0	129381	927837
M_129491_927966	"WEST ORANGE RD"	0	0	129491	927966
M_129493_928032	"WEST ORANGE RD"	256	0	129493	928032
M_129494_928414	"MOSS BROOK RD"	0	0	129494	928414
M_129552_928138	"MOSS BROOK RD"	65	0	129552	928138
M_129650_928061	"MOSS BROOK RD"	10	0	129650	928061
M_129653_928022	"WEST ORANGE RD"	200	0	129653	928022
M_129654_928458	"MOSS BROOK RD"	120	0	129654	928458
M_129657_928186	"MOSS BROOK RD"	44	0	129657	928186
M_129673_928091	"MOSS BROOK RD"	20	0	129673	928091
M_129699_928259	"MOSS BROOK RD"	36	0	129699	928259
M_129734_928040	"WEST ORANGE RD"	196	0	129734	928040
M_129738_928845	"MOSS BROOK RD"	0	0	129738	928845
M_129807_928039	"WEST ORANGE RD"	190	0	129807	928039
M_129858_928475	"MOSS BROOK RD"	0	0	129858	928475
M_129870_923035	"CHESTNUT HILL RD"	0	0	129870	923035
M_129870_928029	"WEST ORANGE RD"	0	0	129870	928029
M_129882_923348	"CHESTNUT HILL RD"	0	0	129882	923348
M_129915_928222	"WEST ORANGE RD"	180	0	129915	928222
M_129918_926736	"GIDNEY RD"	OFF	0	129918	926736
M_129967_925279	"GIDNEY RD"	OFF	0	129967	925279
M_130000_927772	"WENDELL DEPOT RD"	0	0	130000	927772
M_130031_922598	"CHESTNUT HILL RD"	0	0	130031	922598
M_130049_924150	"CHESTNUT HILL RD"	0	0	130049	924150
M_130114_928890	"WEST ORANGE"	0	0	130114	928890
M_130120_928275	"WEST ORANGE RD"	170	0	130120	928275
M_130197_926251	"GIDNEY RD"	0	0	130197	926251
M_130256_927235	"WENDELL DEPOT RD"	0	0	130256	927235
M_130266_927794	"WENDELL DEPOT RD"	263	0	130266	927794
M_130267_926843	"GIDNEY RD"	0	0	130267	926843
M_130268_926681	"GIDNEY RD"	0	0	130268	926681
M_130273_927935	"HOLTSHIRE RD"	10	0	130273	927935
M_130345_925614	"GIDNEY RD"	309	0	130345	925614
M_130355_928285	"WEST ORANGE RD"	150	0	130355	928285
M_130366_922658	"CHESTNUT HILL RD"	0	0	130366	922658
M_130368_923217	"CHESTNUT HILL RD"	0	0	130368	923217
M_130373_927814	"WENDELL DEPOT RD"	281	0	130373	927814
M_130385_925272	"GIDNEY RD"	315	0	130385	925272
