LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_543478_2893288	"Stafford St"	1189	0	165652	881876
F_543508_2894305	"Stafford St"	1186	0	165662	882186
F_543605_2893406	"Stafford St"	1187	0	165691	881912
F_543837_2893641	"Stafford St"	1183	0	165762	881984
F_543851_2893364	"Stafford St"	1185	0	165766	881899
F_543958_2893729	"Stafford St"	1181	0	165799	882010
F_543984_2892265	"Merriam Dist"	75	0	165807	881564
F_544067_2894502	"Stafford St"	1178	0	165832	882246
F_544114_2893897	Stafford	1177	0	165846	882062
F_544250_2893627	"Stafford St"	1169	0	165888	881979
F_544304_2893973	"Stafford St"	1175	0	165904	882085
F_544415_2894577	"Stafford St"	1166	0	165938	882269
F_544469_2891562	"Merriam Dist"	57	0	165954	881350
F_544473_2894155	"Stafford St"	1165	0	165956	882140
F_544523_2891853	"Warren Rd"	2	0	165971	881439
F_544532_2892546	"Merriam Dist"	65	0	165974	881650
F_544551_2892391	"Merriam Dist"	63	0	165979	881603
F_544562_2894647	"Stafford St"	1164	0	165983	882290
F_544602_2894798	"Stafford St"	1162	0	165995	882336
F_544604_2894321	"Stafford St"	1163	0	165996	882191
F_544715_2892928	"Merriam Dist"	69	0	166029	881766
F_544730_2894909	"Stafford St"	1160	0	166034	882370
F_544774_2894324	Stafford	1161	0	166047	882192
F_544782_2892528	Merriam	62	0	166050	881644
F_544790_2888895	Merriam	33	0	166052	880537
F_544839_2892682	"Merriam Dist"	64	0	166067	881691
F_544860_2893005	"Merriam Dist"	71	0	166074	881790
F_544949_2893056	"Merriam Dist"	73	0	166101	881805
F_544970_2892058	Merriam	54	0	166107	881501
F_544971_2894681	"Stafford St"	1159	0	166107	882301
F_544973_2862246	"Whiting Rd"	41	0	166108	872414
F_544980_2892355	Daniel	11	0	166110	881592
F_544980_2892355	Daniel	2	0	166110	881592
F_544980_2892355	Daniel	4	0	166110	881592
F_544980_2892355	Daniel	6	0	166110	881592
F_544980_2892355	Daniel	7	0	166110	881592
F_544980_2892355	Daniel	9	0	166110	881592
F_545001_2892739	Merriam	70	0	166117	881709
F_545008_2891913	Merriam	52	0	166119	881457
F_545035_2860684	"Old Southbridge Rd"	88	0	166127	871938
F_545052_2861596	"Whiting Rd"	33	0	166132	872216
F_545075_2891779	"Merriam Dist"	50	0	166139	881416
F_545102_2860251	"Old Southbridge Rd"	87	0	166147	871806
F_545155_2891646	Merriam	48	0	166164	881375
F_545165_2893262	"Merriam Dist"	77	0	166167	881868
F_545165_2894969	Stafford	1157	0	166167	882388
F_545179_2861937	"Whiting Rd"	37	0	166171	872320
F_545195_2861250	"Whiting Rd"	27	0	166176	872111
F_545196_2890917	"Merriam Dist"	47	0	166176	881153
F_545209_2860988	"Whiting Rd"	25	0	166180	872031
F_545211_2862103	"Whiting Rd"	39	0	166181	872371
F_545222_2859690	Whiting	7	0	166184	871635
F_545232_2892731	"Merriam Dist"	76	0	166187	881706
F_545240_2860716	"Old Southbridge Rd"	86	0	166189	871948
F_545267_2861572	"Whiting Rd"	31	0	166198	872209
F_545272_2893323	"Merriam Dist"	79	0	166199	881887
F_545273_2859041	Whiting	1	0	166200	871437
F_545285_2892932	"Merriam Dist"	78	0	166203	881767
F_545288_2861443	"Whiting Rd"	29	0	166204	872170
F_545318_2890741	"Merriam Dist"	45	0	166213	881100
F_545350_2860452	"Whiting Rd"	19	0	166223	871868
F_545351_2883334	"Oxbow Rd"	33	0	166223	878842
F_545416_2860763	"Whiting Rd"	23	0	166243	871962
F_545424_2860288	"Whiting Rd"	17	0	166246	871818
F_545424_2892930	Merriam	80	0	166246	881767
F_545460_2860160	"Whiting Rd"	15	0	166257	871779
F_545470_2892416	Daniel	13	0	166260	881610
F_545470_2892416	Daniel	15	0	166260	881610
F_545470_2892416	Daniel	17	0	166260	881610
F_545470_2892416	"Daniel Dr"	10	0	166260	881610
F_545470_2892416	"Daniel Dr"	12	0	166260	881610
F_545470_2892416	"Daniel Dr"	14	0	166260	881610
F_545470_2892416	"Daniel Dr"	16	0	166260	881610
F_545470_2892416	"Daniel Dr"	18	0	166260	881610
F_545470_2892416	"Daniel Dr"	19	0	166260	881610
F_545470_2892416	"Daniel Dr"	20	0	166260	881610
F_545470_2892416	"Daniel Dr"	21	0	166260	881610
F_545470_2892416	"Daniel Dr"	8	0	166260	881610
F_545483_2882371	Oxbow	12	0	166264	878548
F_545483_2882371	Oxbow	16	0	166264	878548
F_545483_2882371	Oxbow	20	0	166264	878548
F_545486_2893351	Merriam	81	0	166264	881895
F_545489_2860023	"Whiting Rd"	13	0	166265	871737
F_545526_2861886	"Whiting Rd"	36	0	166277	872305
F_545533_2889739	"Merriam Dist"	35	0	166279	880794
F_545535_2859745	"Whiting Rd"	11	0	166279	871652
F_545535_2861737	"Whiting Rd"	34	0	166279	872259
F_545539_2881389	"Southbridge Rd"	2	0	166281	878249
F_545545_2883335	"Oxbow Rd"	31	0	166282	878842
F_545621_2861607	"Whiting Rd"	32	0	166306	872220
F_545662_2860533	"Old Southbridge Rd"	81	0	166318	871892
F_545676_2860931	"Old Southbridge Rd"	82	0	166322	872014
F_545694_2887788	Merriam	31	0	166328	880200
F_545713_2891024	"Merriam Dist"	38	0	166334	881186
F_545728_2860326	"Whiting Rd"	22	0	166338	871829
F_545731_2892817	"Merriam Dist"	82	0	166339	881732
F_545763_2889961	"Merriam Dist"	37	0	166349	880862
F_545788_2889565	"Old Merriam"	2	0	166357	880741
F_545800_2859822	"Whiting Rd"	14	0	166360	871675
F_545801_2859673	"Whiting Rd"	12	0	166360	871630
F_545802_2859963	"Whiting Rd"	16	0	166361	871718
F_545805_2860115	"Whiting Rd"	18	0	166362	871765
F_545816_2889202	"Old Merriam Rd"	6	0	166365	880631
F_545822_2882026	"Oxbow Rd"	6	0	166367	878443
F_545844_2876914	Mcintyre	70	0	166374	876885
F_545844_2889422	"Old Merriam Rd"	4	0	166374	880698
F_545849_2894905	"Pleasant St"	15	0	166375	882369
F_545871_2878622	"Mcintyre Rd"	44	0	166382	877406
F_545883_2895064	"Pleasant St"	11	0	166385	882417
F_545884_2862078	"Whiting Rd"	38	0	166386	872363
F_545889_2861037	"Old Southbridge Rd"	80	0	166387	872046
F_545889_2861312	"Whiting Rd"	28	0	166387	872130
F_545897_2877064	"Mcintyre Rd"	68	0	166390	876931
F_545900_2862472	Whiting	40	0	166391	872483
F_545912_2877190	"Mcintyre Rd"	66	0	166394	876969
F_545940_2877324	"Mcintyre Rd"	64	0	166403	877010
F_545948_2861602	"Whiting Rd"	30	0	166405	872218
F_545960_2894730	"Pleasant St"	17	0	166409	882315
F_545961_2888950	"Old Merriam"	8	0	166409	880554
F_545962_2877465	"Mcintyre Rd"	62	0	166410	877053
F_545966_2893255	"Merriam Dist"	86	0	166411	881866
F_545972_2889839	"Merriam Dist"	34	0	166413	880825
F_545975_2881445	Southbridge	10	0	166414	878266
F_545993_2877612	"Mcintyre Rd"	60	0	166419	877098
F_546006_2882937	"Oxbow Rd"	25	0	166423	878721
F_546018_2860919	"Old Southbridge Rd"	78	0	166427	872010
F_546062_2876606	"McIntyre Rd"	71	0	166440	876791
F_546067_2877749	"Mcintyre Rd"	58	0	166442	877140
F_546079_2889898	"Merriam Dist"	32	0	166445	880843
F_546082_2883211	"Oxbow Rd"	27	0	166446	878804
F_546088_2860540	"Old Southbridge Rd"	77	0	166448	871894
F_546101_2894951	"Wells St"	2	0	166452	882383
F_546108_2893717	"Merriam Dist"	89	0	166454	882007
F_546114_2878092	"Mcintyre Rd"	54	0	166456	877244
F_546116_2894775	"Pleasant St"	20	0	166456	882329
F_546129_2861121	"Old Southbridge"	76	0	166460	872071
F_546131_2877880	"Mcintyre Rd"	56	0	166461	877180
F_546143_2876800	"Mcintyre Rd"	69	0	166465	876850
F_546190_2881757	Oak	2	0	166479	878361
F_546214_2860170	"Whiting Rd"	20	0	166486	871782
F_546219_2881640	"Oak Dr"	4	0	166488	878326
F_546219_2889939	"Merriam Dist"	30	0	166488	880855
F_546219_2895030	"Wells St"	18	0	166488	882407
F_546221_2894813	"Wells St"	3	0	166488	882341
F_546228_2877068	"Mcintyre Rd"	65	0	166491	876932
F_546243_2889146	"Old Merriam Rd"	7	0	166495	880613
F_546247_2881547	"Oak Dr"	6	0	166496	878297
F_546262_2882664	Oxbow	19	0	166501	878638
F_546271_2881455	"Oak Dr"	8	0	166504	878269
