LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_781504_3031423	"BOSTON ST"	0	0	238203	923980
F_781577_3031213	"CATHERINE DR"	80	0	238225	923916
F_781618_3031047	"CATHERINE DR"	78	0	238238	923865
F_781644_3030910	"CATHERINE DR"	76	0	238246	923823
F_781670_3030774	"CATHERINE DR"	74	0	238253	923782
F_781696_3030636	"CATHERINE DR"	72	0	238261	923740
F_781698_3031366	"CATHERINE DR"	65	0	238262	923962
F_781723_3030496	"CATHERINE DR"	70	0	238270	923697
F_781749_3030358	"CATHERINE DR"	68	0	238278	923655
F_781753_3031243	"CATHERINE DR"	63	0	238279	923925
F_781768_3030223	"CATHERINE DR"	66	0	238283	923614
F_781780_3030083	"CATHERINE DR"	64	0	238287	923571
F_781783_3031114	"CATHERINE DR"	61	0	238288	923885
F_781796_3029945	"CATHERINE DR"	62	0	238292	923529
F_781817_3029810	"CATHERINE DR"	60	0	238298	923488
F_781817_3030934	"GAYWOOD CIR"	1	0	238298	923831
F_781840_3029679	"CATHERINE DR"	58	0	238305	923448
F_781850_3030814	"THERESA RD"	7	0	238308	923794
F_781864_3029549	"CATHERINE DR"	56	0	238313	923408
F_781880_3030647	"CATHERINE DR"	55	0	238318	923743
F_781887_3029419	"CATHERINE DR"	54	0	238320	923369
F_781888_3031158	"GAYWOOD CIR"	2	0	238320	923899
F_781890_3031338	"GAYWOOD CIR"	4	0	238321	923954
F_781897_3030523	"CATHERINE DR"	53	0	238323	923705
F_781910_3029292	"CATHERINE DR"	52	0	238327	923330
F_781921_3030394	"CATHERINE DR"	51	0	238330	923666
F_781932_3029167	"CATHERINE DR"	50	0	238333	923292
F_781943_3030264	"CATHERINE DR"	49	0	238337	923626
F_781955_3029040	"CATHERINE DR"	48	0	238340	923253
F_781957_3030140	"CATHERINE DR"	47	0	238341	923589
F_781964_3030959	"GAYWOOD CIR"	3	0	238343	923838
F_781966_3030017	"CATHERINE DR"	45	0	238344	923551
F_781979_3029892	"MANOR DR"	15	0	238348	923513
F_781980_3030837	"THERESA RD"	5	0	238348	923801
F_781987_3028911	"CATHERINE DR"	46	0	238350	923214
F_781996_3030653	"ELIZABETH LN"	42	0	238353	923745
F_782011_3028782	"CATHERINE DR"	44	0	238357	923175
F_782015_3030524	"ELIZABETH LN"	40	0	238359	923706
F_782027_3029610	"CATHERINE DR"	43	0	238362	923427
F_782032_3028663	"CATHERINE DR"	42	0	238364	923138
F_782036_3029732	"MANOR DR"	12	0	238365	923464
F_782038_3030400	"ELIZABETH LN"	38	0	238366	923668
F_782048_3029491	"CATHERINE DR"	41	0	238369	923391
F_782054_3028541	"CATHERINE DR"	40	0	238371	923101
F_782060_3031281	"GAYWOOD CIR"	7	0	238372	923936
F_782063_3030265	"ELIZABETH LN"	36	0	238373	923627
F_782070_3029367	"CATHERINE DR"	39	0	238375	923353
F_782076_3028413	"CATHERINE DR"	38	0	238377	923062
