LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_69015_905039	"MATTEAU RD"	0	0	69015	905039
M_69159_905140	"MATTEAU RD"	0	0	69159	905140
M_69291_905072	"MATTEAU RD"	0	0	69291	905072
M_69298_905753	"STEPHANIE LANE"	14	0	69298	905753
M_69302_906376	"GENTIAN HILL ROAD"	5	0	69302	906376
M_69342_906309	"GENTIAN HILL ROAD"	7	0	69342	906309
M_69417_906285	"RIDGE ROAD"	0	0	69417	906285
M_69502_906524	"STEPHANIE LANE"	132	0	69502	906524
M_69535_905379	"MATTEAU RD"	0	0	69535	905379
M_69563_905015	"EAST WASHINGTON RD"	0	0	69563	905015
M_69578_906218	"RIDGE ROAD"	5	0	69578	906218
M_69616_905813	"STEPHANIE LANE"	13	0	69616	905813
M_69647_905999	"GENTIAN HILL ROAD"	0	0	69647	905999
M_69660_905879	"STEPHANIE LANE"	0	0	69660	905879
M_69777_909426	"MIDDLEFIELD RD"	0	0	69777	909426
M_69821_905646	"STEPHANIE LANE"	15	0	69821	905646
M_69826_906416	"RIDGE ROAD"	2	0	69826	906416
M_69905_908041	"EAST WASHINGTON ROAD"	0	0	69905	908041
M_70018_907975	"MIDDLEFIELD RD"	0	0	70018	907975
M_70041_909297	"HASKELL ROAD"	3	0	70041	909297
M_70057_908507	"MIDDLEFIELD RD"	0	0	70057	908507
M_70070_911963	"SPRUCE ROAD"	0	0	70070	911963
M_70081_911982	"SPRUCE ROAD"	0	0	70081	911982
M_70081_912020	"SPRUCE ROAD"	0	0	70081	912020
M_70084_911959	"RAYMOND ROAD"	0	0	70084	911959
M_70101_911961	"RAYMOND ROAD"	0	0	70101	911961
M_70102_911985	"LEE ROAD"	0	0	70102	911985
M_70102_912102	"PINE ROAD"	0	0	70102	912102
M_70111_912112	"LEO ROAD"	0	0	70111	912112
M_70114_912131	"LEO ROAD"	0	0	70114	912131
M_70115_912144	"LEO ROAD"	0	0	70115	912144
M_70116_912157	"LEO ROAD"	0	0	70116	912157
M_70117_912017	"LEE ROAD"	4	0	70117	912017
