LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_829548_2809831	"CEDAR ST"	0	0	252847	856438
F_829597_2809916	"CEDAR ST"	0	0	252862	856464
F_829919_2809904	"CEDAR ST"	0	0	252960	856460
F_829922_2810303	"FULLER ST/HALIFAX"	141	0	252961	856582
F_830008_2809296	"CEDAR ST"	0	0	252987	856275
F_830121_2809229	"CEDAR ST"	0	0	253021	856255
F_830386_2809310	"CEDAR ST"	11	0	253102	856279
F_830412_2810759	"WEST ST"	0	0	253110	856721
F_830478_2808958	"CEDAR ST"	15	0	253130	856172
F_830633_2808658	"CEDAR ST"	0	0	253177	856081
F_830678_2811067	"WEST ST"	0	0	253191	856815
F_830680_2810556	"WEST ST"	203	0	253192	856659
F_830797_2811123	"WEST ST"	0	0	253227	856832
F_830840_2808758	"CEDAR ST"	17	0	253241	856111
F_830843_2810246	"WEST ST"	191	0	253241	856565
F_830856_2808427	"CEDAR ST"	0	0	253245	856010
F_831051_2811270	"WEST ST"	202	0	253305	856877
F_831148_2808867	"CEDAR ST"	0	0	253334	856144
F_831303_2808534	"CEDAR ST"	0	0	253382	856043
F_831329_2809795	"WEST ST"	0	0	253390	856427
F_831474_2810568	"WEST ST"	190	0	253434	856663
F_831523_2808391	"CEDAR ST"	33	0	253449	855999
F_831612_2808006	"CEDAR ST"	39	0	253476	855882
F_831872_2807545	"CEDAR ST"	0	0	253555	855741
F_831968_2807288	"CEDAR ST"	57	0	253584	855663
F_832132_2807244	"CEDAR ST"	59	0	253634	855650
F_832136_2807452	"CEDAR ST"	61	0	253636	855713
F_832211_2809887	"WEST ST"	181	0	253658	856455
F_832375_2807237	"CEDAR ST"	0	0	253708	855648
F_832559_2807226	"CEDAR ST"	65	0	253764	855644
F_832628_2810149	"WEST ST"	0	0	253786	856535
F_832713_2807192	"CEDAR ST"	67	0	253811	855634
F_832722_2812324	"CENTER ST"	0	0	253814	857198
F_833550_2810152	"WEST ST"	172	0	254067	856536
F_833568_2809695	"WEST ST"	0	0	254072	856397
F_833616_2805910	"CEDAR ST"	101	0	254087	855243
F_834017_2806715	"CEDAR ST"	0	0	254209	855488
F_834078_2812351	"CENTER ST"	0	0	254227	857206
F_834196_2810960	"WEST ST"	0	0	254263	856782
F_834247_2810411	"WEST ST"	0	0	254279	856615
F_834295_2808807	"WEST ST"	0	0	254294	856126
F_834738_2809468	"WEST ST"	119	0	254429	856328
F_834744_2810204	"WEST ST"	120	0	254430	856552
F_834886_2809442	"WEST ST"	115	0	254474	856320
F_834984_2808345	"WEST ST"	0	0	254504	855985
F_835076_2809374	"WEST ST"	109	0	254532	856299
F_835078_2812332	"CENTER ST"	163	0	254532	857201
F_835107_2813354	"CENTER ST"	173	0	254541	857512
F_835166_2809184	"WEST ST"	0	0	254559	856241
F_835225_2812714	"CENTER ST"	0	0	254577	857317
F_835226_2810176	"WEST ST"	108	0	254577	856543
F_835248_2813730	"CENTER ST"	0	0	254584	857627
F_835313_2809722	"WEST ST"	112	0	254604	856405
F_835360_2813216	"CENTER ST"	171	0	254618	857470
F_835437_2809135	"WEST ST"	101	0	254642	856226
F_835497_2807482	"WEST ST"	0	0	254660	855722
F_835502_2812169	"CENTER ST"	161	0	254662	857151
F_835503_2812982	"CENTER ST"	167	0	254662	857399
F_835738_2812444	"CENTER ST"	157	0	254733	857235
F_835786_2812665	"CENTER ST"	159	0	254748	857302
F_835795_2805005	"SOULE ST"	0	0	254751	854967
F_835854_2813395	"CENTER ST"	168	0	254769	857525
F_835902_2808708	"WEST ST"	0	0	254783	856096
F_835927_2812222	"CENTER ST"	153	0	254791	857167
F_835960_2815175	"CENTER ST"	0	0	254801	858067
F_835993_2809167	"WEST ST"	0	0	254811	856236
F_835998_2802924	"SOULE ST"	0	0	254813	854333
F_836012_2812831	"CENTER ST"	158	0	254817	857353
F_836160_2812313	"CENTER ST"	151	0	254862	857195
F_836254_2808600	"WEST ST"	83	0	254891	856063
F_836343_2810275	"CROSS ST"	30	0	254918	856574
F_836358_2809006	"WEST ST"	84	0	254922	856187
F_836475_2808532	"WEST ST"	79	0	254958	856042
F_836558_2805454	"WEST ST"	0	0	254983	855104
F_836598_2808921	"WEST ST"	80	0	254996	856161
F_836655_2808535	"WEST ST"	75	0	255013	856043
F_836682_2804264	"PROSPECT RD"	0	0	255021	854741
F_836803_2808517	"WEST ST"	73	0	255058	856038
F_836811_2808867	"WEST ST"	74	0	255061	856144
F_836854_2815933	"PALMER RD"	151	0	255074	858298
F_836936_2813545	"CENTER ST"	0	0	255099	857570
F_837011_2808361	"WEST ST"	63	0	255121	855990
F_837136_2808465	"WEST ST"	65	0	255160	856022
F_837247_2807932	"WEST ST"	43	0	255193	855859
F_837259_2811164	"CROSS ST"	0	0	255197	856845
F_837269_2807572	"WEST ST"	41	0	255200	855750
F_837323_2812417	"CENTER ST"	130	0	255217	857226
F_837352_2808438	"WEST ST"	61	0	255225	856014
F_837430_2806909	"WEST ST"	0	0	255249	855548
F_837446_2809151	"CROSS ST"	0	0	255254	856231
F_837477_2805256	"PROSPECT RD"	0	0	255264	855044
F_837489_2811496	"CROSS ST"	10	0	255267	856946
F_837509_2807957	"WEST ST"	45	0	255273	855867
F_837516_2808133	"WEST ST"	49	0	255275	855921
F_837522_2807506	"WEST ST"	39	0	255277	855730
F_837528_2808395	"WEST ST"	55	0	255279	856001
F_837545_2816476	"PALMER RD"	171	0	255284	858464
F_837550_2800697	"SOULE ST"	15	0	255286	853654
F_837589_2814415	"PALMER RD"	0	0	255298	857835
F_837599_2811741	"CROSS ST"	6	0	255301	857020
F_837652_2800733	"SOULE ST"	11	0	255317	853665
F_837715_2807751	"WEST ST"	44	0	255336	855804
F_837725_2810911	"CROSS ST"	19	0	255339	856767
F_837744_2811029	"CROSS ST"	17	0	255345	856803
F_837751_2808593	"CROSS ST"	69	0	255347	856061
F_837785_2816101	"PALMER RD"	0	0	255357	858349
F_837793_2800497	"PROSPECT RD"	110	0	255360	853593
F_837795_2811137	"CROSS ST"	15	0	255360	856836
F_837829_2806871	"WEST ST"	25	0	255371	855536
F_837839_2811264	"CROSS ST"	11	0	255374	856875
F_837851_2802278	"PROSPECT RD"	0	0	255377	854136
F_837867_2811406	"CROSS ST"	0	0	255382	856918
F_837873_2801167	"SOULE ST"	6	0	255384	853797
