LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_531516_2988779	"HUBBARDSTON RD"	532	0	162006	910982
F_531891_2988901	"HUBBARDSTON RD"	532	0	162121	911019
F_532062_2989013	"HUBBARDSTON RD"	532	0	162173	911053
F_532303_2989204	"HUBBARDSTON RD"	532	0	162246	911111
F_532581_2989425	"HUBBARDSTON RD"	532	0	162331	911179
F_532619_2989126	"HUBBARDSTON RD"	532	0	162343	911087
F_532787_2988887	"HUBBARDSTON RD"	500	0	162394	911015
F_533121_2989676	"HUBBARDSTON RD"	0	0	162496	911255
F_533122_2988614	"HUBBARDSTON RD"	499	0	162496	910931
F_533152_2987861	"HUBBARDSTON RD"	501	0	162505	910702
F_533693_2989067	"HUBBARDSTON RD"	487	0	162670	911069
F_534050_2990655	"OLD COLONY RD EXT"	8	0	162779	911553
F_534081_2989861	"OLD COLONY ROAD EXT"	23	0	162788	911311
F_534165_2990066	"OLD COLONY ROAD EXT"	15	0	162814	911374
F_534322_2990635	"OLD COLONY RD EXT"	5	0	162862	911547
F_534860_2991328	"OLD COLONY RD"	7	0	163026	911759
F_535393_2991539	"OLD COLONY RD"	23	0	163188	911823
F_535596_2987963	"LYONS RD"	20	0	163250	910733
F_535857_2989041	"WHEELER RD"	10	0	163330	911062
F_535909_2987408	"LYONS RD"	22	0	163345	910564
F_536062_2987236	"LYONS RD"	26	0	163392	910511
F_536198_2991090	"OLD COLONY RD"	38	0	163433	911686
F_536207_2988770	"WHEELER RD"	16	0	163436	910979
F_536212_2987085	"LYONS RD"	30	0	163438	910465
F_536302_2988483	"WHEELER RD"	24	0	163465	910891
F_536413_2988186	"LYONS RD"	10	0	163499	910801
F_536549_2988383	"WHEELER RD"	30	0	163540	910861
F_536691_2988297	"WHEELER RD"	32	0	163584	910835
F_536788_2986422	"LYONS RD"	40	0	163613	910263
F_536878_2987207	"LYONS RD"	37	0	163641	910503
F_537200_2990898	"HUBBARDSTON RD"	0	0	163739	911628
F_537255_2993517	"OLD COLONY RD"	93	0	163756	912426
F_537679_2993866	"OLD COLONY RD"	109	0	163885	912532
F_537841_2993682	"OLD COLONY RD"	109	0	163934	912476
F_537913_2993460	"OLD COLONY RD"	109	0	163956	912408
F_537944_2985747	"BIGELOW RD"	78	0	163966	910058
F_537976_2988074	"BLOOD RD"	7	0	163975	910767
F_538003_2986843	"BLOOD RD"	20	0	163984	910392
F_538181_2988181	"WHEELER RD"	60	0	164038	910799
F_538315_2993735	"OLD COLONY RD"	113	0	164079	912492
F_538384_2988254	"WHEELER RD"	64	0	164100	910822
F_538442_2993019	"OLD COLONY RD"	118	0	164117	912274
F_538590_2987487	"BLOOD RD"	9	0	164163	910588
F_538788_2985908	"BIGELOW RD"	0	0	164223	910107
F_538788_2985908	"BIGELOW RD"	60	0	164223	910107
F_538883_2988849	"WHEELER RD"	79	0	164252	911003
F_539091_2988935	"WHEELER ROAD"	85	0	164315	911029
F_539123_2987492	"WHEELER RD"	72	0	164325	910589
F_539163_2993885	"NAKUSET WAY"	0	0	164337	912538
F_539170_2988453	"WHEELER RD"	86	0	164339	910882
F_539296_2986297	"BIGELOW RD"	48	0	164378	910225
F_539345_2989430	"HUBBARDSTON RD"	337	0	164393	911180
F_539375_2985119	"BIGELOW RD"	0	0	164402	909866
F_539375_2988484	"WHEELER RD"	88	0	164402	910892
F_539434_2987705	"WHEELER RD"	76	0	164420	910654
F_539528_2986508	"BIGELOW RD"	40	0	164448	910289
F_539554_2989495	"HUBBARDSTON RD"	333	0	164456	911200
F_539560_2988469	"WHEELER RD"	94	0	164458	910887
F_539638_2986624	"BIGELOW RD"	36	0	164482	910325
F_539729_2989972	"HUBBARDSTON RD"	330	0	164510	911345
F_539737_2985733	"BIGELOW RD"	49	0	164512	910053
F_539748_2988409	"WHEELER RD"	98	0	164516	910869
F_539837_2993664	"OLD COLONY RD"	147	0	164543	912471
F_539849_2989595	"HUBBARDSTON RD"	321	0	164546	911230
F_539899_2989055	"WHEELER RD"	97	0	164562	911066
F_539904_2986734	"BIGELOW RD"	30	0	164563	910358
F_539906_2985882	"BIGELOW RD"	39	0	164564	910099
F_539938_2988349	"WHEELER RD"	104	0	164573	910851
F_540072_2986035	"BIGELOW RD"	37	0	164614	910145
F_540096_2988239	"WHEELER RD"	108	0	164622	910817
F_540178_2986855	"BIGELOW RD"	28	0	164647	910395
F_540178_2989459	"HUBBARDSTON RD"	313	0	164647	911189
F_540183_2994589	"GATES RD & THOMPSON"	114	0	164648	912753
F_540220_2988822	"WHEELER RD"	99	0	164659	910995
F_540249_2986192	"BIGELOW RD"	31	0	164668	910193
F_540264_2987627	"WHEELER RD"	82	0	164673	910631
F_540271_2988129	"WHEELER RD"	112	0	164675	910784
F_540333_2992303	"GATES ROAD"	71	0	164694	912056
F_540357_2988670	"WHEELER RD"	101	0	164701	910948
F_540367_2987072	"BIGELOW RD"	22	0	164704	910461
F_540465_2995547	"GATES RD & THOMPSON"	138	0	164734	913045
F_540471_2989310	"HUBBARDSTON RD"	311	0	164736	911144
F_540477_2988422	"WHEELER RD"	111	0	164738	910873
F_540482_2983732	"GROWS LANE"	33	0	164739	909443
F_540549_2988097	"WHEELER RD"	118	0	164760	910774
F_540590_2987153	"BIGELOW RD"	18	0	164772	910486
F_540607_2990095	"GATES RD"	7	0	164777	911383
F_540632_2988530	"RALPH RD"	18	0	164785	910906
F_540633_2988719	"RALPH RD"	16	0	164785	910963
F_540648_2988917	"RALPH RD"	12	0	164790	911024
F_540711_2987353	"BIGELOW RD"	12	0	164809	910547
F_540727_2989187	RALPH	6	0	164814	911106
F_540764_2996288	"GATES RD"	140	0	164825	913270
F_540766_2987926	"WHEELER RD"	122	0	164826	910722
F_540777_2993278	"THOMPSON RD"	279	0	164829	912353
F_540799_2979439	"DOWDS LANE"	29	0	164836	908135
F_540805_2984419	"GROW LANE"	32	0	164838	909653
F_540842_2987687	"WHEELER RD"	128	0	164849	910649
F_540880_2990590	"GATES RD"	27	0	164861	911534
F_540946_2986230	"BIGELOW RD"	11	0	164881	910205
F_541001_2988395	"RALPH RD"	21	0	164897	910865
F_541019_2987495	"BIGELOW RD"	6	0	164903	910590
F_541044_2980994	"DOWDS LANE"	51	0	164911	908609
F_541052_2988030	"WHEELER RD"	121	0	164913	910753
F_541066_2989006	"RALPH RD"	7	0	164917	911051
F_541094_2988586	"RALPH RD"	15	0	164926	910923
F_541099_2988750	"RALPH RD"	11	0	164927	910973
F_541119_2994345	"THOMPSON RD"	270	0	164933	912678
F_541211_2989525	"GATES RD"	6	0	164961	911209
F_541298_2978737	"DOWDS LANE"	5	0	164988	907921
F_541310_2987895	"WHEELER RD"	129	0	164992	910712
F_541332_2989361	"HUBBARDSTON RD"	300	0	164998	911159
F_541404_2988254	"RALPH RD"	23	0	165020	910822
F_541476_2985567	"BALL HILL RD"	351	0	165042	910003
F_541477_2989230	"HUBBARDSTON RD"	294	0	165043	911119
F_541603_2991088	"GATES RD"	36	0	165081	911685
F_541642_2989095	"HUBBARDSTON RD"	290	0	165093	911078
F_541644_2980091	"DOWDS LANE"	30	0	165093	908334
F_541644_2994609	"THOMPSON RD"	258	0	165093	912759
F_541677_2987062	"WHEELER RD"	146	0	165103	910458
F_541677_2991535	"GATES RD"	50	0	165103	911822
F_541690_2985710	"BALL HILL RD"	351	0	165107	910046
F_541700_2978406	"DOWDS LANE"	0	0	165110	907820
F_541715_2987749	"WHEELER RD"	137	0	165115	910668
F_541740_2986042	"BALL HILL RD"	353	0	165123	910147
F_541765_2992717	"GOODNOW RD"	226	0	165130	912182
F_541791_2988930	"HUBBARDSTON RD"	286	0	165138	911028
F_541810_2988686	"HUBBARDSTON RD"	282	0	165144	910953
F_541899_2988458	"HUBBARDSTON RD"	277	0	165171	910884
F_541923_2987703	"WHEELER RD"	143	0	165178	910654
F_541993_2988808	"HUBBARDSTON RD"	266	0	165200	910991
F_542091_2987560	"WHEELER RD"	149	0	165230	910610
F_542095_2983570	"BALL HILL RD"	319	0	165231	909394
F_542124_2986081	"BALL HILL RD"	357	0	165240	910159
F_542143_2983315	"BALL HILL RD"	313	0	165246	909316
F_542186_2993619	"THOMPSON ROAD"	243	0	165259	912457
F_542226_2986756	"WHEELER ROAD"	166	0	165271	910365
F_542238_2983153	"BALL HILL RD"	307	0	165274	909267
F_542240_2988740	"HUBBARDSTON RD"	260	0	165275	910970
F_542263_2987416	"WHEELER RD"	151	0	165282	910566
F_542344_2985105	"BALL HILL RD"	342	0	165307	909862
F_542474_2984892	"BALL HILL RD"	340	0	165346	909797
F_542510_2985260	"BALL HILL RD"	354	0	165357	909909
