LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_248192_837730	"LITTLE QUITTACUS PD"	0	0	248192	837730
M_248360_837499	"NEGUS WAY"	0	0	248360	837499
M_248604_836776	"NORTH AVENUE"	6	0	248604	836776
M_248631_836713	"WINFIELD STREET"	3	0	248631	836713
M_248636_836995	"NORTH AVENUE"	0	0	248636	836995
M_248659_836791	"NORTH AVENUE"	12	0	248659	836791
M_248663_836617	"WORDELL STREET"	4	0	248663	836617
M_248682_836730	"WORDELL STREET"	11	0	248682	836730
M_248688_836820	"NORTH AVENUE"	0	0	248688	836820
M_248688_837222	"NEGUS WAY"	0	0	248688	837222
M_248710_836641	"WORDELL STREET"	10	0	248710	836641
M_248715_836811	"NORTH AVENUE"	28	0	248715	836811
M_248736_836746	"WORDELL STREET"	17	0	248736	836746
M_248754_836661	"WORDELL STREET"	18	0	248754	836661
M_248787_836762	"WORDELL STREET"	23	0	248787	836762
M_248797_836682	"WORDELL STREET"	24	0	248797	836682
M_248816_836254	"DR BRALEY ROAD"	0	0	248816	836254
M_248838_836474	"WORDELL STREET"	30	0	248838	836474
M_248847_836133	"DR BRALEY ROAD"	0	0	248847	836133
M_248865_836811	"NORTH AVENUE"	34	0	248865	836811
M_248890_836686	"WORDELL STREET"	34	0	248890	836686
M_248897_836056	"DR BRALEY ROAD"	0	0	248897	836056
M_248899_836114	"DR BRALEY ROAD"	6	0	248899	836114
M_248918_836304	"DR BRALEY ROAD"	15	0	248918	836304
M_248951_836797	"NORTH AVENUE"	54	0	248951	836797
M_248963_836026	"DR BRALEY ROAD"	34	0	248963	836026
M_248967_836656	"WORDELL STREET"	38	0	248967	836656
M_249013_836201	"DR BRALEY ROAD"	25	0	249013	836201
M_249021_836704	"WORDELL STREET"	0	0	249021	836704
M_249022_836824	"NORTH AVENUE"	60	0	249022	836824
M_249027_836346	"DAISY LANE"	53	0	249027	836346
M_249045_836094	"DR BRALEY ROAD"	38	0	249045	836094
M_249055_835718	"ASHLEY BROOK LANE"	18	0	249055	835718
M_249066_835620	"ASHLEY BROOK LANE"	0	0	249066	835620
M_249071_836220	"DR BRALEY ROAD"	35	0	249071	836220
M_249093_836051	"DR BRALEY ROAD"	40	0	249093	836051
M_249101_836841	"NORTH AVENUE"	70	0	249101	836841
M_249106_837201	"BRALEY HILL ROAD"	0	0	249106	837201
M_249109_836724	"BERNARD'S WAY"	4	0	249109	836724
M_249120_836385	"BRALEY HILL ROAD"	265	0	249120	836385
M_249124_835537	"ASHLEY BROOK LANE"	21	0	249124	835537
M_249137_836596	"BRALEY HILL ROAD"	309	0	249137	836596
M_249145_836553	"BRALEY HILL ROAD"	305	0	249145	836553
