LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_77606_936725	"OFF TUNNEL ROAD NEAR RR"	0	0	77606	936725
M_77628_936775	"TUNNEL RD"	0	0	77628	936775
M_77676_936929	"TUNNEL RD"	0	0	77676	936929
M_77801_937001	"TUNNEL ROAD NEAR RR"	0	0	77801	937001
M_77961_936441	"TUNNEL RD"	0	0	77961	936441
M_77980_936346	"TUNNEL RD"	0	0	77980	936346
M_78055_936409	"TUNNEL RD"	14	0	78055	936409
M_78099_936397	"TUNNEL RD"	0	0	78099	936397
M_78140_936370	"TUNNEL RD"	0	0	78140	936370
M_78203_936295	"TUNNEL RD"	0	0	78203	936295
M_78208_936342	"TUNNEL RD"	22	0	78208	936342
M_78256_936124	"OFF TUNNEL ROAD NEAR RR"	0	0	78256	936124
M_78340_936132	"TUNNEL RD"	0	0	78340	936132
M_78420_936345	"TUNNEL RD"	0	0	78420	936345
M_78701_937313	"OFF TUNNEL ROAD NEAR RR"	0	0	78701	937313
M_78712_935935	"TUNNEL RD"	0	0	78712	935935
M_78754_936548	"TUNNEL RD"	0	0	78754	936548
M_78852_935747	"DEERFIELD RIVER RD"	0	0	78852	935747
M_78957_936168	"TUNNEL RD"	0	0	78957	936168
M_79068_936972	"TUNNEL RD"	0	0	79068	936972
M_79081_935666	"OFF TUNNEL ROAD NEAR RR"	0	0	79081	935666
M_79152_936531	"TUNNEL RD"	0	0	79152	936531
M_79175_935944	"TUNNEL RD"	0	0	79175	935944
M_79269_935811	"TUNNEL RD"	0	0	79269	935811
M_79425_936681	"TUNNEL RD"	0	0	79425	936681
M_79461_935911	"TUNNEL RD"	0	0	79461	935911
M_79620_937029	"TUNNEL RD"	0	0	79620	937029
M_79707_936713	"TUNNEL RD"	0	0	79707	936713
M_79709_937877	"BEAR SWAMP ROAD"	1	0	79709	937877
M_79778_936371	"OFF TUNNEL ROAD NEAR RR"	0	0	79778	936371
M_79860_936096	"TUNNEL RD"	0	0	79860	936096
M_79950_936012	"OFF TUNNEL ROAD NEAR RR"	0	0	79950	936012
M_80086_936967	"TUNNEL RD"	0	0	80086	936967
M_80143_936262	"OFF TUNNEL ROAD NEAR RR"	0	0	80143	936262
M_80442_936283	"OFF TUNNEL ROAD NEAR RR"	0	0	80442	936283
M_80642_936202	"OFF TUNNEL ROAD NEAR RR"	0	0	80642	936202
M_80695_935176	"OFF TUNNEL ROAD NEAR RR"	0	0	80695	935176
M_80700_936555	"TUNNEL RD"	0	0	80700	936555
M_80727_935353	"OFF TUNNEL ROAD NEAR RR"	0	0	80727	935353
M_80890_937211	"TUNNEL RD"	0	0	80890	937211
M_81024_935231	"OFF TUNNEL ROAD NEAR RR"	0	0	81024	935231
M_81084_941376	"MONROE BRIDGE RD"	0	0	81084	941376
M_81110_937562	"TUNNEL RD"	0	0	81110	937562
M_81202_940566	"MONROE BRIDGE RD"	0	0	81202	940566
M_81282_940018	"MONROE BRIDGE RD"	0	0	81282	940018
M_81298_936154	"STEELE BROOK RD"	0	0	81298	936154
M_81359_936815	"STEELE BROOK RD"	0	0	81359	936815
M_81389_940910	"MONROE BRIDGE RD"	0	0	81389	940910
M_81406_941865	"MONROE BRIDGE RD"	0	0	81406	941865
M_81419_938346	"TUNNEL RD"	0	0	81419	938346
M_81428_937263	"TUNNEL RD"	0	0	81428	937263
M_81500_937974	"TUNNEL RD"	0	0	81500	937974
M_81537_942170	"MONROE BRIDGE RD"	0	0	81537	942170
M_81562_936691	"STEELE BROOK RD"	0	0	81562	936691
M_81637_937893	"TUNNEL RD"	377	0	81637	937893
M_81671_937153	"STEELE BROOK RD"	0	0	81671	937153
M_81708_936354	"STEELE BROOK RD"	0	0	81708	936354
M_81729_935798	"STEELE BROOK RD"	0	0	81729	935798
M_81816_938552	"TUNNEL RD"	0	0	81816	938552
M_81825_937846	"TUNNEL RD"	0	0	81825	937846
M_81833_936076	"STEELE BROOK RD"	0	0	81833	936076
M_81842_940048	"TUNNEL RD"	544	0	81842	940048
M_81903_942046	"MONROE BRIDGE RD"	0	0	81903	942046
M_81939_939208	"TUNNEL RD"	468	0	81939	939208
M_81943_936632	"STEELE BROOK RD"	0	0	81943	936632
M_81950_935749	"STEELE BROOK RD"	0	0	81950	935749
M_81952_941857	"MONROE BRIDGE RD"	0	0	81952	941857
M_81958_935921	"STEELE BROOK RD"	37	0	81958	935921
M_81964_935859	"STEELE BROOK RD"	31	0	81964	935859
M_82016_941114	"MONROE BRIDGE RD"	0	0	82016	941114
M_82046_936180	"STEELE BROOK RD"	0	0	82046	936180
M_82062_940407	"MONROE BRIDGE RD"	0	0	82062	940407
M_82067_938218	"TUNNEL RD"	0	0	82067	938218
M_82116_942170	"MONROE BRIDGE RD"	0	0	82116	942170
M_82121_935814	"STEELE BROOK RD"	24	0	82121	935814
M_82148_935924	"STEELE BROOK RD"	0	0	82148	935924
M_82171_936883	"STEELE BROOK RD"	0	0	82171	936883
M_82206_938493	"TUNNEL RD"	0	0	82206	938493
M_82233_938265	"PETRI RD"	0	0	82233	938265
M_82246_942245	"MONROE BRIDGE RD"	0	0	82246	942245
M_82262_935947	"STEELE BROOK RD"	0	0	82262	935947
M_82279_938773	"TUNNEL RD"	450	0	82279	938773
M_82281_938033	"PETRI RD"	0	0	82281	938033
M_82297_942352	"MONROE BRIDGE RD"	0	0	82297	942352
M_82319_939361	"TUNNEL RD"	0	0	82319	939361
M_82331_938177	"PETRI RD"	0	0	82331	938177
M_82352_942200	"MONROE BRIDGE RD"	0	0	82352	942200
M_82361_938269	"PETRI RD"	0	0	82361	938269
M_82361_938385	"PETRI RD"	11	0	82361	938385
M_82367_938491	"PETRI RD"	0	0	82367	938491
M_82373_940245	"HAZELTON RD"	208	0	82373	940245
M_82376_936206	"ZOAR RD"	0	0	82376	936206
M_82384_942512	"MONROE BRIDGE RD"	0	0	82384	942512
M_82403_938659	"TUNNEL RD"	0	0	82403	938659
M_82413_937392	"TUNNEL RD"	0	0	82413	937392
M_82438_939935	"HAZELTON RD"	205	0	82438	939935
M_82453_936517	"ZOAR RD"	68	0	82453	936517
M_82453_938382	"PETRI RD"	0	0	82453	938382
M_82463_941929	"MONROE BRIDGE RD"	0	0	82463	941929
M_82513_939055	"TUNNEL RD"	476	0	82513	939055
M_82519_939299	"TUNNEL RD"	0	0	82519	939299
M_82521_941057	"MONROE BRIDGE RD"	0	0	82521	941057
M_82526_936904	"ZOAR RD"	0	0	82526	936904
M_82535_938455	"PETRI RD"	0	0	82535	938455
M_82535_939157	"TUNNEL RD"	488	0	82535	939157
M_82553_939592	"TUNNEL RD"	530	0	82553	939592
M_82573_937995	"PETRI RD"	36	0	82573	937995
M_82606_938908	"TUNNEL RD"	0	0	82606	938908
M_82609_939273	"TUNNEL RD"	506	0	82609	939273
M_82632_938693	"TUNNEL RD"	465	0	82632	938693
M_82698_940701	"MONROE BRIDGE RD"	0	0	82698	940701
M_82715_942264	"MONROE BRIDGE RD"	0	0	82715	942264
M_82720_940060	"HAZELTON RD"	0	0	82720	940060
M_82732_940319	"HAZELTON RD"	0	0	82732	940319
M_82733_938983	"BRITTINGHAM HILL RD"	99	0	82733	938983
M_82740_939064	"TUNNEL RD"	0	0	82740	939064
M_82743_936186	"ZOAR RD"	0	0	82743	936186
M_82758_939232	"TUNNEL RD"	0	0	82758	939232
M_82766_942948	"YANKEE ROAD"	0	0	82766	942948
M_82773_939412	"TUNNEL RD"	505	0	82773	939412
M_82821_940078	"HAZELTON RD"	198	0	82821	940078
M_82823_938503	"BRITTINGHAM HILL RD"	72	0	82823	938503
M_82826_941376	"MONROE BRIDGE RD"	0	0	82826	941376
M_82859_938921	"BRITTINGHAM HILL RD"	93	0	82859	938921
M_82876_936650	"ZOAR RD"	61	0	82876	936650
M_82898_938072	"BRITTINGHAM HILL RD"	54	0	82898	938072
M_82900_938690	"BRITTINGHAM HILL RD"	81	0	82900	938690
M_82912_939187	"TUNNEL RD"	487	0	82912	939187
M_82943_939883	"TUNNEL RD"	539	0	82943	939883
M_82973_940780	"MONROE BRIDGE RD"	0	0	82973	940780
M_82992_940254	"MONROE HILL RD"	4	0	82992	940254
M_83010_940554	"MONROE BRIDGE RD"	40	0	83010	940554
M_83014_937183	"ZOAR RD"	100	0	83014	937183
M_83040_943011	"MONROE BRIDGE RD"	0	0	83040	943011
M_83057_937545	"ZOAR RD"	124	0	83057	937545
M_83059_942939	"YANKEE ROAD"	49	0	83059	942939
M_83067_937287	"ZOAR RD"	106	0	83067	937287
M_83103_936606	"ZOAR RD"	0	0	83103	936606
M_83119_939266	"COUNTY RD"	0	0	83119	939266
M_83131_938399	"BRITTINGHAM HILL RD"	0	0	83131	938399
M_83137_937982	"BRITTINGHAM HILL RD"	24	0	83137	937982
M_83155_937217	"ZOAR RD"	87	0	83155	937217
M_83159_943014	"YANKEE ROAD"	0	0	83159	943014
M_83166_940607	"FORD HILL RD"	248	0	83166	940607
M_83175_937745	"BRITTINGHAM HILL RD"	14	0	83175	937745
M_83180_938776	"COUNTY RD"	0	0	83180	938776
M_83186_937003	"ZOAR RD"	0	0	83186	937003
M_83199_939711	"HAZELTON RD"	0	0	83199	939711
M_83242_939924	"HAZELTON RD"	0	0	83242	939924
M_83245_940645	"FORD HILL RD"	0	0	83245	940645
M_83255_942218	"MONROE BRIDGE RD"	0	0	83255	942218
M_83258_944074	"YANKEE ROAD"	0	0	83258	944074
M_83260_938140	"BRITTINGHAM HILL RD"	37	0	83260	938140
M_83298_941630	"MONROE BRIDGE RD"	0	0	83298	941630
M_83321_937674	"BRITTINGHAM HILL RD"	0	0	83321	937674
M_83327_937863	"BRITTINGHAM HILL RD"	0	0	83327	937863
M_83340_940474	"FORD HILL RD"	0	0	83340	940474
M_83342_937521	"ZOAR RD"	131	0	83342	937521
M_83349_936469	"ZOAR RD"	0	0	83349	936469
M_83365_940668	"FORD HILL RD"	242	0	83365	940668
M_83370_939815	"HAZELTON RD"	163	0	83370	939815
M_83404_940170	"HAZELTON RD"	160	0	83404	940170
M_83407_940905	"BROWN RD"	20	0	83407	940905
M_83414_939316	"COUNTY RD"	110	0	83414	939316
M_83422_939917	"HAZELTON RD"	159	0	83422	939917
M_83434_937721	"ZOAR RD"	0	0	83434	937721
M_83465_938337	"COUNTY RD"	0	0	83465	938337
M_83475_937980	"COUNTY RD"	7	0	83475	937980
M_83567_943204	"YANKEE ROAD"	0	0	83567	943204
M_83578_938521	"COUNTY RD"	0	0	83578	938521
M_83584_938596	"COUNTY RD"	0	0	83584	938596
M_83588_940420	"FORD HILL RD"	0	0	83588	940420
M_83595_938763	"COUNTY RD"	0	0	83595	938763
M_83599_938675	"COUNTY RD"	0	0	83599	938675
M_83605_938850	"COUNTY RD"	0	0	83605	938850
M_83616_937875	"ZOAR RD"	162	0	83616	937875
M_83624_938935	"COUNTY RD"	0	0	83624	938935
M_83651_939483	"COUNTY RD"	120	0	83651	939483
M_83669_937473	"ZOAR RD"	0	0	83669	937473
M_83670_939738	"COUNTY RD"	0	0	83670	939738
M_83673_940419	"FORD HILL RD"	0	0	83673	940419
M_83688_938181	"ZOAR RD"	0	0	83688	938181
M_83693_941223	"BROWN RD"	36	0	83693	941223
M_83695_937593	"ZOAR RD"	171	0	83695	937593
M_83706_939082	"COUNTY RD"	0	0	83706	939082
M_83720_936794	"ZOAR RD"	0	0	83720	936794
M_83746_936468	"ZOAR RD"	0	0	83746	936468
M_83746_940479	"FORD HILL RD"	201	0	83746	940479
M_83760_939514	"COUNTY RD"	127	0	83760	939514
M_83762_937956	"ZOAR RD"	0	0	83762	937956
M_83770_940326	"FORD HILL RD"	0	0	83770	940326
M_83785_942556	"MONROE BRIDGE RD"	0	0	83785	942556
M_83799_941480	"BROWN RD"	0	0	83799	941480
M_83816_940119	"HAZELTON RD"	0	0	83816	940119
M_83835_937221	"ZOAR RD"	0	0	83835	937221
M_83836_940396	"FORD HILL RD"	195	0	83836	940396
