LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_446634_3087500	"BLISS HILL RD"	0	0	136134	941072
F_446648_3086542	"BLISS HILL RD"	0	0	136139	940780
F_446697_3088486	"BLISS HILL RD"	0	0	136154	941372
F_447535_3085042	"BLISS HILL RD"	0	0	136409	940323
F_447576_3082080	"WARWICK RD"	0	0	136421	939420
F_447661_3086458	"BLISS HILL RD"	163	0	136447	940754
F_447760_3083520	"BLISS HILL RD"	0	0	136478	939859
F_447796_3087320	"BLISS HILL RD"	0	0	136488	941017
F_447910_3086864	"BLISS HILL RD"	0	0	136523	940878
F_447965_3081200	"WARWICK RD"	286	0	136540	939152
F_448005_3079500	"WARWICK RD"	285	0	136552	938633
F_448148_3086083	"BLISS HILL RD"	0	0	136596	940640
F_448167_3088231	"BLISS HILL RD"	0	0	136602	941295
F_448214_3085776	"BLISS HILL RD"	159	0	136616	940546
F_448262_3085476	"BLISS HILL RD"	0	0	136631	940455
F_448293_3085150	"BLISS HILL RD"	155	0	136640	940356
F_448315_3081419	"WARWICK RD"	284	0	136647	939218
F_448345_3086459	"BLISS HILL RD"	0	0	136656	940755
F_448386_3073061	"BLISS HILL RD"	0	0	136668	936671
F_448397_3077686	"BLISS HILL RD"	0	0	136672	938081
F_448485_3080850	"WARWICK RD"	277	0	136699	939045
F_448531_3084913	"BLISS HILL RD"	153	0	136713	940283
F_448555_3082496	"BLISS HILL ROAD"	121	0	136720	939547
F_448587_3081184	"WARWICK RD"	280	0	136730	939147
F_448603_3073916	"BLISS HILL RD"	0	0	136734	936931
F_448631_3076180	"BLISS HILL RD"	51	0	136743	937622
F_448681_3081615	"WARWICK RD"	0	0	136758	939278
F_448737_3082867	"BLISS HILL RD"	0	0	136775	939660
F_448759_3074745	"BLISS HILL RD"	47	0	136782	937184
F_448772_3088302	"BLISS HILL RD"	0	0	136786	941316
F_448835_3080583	"BLISS HILL RD"	0	0	136805	938964
F_448866_3072361	"BLISS HILL RD"	0	0	136815	936458
F_448904_3082659	"BLISS HILL RD"	125	0	136826	939596
F_448912_3086093	"BLISS HILL RD"	0	0	136829	940643
F_448958_3085425	"BLISS HILL RD"	0	0	136843	940439
F_448998_3080969	"WARWICK RD"	275	0	136855	939081
F_449026_3082898	"BLISS HILL RD"	127	0	136863	939669
F_449044_3079606	"BLISS HILL RD"	0	0	136869	938666
F_449049_3082093	"BLISS HILL RD"	119	0	136870	939424
F_449052_3086864	"BLISS HILL RD"	0	0	136871	940878
F_449068_3081773	"BLISS HILL RD"	117	0	136876	939326
F_449082_3081577	"BLISS HILL RD"	115	0	136880	939267
