LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_247878_959675	"ELMWOOD ST"	64	0	247878	959675
M_247986_959272	"ELMWOOD ST"	55	0	247986	959272
M_248003_959507	"ELMWOOD ST"	52	0	248003	959507
M_248023_959137	"ELMWOOD ST"	39	0	248023	959137
M_248042_959630	"ELMWOOD ST"	60	0	248042	959630
M_248075_959404	"ELMWOOD ST"	46	0	248075	959404
M_248093_959213	"ELMWOOD ST"	40	0	248093	959213
M_248119_958729	"TWIN BROOKS RD"	8	0	248119	958729
M_248130_959128	"ELMWOOD ST"	36	0	248130	959128
M_248132_959181	"ELMWOOD ST"	38	0	248132	959181
M_248138_958931	"ELMWOOD ST"	33	0	248138	958931
M_248148_958625	"TWIN BROOKS RD"	7	0	248148	958625
M_248158_958904	"ELMWOOD ST"	31	0	248158	958904
M_248166_958759	"TWIN BROOKS RD"	6	0	248166	958759
M_248171_958579	"TWIN BROOKS RD"	9	0	248171	958579
M_248184_958871	"ELMWOOD ST"	29	0	248184	958871
M_248197_958660	"TWIN BROOKS RD"	5	0	248197	958660
M_248201_958843	"ELMWOOD ST"	27	0	248201	958843
M_248203_958768	"TWIN BROOKS RD"	4	0	248203	958768
M_248212_958938	"ELMWOOD ST"	34	0	248212	958938
M_248218_958704	"TWIN BROOKS RD"	3	0	248218	958704
M_248218_958911	"ELMWOOD ST"	30	0	248218	958911
M_248219_958357	"ELMWOOD ST"	5	0	248219	958357
M_248237_958793	"TWIN BROOKS RD"	2	0	248237	958793
M_248241_958590	"ELMWOOD ST"	15	0	248241	958590
M_248249_958307	"ELMWOOD ST"	3	0	248249	958307
M_248264_958727	"TWIN BROOKS RD"	1	0	248264	958727
M_248267_958395	"ELMWOOD ST"	7	0	248267	958395
M_248284_958696	"ELMWOOD ST"	21	0	248284	958696
M_248287_958144	"CONGRESS ST"	57	0	248287	958144
M_248298_958593	"ELMWOOD ST"	13	0	248298	958593
M_248298_958670	"ELMWOOD ST"	19	0	248298	958670
M_248300_958487	"ELMWOOD ST"	9	0	248300	958487
M_248303_958350	"ELMWOOD ST"	2	0	248303	958350
M_248303_958637	"ELMWOOD ST"	17	0	248303	958637
M_248305_958262	"ELMWOOD ST"	0	0	248305	958262
M_248306_958539	"ELMWOOD ST"	11	0	248306	958539
M_248308_958231	"CONGRESS ST"	60	0	248308	958231
M_248335_958388	"ELMWOOD ST"	4	0	248335	958388
M_248339_958158	"CONGRESS ST"	53	0	248339	958158
M_248342_958741	"ELMWOOD ST"	24	0	248342	958741
M_248352_958234	"CONGRESS ST"	58	0	248352	958234
M_248360_959327	"FOLLY MILL RD"	15	0	248360	959327
M_248367_958512	"ELMWOOD ST"	8	0	248367	958512
M_248371_958831	"FOLLY MILL RD"	5	0	248371	958831
M_248377_958882	"FOLLY MILL RD"	7	0	248377	958882
M_248385_958556	"ELMWOOD ST"	10	0	248385	958556
M_248389_958461	"ELMWOOD ST"	6	0	248389	958461
M_248393_958642	"FOLLY MILL RD"	2	0	248393	958642
M_248400_958186	"CONGRESS ST"	56	0	248400	958186
M_248406_958950	"FOLLY MILL RD"	9	0	248406	958950
M_248407_958729	"FOLLY MILL RD"	6	0	248407	958729
M_248412_958595	"ELMWOOD ST"	12	0	248412	958595
M_248416_958790	"FOLLY MILL RD"	8	0	248416	958790
M_248424_958990	"FOLLY MILL RD"	13	0	248424	958990
M_248451_957977	"CONGRESS ST"	47	0	248451	957977
M_248452_958158	"CONGRESS ST"	54	0	248452	958158
M_248466_957755	"CONGRESS ST"	41	0	248466	957755
M_248468_959090	"FOLLY MILL RD"	17	0	248468	959090
M_248471_958878	"FOLLY MILL RD"	20	0	248471	958878
M_248475_958943	"FOLLY MILL RD"	14	0	248475	958943
M_248477_958989	"FOLLY MILL RD"	16	0	248477	958989
M_248488_958148	"CONGRESS ST"	52	0	248488	958148
M_248491_959115	"FOLLY MILL RD"	19	0	248491	959115
M_248513_958135	"CONGRESS ST"	50	0	248513	958135
M_248540_959146	"FOLLY MILL RD"	23	0	248540	959146
M_248545_958124	"CONGRESS ST"	48	0	248545	958124
M_248559_959101	"FOLLY MILL RD"	22	0	248559	959101
M_248574_958116	"CONGRESS ST"	46	0	248574	958116
M_248579_959155	"FOLLY MILL RD"	25	0	248579	959155
M_248592_959107	"FOLLY MILL RD"	24	0	248592	959107
M_248613_959318	"FOLLY MILL RD"	29	0	248613	959318
M_248616_958104	"CONGRESS ST"	40	0	248616	958104
M_248616_959107	"FOLLY MILL RD"	26	0	248616	959107
M_248617_958625	"FOLLY MILL RD"	4	0	248617	958625
M_248638_956894	"MAIN ST"	140	0	248638	956894
M_248651_959101	"FOLLY MILL RD"	28	0	248651	959101
M_248651_959175	"FOLLY MILL RD"	27	0	248651	959175
M_248658_957087	"MAIN ST"	124	0	248658	957087
M_248676_959693	"BLACKSNAKE RD"	29	0	248676	959693
M_248681_959116	"FOLLY MILL RD"	30	0	248681	959116
M_248699_956762	"MAIN ST"	145	0	248699	956762
M_248703_956912	"MAIN ST"	141	0	248703	956912
M_248705_956870	"MAIN ST"	143	0	248705	956870
M_248709_959123	"FOLLY MILL RD"	32	0	248709	959123
M_248716_959191	"FOLLY MILL RD"	31	0	248716	959191
M_248727_959278	"FOLLY MILL RD"	33	0	248727	959278
M_248731_959653	"BLACKSNAKE RD"	27	0	248731	959653
M_248734_956958	"MAIN ST"	137	0	248734	956958
M_248739_959133	"FOLLY MILL RD"	34	0	248739	959133
M_248740_959602	"BLACKSNAKE RD"	25	0	248740	959602
M_248741_959338	"FOLLY MILL RD"	37	0	248741	959338
M_248752_959718	"BLACKSNAKE RD"	28	0	248752	959718
M_248770_959145	"FOLLY MILL RD"	36	0	248770	959145
M_248797_959585	"BLACKSNAKE RD"	23	0	248797	959585
M_248800_959154	"FOLLY MILL RD"	38	0	248800	959154
M_248800_959213	"FOLLY MILL RD"	39	0	248800	959213
M_248804_959696	"BLACKSNAKE RD"	26	0	248804	959696
M_248813_959668	"BLACKSNAKE RD"	24	0	248813	959668
M_248826_959158	"FOLLY MILL RD"	40	0	248826	959158
M_248826_959240	"FOLLY MILL RD"	41	0	248826	959240
M_248841_959563	"BLACKSNAKE RD"	21	0	248841	959563
M_248842_959330	"FOLLY MILL RD"	47	0	248842	959330
M_248846_956881	"MAIN ST"	133	0	248846	956881
M_248856_959164	"FOLLY MILL RD"	42	0	248856	959164
M_248869_959221	"FOLLY MILL RD"	43	0	248869	959221
M_248883_959167	"FOLLY MILL RD"	44	0	248883	959167
M_248895_959222	"FOLLY MILL RD"	45	0	248895	959222
M_248903_959505	"BLACKSNAKE RD"	17	0	248903	959505
M_248909_957987	"CONGRESS ST"	32	0	248909	957987
M_248911_957083	"MAIN ST"	127	0	248911	957083
M_248915_954718	"MERRILL ST"	13	0	248915	954718
M_248920_959169	"FOLLY MILL RD"	46	0	248920	959169
M_248923_959476	"BLACKSNAKE RD"	15	0	248923	959476
M_248936_959176	"FOLLY MILL RD"	48	0	248936	959176
M_248941_959452	"BLACKSNAKE RD"	13	0	248941	959452
M_248946_954833	"MERRILL ST"	14	0	248946	954833
M_248949_957097	"MAIN ST"	125	0	248949	957097
M_248955_957897	"CONGRESS ST"	28	0	248955	957897
M_248958_959241	"FOLLY MILL RD"	49	0	248958	959241
M_248964_957038	"JOY RD"	2	0	248964	957038
M_248965_959424	"BLACKSNAKE RD"	11	0	248965	959424
M_248968_954324	"POOR FARM RD"	6	0	248968	954324
M_248969_959397	"BLACKSNAKE RD"	9	0	248969	959397
M_248974_954935	"MERRILL ST"	12	0	248974	954935
M_248974_959186	"FOLLY MILL RD"	50	0	248974	959186
M_248978_956424	"JOY RD"	20	0	248978	956424
M_248979_957856	"CONGRESS ST"	26	0	248979	957856
M_248990_959369	"BLACKSNAKE RD"	7	0	248990	959369
M_248992_954407	"POOR FARM RD"	5	0	248992	954407
M_249003_959193	"FOLLY MILL RD"	52	0	249003	959193
M_249008_958132	"CONGRESS ST"	22	0	249008	958132
M_249008_959324	"BLACKSNAKE RD"	3	0	249008	959324
