LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_919113_2695524	"SIMPKINS ROAD"	0	0	280146	821597
F_919327_2707227	"SOUTHWIND DRIVE"	8	0	280211	825164
F_919336_2707335	"SOUTHWIND DRIVE"	6	0	280214	825197
F_919340_2707122	"SOUTHWIND DRIVE"	10	0	280215	825132
F_919369_2707429	"SOUTHWIND DRIVE"	4	0	280224	825226
F_919420_2707510	"SOUTHWIND DRIVE"	2	0	280240	825251
F_919427_2707904	"FARMVIEW DRIVE"	20	0	280242	825371
F_919450_2707993	"FARMVIEW DRIVE"	18	0	280249	825398
F_919482_2708082	"FARMVIEW DRIVE"	16	0	280259	825425
F_919508_2707247	"SOUTHWIND DRIVE"	7	0	280267	825171
F_919513_2708172	"FARMVIEW DRIVE"	14	0	280268	825452
F_919546_2707149	"SOUTHWIND DRIVE"	9	0	280278	825141
F_919546_2708261	"FARMVIEW DRIVE"	10	0	280278	825480
F_919554_2707383	"SOUTHWIND DRIVE"	1	0	280281	825212
F_919579_2708351	"FARMVIEW DRIVE"	6	0	280288	825507
F_919604_2707089	"SOUTHWIND DRIVE"	11	0	280296	825122
F_919625_2707310	"FARMVIEW DRIVE"	26	0	280302	825190
F_919637_2707825	"FARMVIEW DRIVE"	21	0	280306	825347
F_919639_2708466	"FARMVIEW DRIVE"	0	0	280307	825542
F_919650_2707670	"FARMVIEW DRIVE"	0	0	280310	825299
F_919664_2707916	"FARMVIEW DRIVE"	19	0	280314	825374
F_919678_2707045	"SOUTHWIND DRIVE"	15	0	280318	825109
F_919694_2708002	"FARMVIEW DRIVE"	17	0	280323	825401
F_919703_2707244	"FARMVIEW DRIVE"	28	0	280326	825170
F_919717_2708779	"SNAKE POND ROAD"	142	0	280330	825637
F_919725_2708087	"FARMVIEW DRIVE"	15	0	280333	825427
F_919730_2707552	"FARMVIEW DRIVE"	25	0	280334	825264
F_919752_2706992	"SOUTHWIND DRIVE"	17	0	280341	825093
F_919756_2708172	"FARMVIEW DRIVE"	11	0	280342	825452
F_919783_2707187	"FARMVIEW DRIVE"	30	0	280350	825152
F_919787_2708257	"FARMVIEW DRIVE"	9	0	280352	825478
F_919792_2707483	"FARMVIEW DRIVE"	27	0	280353	825242
F_919819_2708343	"FARMVIEW DRIVE"	7	0	280361	825505
F_919822_2709007	"BELMONT AVENUE"	3	0	280362	825707
F_919825_2706937	"SOUTHWIND DRIVE"	19	0	280363	825076
F_919840_2708833	"SNAKE POND ROAD"	138	0	280368	825654
F_919851_2708428	"FARMVIEW DRIVE"	5	0	280371	825531
F_919856_2707131	"FARMVIEW DRIVE"	32	0	280373	825135
F_919858_2707422	"FARMVIEW DRIVE"	29	0	280373	825224
