LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_776612_2999769	"LORING RD"	18	0	236712	914331
F_776613_3000261	"JAMAICA RD"	8	0	236712	914481
F_776619_3000512	"RICHMOND RD"	22	0	236714	914558
F_776637_3000073	"FLUSHING RD"	18	0	236719	914424
F_776689_3000536	"GOLDEN HILLS RD"	88	0	236735	914565
F_776696_3000446	"GOLDEN HILLS RD"	82	0	236737	914538
F_776708_3000304	"GOLDEN HILLS RD"	78	0	236741	914494
F_776716_3000217	"GOLDEN HILLS RD"	76	0	236744	914468
F_776721_3000125	"GOLDEN HILLS RD"	70	0	236745	914440
F_776723_2999878	"GOLDEN HILLS RD"	62	0	236746	914365
F_776724_3000030	"GOLDEN HILLS RD"	68	0	236746	914411
F_776724_3000729	"GOLDEN HILLS RD"	94	0	236746	914624
F_776739_3001236	"GOLDEN HILLS RD"	0	0	236751	914779
F_776747_2999152	"GOLDEN HILLS RD"	34	0	236753	914143
F_776748_2999095	"GOLDEN HILLS RD"	30	0	236753	914126
F_776762_2999019	"COURT ST"	3	0	236758	914103
F_776784_2998898	"GOLDEN HILLS RD"	22	0	236764	914066
F_776787_2999220	"GOLDEN HILLS RD"	36	0	236765	914164
F_776800_2998809	"GOLDEN HILLS RD"	18	0	236769	914039
F_776814_2998735	"GOLDEN HILLS RD"	16	0	236773	914016
F_776823_2998688	"GOLDEN HILLS RD"	14	0	236776	914002
F_776827_3000547	"GOLDEN HILLS RD"	87	0	236777	914569
F_776827_3000829	"GOLDEN HILLS RD"	96	0	236777	914655
F_776833_2998633	"GOLDEN HILLS RD"	12	0	236779	913985
F_776834_3000457	"GOLDEN HILLS RD"	81	0	236779	914541
F_776843_3000325	"GOLDEN HILLS RD"	77	0	236782	914501
F_776847_2998560	"GOLDEN HILLS RD"	8	0	236783	913963
F_776849_3000237	"GOLDEN HILLS RD"	75	0	236784	914474
F_776857_3000118	"GOLDEN HILLS RD"	69	0	236786	914438
F_776862_2998500	"GOLDEN HILLS RD"	4	0	236788	913945
F_776866_3000664	"GOLDEN HILLS RD"	93	0	236789	914604
F_776876_3000024	"GOLDEN HILLS RD"	67	0	236792	914409
F_776878_2999799	"GOLDEN HILLS RD"	61	0	236793	914341
F_776883_2999526	"GOLDEN HILLS RD"	49	0	236794	914257
F_776892_2999931	"GOLDEN HILLS RD"	63	0	236797	914381
F_776910_2999247	"GOLDEN HILLS RD"	37	0	236803	914172
F_776917_3000448	"JAMAICA RD"	5	0	236805	914538
F_776922_2999411	"GOLDEN HILLS RD"	47	0	236806	914222
F_776928_2999015	"GOLDEN HILLS RD"	25	0	236808	914102
F_776942_2998808	"GOLDEN HILLS RD"	15	0	236812	914039
F_776945_3000896	"GOLDEN HILLS RD"	102	0	236813	914675
F_776955_3000244	"FLUSHING RD"	7	0	236816	914476
F_776960_2998588	"GOLDEN HILLS RD"	9	0	236818	913971
F_776964_3000128	"FLUSHING RD"	4	0	236819	914441
F_776965_2998433	"GOLDEN HILLS RD"	3	0	236819	913924
F_776965_2999124	"GOLDEN HILLS RD"	29	0	236819	914135
F_776968_3000333	"JAMAICA RD"	2	0	236820	914503
F_776969_2998937	"GOLDEN HILLS RD"	23	0	236821	914078
F_776971_2998406	"GOLDEN HILLS RD"	1	0	236821	913916
F_776977_2998324	"GRISWOLD RD"	4	0	236823	913891
F_776977_2998874	"GOLDEN HILLS RD"	19	0	236823	914059
F_776979_2999523	"LAKE DAM RD"	38	0	236824	914256
F_776985_2998707	"GOLDEN HILLS RD"	11	0	236826	914008
F_776987_3000545	"RICHMOND RD"	4	0	236826	914568
F_777003_2999009	"SWEETWATER ST"	110	0	236831	914100
F_777003_3000457	"JAMAICA RD"	1	0	236831	914541
F_777005_2998258	"GRISWOLD RD"	4	0	236832	913871
F_777023_2998319	"GRISWOLD RD"	2	0	236837	913889
F_777024_3000983	"GOLDEN HILLS RD"	110	0	236837	914701
F_777028_2998797	"SWEETWATER ST"	114	0	236839	914035
F_777038_2998575	"SWEETWATER ST"	100	0	236842	913967
F_777038_2998638	"SWEETWATER ST"	102	0	236842	913987
F_777060_2999368	"LAKE DAM RD"	26	0	236848	914209
F_777070_2998281	"GRISWOLD RD"	2	0	236851	913878
F_777070_2999143	"CLAREMONT RD"	10	0	236851	914141
F_777086_3000742	"GOLDEN HILLS"	95	0	236856	914628
F_777137_2999303	"LAKE DAM RD"	24	0	236872	914189
F_777143_2999732	"LAKE DAM RD"	50	0	236874	914320
F_777145_2999232	"LAKE DAM RD"	22	0	236874	914168
F_777168_2998143	"SWEETWATER ST"	82	0	236881	913836
F_777172_2998225	"SWEETWATER ST"	84	0	236882	913861
F_777205_2998095	"SWEETWATER ST"	86	0	236893	913821
F_777223_2999884	"LAKE DAM RD"	54	0	236898	914366
F_777233_2998058	"SWEETWATER ST"	78	0	236901	913810
F_777257_2998014	"SWEETWATER ST"	76	0	236908	913796
F_777285_2997971	"SWEETWATER ST"	72	0	236917	913783
F_777299_2998961	"SWEETWATER ST"	121	0	236921	914085
F_777317_2997924	"SWEETWATER ST"	70	0	236927	913769
F_777337_2997770	"SWEETWATER ST"	66	0	236933	913722
F_777353_2998982	"LAKE DAM RD"	8	0	236938	914092
F_777354_2997868	"SWEETWATER ST"	68	0	236938	913752
