LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_697806_2760727	"TAUNTON AVE"	0	0	212692	841471
F_697813_2760796	"ELDEN ST"	0	0	212694	841492
F_697822_2760857	"ELDEN ST"	0	0	212697	841511
F_697837_2760942	"ELDEN ST"	0	0	212701	841537
F_697838_2760733	"TAUNTON AVE"	0	0	212701	841473
F_697864_2760390	"TAUNTON AVE"	0	0	212709	841369
F_697927_2761086	"ELDEN ST"	0	0	212729	841581
F_697933_2760933	"ELDEN ST"	26	0	212730	841534
F_697941_2760843	"ELDEN ST"	0	0	212733	841507
F_697986_2760762	"TAUNTON AVE"	14	0	212747	841482
F_698005_2760012	"TAUNTON AVE REAR"	0	0	212752	841253
F_698005_2760132	"TAUNTON AVE"	0	0	212752	841290
F_698006_2761245	"FAY ST"	40	0	212753	841629
F_698011_2761186	"FAY ST"	34	0	212754	841611
F_698011_2761305	"FAY ST"	42	0	212754	841647
F_698014_2761156	"FAY ST"	30	0	212755	841602
F_698019_2761095	"FAY ST"	22	0	212757	841583
F_698025_2761029	"FAY ST"	16	0	212758	841563
F_698025_2761394	"FAY ST"	0	0	212758	841675
F_698032_2760944	"FAY ST"	8	0	212761	841537
F_698068_2760352	"TAUNTON AVE"	11	0	212772	841357
F_698071_2760792	"TAUNTON AVE"	30	0	212772	841491
F_698071_2761487	"NYE ST"	0	0	212772	841703
F_698100_2761482	"NYE ST"	29	0	212781	841701
F_698139_2761326	"NYE ST"	20	0	212793	841654
F_698147_2761236	"FAY ST"	37	0	212796	841626
F_698153_2760826	"FAY ST"	9	0	212797	841501
F_698163_2761056	"FAY ST"	25	0	212801	841572
F_698174_2760935	"FAY ST"	15	0	212804	841535
F_698198_2760834	"TAUNTON AVE"	38	0	212811	841504
F_698215_2760293	"TAUNTON AVE"	13	0	212816	841339
F_698244_2761266	"GUDE ST"	36	0	212825	841636
F_698248_2760842	"TAUNTON AVE"	42	0	212826	841506
F_698260_2761095	"GUDE ST"	20	0	212830	841583
F_698268_2761005	"GUDE ST"	8	0	212833	841556
F_698277_2761448	"NYE ST"	19	0	212835	841691
F_698309_2759549	"TAUNTON AVE REAR"	0	0	212845	841112
F_698312_2760853	"TAUNTON AVE"	0	0	212846	841510
F_698315_2761826	"HUNT ST"	0	0	212847	841806
F_698382_2761291	"GUDE ST"	37	0	212867	841643
F_698384_2760227	"TAUNTON AVE"	0	0	212868	841319
F_698388_2761230	"GUDE ST"	35	0	212869	841625
F_698402_2761077	"GUDE ST"	29	0	212873	841578
F_698409_2761000	"GUDE ST"	17	0	212875	841554
F_698417_2760912	"GUDE ST"	7	0	212878	841528
F_698422_2761938	"JOY ST"	90	0	212879	841840
F_698425_2761421	"NYE ST"	3	0	212880	841683
F_698439_2760860	"TAUNTON AVE"	58	0	212885	841512
F_698478_2761302	"HUNT ST"	32	0	212897	841647
F_698489_2761208	"HUNT ST"	22	0	212900	841618
F_698500_2760736	"TAUNTON AVE"	0	0	212903	841474
F_698507_2761024	"HUNT ST"	0	0	212905	841562
F_698523_2761973	"JOY ST"	4	0	212910	841851
F_698529_2762124	"JOY ST"	96	0	212912	841897
F_698544_2760648	"MORRIS ST"	0	0	212917	841447
F_698551_2760558	"MORRIS ST"	0	0	212919	841420
F_698551_2760903	"TAUNTON AVE"	62	0	212919	841525
