LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_389932_2983522	"HIDDEN MEADOW RD"	35	0	118852	909379
F_389985_2979403	"WEATHERWOOD RD"	27	0	118868	908124
F_389991_2979115	"WEATHERWOOD RD"	35	0	118869	908036
F_390038_2978837	"WEATHERWOOD RD"	43	0	118884	907951
F_390084_2978559	"HIGH POINT DR"	158	0	118898	907867
F_390099_2982863	"HIDDEN MEADOW RD"	17	0	118902	909178
F_390123_2983152	"ROUND HILLS RD"	45	0	118910	909267
F_390138_2978240	"HIGH POINT DR"	155	0	118914	907769
F_390145_2979505	"WEATHERWOOD RD"	19	0	118916	908155
F_390184_2977954	"WEATHERWOOD RD"	73	0	118928	907682
F_390204_2983880	"HAWKS VIEW RD"	15	0	118934	909488
F_390245_2982649	"JANUARY HILLS RD"	113	0	118947	909113
F_390257_2983393	"ROUND HILLS RD"	43	0	118951	909340
F_390321_2982022	"JANUARY HILLS RD"	128	0	118970	908922
F_390338_2982767	"JANUARY HILLS RD"	105	0	118975	909149
F_390427_2979566	"CUSHMAN RD"	120	0	119002	908174
F_390428_2979077	"WEATHERWOOD RD"	38	0	119003	908024
F_390431_2982894	"JANUARY HILLS RD"	99	0	119004	909188
F_390448_2983685	"HAWKS VIEW RD"	10	0	119009	909429
F_390463_2978373	"WEATHERWOOD RD"	60	0	119013	907810
F_390490_2976434	"PRATT CORNER RD"	807	0	119022	907219
F_390515_2978105	"WEATHERWOOD RD"	77	0	119029	907728
F_390516_2982465	"JANUARY HILLS RD"	116	0	119030	909057
F_390530_2978880	"WEATHERWOOD RD"	42	0	119034	907964
F_390539_2983028	"JANUARY HILLS RD"	91	0	119037	909229
F_390562_2979206	"WEATHERWOOD RD"	20	0	119044	908064
F_390578_2982221	"SUMNER MOUNTAIN RD"	17	0	119048	908983
F_390595_2975331	"PRATT CORNER RD"	834	0	119054	906883
F_390607_2981906	"JANUARY HILLS RD"	124	0	119057	908887
F_390622_2983182	"JANUARY HILLS RD"	81	0	119062	909276
F_390631_2984737	"JANUARY HILLS RD"	27	0	119065	909750
F_390687_2982688	"JANUARY HILLS RD"	98	0	119082	909125
F_390696_2983353	"JANUARY HILLS RD"	75	0	119084	909328
F_390706_2984289	"JANUARY HILLS RD"	29	0	119087	909613
F_390714_2983973	"ROUND HILLS RD"	9	0	119090	909517
F_390755_2979354	"CUSHMAN RD"	110	0	119102	908109
F_390788_2982828	"JANUARY HILLS RD"	92	0	119112	909168
F_390804_2976344	"PRATT CORNER RD"	789	0	119117	907191
F_390823_2983542	"JANUARY HILLS RD"	67	0	119123	909385
F_390875_2982322	"SUMNER MOUNTAIN RD"	21	0	119139	909014
F_390876_2982982	"JANUARY HILLS RD"	84	0	119139	909215
F_390914_2976766	"PRATT CORNER RD"	787	0	119151	907320
F_390924_2982658	"SUMNER MOUNTAIN RD"	16	0	119154	909116
F_390948_2983142	"JANUARY HILLS RD"	82	0	119161	909264
F_390985_2984941	"JANUARY HILLS RD"	3	0	119172	909812
F_390998_2984606	"JANUARY HILLS RD"	21	0	119176	909710
F_391018_2983303	"JANUARY HILLS RD"	74	0	119183	909313
F_391022_2984792	"JANUARY HILLS RD"	9	0	119184	909766
F_391090_2983522	"JANUARY HILLS RD"	64	0	119204	909379
F_391091_2982810	"KETTLE HILL RD"	12	0	119205	909162
F_391142_2982451	"SUMNER MOUNTAIN RD"	26	0	119220	909053
F_391179_2983009	"KETTLE HILL RD"	24	0	119232	909223
F_391190_2983799	"JANUARY HILLS RD"	54	0	119235	909464
F_391238_2983206	"KETTLE HILL RD"	40	0	119250	909283
F_391257_2982560	"KETTLE HILL RD"	13	0	119255	909086
F_391357_2982696	"KETTLE HILL RD"	19	0	119286	909128
F_391444_2983593	"KETTLE HILL RD"	45	0	119312	909401
F_391466_2982903	"KETTLE HILL RD"	21	0	119319	909191
F_391538_2983151	"KETTLE HILL RD"	33	0	119341	909266
F_391632_2976331	"PRATT CORNER RD"	760	0	119370	907188
F_391736_2983256	"SUMNER MOUNTAIN RD"	34	0	119401	909298
F_391801_2979230	"CUSHMAN RD"	64	0	119421	908071
F_391939_2979154	"CUSHMAN RD"	58-60	0	119463	908048
F_391983_2984447	"JANUARY HILLS RD"	18	0	119477	909661
F_392045_2978989	"CUSHMAN RD"	50	0	119496	907998
F_392205_2978638	"CUSHMAN RD"	42	0	119544	907891
F_392888_2978093	"PRATT CORNER RD"	678	0	119753	907725
F_392944_2978260	"PRATT CORNER RD"	672	0	119770	907775
F_392946_2977842	"PRATT CORNER RD"	692	0	119770	907648
F_392960_2977474	"PRATT CORNER RD"	712	0	119774	907536
F_393057_2978336	"PRATT CORNER RD"	662	0	119804	907799
F_393781_2978873	"PRATT CORNER RD"	623	0	120025	907962
F_394924_2980775	"PRATT CORNER RD"	525	0	120373	908542
F_394981_2981042	"PRATT CORNER RD"	511	0	120390	908623
F_395135_2981485	"PRATT CORNER RD"	505	0	120437	908758
F_395441_2980877	"PRATT CORNER RD"	528	0	120531	908573
F_395482_2981115	"PRATT CORNER RD"	508	0	120543	908646
F_395695_2982208	"PRATT CORNER RD"	461	0	120608	908979
F_395773_2981366	"PRATT CORNER RD"	480	0	120632	908722
F_396044_2982929	"PRATT CORNER RD"	425	0	120714	909199
F_396413_2982965	"PRATT CORNER RD"	422	0	120827	909210
F_397530_2985547	"PRATT CORNER RD"	305	0	121167	909997
F_399116_2980241	"SAND HILL RD"	106	0	121651	908379
F_399277_2987408	"PRATT CORNER RD (LEVERETT)"	201-216	0	121700	910564
