LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_755002_2972459	"WOODSTOCK ST"	112	0	230125	906007
F_755024_2972633	"WOODSTOCK ST"	18	0	230132	906060
F_755062_2972396	"WOODSTOCK ST"	104	0	230143	905988
F_755062_2972396	"WOODSTOCK ST"	104-106	0	230143	905988
F_755066_2972566	"WATERHOUSE ST"	63	0	230145	906040
F_755066_2972566	"WOODSTOCK ST"	111	0	230145	906040
F_755107_2972614	"WATERHOUSE ST"	59	0	230157	906055
F_755116_2972343	"WOODSTOCK ST"	100	0	230160	905972
F_755116_2972343	"WOODSTOCK ST"	98	0	230160	905972
F_755116_2972343	"WOODSTOCK ST"	98-100	0	230160	905972
F_755139_2972470	"WATERHOUSE ST"	68	0	230167	906011
F_755152_2972647	"WATERHOUSE ST"	53	0	230171	906065
F_755162_2973057	BROADWAY	1374	0	230174	906190
F_755166_2972251	"VICTORIA ST"	82	0	230175	905944
F_755170_2972507	"WATERHOUSE ST"	64	0	230176	906022
F_755187_2972424	"VICTORIA ST"	71	0	230181	905997
F_755190_2972695	"WATERHOUSE ST"	51	0	230182	906079
F_755201_2972543	"WATERHOUSE ST"	60	0	230186	906033
F_755216_2972303	"VICTORIA ST"	68	0	230190	905960
F_755216_2972303	"VICTORIA ST"	68-70	0	230190	905960
F_755216_2972303	"VICTORIA ST"	70	0	230190	905960
F_755219_2972461	"VICTORIA ST"	65	0	230191	906008
F_755225_2972740	"WATERHOUSE ST"	45	0	230193	906093
F_755225_2972740	"WATERHOUSE ST"	45-47	0	230193	906093
F_755225_2972740	"WATERHOUSE ST"	47	0	230193	906093
F_755232_2972581	"WATERHOUSE ST"	56	0	230195	906045
F_755254_2972499	"VICTORIA ST"	63	0	230202	906020
F_755258_2972267	"HOOKER AVE"	88	0	230203	905949
F_755258_2972784	"WATERHOUSE ST"	41	0	230203	906106
F_755264_2972619	"WATERHOUSE ST"	50	0	230205	906056
F_755289_2972538	"VICTORIA ST"	57	0	230213	906031
F_755290_2972232	"HOOKER AVE"	84	0	230213	905938
F_755291_2972825	"WATERHOUSE ST"	35	0	230213	906119
F_755291_2972825	"WATERHOUSE ST"	35-37	0	230213	906119
F_755291_2972825	"WATERHOUSE ST"	37	0	230213	906119
F_755297_2972390	"VICTORIA ST"	66	0	230215	905986
F_755297_2972657	"WATERHOUSE ST"	48	0	230215	906068
F_755320_2972574	"VICTORIA ST"	53	0	230222	906042
F_755321_2972200	"HOOKER AVE"	80	0	230222	905928
F_755321_2972865	"WATERHOUSE ST"	33	0	230222	906131
F_755329_2972695	"WATERHOUSE ST"	42	0	230225	906079
F_755331_2972427	"VICTORIA ST"	62	0	230225	905998
F_755351_2972328	"GARRISON AVE"	73	0	230231	905967
F_755352_2972609	"VICTORIA ST"	51	0	230232	906053
F_755352_2972905	"WATERHOUSE ST"	27	0	230232	906143
F_755352_2972905	"WATERHOUSE ST"	27-29	0	230232	906143
F_755352_2972905	"WATERHOUSE ST"	29	0	230232	906143
F_755353_2972167	"HOOKER AVE"	76	0	230232	905918
F_755361_2972734	"WATERHOUSE ST"	38	0	230234	906091
F_755366_2972464	"VICTORIA ST"	56	0	230236	906009
F_755378_2972357	"GARRISON AVE"	69	0	230240	905976
F_755382_2972944	"WATERHOUSE ST"	25	0	230241	906155
F_755385_2972134	"HOOKER AVE"	68	0	230242	905908
F_755385_2972134	"HOOKER AVE"	68-72	0	230242	905908
F_755385_2972134	"HOOKER AVE"	70	0	230242	905908
F_755385_2972134	"HOOKER AVE"	72	0	230242	905908
F_755385_2972646	"VICTORIA ST"	45	0	230242	906064
F_755388_2973521	"ALEWIFE BROOK PKWY"	105	0	230243	906331
F_755393_2972772	"WATERHOUSE ST"	34	0	230244	906103
F_755393_2972772	"WATERHOUSE ST"	36	0	230244	906103
F_755396_2972495	"VICTORIA ST"	54	0	230245	906018
F_755405_2972385	"GARRISON AVE"	65	0	230248	905985
F_755412_2973231	BROADWAY	1340	0	230250	906243
F_755413_2972984	"WATERHOUSE ST"	19	0	230250	906167
F_755418_2971987	"ALEWIFE BROOK PKWY"	0	0	230252	905863
F_755421_2972523	"VICTORIA ST"	52-52A	0	230253	906027
F_755421_2972523	"VICTORIA ST"	52A	0	230253	906027
F_755421_2972523	"VICTORIA ST"	52B	0	230253	906027
F_755422_2972688	"VICTORIA ST"	43	0	230253	906077
F_755426_2972810	"WATERHOUSE ST"	30	0	230254	906114
F_755433_2972415	"GARRISON AVE"	61	0	230256	905994
F_755443_2973024	"WATERHOUSE ST"	17	0	230259	906180
F_755447_2972550	"VICTORIA ST"	48	0	230261	906035
F_755449_2972067	"HOOKER AVE"	64	0	230261	905888
F_755452_2972229	"GARRISON AVE"	70	0	230262	905937
F_755452_2972229	"GARRISON AVE"	70-72	0	230262	905937
F_755452_2972229	"GARRISON AVE"	72	0	230262	905937
F_755456_2972725	"VICTORIA ST"	37	0	230263	906088
F_755458_2972848	"WATERHOUSE ST"	26	0	230264	906126
F_755458_2972848	"WATERHOUSE ST"	28	0	230264	906126
F_755461_2972444	"GARRISON AVE"	57	0	230265	906003
