LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_483750_2836820	"ROUTE 84"	182	0	147447	864664
F_483827_2856388	"HOLLAND ROAD"	272	0	147471	870629
F_483907_2844110	"VINTON ROAD"	35	0	147495	866886
F_483919_2862783	"STREETER ROAD"	71	0	147499	872578
F_483964_2844838	"VINTON ROAD"	33	0	147513	867108
F_483975_2862959	"STREETER ROAD"	69	0	147516	872632
F_483982_2879626	"WARREN ROAD"	40	0	147518	877712
F_484002_2856491	"HOLLAND ROAD"	270	0	147524	870660
F_484022_2845463	"VINTON ROAD"	18	0	147530	867299
F_484023_2872750	"CHAMPEAUX ROAD"	51	0	147531	875616
F_484034_2863086	"STREETER ROAD"	67	0	147534	872670
F_484065_2856138	"HOLLAND ROAD"	279	0	147543	870553
F_484067_2871999	"CHAMPEAUX ROAD"	46	0	147544	875387
F_484076_2854615	"LEADMINE ROAD"	424	0	147547	870088
F_484098_2879678	"WARREN ROAD"	38	0	147553	877728
F_484116_2856594	"HOLLAND ROAD"	268	0	147559	870692
F_484123_2852707	"LEADMINE ROAD"	426	0	147561	869507
F_484124_2863282	"STREETER ROAD"	63	0	147561	872730
F_484163_2880421	"PINE MEADOW LANE"	43	0	147573	877954
F_484184_2872722	"CHAMPEAUX ROAD"	49	0	147580	875607
F_484199_2843929	"VINTON ROAD"	27	0	147584	866831
F_484208_2880643	"PINE MEADOW LANE"	45	0	147587	878022
F_484230_2873227	"CHAMPEAUX ROAD"	53	0	147594	875761
F_484232_2863899	"STREETER ROAD"	59	0	147594	872918
F_484242_2857632	"HOLLAND ROAD"	266	0	147597	871008
F_484258_2877375	"BROOKFIELD ROAD"	227	0	147602	877026
F_484283_2873742	"CHAMPEAUX ROAD"	45	0	147610	875918
F_484284_2871506	"CHAMPEAUX ROAD"	48	0	147610	875237
F_484302_2863426	"STREETER ROAD"	61	0	147616	872774
F_484305_2862750	"STREETER ROAD"	66	0	147616	872568
F_484327_2876117	"BROOKFIELD ROAD"	221	0	147623	876642
F_484330_2862099	"STREETER ROAD"	70	0	147624	872370
F_484340_2872684	"CHAMPEAUX ROAD"	47	0	147627	875596
F_484346_2848275	"LENO ROAD"	5	0	147629	868156
F_484347_2848742	"LENO ROAD"	1	0	147629	868298
F_484363_2879599	"WARREN ROAD"	36	0	147634	877704
F_484364_2847565	"LEADMINE ROAD"	480	0	147634	867940
F_484375_2863035	"STREETER ROAD"	62	0	147638	872655
F_484389_2856358	"HOLLAND ROAD"	273	0	147642	870620
F_484428_2878408	"WARREN ROAD"	32	0	147654	877341
F_484449_2863173	"STREETER ROAD"	60	0	147660	872697
F_484451_2872613	"CHAMPEAUX ROAD"	43	0	147661	875574
F_484461_2880259	"WARREN ROAD"	39	0	147664	877905
F_484485_2839459	"ROUTE 15"	680	0	147671	865469
F_484514_2849162	"LEADMINE ROAD"	460	0	147680	868426
F_484546_2849383	"LEADMINE ROAD"	446	0	147690	868494
F_484552_2871976	"CHAMPEAUX ROAD"	42	0	147692	875380
F_484558_2859004	"HOLLAND ROAD"	224B	0	147694	871426
F_484569_2846342	"LEADMINE ROAD"	500	0	147697	867567
F_484569_2871058	"MAIN STREET"	800	0	147697	875100
F_484575_2849579	"LEADMINE ROAD"	458	0	147699	868553
F_484575_2872676	"CHAMPEAUX ROAD"	41	0	147699	875593
F_484596_2882860	"BROOKFIELD ROAD"	305	0	147705	878697
F_484607_2856384	"HOLLAND ROAD"	271	0	147709	870628
F_484610_2863528	"STREETER ROAD"	57	0	147709	872805
F_484618_2849076	"LEADMINE ROAD"	462	0	147712	868400
F_484621_2855550	"HOLLAND ROAD"	281	0	147713	870373
F_484622_2856598	"HOLLAND ROAD"	267	0	147713	870693
F_484628_2844350	"VINTON ROAD"	21	0	147715	866960
F_484643_2857190	"HOLLAND ROAD"	260	0	147719	870873
F_484647_2872322	"CHAMPEAUX ROAD"	36	0	147721	875485
F_484664_2840852	"ROUTE 15"	650	0	147726	865893
F_484675_2863072	"STREETER ROAD"	58	0	147729	872666
F_484690_2843545	"VINTON ROAD"	19	0	147734	866714
F_484695_2848957	"LEADMINE ROAD"	464	0	147735	868364
F_484699_2845122	"VINTON ROAD"	16	0	147737	867195
F_484742_2848551	"LEADMINE ROAD"	468	0	147750	868240
F_484756_2872907	"CHAMPEAUX ROAD"	39	0	147754	875664
F_484757_2848773	"LEADMINE ROAD"	466	0	147754	868308
F_484794_2881281	"BROOKFIELD ROAD"	295	0	147766	878216
F_484841_2877782	"WARREN ROAD"	30	0	147780	877150
F_484871_2863582	"STREETER ROAD"	55	0	147789	872822
F_484872_2862730	"STREETER ROAD"	52	0	147789	872562
F_484909_2857055	"HOLLAND ROAD"	256	0	147801	870832
F_484911_2858409	"HOLLAND ROAD"	258	0	147801	871245
F_484919_2884145	"BROOKFIELD ROAD"	319	0	147804	879089
F_484986_2863464	"STREETER ROAD"	51	0	147824	872786
F_484989_2872807	"CHAMPEAUX ROAD"	35	0	147825	875633
F_485006_2863173	"STREETER ROAD"	50	0	147830	872697
F_485008_2873417	"CHAMPEAUX ROAD"	37	0	147831	875819
F_485022_2857164	"HOLLAND ROAD"	254A	0	147835	870865
F_485025_2844193	"VINTON ROAD"	17	0	147836	866912
F_485026_2848787	"LEADMINE ROAD"	467	0	147836	868312
F_485027_2850398	"LEADMINE ROAD"	444	0	147837	868803
F_485037_2872923	"CHAMPEAUX ROAD"	35A	0	147840	875669
F_485047_2844633	"VINTON ROAD"	12	0	147843	867046
F_485052_2875586	"BROOKFIELD ROAD"	215	0	147844	876480
F_485079_2862320	"STREETER ROAD"	52A	0	147852	872437
F_485086_2856501	"HOLLAND ROAD"	261	0	147855	870663
F_485089_2848646	"LEADMINE ROAD"	471	0	147855	868269
