LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_808861_3004302	"COOLIDGE RD"	0	0	246541	915713
F_808926_3004080	"COOLIDGE RD"	76	0	246561	915645
F_809031_3003802	"COOLIDGE RD"	0	0	246593	915561
F_809073_3004004	"COOLIDGE RD"	81	0	246606	915622
F_809101_3003611	"BULFINCH RD"	0	0	246614	915502
F_809124_3004174	"COOLIDGE RD"	0	0	246621	915674
F_809137_3003555	"WESTVIEW RD"	0	0	246625	915485
F_809162_3003496	"BULFINCH RD"	0	0	246633	915467
F_809187_3003420	"WESTVIEW RD"	0	0	246641	915444
F_809195_3003351	"WESTVIEW RD"	0	0	246643	915423
F_809203_3004243	"WYMAN TR"	0	0	246646	915695
F_809251_3003223	"BULFINCH RD"	0	0	246660	915384
F_809409_3003356	"BULFINCH RD"	0	0	246708	915425
F_809451_3003089	"MANSON AV"	0	0	246721	915343
F_809488_3002858	"MANSON AV"	0	0	246732	915273
F_809549_3002677	"MANSON AV"	0	0	246751	915218
F_809560_3002549	"MANSON AV"	26	0	246754	915179
F_809582_3002343	"MANSON ST"	0	0	246761	915116
F_809585_3002450	"MANSON AV"	0	0	246762	915149
F_809594_3002400	"MANSON AV"	0	0	246765	915133
F_809620_3002329	"MANSON ST"	0	0	246773	915112
F_809689_3002164	"MANSON ST"	0	0	246794	915061
F_809711_3002038	"MANSON ST"	0	0	246800	915023
F_809730_3004077	"WYMAN ST"	0	0	246806	915645
F_809771_3001998	"MANSON ST"	2	0	246819	915011
F_809790_3001827	"APPLETON ST"	0	0	246824	914959
F_809801_3001930	"APPLETON ST"	0	0	246828	914990
F_809802_3002082	"MANSON ST"	16	0	246828	915036
F_809808_3002265	"MANSON ST"	23	0	246830	915092
F_809810_3002378	"MANSON RD"	1	0	246831	915127
F_809833_3001847	"APPLETON ST"	0	0	246838	914965
F_809838_3001680	"APPLETON ST"	0	0	246839	914914
F_809842_3002051	"MANSON ST"	12	0	246840	915027
F_809876_3001867	"MANSON ST"	3	0	246851	914971
F_809877_3001708	"APPLETON ST"	0	0	246851	914922
F_809881_3001600	"MORTON HILL AV"	15	0	246852	914890
F_809900_3001899	"APPLETON ST"	0	0	246858	914981
F_809920_3001731	"APPLETON ST"	0	0	246864	914929
F_809924_3001628	"MORTON HILL AV"	11	0	246865	914898
F_809949_3001448	"MORTON HILL AV"	20	0	246873	914843
F_809963_3001754	"APPLETON ST"	0	0	246877	914936
F_809968_3001653	"MORTON HILL AV"	7	0	246879	914906
F_809992_3001486	"MORTON HILL AV"	14	0	246886	914855
F_810005_3001374	"WINDSOR AV"	46	0	246890	914821
F_810005_3001940	"MANSON ST"	0	0	246890	914993
F_810009_3001256	"WINDSOR AV"	41	0	246891	914785
