LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_739858_2790935	"TREMONT STREET"	611	0	225509	850679
F_739994_2790930	"TREMONT STREET"	607	0	225551	850677
F_740116_2791012	"TREMONT STREET"	609	0	225588	850702
F_740169_2789405	"TREMONT STREET"	614	0	225604	850212
F_740219_2791082	"TREMONT STREET"	605	0	225619	850723
F_740272_2791646	"TREMONT STREET"	603	0	225635	850895
F_740295_2789932	"TREMONT STREET"	612	0	225642	850373
F_740426_2787916	"GLEBE STREET"	1561	0	225682	849758
F_740528_2789968	"TREMONT STREET"	610	0	225713	850384
F_740628_2790273	"TREMONT STREET"	608	0	225744	850477
F_740635_2786600	"GLEBE STREET"	1580	0	225746	849357
F_740832_2786666	"GLEBE STREET"	1540	0	225806	849377
F_740886_2791872	"TREMONT STREET"	595	0	225823	850964
F_740994_2787331	"GLEBE STREET"	1518	0	225855	849580
F_741035_2791083	"TREMONT STREET"	596	0	225868	850724
F_741129_2790278	"TREMONT STREET"	598	0	225897	850478
F_741172_2791179	"TREMONT STREET"	594.5	0	225910	850753
F_741290_2788064	"GLEBE STREET"	305	0	225946	849804
F_741313_2791665	"TREMONT STREET"	591	0	225953	850901
F_741397_2791256	"TREMONT STREET"	594	0	225978	850777
F_741527_2791295	"TREMONT STREET"	592	0	226018	850788
F_741644_2794643	"RAMA STREET"	259	0	226054	851809
F_741662_2794380	"RAMA STREET"	254	0	226059	851729
F_741703_2791328	"TREMONT STREET"	590	0	226072	850798
F_741754_2788748	"GLEBE STREET"	1391	0	226087	850012
F_741792_2794335	"RAMA STREET"	244	0	226099	851715
F_741796_2794731	"RAMA STREET"	249	0	226100	851836
F_741884_2793905	"RAMA STREET"	234	0	226127	851584
F_741899_2794730	"RAMA STREET"	239	0	226131	851835
F_742018_2790785	"SILVER FOX CIRCLE"	111	0	226168	850633
F_742072_2794376	"RAMA STREET"	224	0	226184	851728
F_742106_2792009	"TREMONT STREET"	582	0	226194	851006
F_742133_2790621	"SILVER FOX CIRCLE"	115	0	226203	850583
F_742152_2794060	"TREMONT STREET"	573	0	226208	851631
F_742206_2792114	"TREMONT STREET"	580	0	226225	851038
F_742208_2791538	"TREMONT STREET"	586	0	226225	850862
F_742217_2791898	"TREMONT STREET"	578	0	226228	850972
F_742252_2795149	"CONNIE STREET"	54	0	226239	851963
F_742305_2795310	"CONNIE STREET"	49	0	226255	852012
