LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_148009_930012	"ROYALSTON RD"	73	0	148009	930012
M_148672_925216	"PATRIOTS RD"	1199	0	148672	925216
M_148752_925063	"PATRIOTS RD"	1203	0	148752	925063
M_148778_925182	"PATRIOTS RD"	1195	0	148778	925182
M_148841_925246	"PATRIOTS RD"	1181	0	148841	925246
M_148870_924998	"PATRIOTS RD"	1200	0	148870	924998
M_148937_925243	"PATRIOTS RD"	1171	0	148937	925243
M_148960_925378	"PATRIOTS RD"	1167	0	148960	925378
M_148993_925148	"PATRIOTS RD"	1174	0	148993	925148
M_149078_925084	"PATRIOTS RD"	1184	0	149078	925084
M_149175_925216	"LAMB CITY RD"	15	0	149175	925216
M_149211_924824	"BRANDIN DR"	13	0	149211	924824
M_149214_924016	"CARRUTH RD"	131	0	149214	924016
M_149217_925207	"LAMB CITY RD"	11	0	149217	925207
M_149222_925045	"RICE RD"	33	0	149222	925045
M_149234_923973	"CARRUTH RD"	125	0	149234	923973
M_149258_924680	"BRANDIN DR"	15	0	149258	924680
M_149262_925166	"RICE RD"	25	0	149262	925166
M_149280_925243	"RICE RD"	13	0	149280	925243
M_149286_924818	"BRANDIN DR"	11	0	149286	924818
M_149302_923846	"CARRUTH RD"	106	0	149302	923846
M_149308_925039	"RICE RD"	39	0	149308	925039
M_149323_924586	"BRANDIN DR"	14	0	149323	924586
M_149327_925142	"RICE RD"	26	0	149327	925142
M_149338_923800	"CARRUTH RD"	98	0	149338	923800
M_149340_924973	"RICE RD"	45	0	149340	924973
M_149341_925172	"RICE RD"	22	0	149341	925172
M_149346_924058	"CARRUTH RD"	123	0	149346	924058
M_149347_925202	"RICE RD"	18	0	149347	925202
M_149356_925239	"RICE RD"	14	0	149356	925239
M_149359_924809	"BRANDIN DR"	9	0	149359	924809
M_149383_924917	"RICE RD"	55	0	149383	924917
M_149384_924052	"CARRUTH RD"	109	0	149384	924052
M_149391_923765	"CARRUTH RD"	90	0	149391	923765
M_149393_924837	"BRANDIN DR"	7	0	149393	924837
M_149397_924725	"BRANDIN DR"	10	0	149397	924725
M_149404_924561	"BRANDIN DR"	12	0	149404	924561
M_149409_923864	"CARRUTH RD"	91	0	149409	923864
M_149426_924876	"RICE RD"	61	0	149426	924876
M_149435_924034	"CARRUTH RD"	105	0	149435	924034
M_149444_923728	"CARRUTH RD"	84	0	149444	923728
M_149446_923848	"CARRUTH RD"	85	0	149446	923848
M_149463_924783	"BRANDIN DR"	8	0	149463	924783
M_149526_925273	"PATRIOTS RD"	1099	0	149526	925273
M_149534_923841	"CARRUTH RD"	73	0	149534	923841
M_149544_923946	"CARRUTH RD"	75	0	149544	923946
M_149568_924606	"RICE RD"	103	0	149568	924606
M_149583_925062	"RICE RD"	58	0	149583	925062
M_149606_925364	"PATRIOTS RD"	1107	0	149606	925364
M_149613_923847	"CARRUTH RD"	65	0	149613	923847
M_149614_924918	"RICE RD"	68	0	149614	924918
M_149638_925256	"PATRIOTS RD"	1091	0	149638	925256
M_149644_929360	"ROYALSTON RD"	381	0	149644	929360
M_149647_924509	"RICE RD"	117	0	149647	924509
M_149673_923783	"CARRUTH RD"	55	0	149673	923783
M_149682_929641	"ROYALSTON RD"	367	0	149682	929641
M_149684_923533	"PHILLIPSTON RD"	53	0	149684	923533
M_149684_925150	"PATRIOTS RD"	1071	0	149684	925150
M_149687_929360	"ROYALSTON RD"	375	0	149687	929360
M_149692_929483	"MORIARTY LN"	4	0	149692	929483
