LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_270572_801513	"PASSAMAQUODDY AV"	185	0	270572	801513
M_270655_801424	"CHAPPAQUIDDICK AV"	157	0	270655	801424
M_270659_801361	"GAY HEAD AV"	162	0	270659	801361
M_270664_801521	"CHAPPAQUIDDICK AV"	163	0	270664	801521
M_270751_801403	"CUTTYHUNK AV"	200	0	270751	801403
M_270757_801284	"GAY HEAD AV"	155	0	270757	801284
M_270835_801152	"GAY HEAD AV"	129	0	270835	801152
M_270865_801498	"PASSAMAQUODDY AV"	101	0	270865	801498
M_270868_801322	"CUTTYHUNK AV"	169	0	270868	801322
M_270896_801104	"CUTTYHUNK AV"	84	0	270896	801104
M_270920_800966	"NASHAWENA TR"	21	0	270920	800966
M_270923_801055	"GAY HEAD AV"	95	0	270923	801055
M_270945_801499	"PASSAMAQUODDY AV"	77	0	270945	801499
M_270946_800884	"CUTTYHUNK AV (WEST TISBURY)"	12	0	270946	800884
M_270971_801148	"MASSABESIC AV"	77	0	270971	801148
M_271015_801509	"PASSAMAQUODDY AV"	43	0	271015	801509
M_271025_800941	"UNCATENA TR"	14	0	271025	800941
M_271033_801379	"ANDROSCOGGIN AV"	120	0	271033	801379
M_271040_800807	"UNCATENA TR"	37	0	271040	800807
M_271055_801436	"PASSAMAQUODDY AV"	44	0	271055	801436
M_271065_801535	"PASSAMAQUODDY AV"	27	0	271065	801535
M_271092_801473	"PASSAMAQUODDY AV"	30	0	271092	801473
M_271110_800669	"BRIDGE LN (WEST TISBURY)"	10	0	271110	800669
M_271117_800708	"LAMBERTS COVE RD"	670	0	271117	800708
M_271123_801281	"MASSABESIC AV"	15	0	271123	801281
M_271150_800756	"LAMBERTS COVE RD"	645	0	271150	800756
M_271162_801107	"KENNEBAGO AV"	99	0	271162	801107
M_271175_801348	"MASSABESIC AV"	1	0	271175	801348
M_271178_801546	"PILOT HILL FARM RD"	391	0	271178	801546
