LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_177473_932668	"VINTON POND RD"	85	0	177473	932668
M_177510_933050	"VINTON POND RD"	0	0	177510	933050
M_177555_936468	"WHEELER RD"	0	0	177555	936468
M_177569_936138	"WHEELER RD"	40	0	177569	936138
M_177572_932808	"VINTON POND RD"	81	0	177572	932808
M_177623_936621	"WHEELER RD"	0	0	177623	936621
M_177623_936701	"WHEELER RD"	0	0	177623	936701
M_177639_936377	"WHEELER RD"	0	0	177639	936377
M_177646_932649	"VINTON POND RD"	0	0	177646	932649
M_177648_932956	"VINTON POND RD"	77	0	177648	932956
M_177670_936129	"WHEELER RD"	30	0	177670	936129
M_177686_936972	"WEST MEADOW RD"	0	0	177686	936972
M_177705_933063	"VINTON POND RD"	73	0	177705	933063
M_177708_934129	"SAUNA ROW RD"	50	0	177708	934129
M_177718_934205	"SAUNA ROW RD"	0	0	177718	934205
M_177726_933172	"VINTON POND RD"	0	0	177726	933172
M_177741_937584	"WEST MEADOW ESTATES DR"	1	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	10	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	11	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	12	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	13	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	14	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	15	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	16	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	17	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	18	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	19	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	2	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	20	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	21	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	22	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	23	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	24	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	25	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	26	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	27	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	28	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	29	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	3	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	30	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	31	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	32	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	33	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	34	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	35	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	36	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	37	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	38	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	39	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	4	0	177741	937584
M_177741_937584	"WEST MEADOW ESTATES DR"	40	0	177741	937584
