LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_183744_870609	"LACKEY DAM RD"	0	0	183744	870609
M_183745_870872	"LACKEY DAM RD"	0	0	183745	870872
M_183747_870748	"LACKEY DAM RD"	0	0	183747	870748
M_183748_870487	"LACKEY DAM RD"	1	0	183748	870487
M_183764_870737	"LACKEY DAM RD"	0	0	183764	870737
M_183772_869322	"WALNUT GROVE ST"	3	0	183772	869322
M_183785_869136	"WALNUT GROVE ST"	21	0	183785	869136
M_183786_869233	"WALNUT GROVE ST"	11	0	183786	869233
M_183792_870570	"LACKEY DAM RD"	20	0	183792	870570
M_183800_869039	"WALNUT GROVE ST"	31	0	183800	869039
M_183831_870645	"LACKEY DAM RD"	30	0	183831	870645
M_183834_871473	"LACKEY DAM RD"	40	0	183834	871473
M_183859_869166	"WALNUT GROVE ST"	20	0	183859	869166
M_183861_869315	"WALNUT GROVE ST"	12	0	183861	869315
M_183861_869863	"HARTFORD AVE WEST"	795	0	183861	869863
M_183878_871795	"LACKEY DAM RD"	100	0	183878	871795
M_183888_870856	"LACKEY DAM RD"	0	0	183888	870856
M_183892_869064	"WALNUT GROVE ST"	30	0	183892	869064
M_183903_869379	"HARTFORD AVE WEST"	776	0	183903	869379
M_183945_871193	"LACKEY DAM RD"	1	0	183945	871193
M_183946_871357	"LACKEY DAM RD"	17	0	183946	871357
M_183959_871493	"LACKEY DAM RD"	47	0	183959	871493
M_183976_871523	"LACKEY DAM RD"	55	0	183976	871523
M_183985_871549	"LACKEY DAM RD"	57	0	183985	871549
M_183990_871581	"LACKEY DAM RD"	61	0	183990	871581
M_183991_869679	"HARTFORD AVE WEST"	757	0	183991	869679
M_184001_871228	"LACKEY DAM RD"	5	0	184001	871228
M_184008_871606	"LACKEY DAM RD"	69	0	184008	871606
M_184020_870852	"LACKEY DAM RD"	0	0	184020	870852
M_184023_871633	"LACKEY DAM RD"	73	0	184023	871633
M_184031_870393	"LACKEY DAM RD"	23	0	184031	870393
M_184033_869226	"HARTFORD AVE WEST"	750	0	184033	869226
M_184057_869373	"HARTFORD AVE WEST"	770	0	184057	869373
M_184083_871825	"LACKEY DAM RD"	105	0	184083	871825
M_184092_871868	"LACKEY DAM RD"	113	0	184092	871868
M_184107_871929	"LACKEY DAM RD"	123	0	184107	871929
M_184115_871777	"LACKEY DAM RD"	93	0	184115	871777
M_184121_869384	"HARTFORD AVE WEST"	738	0	184121	869384
M_184145_871964	"LACKEY DAM RD"	0	0	184145	871964
M_184186_869361	"HARTFORD AVE WEST"	730	0	184186	869361
M_184192_869646	"DUNLEAVEY BROOK DR"	56	0	184192	869646
M_184242_871360	"LACKEY DAM POND"	0	0	184242	871360
M_184254_869889	"DUNLEAVEY BROOK DR"	55	0	184254	869889
M_184269_871639	"LACKEY DAM RD"	89	0	184269	871639
M_184297_869708	"DUNLEAVEY BROOK DR"	46	0	184297	869708
M_184305_869487	"HARTFORD AVE WEST"	695	0	184305	869487
M_184315_869219	"HARTFORD AVE WEST"	710	0	184315	869219
M_184350_869638	"DUNLEAVEY BROOK DR"	36	0	184350	869638
M_184391_869365	"HARTFORD AVE WEST"	694	0	184391	869365
M_184398_869487	"HARTFORD AVE WEST"	685	0	184398	869487
M_184410_869824	"DUNLEAVEY BROOK DR"	45	0	184410	869824
M_184422_869604	"DUNLEAVEY BROOK DR"	26	0	184422	869604
