LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_763959_3008410	"POPE ST"	1	0	232855	916965
F_764043_3009291	"SOUTH ST E"	0	0	232881	917234
F_764060_3009432	"SOUTH ST E"	0	0	232886	917277
F_764112_3009448	"SOUTH ST E"	0	0	232902	917282
F_764118_3009512	"SOUTH ST E"	433	0	232904	917301
F_764124_3009650	"SOUTH ST E"	432	0	232905	917343
F_764142_3009370	"SOUTH ST E"	435	0	232911	917258
F_764144_3008606	"NORTH ST"	11	0	232912	917025
F_764193_3009659	"HOPKINS ST"	90	0	232926	917346
F_764273_3009515	"SOUTH ST E"	437	0	232951	917302
F_764300_3009393	"HOPKINS ST"	80	0	232959	917265
F_764448_3009842	"HOPKINS ST"	101	0	233004	917402
F_764528_3008642	"HOPKINS ST"	0	0	233029	917036
F_764568_3009643	"TARRANT LN"	0	0	233041	917341
F_764661_3008967	"HOPKINS ST"	62	0	233069	917135
F_764780_3008850	"HOPKINS ST"	60	0	233105	917099
F_764790_3009023	"HOPKINS ST"	58	0	233108	917152
F_764809_3009232	"HOPKINS ST"	65	0	233114	917216
F_764811_3011263	"REDFIELD RD"	50	0	233115	917835
F_764839_3011342	"REDFIELD RD"	46	0	233123	917859
F_764863_3011211	"REDFIELD RD"	54	0	233131	917819
F_764869_3011497	"REDFIELD RD"	40	0	233133	917906
F_764878_3008858	"HOPKINS ST"	54	0	233135	917102
F_764888_3008305	"PROSPECT ST"	211	0	233138	916933
F_764892_3008464	"MEADOW LN"	0	0	233140	916982
F_764914_3011150	"REDFIELD RD"	58	0	233146	917800
F_764936_3011465	"KAREN RD"	6	0	233153	917896
F_764953_3011279	"KAREN RD"	9	0	233158	917840
F_764955_3011753	"REDFIELD RD"	28	0	233159	917984
F_764956_3009269	"HOPKINS ST"	61	0	233159	917227
F_764964_3008968	"HOPKINS ST"	50	0	233161	917135
F_764967_3011792	"BROOK ST"	26	0	233162	917996
F_764972_3011095	"REDFIELD RD"	60	0	233164	917784
F_764975_3011575	"REDFIELD RD"	36	0	233165	917930
F_764983_3008312	"PROSPECT ST"	209	0	233167	916935
F_764990_3011860	"BROOK ST"	22	0	233169	918017
F_765001_3008604	"HOPKINS ST"	34	0	233173	917024
F_765010_3011217	"KAREN RD"	11	0	233176	917821
F_765011_3011418	"KAREN RD"	8	0	233176	917882
F_765020_3011649	"REDFIELD RD"	32	0	233179	917952
