LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_447034_2848770	"MONSON RD"	167	0	136256	868307
F_447146_2849937	"LYNCH RD"	28R	0	136290	868663
F_447157_2848751	"MONSON RD"	165	0	136294	868301
F_447176_2847620	"MONSON RD"	166	0	136300	867956
F_447182_2848399	"MONSON RD"	170	0	136301	868194
F_447185_2851660	"LYNCH RD"	38	0	136302	869188
F_447223_2850448	"LYNCH RD REAR"	26	0	136314	868818
F_447227_2858163	"SHAW RD"	19	0	136315	871170
F_447236_2849116	"LYNCH RD"	6	0	136318	868412
F_447248_2857969	"SHAW RD"	17	0	136321	871111
F_447252_2848949	"LYNCH RD"	4	0	136323	868361
F_447267_2850970	"LYNCH RD"	28	0	136327	868977
F_447269_2849274	"LYNCH RD"	8	0	136328	868460
F_447278_2857749	"SHAW RD"	15	0	136331	871044
F_447281_2849448	"LYNCH RD"	10	0	136332	868513
F_447288_2845916	"PECK RD"	40	0	136334	867437
F_447301_2848710	"MONSON RD"	163	0	136338	868289
F_447307_2857495	"SHAW RD"	9	0	136339	870966
F_447353_2856648	"MT HITCHCOCK RD"	137	0	136353	870708
F_447371_2848393	"MONSON RD"	162A	0	136359	868192
F_447371_2848393	"MONSON RD"	162B	0	136359	868192
F_447371_2857263	"SHAW RD"	7	0	136359	870896
F_447392_2855723	"MT HITCHCOCK RD"	88	0	136365	870426
F_447425_2857043	"SHAW RD"	5	0	136375	870828
F_447452_2856860	"SHAW RD"	3	0	136384	870773
F_447458_2848666	"MONSON RD"	161	0	136385	868275
F_447461_2849617	"LYNCH RD"	12	0	136386	868565
F_447464_2849787	"LYNCH RD"	14	0	136387	868617
F_447464_2849956	"LYNCH RD"	16	0	136387	868668
F_447483_2850112	"LYNCH RD"	18	0	136393	868716
F_447489_2850397	"LYNCH RD"	22	0	136395	868803
F_447494_2850259	"LYNCH RD"	20	0	136396	868761
F_447528_2851709	"MCBRIDE RD"	145	0	136407	869203
F_447534_2847137	"MONSON RD"	154	0	136409	867809
F_447579_2851408	"LYNCH RD"	47	0	136422	869111
F_447580_2848158	"MONSON RD"	160	0	136423	868120
F_447635_2857783	"SHAW RD"	14	0	136439	871054
F_447656_2846266	"PECK RD"	30	0	136446	867544
F_447679_2848927	"LYNCH RD"	5	0	136453	868355
F_447735_2851831	"MCBRIDE RD"	141	0	136470	869240
F_447739_2858570	"SHAW RD"	24	0	136471	871294
F_447754_2858425	"SHAW RD"	22	0	136476	871250
F_447763_2849427	"LYNCH RD"	15	0	136478	868507
F_447763_2858280	"SHAW RD"	20	0	136478	871205
F_447764_2857542	"SHAW RD"	10	0	136479	870981
F_447775_2849923	"LYNCH RD"	25	0	136482	868658
F_447775_2858146	"SHAW RD"	18	0	136482	871165
F_447778_2850945	"LYNCH RD"	39	0	136483	868970
F_447784_2851463	"MCBRIDE RD"	102	0	136485	869128
F_447811_2849650	"LYNCH RD"	17	0	136493	868575
F_447898_2848601	"MONSON RD"	157	0	136520	868255
F_447901_2856123	"MT HITCHCOCK RD"	128	0	136520	870548
F_447924_2856845	"SHAW RD"	2	0	136528	870768
F_447930_2851885	"MCBRIDE RD"	139	0	136529	869256
F_447969_2852310	"MCBRIDE RD"	135	0	136541	869386
F_448014_2857065	"SHAW RD"	4	0	136555	870835
F_448026_2857230	"SHAW RD"	6	0	136559	870885
F_448028_2857403	"SHAW RD"	8	0	136559	870938
F_448048_2848270	"MONSON RD"	155	0	136565	868154
F_448052_2851541	"MCBRIDE RD"	94	0	136567	869151
F_448074_2846793	"PECK RD"	20	0	136573	867704
F_448078_2857819	"SHAW RD"	16	0	136574	871065
F_448087_2852889	"LYNCH RD (OFF)"	55	0	136577	869562
F_448130_2856906	"MT HITCHCOCK RD"	131	0	136590	870787
F_448187_2847553	"MONSON RD"	150	0	136608	867936
F_448355_2850546	"LYNCH RD"	33	0	136659	868848
F_448364_2850358	"LYNCH RD"	33R	0	136662	868791
F_448432_2851106	"LYNCH RD"	39R	0	136682	869019
F_448440_2848563	"MONSON RD"	151	0	136685	868244
F_448470_2848000	"MONSON RD"	147	0	136694	868072
F_448475_2849440	"LYNCH RD"	9	0	136695	868511
F_448503_2851792	"MCBRIDE RD"	92	0	136704	869228
F_448507_2850093	"LYNCH RD (REAR)"	25R	0	136705	868710
F_448520_2847719	"MONSON RD"	148	0	136709	867986
F_448614_2848020	"MONSON RD"	149	0	136738	868078
F_448777_2854827	"MT HITCHCOCK RD"	60	0	136788	870153
F_448967_2852696	"MCBRIDE RD"	125	0	136845	869503
F_448974_2848545	"MONSON RD"	145	0	136848	868238
F_448990_2858040	"MT HITCHCOCK RD"	125	0	136852	871132
F_449535_2852979	"MCBRIDE RD"	117	0	137019	869590
F_449568_2850470	"MCBRIDE RD"	90A	0	137029	868825
F_449813_2851447	"MCBRIDE RD"	90	0	137103	869123
F_449851_2852184	"MCBRIDE RD"	84	0	137115	869347
F_449887_2848808	"MONSON RD"	139	0	137126	868318
F_449983_2852813	"MCBRIDE RD"	105	0	137155	869539
F_450015_2853423	"MCBRIDE RD"	103	0	137165	869725
F_450102_2847626	"MONSON RD"	135	0	137191	867958
F_450228_2852208	"MCBRIDE RD"	80	0	137230	869355
F_450273_2859126	"TIDERMAN RD"	44	0	137243	871463
F_450289_2857235	"TIDERMAN RD"	20	0	137248	870887
F_450340_2847571	"MONSON RD"	131	0	137264	867941
F_450383_2852403	"MCBRIDE RD"	78	0	137277	869414
F_450467_2847963	"MONSON RD"	131R	0	137303	868061
F_450500_2855615	"MT HITCHCOCK RD"	58	0	137313	870393
F_450603_2853399	"MCBRIDE RD"	95	0	137344	869718
F_450697_2856373	"MT HITCHCOCK RD"	87	0	137373	870624
F_450754_2858354	"TIDERMAN RD"	24	0	137390	871228
F_450841_2858909	"TIDERMAN RD"	30	0	137417	871397
F_450856_2847491	"MONSON RD"	127	0	137421	867917
F_450887_2852366	"MCBRIDE RD"	76	0	137431	869403
F_450901_2842688	"PECK RD"	120	0	137435	866453
F_450922_2856883	"TIDERMAN RD"	14	0	137441	870780
F_450969_2857156	"TIDERMAN RD"	16	0	137456	870863
F_450969_2857276	"TIDERMAN RD"	18	0	137456	870899
F_450970_2857613	"TIDERMAN RD"	22	0	137456	871002
F_451008_2853609	"MCBRIDE RD"	91	0	137468	869782
F_451015_2856394	"MT HITCHCOCK RD"	83	0	137470	870631
F_451020_2848013	"MONSON RD"	107	0	137471	868076
F_451113_2855204	"MT HITCHCOCK RD"	50	0	137500	870268
F_451151_2859425	"TIDERMAN RD"	46	0	137511	871554
F_451271_2856477	"TIDERMAN RD"	6	0	137548	870656
F_451275_2856193	"MT HITCHCOCK RD"	79	0	137549	870569
F_451290_2859100	"TIDERMAN RD"	45	0	137553	871455
F_451319_2859502	"TIDERMAN RD"	48	0	137562	871578
F_451367_2852143	"MCBRIDE RD"	74	0	137577	869335
F_451378_2847841	"MONSON RD"	121	0	137580	868024
F_451403_2853546	"MCBRIDE RD"	87	0	137588	869763
F_451435_2859265	"TIDERMAN RD"	47	0	137598	871506
F_451447_2859545	"TIDERMAN RD"	50	0	137601	871591
F_451553_2859337	"TIDERMAN RD"	49	0	137634	871528
F_451564_2859554	"TIDERMAN RD"	52	0	137637	871594
F_451572_2852310	"MCBRIDE RD"	70	0	137639	869386
F_451582_2849276	"MAYNARD RD"	10	0	137642	868461
F_451600_2847533	"MONSON RD"	119	0	137648	867930
F_451626_2852149	"MCBRIDE RD"	68	0	137656	869337
F_451637_2855197	"MT HITCHCOCK RD"	48	0	137659	870266
F_451675_2859560	"TIDERMAN RD"	54	0	137671	871596
F_451712_2852029	"MCBRIDE RD"	66	0	137682	869300
F_451732_2853457	"MCBRIDE RD"	85	0	137688	869735
F_451735_2850955	"MCBRIDE RD"	60	0	137689	868973
F_451760_2859383	"TIDERMAN RD"	51	0	137697	871542
F_451765_2856255	"MT HITCHCOCK RD"	77	0	137698	870588
F_451846_2851706	"MCBRIDE RD"	64	0	137723	869202
F_451872_2847485	"MONSON RD"	113	0	137731	867915
