LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_130976_886282	"BONDSVILLE RD"	137	0	130976	886282
M_131014_890347	"RIVER RD"	0	0	131014	890347
M_131023_891803	"BELCHERTOWN RD"	0	0	131023	891803
M_131032_889782	"RIVER RD"	0	0	131032	889782
M_131038_885909	"BONDSVILLE RD"	161	0	131038	885909
M_131039_886430	"BONDSVILLE RD"	0	0	131039	886430
M_131046_886544	"BONDSVILLE RD"	0	0	131046	886544
M_131059_885971	"BONDSVILLE RD"	0	0	131059	885971
M_131064_886270	"BONDSVILLE RD"	141	0	131064	886270
M_131069_889977	"RIVER RD"	0	0	131069	889977
M_131076_886027	"BONDSVILLE RD"	153	0	131076	886027
M_131080_886119	"BONDSVILLE RD"	149	0	131080	886119
M_131080_886220	"BONDSVILLE RD"	145	0	131080	886220
M_131082_886178	"BONDSVILLE RD"	0	0	131082	886178
M_131084_886728	"BONDSVILLE RD"	115	0	131084	886728
M_131086_886069	"BONDSVILLE RD"	151	0	131086	886069
M_131089_889563	"RIVER RD"	0	0	131089	889563
M_131096_885950	"BONDSVILLE RD"	156	0	131096	885950
M_131102_890171	"RIVER RD"	121	0	131102	890171
M_131109_889474	"RIVER RD"	0	0	131109	889474
M_131119_885933	"JIM ASH RD"	154	0	131119	885933
M_131119_886747	"BONDSVILLE RD"	113B	0	131119	886747
M_131121_888533	"RIVER RD"	205	0	131121	888533
M_131125_891862	"BELCHERTOWN RD"	0	0	131125	891862
M_131127_889390	"RIVER RD"	0	0	131127	889390
M_131135_889619	"RIVER RD"	0	0	131135	889619
M_131136_890209	"RIVER RD"	123	0	131136	890209
M_131138_890247	"RIVER RD"	117	0	131138	890247
M_131140_886390	"BONDSVILLE RD"	133	0	131140	886390
M_131141_888937	"RIVER RD"	0	0	131141	888937
M_131143_886598	"BONDSVILLE RD"	119	0	131143	886598
M_131149_886112	"BONDSVILLE RD"	148	0	131149	886112
M_131150_889266	"RIVER RD"	0	0	131150	889266
M_131155_886745	"BONDSVILLE RD"	113	0	131155	886745
M_131155_889100	"RIVER RD"	0	0	131155	889100
M_131157_890293	"RIVER RD"	115	0	131157	890293
M_131158_886022	"JIM ASH RD"	157	0	131158	886022
M_131160_886165	"BONDSVILLE RD"	150	0	131160	886165
M_131162_886240	"BONDSVILLE RD"	144	0	131162	886240
M_131162_889525	"RIVER RD"	173	0	131162	889525
M_131166_888617	"RIVER RD"	197	0	131166	888617
M_131168_892053	"BELCHERTOWN RD"	734	0	131168	892053
M_131173_888274	"BONDSVILLE RD"	0	0	131173	888274
M_131174_886290	"BONDSVILLE RD"	140	0	131174	886290
M_131175_890341	"RIVER RD"	113	0	131175	890341
M_131183_886711	"BONDSVILLE RD"	111	0	131183	886711
M_131190_890374	"RIVER RD"	0	0	131190	890374
M_131195_888837	"RIVER RD"	185	0	131195	888837
M_131197_890393	"RIVER RD"	111	0	131197	890393
