LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_259791_833734	"COUNTY RD"	402	0	259791	833734
M_259811_833807	"COUNTY RD"	404	0	259811	833807
M_259839_833573	"COUNTY RD"	370	0	259839	833573
M_259864_833771	"SANDY PINES DR"	1	0	259864	833771
M_259869_833378	"COUNTY RD"	340	0	259869	833378
M_259873_834196	"COUNTY RD"	0	0	259873	834196
M_259889_833877	"SANDY PINES DR"	2	0	259889	833877
M_259893_833689	"COUNTY RD"	390	0	259893	833689
M_259893_833750	"SANDY PINES DR"	3	0	259893	833750
M_259901_833294	"COUNTY RD"	336	0	259901	833294
M_259904_834031	"COUNTY RD"	440	0	259904	834031
M_259904_834487	"COUNTY RD"	492	0	259904	834487
M_259906_834096	"COUNTY RD"	444	0	259906	834096
M_259907_834152	"COUNTY RD"	448	0	259907	834152
M_259916_834424	"COUNTY RD"	490	0	259916	834424
M_259923_833863	"SANDY PINES DR"	4	0	259923	833863
M_259927_833476	"COUNTY RD"	0	0	259927	833476
M_259945_833831	"SANDY PINES DR"	6	0	259945	833831
M_259948_834530	"COUNTY RD"	494	0	259948	834530
M_259950_833744	"SANDY PINES DR"	5	0	259950	833744
M_259965_833798	"SANDY PINES DR"	8	0	259965	833798
M_259965_834582	"COUNTY RD"	496	0	259965	834582
M_259974_834284	"COUNTY RD"	454	0	259974	834284
M_259979_833260	"COUNTY RD"	334	0	259979	833260
M_259983_833518	"COUNTY RD"	362	0	259983	833518
M_259983_834633	"COUNTY RD"	498	0	259983	834633
M_259992_833435	"COUNTY RD"	340	0	259992	833435
M_259992_834691	"COUNTY RD"	500	0	259992	834691
M_260016_838264	"COUNTY RD"	786	0	260016	838264
M_260018_838001	"COUNTY RD"	768	0	260018	838001
M_260024_838092	"COUNTY RD"	778	0	260024	838092
M_260025_837936	"COUNTY RD"	766	0	260025	837936
M_260025_838069	"COUNTY RD"	776	0	260025	838069
M_260026_838046	"COUNTY RD"	774	0	260026	838046
M_260035_838171	"COUNTY RD"	782	0	260035	838171
M_260038_838453	"COUNTY RD"	802	0	260038	838453
M_260042_834790	"WISHBONE WAY"	2	0	260042	834790
M_260051_834088	"COUNTY RD"	0	0	260051	834088
M_260062_834495	"COUNTY RD"	502	0	260062	834495
M_260062_838525	"COUNTY RD"	808	0	260062	838525
M_260071_838129	"COUNTY RD"	780	0	260071	838129
M_260071_838680	"COUNTY RD"	816	0	260071	838680
M_260078_834944	"COUNTY RD"	544	0	260078	834944
M_260080_833252	"COUNTY RD"	0	0	260080	833252
M_260080_834892	"FELLOWSHIP CIR"	1	0	260080	834892
M_260080_838580	"COUNTY RD"	812	0	260080	838580
M_260087_834842	"COUNTY RD"	528	0	260087	834842
M_260088_834707	"WISHBONE WAY"	0	0	260088	834707
M_260092_838476	"COUNTY RD"	806	0	260092	838476
M_260095_833249	"COUNTY RD"	0	0	260095	833249
M_260100_835014	"COUNTY RD"	552	0	260100	835014
M_260103_837785	"COUNTY RD"	754	0	260103	837785
M_260104_838795	"MAIN ST"	1188	0	260104	838795
M_260106_834295	"COUNTY RD"	0	0	260106	834295
M_260106_837996	"COUNTY RD"	760	0	260106	837996
M_260117_834959	"ZOMPA WAY"	0	0	260117	834959
M_260119_837711	"COUNTY RD"	748	0	260119	837711
M_260123_838732	"MAIN ST"	0	0	260123	838732
M_260124_837748	"COUNTY RD"	750	0	260124	837748
M_260126_834755	"WISHBONE WAY"	4	0	260126	834755
M_260128_834618	"COUNTY RD"	0	0	260128	834618
M_260129_837667	"COUNTY RD"	744	0	260129	837667
M_260137_837621	"COUNTY RD"	742	0	260137	837621
M_260143_833021	"COUNTY RD"	286	0	260143	833021
M_260144_838244	"COUNTY RD"	0	0	260144	838244
M_260144_838244	"COUNTY RD"	794	0	260144	838244
M_260146_837539	"COUNTY RD"	738	0	260146	837539
M_260150_837384	"COUNTY RD"	722	0	260150	837384
M_260151_833588	"COUNTY RD"	0	0	260151	833588
M_260155_837895	"COUNTY RD"	756	0	260155	837895
M_260157_838770	"MAIN ST"	1182	0	260157	838770
M_260160_835080	"AUTUMN DR"	3	0	260160	835080
M_260162_834706	"WISHBONE WAY"	0	0	260162	834706
M_260162_838592	"MAIN ST"	1162	0	260162	838592
M_260169_838738	"MAIN ST"	0	0	260169	838738
M_260171_835133	"COUNTY RD"	558	0	260171	835133
M_260172_835000	"ZOMPA WAY"	0	0	260172	835000
M_260174_838719	"MAIN ST"	0	0	260174	838719
M_260177_838659	"MAIN ST"	1172	0	260177	838659
M_260181_837053	"BETHEL WAY"	26	0	260181	837053
M_260184_837276	"COUNTY RD"	0	0	260184	837276
M_260187_838846	"MAIN ST"	1185	0	260187	838846
M_260188_838888	"COUNTY RD"	836	0	260188	838888
M_260189_837138	"COUNTY RD"	712	0	260189	837138
M_260194_837437	"COUNTY RD"	726	0	260194	837437
M_260195_837255	"COUNTY RD"	718	0	260195	837255
M_260196_832737	"COUNTY RD"	240	0	260196	832737
M_260198_838921	"COUNTY RD"	838	0	260198	838921
M_260199_835188	"COUNTY RD"	560	0	260199	835188
M_260199_837203	"COUNTY RD"	714	0	260199	837203
M_260199_837553	"PIERCEVILLE RD"	53	0	260199	837553
M_260201_836994	"COUNTY RD"	706	0	260201	836994
M_260201_838800	"MAIN ST"	1181	0	260201	838800
M_260206_836839	"COUNTY RD"	684	0	260206	836839
M_260206_836954	"COUNTY RD"	702	0	260206	836954
M_260207_837826	"COUNTY RD"	0	0	260207	837826
M_260211_836903	"COUNTY RD"	692	0	260211	836903
M_260215_834924	"FELLOWSHIP CIR"	8	0	260215	834924
M_260217_836802	"COUNTY RD"	676	0	260217	836802
M_260218_834525	"COUNTY RD"	520	0	260218	834525
M_260219_838551	"MAIN ST"	1156	0	260219	838551
M_260222_837343	"COUNTY RD"	720	0	260222	837343
M_260223_834470	"COUNTY RD"	0	0	260223	834470
M_260227_836754	"COUNTY RD"	672	0	260227	836754
M_260227_838770	"MAIN ST"	1177	0	260227	838770
M_260232_834698	"FELLOWSHIP CIR"	11	0	260232	834698
M_260232_838131	"COUNTY RD"	0	0	260232	838131
M_260232_838131	"COUNTY RD"	76	0	260232	838131
M_260233_837691	"PIERCEVILLE RD"	0	0	260233	837691
M_260233_837691	"PIERCEVILLE RD"	37	0	260233	837691
M_260234_837572	"PIERCEVILLE RD"	49	0	260234	837572
M_260238_835234	"COUNTY RD"	562	0	260238	835234
M_260238_836687	"FONSECA WAY"	1	0	260238	836687
M_260241_834748	"FELLOWSHIP CIR"	13	0	260241	834748
M_260241_838746	"MAIN ST"	1175	0	260241	838746
M_260247_835286	"COUNTY RD"	564	0	260247	835286
M_260250_838722	"MAIN ST"	1173	0	260250	838722
M_260251_837053	"BETHEL WAY"	24	0	260251	837053
M_260253_838495	"MAIN ST"	0	0	260253	838495
M_260255_834666	"FELLOWSHIP CIR"	7	0	260255	834666
M_260256_834294	"COUNTY RD"	0	0	260256	834294
M_260256_838328	"COUNTY RD"	0	0	260256	838328
M_260256_838328	"COUNTY RD"	798	0	260256	838328
M_260257_837272	"COUNTY RD"	0	0	260257	837272
M_260258_834972	"ZOMPA WAY"	0	0	260258	834972
M_260259_832648	"COUNTY RD"	202	0	260259	832648
M_260261_835098	"MAKI WAY"	19	0	260261	835098
M_260261_837470	"PAPER MILL RD"	0	0	260261	837470
M_260262_838015	"COUNTY RD"	0	0	260262	838015
M_260265_834593	"SQUIRREL IS RD"	0	0	260265	834593
M_260271_837507	"PIERCEVILLE RD"	42	0	260271	837507
M_260273_834683	"FELLOWSHIP CIR"	9	0	260273	834683
M_260273_838923	"COUNTY RD"	840	0	260273	838923
M_260274_834504	"COUNTY RD"	0	0	260274	834504
M_260275_835038	"AUTUMN DR"	5	0	260275	835038
M_260277_838945	"COUNTY RD"	842	0	260277	838945
M_260282_835317	"FEARING HILL RD"	156	0	260282	835317
M_260282_838968	"COUNTY RD"	844	0	260282	838968
M_260283_839087	"COUNTY RD"	850	0	260283	839087
M_260285_836944	"BETHEL WAY"	6	0	260285	836944
M_260285_837144	"BETHEL WAY"	21	0	260285	837144
M_260288_837451	"PAPER MILL RD"	80	0	260288	837451
M_260288_839003	"COUNTY RD"	846	0	260288	839003
M_260291_835153	"MAKI WAY"	15	0	260291	835153
