LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_57908_905137	"ALONG LENOX LINE"	0	0	57908	905137
M_58322_906299	"NEW LENOX RD"	441	0	58322	906299
M_58472_906726	"LENOX RD"	0	0	58472	906726
M_58744_904397	"WASHINGTON MTN RD"	0	0	58744	904397
M_59978_908405	"WASHINGTON MTN RD"	432	0	59978	908405
M_60078_906144	"WASHINGTON MTN RD"	0	0	60078	906144
M_60634_900313	"WEST BRANCH RD"	0	0	60634	900313
M_60926_901718	"WASHINGTON MTN RD"	0	0	60926	901718
M_61380_901163	"WEST BRANCH RD"	0	0	61380	901163
M_61429_905008	"WASHINGTON MTN RD"	0	0	61429	905008
M_61494_908186	"WASHINGTON MTN RD"	0	0	61494	908186
M_61499_908271	"WASHINGTON MTN RD"	0	0	61499	908271
M_62535_899470	"WEST BRANCH RD"	0	0	62535	899470
M_63779_900843	"WATSON RD"	0	0	63779	900843
M_64271_904043	"WASHINGTON MTN RD"	47	0	64271	904043
M_64290_908027	"BLOTZ RD"	0	0	64290	908027
M_64302_903900	"WASHINGTON MTN RD"	49	0	64302	903900
M_64421_903789	"WASHINGTON MTN RD"	189	0	64421	903789
M_64491_903763	"WASHINGTON MTN RD"	219	0	64491	903763
M_64586_903513	"WASHINGTON MTN RD"	283	0	64586	903513
M_64594_902953	"WASHINGTON MTN RD"	452	0	64594	902953
M_64638_903136	"WASHINGTON MTN RD"	441	0	64638	903136
M_64714_903063	"WASHINGTON MTN RD"	453	0	64714	903063
M_64769_902947	"WASHINGTON MTN RD"	509	0	64769	902947
M_64778_902700	"WASHINGTON MTN RD"	572	0	64778	902700
M_64835_902632	"WASHINGTON MTN RD"	572	0	64835	902632
M_64836_904097	"WASHINGTON MTN RD"	249	0	64836	904097
M_64862_902092	"WASHINGTON MTN RD"	768	0	64862	902092
M_65004_902338	"WASHINGTON MTN RD"	696	0	65004	902338
M_65022_900233	"WATSON RD"	0	0	65022	900233
M_65037_905711	"OFF BEACH RD"	0	0	65037	905711
M_65038_907826	"BLOTZ RD"	98	0	65038	907826
M_65042_903167	"WASHINGTON MTN RD"	521	0	65042	903167
M_65109_902690	"WASHINGTON MTN RD"	629	0	65109	902690
M_65131_900073	"WASHINGTON MTN RD"	572	0	65131	900073
M_65133_905191	"BEACH RD"	218	0	65133	905191
M_65136_907765	"BLOTZ RD"	64	0	65136	907765
M_65138_907841	"PLUNKETT RES RD"	542	0	65138	907841
M_65159_900300	"WATSON RD"	0	0	65159	900300
M_65165_907909	"PLUNKETT RES RD"	504	0	65165	907909
M_65178_907970	"PLUNKETT RES RD"	474	0	65178	907970
M_65183_902981	"WASHINGTON MTN RD"	563	0	65183	902981
M_65191_908032	"PLUNKETT RES RD"	458	0	65191	908032
M_65202_908094	"PLUNKETT RES RD"	448	0	65202	908094
M_65208_907567	"BLOTZ RD"	15	0	65208	907567
M_65243_907715	"BLOTZ RD"	14	0	65243	907715
M_65253_907848	"PLUNKETT RES RD"	532	0	65253	907848
M_65268_902574	"FROST RD"	706	0	65268	902574
M_65273_902885	"WASHINGTON MTN RD"	563	0	65273	902885
M_65308_900405	"WATSON RD"	0	0	65308	900405
M_65372_904592	"BEACH RD"	0	0	65372	904592
M_65448_902692	"FROST RD"	0	0	65448	902692
M_65455_900498	"WATSON RD"	0	0	65455	900498
M_65506_903647	"SIMMONS RD"	332	0	65506	903647
M_65528_902086	"WASHINGTON MTN RD"	0	0	65528	902086
M_65533_900545	"WATSON RD"	0	0	65533	900545
M_65546_901907	"WASHINGTON MTN RD"	928	0	65546	901907
M_65575_899867	"WASHINGTON MTN RD"	572	0	65575	899867
M_65589_905664	"BEACH RD"	104	0	65589	905664
M_65636_900618	"WATSON RD"	0	0	65636	900618
M_65701_904004	"SIMMONS RD"	159	0	65701	904004
M_65731_901585	"WASHINGTON MTN RD"	1046	0	65731	901585
M_65743_900705	"WATSON RD"	185	0	65743	900705
M_65769_901767	"WASHINGTON MTN RD"	1013	0	65769	901767
M_65794_903099	"FROST RD"	498	0	65794	903099
M_65820_901700	"WASHINGTON MTN RD"	1023	0	65820	901700
M_65865_900787	"WATSON RD"	145	0	65865	900787
M_65967_900549	"WASHINGTON MTN RD"	1338	0	65967	900549
M_65976_902174	"WASHINGTON MTN RD"	885	0	65976	902174
M_65985_904312	"SIMMONS RD"	160	0	65985	904312
M_65987_900883	"WATSON RD"	0	0	65987	900883
M_66020_902692	"FROST RD"	465	0	66020	902692
M_66057_902883	"FROST RD"	440	0	66057	902883
M_66096_902792	"FROST RD"	427	0	66096	902792
M_66099_902712	"FROST RD"	445	0	66099	902712
M_66101_900971	"WATSON RD"	55	0	66101	900971
M_66127_904021	"SIMMONS RD"	158	0	66127	904021
M_66172_902769	"FROST RD"	405	0	66172	902769
M_66183_902936	"FROST RD"	380	0	66183	902936
M_66209_901250	"WASHINGTON MTN RD"	1227	0	66209	901250
M_66211_901516	"WASHINGTON MTN RD"	1153	0	66211	901516
M_66219_901053	"WATSON RD"	20	0	66219	901053
M_66235_903326	"SIMMONS RD"	0	0	66235	903326
M_66248_905099	"N. WASH. STATE RD"	477	0	66248	905099
M_66259_902908	"FROST RD"	0	0	66259	902908
M_66261_905306	"N. WASH. STATE RD"	545	0	66261	905306
M_66290_904612	"N. WASH. STATE RD"	349	0	66290	904612
M_66299_905660	"N. WASH. STATE RD"	680	0	66299	905660
M_66317_904925	"N. WASH. STATE RD"	443	0	66317	904925
M_66338_901415	"WASHINGTON MTN RD"	1193	0	66338	901415
M_66341_904457	"N. WASH. STATE RD"	321	0	66341	904457
M_66341_905564	"N. WASH. STATE RD"	644	0	66341	905564
M_66353_902888	"FROST RD"	0	0	66353	902888
M_66355_904778	"N. WASH. STATE RD"	383	0	66355	904778
M_66360_905497	"N. WASH. STATE RD"	636	0	66360	905497
M_66375_903863	"SIMMONS RD"	108	0	66375	903863
M_66378_901115	"WASHINGTON MTN RD"	1303	0	66378	901115
M_66394_900775	"WASHINGTON MTN RD"	1338	0	66394	900775
M_66395_905377	"N. WASH. STATE RD"	580	0	66395	905377
M_66412_902958	"FROST RD"	0	0	66412	902958
M_66442_900018	"WASHINGTON MTN RD"	0	0	66442	900018
M_66443_905178	"N. WASH. STATE RD"	528	0	66443	905178
M_66458_903003	"FROST RD"	0	0	66458	903003
M_66464_904120	"N. WASH. STATE RD"	165	0	66464	904120
M_66472_901160	"SCHULZE RD"	358	0	66472	901160
M_66498_904704	"N. WASH. STATE RD"	753	0	66498	904704
M_66518_900626	"WASHINGTON MTN RD"	1570	0	66518	900626
M_66519_905345	"NEWBERRY LN"	47	0	66519	905345
M_66549_901218	"SCHULZE RD"	324	0	66549	901218
M_66554_904892	"UPPER VALLEY RD"	828	0	66554	904892
M_66557_904568	"UPPER VALLEY RD"	735	0	66557	904568
M_66574_903130	"FROST RD"	190	0	66574	903130
M_66575_900533	"WASHINGTON MTN RD"	1570	0	66575	900533
M_66595_900755	"WASHINGTON MTN RD"	1570	0	66595	900755
M_66598_903569	"STONEHOUSE RD"	88	0	66598	903569
M_66614_904090	"N. WASH. STATE RD"	187	0	66614	904090
M_66664_900444	"WASHINGTON MTN RD"	1570	0	66664	900444
M_66669_904202	"N. WASH. STATE RD"	136	0	66669	904202
M_66679_902805	"FROST RD"	301	0	66679	902805
M_66680_903252	"STONEHOUSE RD"	230	0	66680	903252
M_66681_904770	"UPPER VALLEY RD"	772	0	66681	904770
M_66689_903792	"STONEHOUSE RD"	44	0	66689	903792
M_66691_901305	"SCHULZE RD"	292	0	66691	901305
M_66732_905124	"N. WASH. STATE RD"	470	0	66732	905124
M_66746_902897	"FROST RD"	207	0	66746	902897
M_66759_903588	"STONEHOUSE RD"	0	0	66759	903588
M_66777_900379	"WASHINGTON MTN RD"	1570	0	66777	900379
M_66778_903886	"N. WASH. STATE RD"	71	0	66778	903886
M_66781_903076	"STONEHOUSE RD"	282	0	66781	903076
M_66796_902953	"LOVERS LANE RD"	1547	0	66796	902953
M_66801_903810	"STONEHOUSE RD"	36	0	66801	903810
M_66845_902284	"LOVERS LANE RD"	1303	0	66845	902284
M_66845_904521	"UPPER VALLEY RD"	622	0	66845	904521
M_66847_902850	"LOVERS LANE RD"	1513	0	66847	902850
M_66864_903109	"FROST RD"	138	0	66864	903109
M_66878_903288	"S. WASH. STATE RD"	132	0	66878	903288
M_66893_900223	"WASHINGTON MTN RD"	1648	0	66893	900223
M_66901_904582	"UPPER VALLEY RD"	600	0	66901	904582
M_66913_903615	"S. WASH. STATE RD"	21	0	66913	903615
M_66918_902825	"LOVERS LANE RD"	1501	0	66918	902825
M_66926_902763	"LOVERS LANE RD"	1483	0	66926	902763
M_66927_903446	"S. WASH. STATE RD"	133	0	66927	903446
M_66935_902924	"FROST RD"	123	0	66935	902924
M_66943_901485	"SCHULZE RD"	190	0	66943	901485
M_66944_903754	"SUMMIT HILL RD"	8	0	66944	903754
M_66954_903027	"FROST RD"	112	0	66954	903027
M_66958_901025	"SCHULZE RD"	269	0	66958	901025
M_66963_903873	"N. WASH. STATE RD"	2	0	66963	903873
M_66974_902323	"LOVERS LANE RD"	1283	0	66974	902323
M_66986_902906	"FROST RD"	112	0	66986	902906
M_66987_902609	"LOVERS LANE RD"	1445	0	66987	902609
M_66991_900689	"WASHINGTON MTN RD"	1565	0	66991	900689
