LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_223440_901893	"PLEASANT ST"	700	0	223440	901893
M_223512_901960	"PLEASANT ST"	625	0	223512	901960
M_223609_901826	"PLEASANT ST"	650	0	223609	901826
M_223660_901773	"PLEASANT ST"	610	0	223660	901773
M_223684_901974	"REPTON CR"	3	0	223684	901974
M_223684_901974	"REPTON CR"	4	0	223684	901974
M_223684_901974	"REPTON CR"	5	0	223684	901974
M_223689_901714	"PLEASANT ST"	594	0	223689	901714
M_223730_901787	"PLEASANT ST"	586	0	223730	901787
M_223763_901824	"PLEASANT ST"	600	0	223763	901824
M_223792_902184	"STANLEY AV"	0	0	223792	902184
M_223822_901651	"PLEASANT ST"	580	0	223822	901651
M_223848_901769	"PLEASANT ST"	560	0	223848	901769
M_223863_901931	"REPTON CR"	0	0	223863	901931
M_223912_901829	"PLEASANT ST"	0	0	223912	901829
M_223914_902340	"WALTHAM ST"	249	0	223914	902340
M_223925_902023	"STANLEY AV"	57	0	223925	902023
M_223941_901776	"PLEASANT ST"	532	0	223941	901776
M_223943_901812	"PLEASANT ST"	541	0	223943	901812
M_223948_901656	"PARAMONT PL"	0	0	223948	901656
M_223997_901922	"STANLEY AV"	76	0	223997	901922
M_224004_901813	"PLEASANT ST"	525	0	224004	901813
M_224021_901768	"PLEASANT ST"	520	0	224021	901768
M_224036_902660	"MAIN ST"	739	0	224036	902660
M_224049_901769	"PLEASANT ST"	498	0	224049	901769
M_224060_902059	"STANLEY AV"	20-22	0	224060	902059
M_224062_902694	"WHITMAN RD"	0	0	224062	902694
M_224067_901887	"GREEN RIVER WY"	0	0	224067	901887
M_224073_902646	"MAIN ST"	731	0	224073	902646
M_224076_902081	"STANLEY AV"	16-18	0	224076	902081
M_224082_901748	"PLEASANT ST"	0	0	224082	901748
M_224087_902641	"MAIN ST"	725	0	224087	902641
M_224087_902680	"WHITMAN RD"	15	0	224087	902680
M_224096_901939	"GREEN RIVER WY"	44	0	224096	901939
M_224098_902700	"WHITMAN RD"	21	0	224098	902700
M_224101_901822	"PLEASANT ST"	497	0	224101	901822
M_224104_902721	"WHITMAN RD"	25	0	224104	902721
M_224105_902638	"MAIN ST"	719	0	224105	902638
M_224111_902741	"WHITMAN RD"	31	0	224111	902741
M_224115_901636	"PLEASANT ST"	0	0	224115	901636
M_224118_902147	"EDWARD RD"	121	0	224118	902147
M_224118_902670	"LONGFELLOW RD"	12	0	224118	902670
