LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_683781_2949984	"SHORE DR"	58	0	208417	899157
F_684013_2950125	"SHORE DR"	0	0	208488	899200
F_684090_2949415	"SHORE DR"	0	0	208511	898983
F_684112_2949372	"SHORE DR"	0	0	208518	898970
F_684127_2949340	"SHORE DR"	0	0	208522	898961
F_684294_2949450	"RIVER VIEW CIR"	0	0	208573	898994
F_684340_2948935	"SHORE DR"	10	0	208587	898837
F_684410_2948836	"SHORE DR"	8	0	208609	898807
F_684454_2949297	"RIVER VIEW CIR"	98	0	208622	898948
F_684478_2949176	"RIVER VIEW CIR"	10	0	208629	898911
F_684483_2948782	"SHORE DR"	4	0	208631	898791
F_684491_2949433	"RIVER VIEW CIR"	20	0	208633	898989
F_684500_2949784	"RIVER VIEW CIR"	81	0	208636	899096
F_684501_2949508	"RIVER VIEW CIR"	22	0	208636	899012
F_684532_2949623	"RIVER VIEW CIR"	84	0	208646	899047
F_684578_2949006	"RIVER VIEW CIR"	3	0	208660	898859
F_684591_2948893	"SHORE DR"	3	0	208664	898824
F_684593_2950267	"RIVER VIEW CIR"	0	0	208664	899243
F_684595_2949545	"RIVER VIEW CIR"	24	0	208665	899023
F_684604_2949101	"RIVER VIEW CIR"	7	0	208668	898888
F_684613_2948609	"STONEBRIDGE RD"	246	0	208670	898738
F_684619_2949200	"OVERLOOK RD"	16	0	208672	898918
F_684622_2949869	"RIVER VIEW CIR"	73	0	208673	899122
F_684646_2949592	"RIVER VIEW CIR"	26	0	208681	899037
F_684652_2949892	"RIVER VIEW CIR"	69	0	208682	899129
F_684672_2949732	"RIVER VIEW CIR"	78	0	208688	899080
F_684675_2948522	"STONEBRIDGE RD"	242	0	208689	898711
F_684689_2949621	"RIVER VIEW CIR"	28	0	208694	899046
F_684695_2949017	"OVERLOOK RD"	14	0	208695	898862
F_684702_2949257	"RIVER VIEW AVE"	21	0	208698	898935
F_684714_2949935	"RIVER VIEW CIR"	69	0	208701	899142
F_684724_2948643	"STONEBRIDGE RD"	242	0	208704	898748
F_684743_2949194	"OVERLOOK RD"	18	0	208710	898916
F_684745_2949377	"OVERLOOK RD"	26	0	208711	898972
F_684750_2949665	"RIVER VIEW CIR"	30	0	208712	899060
F_684758_2948802	"STONEBRIDGE RD"	243	0	208715	898797
F_684765_2949492	"OVERLOOK RD"	32	0	208717	899007
F_684787_2949985	"RIVER VIEW CIR"	65	0	208723	899157
F_684794_2949819	"RIVER VIEW CIR"	68	0	208726	899107
F_684852_2949738	"RIVER VIEW CIR"	36	0	208743	899082
F_684872_2948365	"STONEBRIDGE RD"	0	0	208749	898663
F_684874_2950029	"RIVER VIEW CIR"	61	0	208750	899171
F_684876_2948959	"OVERLOOK RD"	9	0	208751	898845
F_684899_2949853	"RIVER VIEW CIR"	66	0	208758	899117
F_684900_2949587	"OVERLOOK RD"	35	0	208758	899036
F_684907_2948593	"STONEBRIDGE RD"	234	0	208760	898733
F_684911_2948812	"STONEBRIDGE RD"	233	0	208761	898800
F_684912_2949071	"OVERLOOK RD"	15	0	208762	898879
F_684942_2949166	"RIVER VIEW AVE"	29	0	208771	898908
F_684950_2949913	"RIVER VIEW CIR"	62	0	208773	899135
F_684983_2950058	"RIVER VIEW CIR"	59	0	208783	899179
F_685007_2949645	"RIVER VIEW CIR"	37	0	208791	899054
F_685017_2949820	"RIVER VIEW CIR"	42	0	208794	899107
F_685020_2948004	"STONEBRIDGE RD"	310	0	208795	898553
F_685023_2949523	"OVERLOOK RD"	31	0	208795	899016
F_685025_2948517	"STONEBRIDGE RD"	226	0	208796	898710
F_685036_2949920	"RIVER VIEW CIR"	60	0	208799	899137
F_685074_2947606	"STONEBRIDGE RD"	190R	0	208811	898432
F_685074_2948871	"STONEBRIDGE RD"	227	0	208811	898818
F_685077_2948644	"STONEBRIDGE RD"	226	0	208812	898748
F_685101_2949073	"RIVER VIEW AVE"	35	0	208819	898879
F_685133_2948107	"STONEBRIDGE RD"	308	0	208829	898585
F_685145_2948240	"STONEBRIDGE RD"	304	0	208833	898625
F_685186_2948489	"STONEBRIDGE RD"	222	0	208845	898701
F_685197_2948851	"STONEBRIDGE RD"	223	0	208848	898812
F_685199_2950040	"RIVER VIEW CIR"	55	0	208849	899174
F_685202_2948626	"STONEBRIDGE RD"	224	0	208850	898743
F_685225_2949901	"RIVER VIEW CIR"	51	0	208857	899132
F_685229_2949826	"RIVER VIEW CIR"	0	0	208858	899109
F_685235_2949452	"OVERLOOK RD"	0	0	208860	898995
F_685249_2949738	"RIVER VIEW CIR"	45	0	208864	899082
F_685268_2949029	"RIVER VIEW AVE"	41	0	208870	898866
F_685270_2948835	"STONEBRIDGE RD"	221	0	208871	898807
F_685337_2948527	"STONEBRIDGE RD"	216	0	208891	898713
F_685348_2948237	"STONEBRIDGE RD"	300	0	208894	898624
F_685364_2948807	"STONEBRIDGE RD"	217	0	208899	898798
F_685366_2949389	"STONEBRIDGE RD"	0	0	208900	898976
F_685436_2948533	"STONEBRIDGE RD"	212	0	208921	898715
F_685453_2956761	"BOSTON POST RD"	534	0	208926	901223
F_685479_2948381	"STONEBRIDGE RD"	206	0	208934	898668
F_685488_2948788	"STONEBRIDGE RD"	215	0	208937	898792
F_685517_2948180	"STONEBRIDGE RD"	192	0	208946	898607
F_685528_2957111	"BOSTON POST RD"	533	0	208949	901329
F_685552_2948471	"STONEBRIDGE RD"	206	0	208957	898696
F_685613_2950466	"RIVER VIEW CIR"	0	0	208975	899304
F_685615_2949410	"MEADOW VIEW RD"	4	0	208976	898982
F_685647_2948348	"STONEBRIDGE RD"	200	0	208986	898658
F_685661_2957452	"BOSTON POST RD"	540	0	208990	901433
F_685684_2948124	"STONEBRIDGE RD"	190	0	208997	898590
F_685685_2948690	"STONEBRIDGE RD"	203	0	208997	898763
F_685794_2957817	"RIVER RD"	534	0	209030	901544
F_685814_2948452	"STONEBRIDGE RD"	197	0	209037	898690
F_685869_2956029	"BOSTON POST RD"	0	0	209053	900999
F_685869_2957164	"BOSTON POST RD"	533	0	209053	901345
F_685896_2949831	"MEADOW VIEW RD"	0	0	209062	899110
F_685898_2949388	"MEADOW VIEW RD"	10	0	209062	898975
F_685899_2949520	"MEADOW VIEW RD"	12	0	209062	899015
F_685913_2948403	"STONEBRIDGE RD"	191	0	209067	898675
F_685919_2949241	"MEADOW VIEW RD"	8	0	209069	898930
F_685925_2954307	"PELHAM ISLAND RD"	269	0	209070	900475
F_685936_2957695	"BOSTON POST RD"	534	0	209074	901507
F_685947_2948268	"STONEBRIDGE RD"	189	0	209077	898634
F_685951_2949091	"MEADOW VIEW RD"	6	0	209078	898885
F_685954_2954158	"PELHAM ISLAND RD"	269	0	209079	900429
F_685975_2948541	"OAK HILL RD"	5	0	209086	898717
F_685992_2948662	"OAK HILL RD"	9	0	209091	898754
F_686025_2953882	"PELHAM ISLAND RD"	270	0	209101	900345
F_686027_2949664	"MEADOW VIEW RD"	14	0	209101	899059
F_686031_2948765	"OAK HILL RD"	11	0	209103	898785
F_686064_2953715	"GRISCOM RD"	14	0	209113	900294
F_686082_2953604	"GRISCOM RD"	18	0	209118	900260
F_686084_2957586	"BOSTON POST RD"	526	0	209119	901474
F_686092_2948875	"MEADOW VIEW RD"	2	0	209121	898819
F_686099_2953503	"GRISCOM RD"	24	0	209123	900230
F_686101_2949442	"MEADOW VIEW RD"	11	0	209124	898992
F_686109_2948394	"OAK HILL RD"	3	0	209126	898672
F_686115_2948275	"OAK HILL RD"	1	0	209128	898636
F_686124_2949312	"MEADOW VIEW RD"	9	0	209131	898952
F_686128_2953363	"GRISCOM RD"	40	0	209132	900187
F_686139_2954250	"PELHAM ISLAND RD"	265	0	209136	900457
F_686141_2949196	"MEADOW VIEW RD"	7	0	209136	898917
F_686160_2959480	"RIVER RD"	0	0	209142	902051
F_686171_2953941	"PELHAM ISLAND RD"	266	0	209145	900363
F_686173_2949076	"MEADOW VIEW RD"	3	0	209146	898880
F_686187_2954938	"PELHAM ISLAND RD"	0	0	209150	900667
F_686224_2953075	"GRISCOM RD"	43	0	209161	900099
F_686227_2958239	"BOSTON POST RD"	524	0	209162	901673
F_686237_2948672	"OAK HILL RD"	12	0	209165	898757
F_686243_2953354	"GRISCOM RD"	44	0	209167	900184
F_686251_2952684	"VICTORIA RD (SUDBURY)"	60	0	209170	899980
F_686261_2948556	"OAK HILL RD"	8	0	209173	898722
F_686267_2957403	"BOSTON POST RD"	526	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526A	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526B	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526C	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526D	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526E	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526F	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526G	0	209175	901418
F_686267_2957403	"BOSTON POST RD"	526H	0	209175	901418
F_686272_2949559	"MEADOW VIEW RD"	19	0	209176	899027
F_686273_2950411	"RIVER VIEW CIR"	0	0	209176	899287
F_686289_2949839	"MEADOW VIEW RD"	20	0	209181	899113
F_686297_2948828	"OAK HILL RD"	16	0	209184	898805
F_686315_2948394	"OAK HILL RD"	4	0	209189	898672
F_686316_2956208	"BOSTON POST RD"	0	0	209190	901054
F_686320_2959137	"RIVER RD"	68	0	209191	901947
F_686337_2954017	"PELHAM ISLAND RD"	262	0	209196	900386
F_686348_2949218	"OAK HILL RD"	21	0	209199	898923
F_686385_2953354	"GRISCOM RD"	48	0	209211	900184
F_686417_2952504	"VICTORIA RD (SUDBURY)"	56	0	209220	899925
F_686427_2948990	"OAK HILL RD"	20	0	209223	898854
F_686434_2949677	"OAK HILL RD"	39	0	209226	899063
