LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_318014_857372	"BOUND BROOK WAY"	387	0	318014	857372
M_318052_856156	"DUCK HARBOR RD"	0	0	318052	856156
M_318080_857369	"BOUND BROOK WAY"	385	0	318080	857369
M_318086_857393	"BOUND BROOK WAY"	393	0	318086	857393
M_318104_857161	"BOUND BROOK WAY"	309	0	318104	857161
M_318217_856692	"BOUND BRK ISLAND RD"	730	0	318217	856692
M_318234_857404	"BOUND BROOK WAY"	388	0	318234	857404
M_318360_856761	"BOUND BRK ISLAND RD"	612	0	318360	856761
M_318376_854310	"CHEQUESSETT NECK RD"	1440	0	318376	854310
M_318385_854846	"WAY #026"	100	0	318385	854846
M_318405_854118	"CHEQUESSETT NECK RD"	0	0	318405	854118
M_318410_854437	"CHEQUESSETT NECK RD"	1400	0	318410	854437
M_318444_854545	"CHEQUESSETT NECK RD"	1360	0	318444	854545
M_318457_856731	"BOUND BRK ISLAND RD"	610	0	318457	856731
M_318519_857033	"BOUND BROOK WAY"	199	0	318519	857033
M_318551_854717	"WAY #026"	125	0	318551	854717
M_318555_856537	"BOUND BRK ISLAND RD"	695	0	318555	856537
M_318621_857490	"BOUND BROOK ISLAND"	0	0	318621	857490
M_318677_856926	"BOUND BRK ISLAND RD"	550	0	318677	856926
M_318701_855178	"GRIFFINS ISLAND RD"	160	0	318701	855178
M_318703_856059	"GRIFFINS ISLAND RD"	420	0	318703	856059
M_318714_854793	"GRIFFINS ISLAND RD"	20	0	318714	854793
M_318737_854906	"GRIFFINS ISLAND RD"	50	0	318737	854906
M_318747_856823	"BOUND BRK ISLAND RD"	535	0	318747	856823
M_318785_855001	"GRIFFINS ISLAND RD"	90	0	318785	855001
M_319074_854259	"CHEQUESSETT NECK RD"	1065	0	319074	854259
M_319084_854219	"CHEQUESSETT NECK RD"	1045	0	319084	854219
M_319093_854185	"CHEQUESSETT NECK RD"	1035	0	319093	854185
M_319124_854167	"CHEQUESSETT NECK RD"	1025	0	319124	854167
M_319153_854140	"CHEQUESSETT NECK RD"	1015	0	319153	854140
M_319180_854107	"CHEQUESSETT NECK RD"	1005	0	319180	854107
M_319207_854072	"CHEQUESSETT NECK RD"	995	0	319207	854072
M_319248_854028	"CHEQUESSETT NECK RD"	975	0	319248	854028
M_319278_854001	"CHEQUESSETT NECK RD"	0	0	319278	854001
M_319307_853977	"CHEQUESSETT NECK RD"	945	0	319307	853977
M_319318_854051	"CHEQUESSETT NECK RD"	960	0	319318	854051
M_319350_853948	"CHEQUESSETT NECK RD"	935	0	319350	853948
M_319361_854031	"CHEQUESSETT NECK RD"	950	0	319361	854031
M_319379_853930	"CHEQUESSETT NECK RD"	925	0	319379	853930
M_319397_853918	"CHEQUESSETT NECK RD"	101	0	319397	853918
M_319445_853878	"CHEQUESSETT NECK RD"	915	0	319445	853878
M_319546_853886	"CHEQUESSETT NECK RD"	885	0	319546	853886
M_319629_853932	"CHEQUESSETT NECK RD"	855	0	319629	853932
M_319634_854014	"CHEQUESSETT NECK RD"	830	0	319634	854014
M_319663_854372	"CHEQUESSETT NECK RD"	680	0	319663	854372
M_319667_853959	"CHEQUESSETT NECK RD"	835	0	319667	853959
M_319686_854885	"OLD CHEQUESSETT NECK"	580	0	319686	854885
M_319689_854066	"CHEQUESSETT NECK RD"	810	0	319689	854066
