LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_185495_889336	"FISHER ST"	0	0	185495	889336
M_185572_889391	"GLEN ST"	0	0	185572	889391
M_185625_889296	"NOURSE ST"	0	0	185625	889296
M_185699_889585	"NOURSE ST"	0	0	185699	889585
M_185806_889277	"NOURSE ST"	0	0	185806	889277
M_185808_889497	"ARCH ST"	0	0	185808	889497
M_185854_889796	"NOURSE ST"	0	0	185854	889796
M_185921_889465	"GLEN ST"	0	0	185921	889465
M_185975_889565	"ARCH ST"	0	0	185975	889565
M_185994_889751	"ARCH ST"	0	0	185994	889751
M_185997_889925	"ARCH ST"	0	0	185997	889925
M_186007_889104	"NOURSE ST"	0	0	186007	889104
M_186008_889640	"ARCH ST"	0	0	186008	889640
M_186042_888648	"NOURSE ST"	0	0	186042	888648
M_186042_889687	"ARCH ST"	0	0	186042	889687
M_186093_889617	"ARCH ST"	0	0	186093	889617
M_186115_889749	"GLEN ST"	0	0	186115	889749
M_186189_889561	"NOURSE ST"	0	0	186189	889561
M_186209_889654	"ARCH ST"	0	0	186209	889654
M_186239_889990	"GLEN ST"	0	0	186239	889990
M_186241_889821	"GLEN ST"	0	0	186241	889821
M_186249_891763	"VALENTE DR"	0	0	186249	891763
M_186281_891956	"VALENTE DR"	0	0	186281	891956
M_186311_889047	"NOURSE ST"	103	0	186311	889047
M_186342_888966	"NOURSE ST"	132	0	186342	888966
M_186350_889080	"GLEN ST"	3	0	186350	889080
M_186377_889746	"ARCH ST"	0	0	186377	889746
M_186382_889114	"GLEN ST"	5	0	186382	889114
M_186388_888953	"NOURSE ST"	130	0	186388	888953
M_186399_889495	"GLEN ST"	0	0	186399	889495
M_186399_892143	"VALENTE DR"	4	0	186399	892143
M_186406_889142	"GLEN ST"	7	0	186406	889142
M_186417_889880	"GLEN ST"	0	0	186417	889880
M_186428_888950	"NOURSE ST"	128	0	186428	888950
M_186429_890323	"ARCH ST"	0	0	186429	890323
M_186434_889175	"GLEN ST"	9	0	186434	889175
M_186442_889318	"GLEN ST"	18	0	186442	889318
M_186446_889073	"NOURSE ST"	101	0	186446	889073
M_186460_888942	"NOURSE ST"	126	0	186460	888942
M_186461_889209	"GLEN ST"	11	0	186461	889209
M_186471_890076	"ARCH ST"	0	0	186471	890076
M_186486_889238	"GLEN ST"	15	0	186486	889238
M_186500_888530	"GLEN ST"	0	0	186500	888530
M_186500_889047	"NOURSE ST"	95	0	186500	889047
M_186500_889342	"GLEN ST"	20	0	186500	889342
M_186518_889259	"GLEN ST"	17	0	186518	889259
M_186551_889323	"GLEN ST"	20A	0	186551	889323
M_186553_889042	"NOURSE ST"	93	0	186553	889042
M_186557_889379	"GLEN ST"	22	0	186557	889379
M_186558_891194	"GLEASON ST"	25	0	186558	891194
M_186559_890499	"ARCH ST"	66	0	186559	890499
M_186567_889277	"GLEN ST"	19	0	186567	889277
M_186574_890428	"ARCH ST"	64	0	186574	890428
M_186578_891979	"VALENTE DR"	9	0	186578	891979
M_186590_891139	"GLEASON ST"	22	0	186590	891139
M_186602_889819	"ARCH ST"	0	0	186602	889819
M_186602_890346	"ARCH ST"	62A	0	186602	890346
M_186603_889280	"GLEN ST"	21	0	186603	889280
M_186627_890548	"FISHER ST"	0	0	186627	890548
M_186633_889461	"GLEN ST"	24	0	186633	889461
M_186634_891111	"GLEASON ST"	20	0	186634	891111
M_186641_890504	"ARCH ST"	59	0	186641	890504
M_186642_890261	"ARCH ST"	62	0	186642	890261
M_186645_889275	"GLEN ST"	23	0	186645	889275
M_186675_891073	"GLEASON ST"	0	0	186675	891073
M_186676_889336	"GLEN ST"	26	0	186676	889336
M_186677_891298	"GLEASON ST"	21	0	186677	891298
M_186688_889271	"GLEN ST"	25	0	186688	889271
M_186692_891569	"GLEASON ST"	0	0	186692	891569
M_186697_889579	"ARCH ST"	14	0	186697	889579
M_186699_890536	"FISHER ST"	162	0	186699	890536
M_186705_889702	"ARCH ST"	18	0	186705	889702
M_186708_889404	"ARCH ST"	6	0	186708	889404
M_186708_889442	"ARCH ST"	8	0	186708	889442
M_186708_891036	"GLEASON ST"	18	0	186708	891036
