LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_773172_2842940	"TURNPIKE ST"	0	0	235663	866530
F_773339_2841939	"TURNPIKE ST"	0	0	235714	866225
F_773386_2843474	"TURNPIKE ST"	0	0	235729	866693
F_773387_2843282	"TURNPIKE ST"	10	0	235729	866634
F_773418_2842726	"TURNPIKE ST"	30	0	235738	866465
F_773426_2842983	"TURNPIKE ST"	0	0	235741	866543
F_773429_2842512	"TURNPIKE ST"	34	0	235742	866399
F_773442_2842323	"TURNPIKE ST"	38	0	235746	866342
F_773462_2842195	"TURNPIKE ST"	50	0	235752	866303
F_773468_2841943	"TURNPIKE ST"	104	0	235754	866226
F_773476_2841603	"TURNPIKE ST"	124	0	235756	866122
F_773489_2841367	"TURNPIKE ST"	142	0	235760	866050
F_773497_2841227	"TURNPIKE ST"	148	0	235762	866008
F_773505_2841048	"TURNPIKE ST"	7	0	235765	865953
F_773517_2840895	"TURNPIKE ST"	0	0	235768	865907
F_773643_2840348	"TURNPIKE ST"	173	0	235807	865740
F_773650_2840701	"TURNPIKE ST"	165	0	235809	865847
F_773667_2841005	"TURNPIKE ST"	157	0	235814	865940
F_773672_2841137	"TURNPIKE ST"	153	0	235816	865980
F_773676_2841258	"TURNPIKE ST"	147	0	235817	866017
F_773709_2840562	"TURNPIKE ST"	169	0	235827	865805
F_773724_2840000	"TURNPIKE ST"	0	0	235832	865634
F_773728_2840825	"TURNPIKE ST"	161	0	235833	865885
F_773731_2841705	"TURNPIKE ST"	123	0	235834	866153
F_773758_2839618	"TURNPIKE ST"	0	0	235842	865517
F_773797_2839487	"WALNUT ST"	0	0	235854	865477
F_773821_2841098	"SNELLS WAY"	1	0	235861	865968
F_773852_2839662	"TURNPIKE ST"	54	0	235871	865531
F_773874_2839009	"WALNUT ST"	0	0	235877	865332
F_773899_2843431	"TURNPIKE ST"	15	0	235885	866680
F_773905_2840630	"SNELLS WAY"	20	0	235887	865826
F_773906_2840909	"SNELLS WAY"	10	0	235887	865911
F_773908_2839050	"WALNUT ST"	20	0	235888	865344
F_773909_2842873	"TURNPIKE ST"	35	0	235888	866509
F_773910_2842596	"TURNPIKE ST"	45	0	235888	866425
F_773922_2843155	"TURNPIKE ST"	25	0	235892	866595
F_773927_2838828	"WALNUT ST"	15	0	235893	865277
F_773936_2839114	"WALNUT ST"	24	0	235896	865364
F_773940_2842348	"TURNPIKE ST"	55	0	235897	866349
F_773943_2842120	"TURNPIKE ST"	95	0	235898	866280
F_773944_2840494	"SNELLS WAY"	30	0	235899	865784
F_773972_2838892	"WALNUT ST"	17	0	235907	865296
F_773987_2841176	"SNELLS WAY"	5	0	235912	865992
F_773987_2841635	"TURNPIKE ST"	129	0	235912	866132
F_774002_2839165	"WALNUT ST"	32	0	235916	865379
F_774012_2838668	"WALNUT ST"	11	0	235919	865228
F_774013_2839375	"WALNUT ST"	40	0	235920	865443
F_774055_2838297	"MARISA DR"	1	0	235932	865115
F_774064_2838888	"WALNUT ST"	23	0	235935	865295
F_774065_2839216	"WALNUT ST"	36	0	235935	865395
F_774070_2840130	"TURNPIKE ST"	171	0	235937	865673
F_774079_2839415	"WALNUT ST"	44	0	235940	865455
F_774088_2838469	"MARISA DR"	2	0	235942	865167
F_774141_2838973	"WALNUT ST"	27	0	235959	865321
F_774151_2840304	"SNELLS WAY"	35	0	235962	865726
