LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_91154_901024	"NORTHWEST RD"	376	0	91154	901024
M_91167_900694	"NORTHWEST RD"	356	0	91167	900694
M_91200_900868	"NORTHWEST RD"	0	0	91200	900868
M_91256_900816	"NORTHWEST RD"	366	0	91256	900816
M_91298_899956	"NORTHWEST RD"	0	0	91298	899956
M_91330_897835	"TIPPING ROCK RD"	0	0	91330	897835
M_91358_899240	"PISGAH RD"	0	0	91358	899240
M_91390_901051	"NORTHWEST RD"	0	0	91390	901051
M_91406_901143	"NORTHWEST RD"	0	0	91406	901143
M_91412_900706	"NORTHWEST RD"	353	0	91412	900706
M_91436_893500	"MAIN RD"	0	0	91436	893500
M_91448_900417	"NORTHWEST RD"	326	0	91448	900417
M_91451_895242	"RHODES RD"	0	0	91451	895242
M_91481_893130	"BLUEBERRY HILLS"	0	0	91481	893130
M_91484_894976	"RHODES RD"	0	0	91484	894976
M_91491_892978	"BLUEBERRY HILLS"	0	0	91491	892978
M_91520_897396	"SPRUCE HILL RD"	0	0	91520	897396
M_91534_900791	"NORTHWEST RD"	0	0	91534	900791
M_91550_893250	"BLUEBERRY HILLS"	0	0	91550	893250
M_91557_892542	"BLUEBERRY HILLS"	0	0	91557	892542
M_91580_892098	"MAIN RD"	0	0	91580	892098
M_91603_893506	"MAIN RD"	461	0	91603	893506
M_91604_900509	"NORTHWEST RD"	335	0	91604	900509
M_91629_900328	"NORTHWEST RD"	324	0	91629	900328
M_91646_890544	"MAIN RD"	0	0	91646	890544
M_91649_898214	"TIPPING ROCK RD"	0	0	91649	898214
M_91667_891483	"LYMAN RD"	0	0	91667	891483
M_91670_900340	"NORTHWEST RD"	0	0	91670	900340
M_91683_893068	"BLUEBERRY HILLS"	0	0	91683	893068
M_91687_901083	"NORTHWEST RD"	0	0	91687	901083
M_91699_900366	"NORTHWEST RD"	322	0	91699	900366
M_91707_900078	"NORTHWEST RD"	0	0	91707	900078
M_91723_900620	"NORTHWEST RD"	0	0	91723	900620
M_91725_900438	"NORTHWEST RD"	321	0	91725	900438
M_91734_893252	"BLUEBERRY HILLS"	0	0	91734	893252
M_91739_895889	"SPRUCE HILL RD"	0	0	91739	895889
M_91754_890788	"MAIN RD"	0	0	91754	890788
M_91760_894472	"RHODES RD"	0	0	91760	894472
M_91775_900374	"NORTHWEST RD"	320	0	91775	900374
M_91780_892505	"BLUEBERRY HILLS"	0	0	91780	892505
