LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_160936_920650	"WHITNEY ST"	68	0	160936	920650
M_160981_920641	"WHITNEY ST"	66	0	160981	920641
M_161054_920649	"WHITNEY ST"	62	0	161054	920649
M_161071_920136	"WHITNEY ST"	70	0	161071	920136
M_161110_920663	"WHITNEY ST"	60	0	161110	920663
M_161156_920670	"WHITNEY ST"	58	0	161156	920670
M_161231_920758	"WHITNEY ST"	55	0	161231	920758
M_161243_920679	"WHITNEY ST"	56	0	161243	920679
M_161264_920786	"WHITNEY ST"	53	0	161264	920786
M_161313_920836	"WHITNEY ST"	49	0	161313	920836
M_161377_920822	"WHITNEY ST"	44	0	161377	920822
M_161379_920902	"WHITNEY ST"	41	0	161379	920902
M_161433_920957	"WHITNEY ST"	35	0	161433	920957
M_161650_919937	"KURIKKA PL"	22	0	161650	919937
M_161682_920918	"WHITNEY ST"	16	0	161682	920918
M_161720_920997	"WHITNEY ST"	17	0	161720	920997
M_161741_920915	"WHITNEY ST"	14	0	161741	920915
M_161767_921012	"WHITNEY ST"	15	0	161767	921012
M_161779_920122	"BOURGEOIS TER"	27	0	161779	920122
M_161793_920886	"WHITNEY ST"	12	0	161793	920886
M_161815_920527	"KURIKKA PL"	7	0	161815	920527
M_161891_920852	"WHITNEY ST"	8	0	161891	920852
M_161898_920139	"BOURGEOIS TER"	26	0	161898	920139
M_161905_920455	"KURIKKA PL"	13	0	161905	920455
M_161910_920501	"KURIKKA PL"	11	0	161910	920501
M_161915_920367	"KURIKKA PL"	17	0	161915	920367
M_161916_920406	"KURIKKA PL"	15	0	161916	920406
M_161918_921019	"WHITNEY ST"	1	0	161918	921019
M_161923_920562	"KURIKKA PL"	5	0	161923	920562
M_161934_920607	"KURIKKA PL"	3	0	161934	920607
M_161948_920651	"KURIKKA PL"	1	0	161948	920651
M_161949_920046	"BOURGEOIS TER"	28	0	161949	920046
M_161973_920771	"MINOTT RD"	270	0	161973	920771
M_161986_919909	"BOURGEOIS TER"	30	0	161986	919909
M_161996_919161	"NEWTON RD"	33	0	161996	919161
M_161998_920287	"KURIKKA PL"	20	0	161998	920287
M_161998_920523	"KURIKKA PL"	12	0	161998	920523
M_162004_920358	"KURIKKA PL"	18	0	162004	920358
M_162009_920157	"BOURGEOIS TER"	24	0	162009	920157
M_162012_920383	"KURIKKA PL"	16	0	162012	920383
M_162020_920413	"KURIKKA PL"	14	0	162020	920413
M_162026_921197	"MINOTT RD"	296	0	162026	921197
M_162028_921250	"MINOTT RD"	300	0	162028	921250
M_162050_921292	"MINOTT RD"	302	0	162050	921292
M_162054_919435	"MARK NEWTON RD"	12	0	162054	919435
M_162068_921070	"MINOTT RD"	285	0	162068	921070
M_162070_920518	"MINOTT RD"	242	0	162070	920518
M_162083_921613	"MINOTT RD"	326	0	162083	921613
M_162084_921524	"MINOTT RD"	324	0	162084	921524
M_162088_921008	"ELLIS RD"	241	0	162088	921008
M_162107_918977	"NEWTON RD"	39	0	162107	918977
M_162117_920797	"ELLIS RD"	244	0	162117	920797
M_162125_920513	"MINOTT RD"	240	0	162125	920513
M_162131_921075	"ELLIS RD"	237	0	162131	921075
M_162132_921163	"MINOTT RD"	295	0	162132	921163
M_162135_921231	"MINOTT RD"	301	0	162135	921231
M_162139_922007	"NORWOOD ST-REAR"	45	0	162139	922007
M_162146_919021	"NEWTON RD"	37	0	162146	919021
M_162171_919181	"NEWTON RD"	29	0	162171	919181
M_162176_921085	"ELLIS RD"	235	0	162176	921085
M_162177_919055	"NEWTON RD"	35	0	162177	919055
M_162180_921971	"NORWOOD ST"	20	0	162180	921971
M_162181_922043	"RIDGE ST"	43	0	162181	922043
M_162195_922075	"RIDGE ST"	41	0	162195	922075
M_162203_918895	"NEWTON RD"	42	0	162203	918895
M_162206_922099	"RIDGE ST"	37	0	162206	922099
M_162216_922121	"RIDGE ST"	35	0	162216	922121
M_162219_919101	"NEWTON RD"	31	0	162219	919101
M_162219_920622	"MINOTT RD"	243	0	162219	920622
M_162219_921734	"MINOTT RD"	329	0	162219	921734
M_162225_921093	"ELLIS RD"	233	0	162225	921093
M_162226_922142	"RIDGE ST"	33	0	162226	922142
M_162227_921929	"NORWOOD ST"	18	0	162227	921929
M_162229_922002	"RIDGE ST"	44	0	162229	922002
M_162233_919482	"MARK NEWTON RD"	11	0	162233	919482
M_162233_920981	"ELLIS RD"	232	0	162233	920981
M_162236_922162	"RIDGE ST"	31	0	162236	922162
M_162243_922034	"RIDGE ST"	42	0	162243	922034
M_162246_922183	"RIDGE ST"	29	0	162246	922183
M_162252_922054	"RIDGE ST"	40	0	162252	922054
M_162254_918988	"NEWTON RD"	36	0	162254	918988
M_162255_921903	"NORWOOD ST"	16	0	162255	921903
M_162257_922447	"STATE RD WEST"	200	0	162257	922447
M_162261_919146	"NEWTON RD"	27	0	162261	919146
M_162261_922214	"RIDGE ST"	25	0	162261	922214
M_162262_921962	"MILES AVE"	29	0	162262	921962
M_162266_919211	"NEWTON RD"	25	0	162266	919211
M_162266_919288	"MARK NEWTON RD"	8	0	162266	919288
M_162266_922084	"RIDGE ST"	38	0	162266	922084
M_162267_920511	"MINOTT RD"	241	0	162267	920511
M_162271_918814	"NEWTON RD"	40	0	162271	918814
M_162273_921989	"MILES AVE"	25	0	162273	921989
M_162274_921663	"MINOTT RD"	327	0	162274	921663
M_162276_922244	"RIDGE ST"	23	0	162276	922244
M_162282_922116	"RIDGE ST"	34	0	162282	922116
M_162282_922518	"STATE RD WEST"	197	0	162282	922518
M_162283_922012	"MILES AVE"	23	0	162283	922012
M_162285_919021	"NEWTON RD"	34	0	162285	919021
M_162286_922265	"RIDGE ST"	21	0	162286	922265
M_162292_922138	"RIDGE ST"	32	0	162292	922138
M_162294_922034	"MILES AVE"	21	0	162294	922034
M_162296_922286	"RIDGE ST"	19	0	162296	922286
M_162297_920285	"MINOTT RD"	230	0	162297	920285
M_162300_920930	"ELLIS RD"	230	0	162300	920930
M_162302_922160	"RIDGE ST"	30	0	162302	922160
M_162304_922057	"MILES AVE"	19	0	162304	922057
M_162306_922306	"RIDGE ST"	17	0	162306	922306
M_162312_920465	"MINOTT RD"	237	0	162312	920465
M_162314_922078	"MILES AVE"	17	0	162314	922078
M_162317_922182	"MILES AVE"	9	0	162317	922182
M_162321_922099	"MILES AVE"	15	0	162321	922099
M_162323_918910	"NEWTON RD"	38	0	162323	918910
M_162327_922226	"MILES AVE"	5	0	162327	922226
M_162327_922450	"STATE RD WEST"	196	0	162327	922450
M_162328_922131	"MILES AVE"	11	0	162328	922131
M_162334_919457	"MARK NEWTON RD"	3	0	162334	919457
M_162338_919080	"NEWTON RD"	28	0	162338	919080
M_162338_920704	"MINOTT RD"	239	0	162338	920704
M_162339_921987	"MILES AVE"	24	0	162339	921987
M_162341_920429	"MINOTT RD"	235	0	162341	920429
M_162347_919309	"MARK NEWTON RD"	6	0	162347	919309
M_162348_919954	"MINOTT RD"	222	0	162348	919954
M_162349_921354	"ELLIS RD"	227	0	162349	921354
M_162349_922009	"MILES AVE"	22	0	162349	922009
M_162350_921942	"MILES AVE"	28	0	162350	921942
M_162354_920158	"MINOTT RD"	224	0	162354	920158
M_162356_921120	"ELLIS RD"	223	0	162356	921120
M_162360_922528	"STATE RD WEST"	191	0	162360	922528
M_162363_919130	"NEWTON RD"	26	0	162363	919130
M_162366_918963	"NEWTON RD"	32	0	162366	918963
M_162372_922055	"MILES AVE"	18	0	162372	922055
M_162373_920947	"ELLIS RD"	228	0	162373	920947
M_162378_922112	"MILES AVE"	14	0	162378	922112
M_162378_922137	"MILES AVE"	12	0	162378	922137
M_162378_922161	"MILES AVE"	10	0	162378	922161
M_162380_922022	"MILES AVE"	20	0	162380	922022
M_162380_922312	"PARK ST"	2	0	162380	922312
M_162381_922217	"PARK ST"	5	0	162381	922217
M_162383_922632	"STATE RD WEST"	189	0	162383	922632
M_162390_922344	"RIDGE ST"	14	0	162390	922344
M_162405_922291	"PARK ST"	4	0	162405	922291
M_162406_919005	"NEWTON RD"	30	0	162406	919005
M_162410_922082	"MILES AVE"	16	0	162410	922082
M_162412_919809	"MINOTT RD"	200	0	162412	919809
M_162417_921764	"NORWOOD ST"	14	0	162417	921764
M_162419_922409	"SPRING ST"	3	0	162419	922409
M_162425_920323	"MINOTT RD"	229	0	162425	920323
M_162425_920945	"ELLIS RD"	222	0	162425	920945
M_162427_919129	"NEWTON RD"	24	0	162427	919129
M_162427_922269	"PARK ST"	6	0	162427	922269
M_162429_919314	"NEWTON RD"	15	0	162429	919314
M_162429_922150	"PARK ST"	7	0	162429	922150
M_162432_922539	"STATE RD WEST"	187	0	162432	922539
M_162437_919378	"MARK NEWTON RD"	1	0	162437	919378
M_162437_922314	"SPRING ST"	5	0	162437	922314
M_162445_919193	"NEWTON RD"	22	0	162445	919193
M_162448_922248	"PARK ST"	8	0	162448	922248
M_162449_919631	"MINOTT RD"	176	0	162449	919631
M_162454_920944	"ELLIS RD"	220	0	162454	920944
M_162454_921231	"ELLIS RD"	219	0	162454	921231
M_162456_920265	"MINOTT RD"	225	0	162456	920265
M_162464_922550	"STATE RD WEST"	185	0	162464	922550
M_162465_920144	"MINOTT RD"	220	0	162465	920144
M_162468_921170	"ELLIS RD"	217	0	162468	921170
M_162468_922451	"STATE RD WEST"	192	0	162468	922451
M_162470_921813	"MILES AVE"	30	0	162470	921813
M_162471_922225	"PARK ST"	10	0	162471	922225
M_162475_919431	"NEWTON RD"	9	0	162475	919431
M_162482_920964	"ELLIS RD"	218	0	162482	920964
M_162489_921050	"ELLIS RD"	216	0	162489	921050
M_162500_922615	"STATE RD WEST"	183	0	162500	922615
M_162511_920103	"MINOTT RD"	212	0	162511	920103
M_162516_920219	"MINOTT RD"	217	0	162516	920219
M_162518_922428	"STATE RD WEST"	188	0	162518	922428
M_162521_922866	"SHADY AVE"	105	0	162521	922866
M_162522_922730	"SHADY AVE"	115	0	162522	922730
M_162533_920969	"ELLIS RD"	214	0	162533	920969
M_162535_921205	"ELLIS RD"	209	0	162535	921205
M_162549_922783	"SHADY AVE"	111	0	162549	922783
M_162551_922419	"STATE RD WEST"	182	0	162551	922419
M_162562_922044	"PARK ST"	12	0	162562	922044
M_162563_920083	"MINOTT RD"	210	0	162563	920083
M_162563_922563	"SHADY AVE"	128	0	162563	922563
M_162564_921307	"ELLIS RD"	205	0	162564	921307
