LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
F_797054_2875329	"ANNE ST"	0	0	242943	876402
F_797376_2875612	"ANNE ST"	0	0	243041	876488
F_797427_2878493	"THICKET ST OFF"	0	0	243056	877366
F_797470_2875238	"ANNE ST"	0	0	243069	876374
F_797509_2875353	"ANNE ST"	0	0	243081	876409
F_797567_2881642	"RANDOLPH ST"	0	0	243099	878326
F_797626_2881555	"RANDOLPH ST"	783	0	243117	878300
F_797655_2881688	"RANDOLPH ST"	781	0	243126	878340
F_797663_2881804	"RANDOLPH ST"	761	0	243128	878376
F_797679_2881938	"RANDOLPH ST"	749	0	243133	878416
F_797687_2882390	"FARGO RD"	14	0	243135	878554
F_797700_2882087	"RANDOLPH ST"	737	0	243139	878462
F_797724_2882234	"RANDOLPH ST"	721	0	243147	878507
F_797739_2882548	"FARGO RD"	15	0	243151	878602
F_797776_2881361	"RANDOLPH ST"	786	0	243163	878241
F_797794_2882357	"RANDOLPH ST"	715	0	243168	878544
F_797843_2882635	"RANDOLPH ST"	695	0	243183	878629
F_797855_2882501	"RANDOLPH ST"	703	0	243187	878588
F_797856_2883243	"RANDOLPH ST"	0	0	243187	878814
F_797887_2882744	"RANDOLPH ST"	683	0	243196	878662
F_797903_2882243	"RANDOLPH ST"	0	0	243201	878509
F_797915_2884022	"RANDOLPH ST"	573	0	243205	879052
F_797917_2883901	"RANDOLPH ST"	583	0	243206	879015
F_797917_2884144	"RANDOLPH ST"	559	0	243206	879089
F_797917_2884262	"RANDOLPH ST"	0	0	243206	879125
F_797918_2883681	"RANDOLPH ST"	0	0	243206	878948
F_797919_2883791	"RANDOLPH ST"	593	0	243206	878981
F_797919_2884479	"RANDOLPH ST"	0	0	243206	879191
F_797920_2883462	"RANDOLPH ST"	619	0	243207	878881
F_797920_2884387	"RANDOLPH ST"	539	0	243207	879163
F_797920_2884537	"RANDOLPH ST"	533	0	243207	879209
F_797921_2884625	"RANDOLPH ST"	525	0	243207	879235
F_797923_2884714	"RANDOLPH ST"	515	0	243207	879263
F_797925_2882864	"RANDOLPH ST"	671	0	243208	878699
F_797931_2883566	"RANDOLPH ST"	615	0	243210	878913
F_797935_2875529	"ANNE ST"	100	0	243211	876463
F_797936_2884798	"RANDOLPH ST"	511	0	243211	879288
F_797950_2883011	"RANDOLPH ST"	661	0	243216	878744
F_797996_2881345	"RANDOLPH ST"	784	0	243230	878236
F_798036_2883214	"RANDOLPH ST"	635	0	243242	878805
F_798038_2883355	"RANDOLPH ST"	627	0	243242	878848
F_798049_2875649	"ANNE ST"	0	0	243246	876500
F_798065_2886374	"TAMBURLANE RIDGE"	0	0	243251	879769
F_798080_2886028	"RANDOLPH ST"	393	0	243255	879663
F_798091_2885255	"RANDOLPH ST"	473	0	243259	879427
F_798094_2876520	"ANNE ST OFF"	0	0	243260	876765
F_798123_2886230	"RANDOLPH ST"	387	0	243268	879725
F_798123_2886532	"TAMBURLANE RIDGE"	32	0	243268	879817
F_798141_2886717	"TAMBURLANE RIDGE"	40	0	243274	879873
F_798149_2885691	"RANDOLPH ST"	0	0	243276	879560
F_798158_2885374	"RANDOLPH ST"	463	0	243279	879464
F_798186_2886417	"TAMBURLANE RIDGE"	20	0	243288	879782
F_798211_2886292	"RANDOLPH ST"	379	0	243295	879744
F_798223_2883557	"RANDOLPH ST"	612	0	243299	878910
