LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_100002_904160	"MAIN ST"	88	0	100002	904160
M_100004_906172	"DEPOT RD"	47	0	100004	906172
M_100018_908238	"NASH HILL RD"	115	0	100018	908238
M_100019_904549	"KELLOGG RD"	5	0	100019	904549
M_100020_910703	"HEN HAWK TR"	42	0	100020	910703
M_100022_904287	"MAIN ST"	85	0	100022	904287
M_100034_904183	"MAIN ST"	90	0	100034	904183
M_100048_904266	"MAIN ST"	87	0	100048	904266
M_100050_908357	"NASH HILL RD"	121	0	100050	908357
M_100067_906474	"DEPOT RD"	59	0	100067	906474
M_100067_908048	"NASH HILL RD"	108	0	100067	908048
M_100072_906320	"DEPOT RD"	55	0	100072	906320
M_100079_908313	"NASH HILL RD"	117	0	100079	908313
M_100080_908322	"NASH HILL RD"	117	0	100080	908322
M_100082_908489	"NASH HILL RD"	123	0	100082	908489
M_100095_904300	"MAIN ST"	89	0	100095	904300
M_100101_904142	"MAIN ST"	92	0	100101	904142
M_100113_903935	"WALPOLE RD"	40	0	100113	903935
M_100117_905417	"DEPOT RD"	16	0	100117	905417
M_100129_908061	"NASH HILL RD"	110	0	100129	908061
M_100139_911748	"HEN HAWK TR"	88	0	100139	911748
M_100147_911426	"HEN HAWK TR"	74	0	100147	911426
M_100167_904274	"MAIN ST"	93	0	100167	904274
M_100185_907202	"DEPOT RD"	72	0	100185	907202
M_100186_906316	"DEPOT RD"	54	0	100186	906316
M_100196_908920	"NASH HILL RD"	145	0	100196	908920
M_100228_904255	"MAIN ST"	95	0	100228	904255
M_100234_909149	"NASH HILL RD"	155	0	100234	909149
M_100238_904516	"MAIN ST"	91	0	100238	904516
M_100255_904191	"MAIN ST"	97	0	100255	904191
M_100276_904252	"MAIN ST"	97	0	100276	904252
M_100279_906570	"ADAMS RD"	5	0	100279	906570
M_100283_908369	"NASH HILL RD"	118	0	100283	908369
M_100285_904140	"MAIN ST"	96	0	100285	904140
M_100298_908494	"NASH HILL RD"	122	0	100298	908494
M_100317_904227	"MAIN ST                                         MAIN S"	99	0	100317	904227
M_100321_908741	"NASH HILL RD"	132	0	100321	908741
M_100325_904796	"KELLOGG RD"	7	0	100325	904796
M_100326_908644	"NASH HILL RD"	126	0	100326	908644
M_100342_908828	"NASH HILL RD"	134	0	100342	908828
M_100360_904218	"MAIN ST"	101	0	100360	904218
M_100362_907756	"NASH HILL RD"	110	0	100362	907756
M_100371_902750	"FORT HILL RD"	16	0	100371	902750
M_100384_908896	"NASH HILL RD"	136	0	100384	908896
M_100384_908958	"NASH HILL RD"	138	0	100384	908958
M_100402_904280	"MAIN ST"	95	0	100402	904280
M_100417_909028	"NASH HILL RD"	140	0	100417	909028
M_100420_904187	"MAIN ST"	103	0	100420	904187
M_100435_909140	"NASH HILL RD"	144	0	100435	909140
M_100445_907049	"DEPOT RD"	72	0	100445	907049
M_100457_909238	"NASH HILL RD"	146	0	100457	909238
M_100463_902588	"FORT HILL RD"	24	0	100463	902588
M_100468_903545	"WALPOLE RD"	15	0	100468	903545
M_100491_902752	"DEER HAVEN DR"	9	0	100491	902752
M_100496_904143	"MAIN ST"	107	0	100496	904143
M_100504_902873	"DEER HAVEN DR"	8	0	100504	902873
M_100514_903159	"FORT HILL RD"	14	0	100514	903159
M_100523_903521	"WALPOLE RD"	13	0	100523	903521
M_100548_902740	"DEER HAVEN DR"	7	0	100548	902740
M_100559_904092	"MAIN ST"	109	0	100559	904092
M_100565_902878	"DEER HAVEN DR"	6	0	100565	902878
M_100572_910001	"NASH HILL RD"	160	0	100572	910001
M_100597_902753	"DEER HAVEN DR"	5	0	100597	902753
M_100623_910881	"HEN HAWK TR"	41	0	100623	910881
M_100625_902885	"DEER HAVEN DR"	4	0	100625	902885
M_100626_906630	"ADAMS RD"	9	0	100626	906630
M_100639_903972	"PONDVIEW DR"	9	0	100639	903972
M_100650_902765	"DEER HAVEN DR"	3	0	100650	902765
M_100655_903519	"WALPOLE RD"	9	0	100655	903519
M_100657_903923	"PONDVIEW DR"	7	0	100657	903923
M_100672_903596	"MAIN ST"	132	0	100672	903596
M_100672_903848	"PONDVIEW DR"	5	0	100672	903848
M_100679_908488	"NASH HILL RD"	116	0	100679	908488
M_100683_902643	"FORT HILL RD"	22	0	100683	902643
M_100683_903948	"HATFIELD RD"	3	0	100683	903948
M_100686_902892	"DEER HAVEN DR"	2	0	100686	902892
M_100697_903692	"KINGSLEY AVE"	1	0	100697	903692
M_100699_902722	"FORT HILL RD"	18	0	100699	902722
M_100701_902681	"FORT HILL RD"	20	0	100701	902681
M_100706_911319	"NASH HILL RD"	185	0	100706	911319
M_100719_902785	"DEER HAVEN DR"	1	0	100719	902785
M_100722_904319	"HATFIELD RD"	5	0	100722	904319
M_100725_903699	"KINGSLEY AVE"	3	0	100725	903699
M_100727_907591	"NASH HILL RD"	331	0	100727	907591
M_100738_903781	"HATFIELD RD"	3	0	100738	903781
M_100747_903430	"WALPOLE RD"	5	0	100747	903430
M_100751_903701	"KINGSLEY AVE"	5	0	100751	903701
M_100752_903277	"S MAIN ST"	4	0	100752	903277
M_100777_909110	"NASH HILL RD"	148	0	100777	909110
M_100778_903705	"KINGSLEY AVE"	7	0	100778	903705
M_100785_902695	"FORT HILL RD"	19	0	100785	902695
M_100785_903398	"WALPOLE RD"	3	0	100785	903398
M_100793_903632	"MAIN ST"	123	0	100793	903632
M_100800_903580	"MAIN ST"	125	0	100800	903580
M_100804_902772	"FORT HILL RD"	15	0	100804	902772
M_100805_903707	"KINGSLEY AVE"	9	0	100805	903707
M_100805_911995	"HEN HAWK TR"	103	0	100805	911995
M_100807_903369	"S MAIN ST"	2	0	100807	903369
M_100810_909458	"NASH HILL RD"	158	0	100810	909458
M_100817_911710	"HEN HAWK TR"	79	0	100817	911710
M_100818_903280	"S MAIN ST"	6	0	100818	903280
M_100820_903099	"S MAIN ST"	20	0	100820	903099
M_100830_902910	"FORT HILL RD"	12	0	100830	902910
M_100832_903183	"S MAIN ST"	18	0	100832	903183
M_100834_903544	"MAIN ST"	127	0	100834	903544
M_100835_903707	"KINGSLEY AVE"	11	0	100835	903707
M_100839_902815	"FORT HILL RD"	13	0	100839	902815
M_100841_903267	"S MAIN ST"	8	0	100841	903267
M_100849_905843	"ADAMS RD"	6	0	100849	905843
M_100850_903250	"S MAIN ST"	10	0	100850	903250
M_100850_903738	"HATFIELD RD"	6	0	100850	903738
M_100851_903222	"S MAIN ST"	14	0	100851	903222
M_100853_903366	"S MAIN ST"	1	0	100853	903366
M_100855_903030	"S MAIN ST"	20	0	100855	903030
M_100858_903801	"HATFIELD RD"	7	0	100858	903801
M_100859_903515	"MAIN ST"	129	0	100859	903515
M_100865_903471	"MAIN ST"	131	0	100865	903471
M_100872_903389	"MAIN ST"	136	0	100872	903389
M_100873_903336	"S MAIN ST"	3	0	100873	903336
M_100877_903242	"S MAIN ST"	12	0	100877	903242
M_100882_903720	"DANSEREAU RD"	2	0	100882	903720
M_100884_903319	"S MAIN ST"	5	0	100884	903319
M_100886_903219	"S MAIN ST"	16	0	100886	903219
M_100887_902674	"S MAIN ST"	44	0	100887	902674
M_100888_902838	"FORT HILL RD"	11	0	100888	902838
M_100892_903373	"MAIN ST"	138	0	100892	903373
M_100895_903302	"S MAIN ST"	7	0	100895	903302
M_100899_903693	"KINGSLEY AVE"	13	0	100899	903693
M_100911_903126	"S MAIN ST"	22	0	100911	903126
M_100913_903358	"MAIN ST"	140	0	100913	903358
M_100913_903588	"KINGSLEY AVE"	12	0	100913	903588
M_100913_903724	"ROUND HILL DR"	8	0	100913	903724
M_100917_903268	"S MAIN ST"	9	0	100917	903268
M_100922_903424	"MAIN ST"	137	0	100922	903424
M_100922_903451	"MAIN ST"	135	0	100922	903451
M_100925_903503	"MAIN ST"	133	0	100925	903503
M_100926_903693	"KINGSLEY AVE"	15	0	100926	903693
M_100929_903246	"S MAIN ST"	11	0	100929	903246
M_100931_903086	"S MAIN ST"	26	0	100931	903086
M_100931_903649	"KINGSLEY AVE"	14	0	100931	903649
M_100932_903230	"S MAIN ST"	13	0	100932	903230
M_100936_902837	"FORT HILL RD"	9	0	100936	902837
M_100937_903731	"ROUND HILL DR"	6	0	100937	903731
M_100939_902929	"FORT HILL RD"	10	0	100939	902929
M_100946_903559	"KINGSLEY AV"	16	0	100946	903559
M_100948_903321	"MAIN ST"	142	0	100948	903321
M_100951_903200	"S MAIN ST"	15	0	100951	903200
M_100954_903049	"S MAIN ST"	28	0	100954	903049
M_100955_903427	"MAIN ST"	139	0	100955	903427
M_100958_903746	"HATFIELD RD"	12	0	100958	903746
M_100959_903023	"S MAIN ST"	30	0	100959	903023
M_100965_903223	"BRIDGE ST"	7	0	100965	903223
M_100966_903003	"S MAIN ST"	32	0	100966	903003
M_100969_903207	"BRIDGE ST"	9	0	100969	903207
M_100971_903188	"S MAIN ST"	17	0	100971	903188
M_100975_903764	"ROUND HILL DR"	2	0	100975	903764
M_100976_903625	"KINGSLEY AVE"	16	0	100976	903625
M_100982_903779	"ROUND HILL DR"	1	0	100982	903779
M_100987_903416	"MAIN ST"	141	0	100987	903416
M_100988_903167	"S MAIN ST"	19	0	100988	903167
M_100989_902895	"FORT HILL RD"	6	0	100989	902895
M_100990_903271	"BRIDGE ST"	5	0	100990	903271
M_100993_902988	"S MAIN ST"	34	0	100993	902988
M_100995_910902	"HEN HAWK TR"	41	0	100995	910902
M_100998_902701	"S MAIN ST"	42	0	100998	902701
M_101000_902614	"S MAIN ST"	49	0	101000	902614
M_101000_903297	"BRIDGE ST"	3	0	101000	903297
M_101000_903795	"HATFIELD RD"	18	0	101000	903795
M_101005_902868	"FORT HILL RD"	8	0	101005	902868
M_101007_903143	"S MAIN ST"	21	0	101007	903143
M_101010_902819	"S MAIN ST"	40	0	101010	902819
M_101010_902954	"FORT HILL RD"	2	0	101010	902954
M_101010_903402	"MAIN ST"	143	0	101010	903402
M_101010_904044	"HATFIELD RD"	21	0	101010	904044
M_101011_902887	"FORT HILL RD"	6	0	101011	902887
M_101011_903496	"MAIN ST"	141	0	101011	903496
M_101012_903312	"MAIN ST"	144	0	101012	903312
M_101015_903256	"BRIDGE ST"	5	0	101015	903256
M_101016_903697	"KINGSLEY AVE"	18	0	101016	903697
M_101017_902908	"FORT HILL RD"	4	0	101017	902908
M_101019_903114	"S MAIN ST"	23	0	101019	903114
M_101020_903614	"EDWARDS ST"	5	0	101020	903614
M_101021_903530	"KINGSLEY AVE"	16	0	101021	903530
M_101021_904431	"HATFIELD RD"	5	0	101021	904431
M_101021_910542	"HEN HAWK TR"	39	0	101021	910542
M_101024_903082	"S MAIN ST"	25	0	101024	903082
M_101028_902943	"FORT HILL RD"	2	0	101028	902943
M_101030_903055	"S MAIN ST"	27	0	101030	903055
M_101035_903296	"MAIN ST"	146	0	101035	903296
M_101037_903356	"MAIN ST"	145	0	101037	903356
M_101037_903823	"HATFIELD RD"	22	0	101037	903823
M_101039_902686	"S MAIN ST"	45	0	101039	902686
M_101041_903020	"S MAIN ST"	29	0	101041	903020
M_101045_903682	"EDWARDS ST"	6	0	101045	903682
M_101047_903256	"MAIN ST"	148	0	101047	903256
M_101053_903475	"HIGH ST"	1	0	101053	903475
M_101053_903716	"KINGSLEY AVE"	20	0	101053	903716
M_101057_903749	"MAPLE ST"	9	0	101057	903749
M_101059_903593	"EDWARDS ST"	3	0	101059	903593
M_101062_903729	"KINGSLEY AVE"	22	0	101062	903729
M_101064_903333	"MAIN ST"	147	0	101064	903333
M_101076_903284	"MAIN ST"	150	0	101076	903284
M_101077_903498	"HIGH ST"	3	0	101077	903498
M_101078_902963	"S MAIN ST"	31	0	101078	902963
M_101079_903320	"MAIN ST"	149	0	101079	903320
M_101080_903361	"MAIN ST"	141	0	101080	903361
M_101082_903276	"MAIN ST"	152	0	101082	903276
M_101082_903660	"EDWARDS ST"	4	0	101082	903660
M_101083_902853	"S MAIN ST"	35	0	101083	902853
M_101086_902744	"FAIRFIELD AVE"	28	0	101086	902744
M_101089_903733	"MAPLE ST"	7	0	101089	903733
M_101090_903783	"MAPLE ST"	6	0	101090	903783
M_101097_903270	"MAIN ST"	154	0	101097	903270
M_101097_903412	"HIGH ST"	2	0	101097	903412
M_101098_903551	"HIGH ST"	5	0	101098	903551
M_101100_903707	"MAPLE ST"	5	0	101100	903707
M_101105_903209	"MAIN ST"	154	0	101105	903209
M_101108_903445	"HIGH ST"	4	0	101108	903445
M_101111_906289	"ADAMS RD"	40	0	101111	906289
M_101116_903640	"EDWARDS ST"	2	0	101116	903640
M_101121_903825	"KINGSLEY AVE"	28	0	101121	903825
M_101125_903693	"MAPLE ST"	3	0	101125	903693
M_101125_903944	"KINGSLEY AVE"	33	0	101125	903944
M_101128_906488	"ADAMS RD"	41	0	101128	906488
M_101134_903480	"HIGH ST"	6	0	101134	903480
M_101139_903414	"PINE ST"	11	0	101139	903414
M_101140_903214	"MAIN ST"	154	0	101140	903214
M_101144_902741	"FAIRFIELD AVE"	28	0	101144	902741
M_101144_903607	"HIGH ST"	9	0	101144	903607
M_101145_903333	"PINE ST"	5	0	101145	903333
M_101145_904112	"KINGSLEY AVE"	35	0	101145	904112
M_101146_903366	"PINE ST"	7	0	101146	903366
M_101150_903678	"HIGH ST"	17	0	101150	903678
M_101151_903760	"MAPLE ST"	4	0	101151	903760
M_101152_903313	"PINE ST"	3	0	101152	903313
M_101158_903460	"PINE ST"	16	0	101158	903460
M_101158_903624	"HIGH ST"	11	0	101158	903624
M_101160_903293	"PINE ST"	1	0	101160	903293
M_101160_903523	"HIGH ST"	8	0	101160	903523
M_101162_903393	"PINE ST"	9	0	101162	903393
M_101168_903641	"HIGH ST"	13	0	101168	903641
M_101169_903481	"GROVE ST"	8	0	101169	903481
M_101174_903843	"KINGSLEY AVE"	32	0	101174	903843
M_101178_903498	"GROVE ST"	6	0	101178	903498
M_101178_903658	"HIGH ST"	15	0	101178	903658
M_101180_903209	"MAIN ST"	156	0	101180	903209
M_101185_903382	"PINE ST"	9	0	101185	903382
M_101186_902708	"FAIRFIELD AVE"	30	0	101186	902708
M_101189_903125	"FAIRFIELD AVE"	4	0	101189	903125
M_101190_903752	"MAPLE ST"	2	0	101190	903752
M_101191_903523	"GROVE ST"	2	0	101191	903523
M_101192_903078	"FAIRFIELD AVE"	6	0	101192	903078
M_101193_902804	"FAIRFIELD AVE"	26	0	101193	902804
M_101193_903418	"PINE ST"	14	0	101193	903418
M_101194_903047	"FAIRFIELD AVE"	8	0	101194	903047
M_101196_903023	"FAIRFIELD AVE"	10	0	101196	903023
M_101196_903274	"PINE ST"	2	0	101196	903274
M_101199_902825	"FAIRFIELD AVE"	24	0	101199	902825
M_101199_902982	"FAIRFIELD AVE"	12	0	101199	902982
M_101200_902849	"FAIRFIELD AVE"	22	0	101200	902849
M_101201_902943	"FAIRFIELD AVE"	16	0	101201	902943
M_101201_903186	"MAIN ST"	158	0	101201	903186
M_101202_902881	"FAIRFIELD AVE"	20	0	101202	902881
M_101202_902916	"FAIRFIELD AVE"	18	0	101202	902916
M_101203_903703	"HIGH ST"	19	0	101203	903703
M_101206_903306	"PINE ST"	4	0	101206	903306
M_101208_903161	"FAIRFIELD AVE"	2	0	101208	903161
M_101212_903718	"HIGH ST"	21	0	101212	903718
M_101222_903599	"HIGH ST"	12	0	101222	903599
M_101226_903451	"GROVE ST"	13	0	101226	903451
M_101229_903492	"GROVE ST"	9	0	101229	903492
M_101231_902736	"FAIRFIELD AVE"	30	0	101231	902736
M_101234_903269	"MAIN ST"	157	0	101234	903269
M_101236_903843	"HIGH ST"	25	0	101236	903843
M_101237_903758	"HIGH ST"	23	0	101237	903758
M_101238_903466	"GROVE ST"	11	0	101238	903466
M_101238_903509	"GROVE ST"	7	0	101238	903509
M_101239_902784	"FAIRFIELD AVE"	28	0	101239	902784
M_101241_903180	"MAIN ST"	160	0	101241	903180
M_101244_903418	"GROVE ST"	15	0	101244	903418
M_101248_903526	"GROVE ST"	5	0	101248	903526
M_101251_906306	"ADAMS RD"	42	0	101251	906306
M_101254_903155	"MYRTLE AV"	8	0	101254	903155
M_101254_903342	"PINE ST"	6	0	101254	903342
M_101254_903957	"KINGSLEY AVE"	37	0	101254	903957
M_101261_903180	"MAIN ST"	162	0	101261	903180
M_101264_903622	"HIGH ST"	16	0	101264	903622
M_101266_903256	"MAIN ST"	159	0	101266	903256
M_101270_903075	"FAIRFIELD AVE"	7	0	101270	903075
M_101275_902993	"FAIRFIELD AVE"	13	0	101275	902993
M_101278_902962	"FAIRFIELD AV"	15	0	101278	902962
M_101281_903169	"MAIN ST"	164	0	101281	903169
M_101282_902928	"FAIRFIELD AVE"	17	0	101282	902928
M_101285_902893	"FAIRFIELD AVE"	19	0	101285	902893
M_101285_903803	"HIGH ST"	34	0	101285	903803
M_101287_903727	"HIGH ST"	22	0	101287	903727
