LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_52206_933657	"HANCOCK RD"	0	0	52206	933657
M_53023_934681	"HANCOCK RD"	0	0	53023	934681
M_53044_933178	"HANCOCK RD"	0	0	53044	933178
M_53067_932849	"HANCOCK RD"	0	0	53067	932849
M_53184_935704	"OBLONG RD"	0	0	53184	935704
M_53430_933593	"HANCOCK RD"	1351	0	53430	933593
M_53560_934188	"HANCOCK RD"	1117	0	53560	934188
M_53797_933154	"HANCOCK RD"	1501	0	53797	933154
M_53838_938088	"KIDDER MOUNTAIN"	0	0	53838	938088
M_53854_937473	"KIDDER HOLLOW"	0	0	53854	937473
M_53882_932948	"HANCOCK RD"	1565	0	53882	932948
M_53890_936227	"OBLONG RD"	0	0	53890	936227
M_53989_935306	"HANCOCK RD"	759	0	53989	935306
M_54002_933195	"HANCOCK RD"	1491	0	54002	933195
M_54005_932786	"HANCOCK RD"	0	0	54005	932786
M_54028_933731	"HANCOCK RD"	0	0	54028	933731
M_54077_932873	"HANCOCK RD"	1541	0	54077	932873
M_54082_932920	"HANCOCK RD"	1525	0	54082	932920
M_54083_932780	"HANCOCK RD"	0	0	54083	932780
M_54161_932775	"HANCOCK RD"	0	0	54161	932775
M_54176_932859	"HANCOCK RD"	1544	0	54176	932859
M_54191_933113	"HANCOCK RD"	0	0	54191	933113
M_54217_938119	"KIDDER HOLLOW"	0	0	54217	938119
M_54231_940770	"BERLIN RD"	0	0	54231	940770
M_54257_933943	"HANCOCK RD"	1151	0	54257	933943
M_54310_932765	"HANCOCK RD"	0	0	54310	932765
M_54332_935557	"OBLONG RD"	1615	0	54332	935557
M_54333_933682	"HANCOCK RD"	1269	0	54333	933682
M_54400_940654	"BERLIN RD"	0	0	54400	940654
M_54428_933157	"HANCOCK RD"	1430	0	54428	933157
M_54461_941020	"BERLIN RD"	0	0	54461	941020
M_54523_934694	"HANCOCK RD"	885	0	54523	934694
M_54532_933425	"HANCOCK RD"	0	0	54532	933425
M_54537_932896	"HANCOCK RD"	0	0	54537	932896
M_54565_933482	"HANCOCK RD"	0	0	54565	933482
M_54571_936614	"OBLONG RD"	1331	0	54571	936614
M_54581_934127	"HANCOCK RD"	0	0	54581	934127
M_54609_933570	"HANCOCK RD"	1286	0	54609	933570
M_54612_933320	"HANCOCK RD"	1352	0	54612	933320
M_54617_937756	"KIDDER MOUNTAIN"	0	0	54617	937756
M_54633_934388	"HANCOCK RD"	963	0	54633	934388
M_54638_934171	"HANCOCK RD"	0	0	54638	934171
M_54650_934967	"HANCOCK RD"	825	0	54650	934967
M_54664_938372	"KIDDER HOLLOW"	0	0	54664	938372
M_54733_935288	"OBLONG RD"	1639	0	54733	935288
M_54784_932734	"HANCOCK RD"	0	0	54784	932734
M_54792_940180	"BERLIN RD"	0	0	54792	940180
M_54794_933745	"HANCOCK RD"	1210	0	54794	933745
M_54820_934839	"HANCOCK RD"	841	0	54820	934839
M_54828_933982	"HANCOCK RD"	0	0	54828	933982
M_54854_937023	"OBLONG RD"	1255	0	54854	937023
M_54867_935588	"OBLONG RD"	0	0	54867	935588
M_54878_934249	"HANCOCK RD"	1021	0	54878	934249
M_54881_934724	"HANCOCK RD"	881	0	54881	934724
M_54890_939112	"OBLONG RD"	0	0	54890	939112
M_54915_934516	"HANCOCK RD"	905	0	54915	934516
M_54937_940503	"BERLIN RD"	0	0	54937	940503
M_54939_935708	"OBLONG RD"	1525	0	54939	935708
M_54965_935228	"OBLONG RD"	1651	0	54965	935228
M_54970_935572	"OBLONG RD"	1571	0	54970	935572
M_54972_935808	"OBLONG RD"	1495	0	54972	935808
M_54986_933283	"HANCOCK RD"	0	0	54986	933283
M_55003_934601	"HANCOCK RD"	883	0	55003	934601
M_55012_935926	"OBLONG RD"	1435	0	55012	935926
M_55053_936443	"OBLONG RD"	0	0	55053	936443
M_55063_935178	"OBLONG RD"	1685	0	55063	935178
M_55063_936163	"OBLONG RD"	0	0	55063	936163
M_55070_935324	"OBLONG RD"	1670	0	55070	935324
M_55074_939721	"BERLIN RD"	0	0	55074	939721
M_55096_937485	"OBLONG RD"	0	0	55096	937485
M_55105_934281	"HANCOCK RD"	974	0	55105	934281
M_55105_935382	"OBLONG RD"	0	0	55105	935382
M_55107_935434	"OBLONG RD"	1590	0	55107	935434
M_55139_935533	"OBLONG RD"	0	0	55139	935533
M_55151_934340	"HANCOCK RD"	940	0	55151	934340
M_55158_935641	"OBLONG RD"	1518	0	55158	935641
M_55183_937672	"OBLONG RD"	843	0	55183	937672
M_55192_935742	"OBLONG RD"	1476	0	55192	935742
M_55197_934435	"HANCOCK RD"	924	0	55197	934435
M_55199_935060	"HANCOCK RD"	735	0	55199	935060
M_55211_938011	"OBLONG RD"	811	0	55211	938011
M_55215_936580	"OBLONG RD"	1255	0	55215	936580
M_55219_934624	"HANCOCK RD"	864	0	55219	934624
M_55227_934556	"HANCOCK RD"	876	0	55227	934556
M_55230_935856	"OBLONG RD"	1438	0	55230	935856
M_55235_935126	"OBLONG RD"	1757	0	55235	935126
M_55245_934740	"HANCOCK RD"	0	0	55245	934740
M_55257_937273	"OBLONG RD"	991	0	55257	937273
M_55268_935426	"OBLONG RD"	1712	0	55268	935426
M_55272_934908	"HANCOCK RD"	762	0	55272	934908
M_55273_936005	"OBLONG RD"	0	0	55273	936005
M_55277_934482	"HANCOCK RD"	888	0	55277	934482
M_55291_936504	"OBLONG RD"	1241	0	55291	936504
M_55299_941831	"BERLIN RD"	0	0	55299	941831
M_55306_935069	"HANCOCK RD"	701	0	55306	935069
M_55334_940893	"BERLIN RD"	0	0	55334	940893
M_55346_936181	"OBLONG RD"	0	0	55346	936181
M_55349_934924	"HANCOCK RD"	720	0	55349	934924
M_55353_934773	"HANCOCK RD"	770	0	55353	934773
M_55369_932870	"HANCOCK RD"	0	0	55369	932870
M_55383_936332	"OBLONG RD"	1292	0	55383	936332
M_55392_940557	"BERLIN RD"	400	0	55392	940557
