LOC_ID	FULL_STR	ADDR_NUM	_SITE_ADDR	x	y
M_223221_923456	"BRUNING RD"	1	0	223221	923456
M_223236_923363	"SECOND AVE"	8	0	223236	923363
M_223236_923424	"BRUNING RD"	3	0	223236	923424
M_223250_923396	"BRUNING RD"	5	0	223250	923396
M_223258_923476	"BRUNING RD"	2	0	223258	923476
M_223264_923366	"BRUNING RD"	7	0	223264	923366
M_223274_923442	"BRUNING RD"	4	0	223274	923442
M_223280_923328	"BRUNING RD"	9	0	223280	923328
M_223288_923415	"BRUNING RD"	6	0	223288	923415
M_223299_923301	"BRUNING RD"	11	0	223299	923301
M_223300_923459	"EDGEWORTH ST"	3	0	223300	923459
M_223302_923384	"BRUNING RD"	8	0	223302	923384
M_223317_923424	"EDGEWORTH ST"	5	0	223317	923424
M_223330_923397	"EDGEWORTH ST"	7	0	223330	923397
M_223344_923486	"DORCHESTER ST"	32	0	223344	923486
M_223353_923519	"DORCHESTER ST"	34	0	223353	923519
M_223368_923465	"DORCHESTER ST"	30	0	223368	923465
M_223369_923585	"UNIVERSITY ST"	2	0	223369	923585
M_223382_923419	"SECOND AVE"	4	0	223382	923419
M_223395_923533	"DORCHESTER ST"	37	0	223395	923533
M_223405_923376	"DORCHESTER ST"	26	0	223405	923376
M_223416_923488	"DORCHESTER ST"	33	0	223416	923488
M_223425_923333	"DORCHESTER ST"	24	0	223425	923333
M_223427_924161	"SHAWSHEEN AVE"	536	0	223427	924161
M_223434_923524	"DORCHESTER ST"	35	0	223434	923524
M_223442_923501	"ALBANY ST"	46	0	223442	923501
M_223442_924239	"SHAWSHEEN AVE"	533	0	223442	924239
M_223445_923293	"DORCHESTER ST"	22	0	223445	923293
M_223445_923461	"DORCHESTER ST"	31	0	223445	923461
M_223449_923663	"POULIOT PL"	5102	0	223449	923663
M_223449_923673	"POULIOT PL"	5101	0	223449	923673
M_223450_923652	"POULIOT PL"	5301	0	223450	923652
M_223451_923155	"EDGEWORTH RD"	21	0	223451	923155
M_223451_923684	"POULIOT PL"	4902	0	223451	923684
