LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_149540_932824	"NEW BOSTON RD"	0	0	149540	932824
M_149546_932675	"NEW BOSTON RD"	0	0	149546	932675
M_149630_933386	"BURGESS RD"	0	0	149630	933386
M_149716_936442	"NEW BOSTON RD"	0	0	149716	936442
M_149724_935867	"NEW BOSTON RD"	0	0	149724	935867
M_149759_937194	"RIVER ST"	0	0	149759	937194
M_149764_934175	"BURGESS RD"	0	0	149764	934175
M_149783_935853	"NEW BOSTON RD"	0	0	149783	935853
M_149785_931067	"FLAGG RD"	0	0	149785	931067
M_149790_936773	"NEW BOSTON RD"	0	0	149790	936773
M_149823_935358	"NEW BOSTON RD"	0	0	149823	935358
M_149829_936271	"NEW BOSTON RD"	0	0	149829	936271
M_149860_933647	"NEW BOSTON RD"	0	0	149860	933647
M_149889_937036	"RIVER ST"	0	0	149889	937036
M_149904_935603	"NEW BOSTON RD"	0	0	149904	935603
M_149905_935674	"NEW BOSTON RD"	0	0	149905	935674
M_149913_935402	"NEW BOSTON RD"	0	0	149913	935402
M_149925_935744	"NEW BOSTON RD"	0	0	149925	935744
M_149991_935459	"NEW BOSTON RD"	0	0	149991	935459
M_150021_934542	"NEW BOSTON RD"	0	0	150021	934542
M_150030_935520	"NEW BOSTON RD"	0	0	150030	935520
M_150050_935337	"NEW BOSTON RD"	0	0	150050	935337
M_150069_938665	"NORTH ROYALSTON RD"	135	0	150069	938665
M_150071_938994	"NORTH ROYALSTON RD"	0	0	150071	938994
M_150072_933529	"NEW BOSTON RD"	0	0	150072	933529
M_150072_938347	"NORTH ROYALSTON RD"	0	0	150072	938347
M_150073_934686	"NEW BOSTON RD"	0	0	150073	934686
M_150081_936758	"NEW BOSTON RD"	0	0	150081	936758
M_150094_935915	"NEW BOSTON RD"	0	0	150094	935915
M_150096_934548	"NEW BOSTON RD"	0	0	150096	934548
M_150099_933832	"NEW BOSTON RD"	0	0	150099	933832
M_150111_938073	"RIVER ST"	0	0	150111	938073
M_150134_935551	"SIBLEY RD"	0	0	150134	935551
M_150138_937038	"RIVER ST"	0	0	150138	937038
M_150140_934395	"NEW BOSTON RD"	0	0	150140	934395
M_150142_939563	"NORTH ROYALSTON RD"	0	0	150142	939563
M_150165_932836	"NEW BOSTON RD"	0	0	150165	932836
M_150191_939973	"BOSWORTH RD"	0	0	150191	939973
M_150209_938675	"NORTH ROYALSTON RD"	125	0	150209	938675
M_150219_933610	"NEW BOSTON RD"	0	0	150219	933610
M_150240_934377	"NEW BOSTON RD"	0	0	150240	934377
M_150242_938485	"BROOKS RD"	54	0	150242	938485
M_150252_934678	"NEW BOSTON RD"	0	0	150252	934678
M_150265_935689	"SIBLEY RD"	0	0	150265	935689
M_150274_933842	"NEW BOSTON RD"	0	0	150274	933842
M_150299_938690	"NORTH ROYALSTON RD"	0	0	150299	938690
M_150352_937004	"RIVER ST"	800	0	150352	937004
M_150355_938459	"BROOKS RD"	0	0	150355	938459
M_150378_933102	"NEW BOSTON RD"	0	0	150378	933102
M_150382_938779	"NORTH ROYALSTON RD"	119	0	150382	938779
M_150399_937225	"RIVER ST"	790	0	150399	937225
M_150409_938561	"NORTH ROYALSTON RD"	120	0	150409	938561
M_150414_937485	"RIVER ST"	0	0	150414	937485
M_150418_934536	"NEW BOSTON RD"	0	0	150418	934536
M_150424_936667	"NEW BOSTON RD"	0	0	150424	936667
M_150433_932522	"NEW BOSTON RD"	0	0	150433	932522
M_150444_938861	"NORTH ROYALSTON RD"	115	0	150444	938861
M_150451_933741	"NEW BOSTON RD"	0	0	150451	933741
M_150455_937202	"RIVER ST"	780	0	150455	937202
M_150459_940517	"BOSWORTH RD"	0	0	150459	940517
M_150460_935898	"SIBLEY RD"	0	0	150460	935898
M_150464_938400	"BROOKS RD"	51	0	150464	938400
M_150490_932937	"NEW BOSTON RD"	0	0	150490	932937
M_150495_933216	"NEW BOSTON RD"	0	0	150495	933216
M_150503_938844	"NORTH ROYALSTON RD"	111	0	150503	938844
M_150525_934317	"NEW BOSTON RD"	0	0	150525	934317
M_150525_938283	"BROOKS RD"	45	0	150525	938283
M_150529_937264	"RIVER ST"	770	0	150529	937264
M_150534_937378	"RIVER ST"	761	0	150534	937378
M_150557_938536	"NORTH ROYALSTON RD"	114	0	150557	938536
M_150562_935635	"SIBLEY RD"	0	0	150562	935635
M_150570_939886	"BOSWORTH RD"	55	0	150570	939886
M_150573_937009	"RIVER ST"	0	0	150573	937009
M_150583_938860	"NORTH ROYALSTON RD"	109	0	150583	938860
M_150590_937260	"RIVER ST"	760	0	150590	937260
M_150590_937386	"RIVER ST"	751	0	150590	937386
M_150592_938255	"BROOKS RD"	43	0	150592	938255
M_150611_931371	"NEW BOSTON RD"	0	0	150611	931371
M_150626_937568	"RIVER ST"	731	0	150626	937568
M_150635_934929	"NEW BOSTON RD"	0	0	150635	934929
M_150637_938473	"NORTH ROYALSTON RD"	112	0	150637	938473
M_150645_932908	"NEW BOSTON RD"	0	0	150645	932908
M_150650_937398	"RIVER ST"	741	0	150650	937398
