LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_667886_2832300	"JENKS ST"	0	0	203572	863287
F_667889_2834198	"LUKE ST"	29	0	203573	863865
F_667940_2834784	"LUKE ST"	45	0	203589	864044
F_667962_2833733	"WEST ST"	2775	0	203595	863724
F_668011_2831622	"JENKS ST"	0	0	203610	863080
F_668033_2833425	"WEST ST"	2785	0	203617	863630
F_668126_2834697	"LUKE ST"	35	0	203645	864017
F_668186_2834449	"LUKE ST"	25	0	203664	863942
F_668189_2835937	"OAK HILL AVE"	176	0	203664	864395
F_668194_2836073	"OAK HILL AVE"	170	0	203666	864437
F_668204_2836205	"OAK HILL AVE"	164	0	203669	864477
F_668214_2836338	"OAK HILL AVE"	160	0	203672	864518
F_668226_2836475	"OAK HILL AVE"	154	0	203676	864559
F_668238_2836613	"OAK HILL AVE"	148	0	203679	864601
F_668240_2834266	"LUKE ST"	15	0	203680	863886
F_668248_2836756	"OAK HILL AVE"	142	0	203682	864645
F_668279_2834114	"LUKE ST"	5	0	203692	863840
F_668308_2836894	"OAK HILL AVE"	136	0	203701	864687
F_668379_2834972	"LUKE ST"	52	0	203722	864101
F_668408_2835595	"RIDGE RD"	65	0	203731	864291
F_668429_2836986	"OAK HILL AVE"	130	0	203738	864715
F_668437_2835745	"RIDGE RD"	59	0	203740	864337
F_668459_2836169	"OAK HILL AVE"	167	0	203747	864466
F_668468_2833832	"WEST ST"	2755	0	203749	863754
F_668469_2836302	"OAK HILL AVE"	161	0	203750	864507
F_668481_2836438	"OAK HILL AVE"	155	0	203753	864548
F_668492_2836575	"OAK HILL AVE"	149	0	203757	864590
F_668508_2834725	"LUKE ST"	48	0	203762	864026
F_668513_2836725	"OAK HILL AVE"	127	0	203763	864636
F_668524_2837453	"LUKE ST"	60	0	203767	864857
F_668564_2835760	"RIDGE RD"	53	0	203779	864341
F_668577_2837016	"OAK HILL AVE"	124	0	203783	864724
F_668593_2833553	"JENKS ST"	20	0	203788	863669
F_668637_2834462	"LUKE ST"	20	0	203801	863946
F_668641_2833378	"JENKS ST"	30	0	203802	863615
F_668646_2836151	"RIDGE RD"	42	0	203804	864461
F_668661_2835831	"RIDGE RD"	47	0	203808	864363
F_668665_2836785	"OAK HILL AVE"	119	0	203809	864654
F_668669_2834226	"LUKE ST"	10	0	203811	863874
F_668710_2832601	"JENKS ST"	0	0	203823	863379
F_668713_2837049	"OAK HILL AVE"	118	0	203824	864734
F_668718_2833830	"WEST ST"	2751	0	203826	863753
F_668730_2836291	"RIDGE RD"	36	0	203829	864503
F_668734_2836565	"LUKE ST"	0	0	203831	864587
F_668821_2836822	"OAK HILL AVE"	111	0	203857	864665
F_668842_2836409	"RIDGE RD"	30	0	203863	864539
F_668851_2837081	"OAK HILL AVE"	112	0	203866	864744
F_668896_2835011	"WESLEY DR"	40	0	203880	864113
F_668946_2834265	"WEST ST"	2700	0	203895	863886
F_668959_2836217	"RIDGE RD"	35	0	203899	864481
F_668963_2836514	"RIDGE RD"	24	0	203900	864571
F_668977_2836859	"OAK HILL AVE"	105	0	203905	864676
F_669002_2837101	"OAK HILL AVE"	106	0	203912	864750
F_669011_2835143	"WESLEY DR"	30	0	203915	864153
F_669030_2834738	"WESLEY DR"	35	0	203921	864030
F_669061_2835815	"HILLSIDE DR"	35	0	203930	864358
F_669088_2836615	"RIDGE RD"	18	0	203938	864602
F_669094_2835570	"HILLSIDE DR"	17	0	203940	864283
F_669104_2835688	"HILLSIDE DR"	25	0	203943	864319
F_669108_2831790	"JENKS ST"	0	0	203945	863131
F_669127_2835305	"WESLEY DR"	20	0	203950	864203
F_669159_2837103	"OAK HILL AVE"	100	0	203960	864751
F_669162_2836882	"OAK HILL AVE"	99	0	203961	864683
F_669180_2833447	"JENKS ST"	65	0	203966	863636
F_669192_2834880	"WESLEY DR"	25	0	203970	864073
F_669194_2834351	"WEST ST"	2680	0	203971	863912
F_669210_2836742	"RIDGE RD"	6	0	203976	864641
F_669249_2836386	"RIDGE RD"	25	0	203988	864532
F_669253_2835996	"HILLSIDE DR"	60	0	203989	864413
F_669272_2835013	"WESLEY DR"	15	0	203995	864114
F_669280_2835391	"HILLSIDE DR"	15	0	203997	864229
F_669307_2837082	"OAK HILL AVE"	94	0	204005	864744
F_669325_2834583	"WEST ST"	2660	0	204011	863983
F_669335_2834005	"WEST ST"	2667	0	204014	863806
F_669381_2835154	"WESLEY DR"	5	0	204028	864157
F_669424_2833168	"HALES POND LN"	3	0	204041	863551
F_669432_2835964	"HILLSIDE DR"	50	0	204043	864404
F_669464_2836788	"RIDGE RD"	5	0	204053	864655
F_669490_2835817	"HILLSIDE DR"	40	0	204061	864359
F_669494_2836480	"RIDGE RD"	15	0	204062	864561
F_669516_2835586	"HILLSIDE DR"	30	0	204069	864288
F_669618_2832771	"JENKS ST"	85	0	204100	863430
F_669628_2835324	"HILLSIDE DR"	20	0	204103	864208
F_669667_2837555	"SUMMIT CR"	11	0	204115	864888
F_669681_2837752	"SUMMIT CR"	17	0	204119	864949
F_669698_2834938	"HILLSIDE DR"	5	0	204124	864091
F_669709_2832414	"JENKS ST"	95	0	204128	863322
F_669713_2834410	"WEST ST"	2661	0	204129	863930
F_669826_2837843	"SUMMIT CR"	21	0	204163	864976
F_669851_2835169	"HILLSIDE DR"	10	0	204171	864161
F_669870_2834621	"WEST ST"	2643	0	204177	863994
F_669895_2837588	"SUMMIT CR"	16	0	204184	864899
F_669903_2837108	"OAK HILL AVE"	64	0	204187	864752
F_669904_2837424	"SUMMIT CR"	8	0	204187	864849
F_669909_2835396	"WEST ST"	2590	0	204189	864230
F_669928_2837271	"SUMMIT CR"	4	0	204194	864802
F_669938_2836862	"OAK HILL AVE"	75	0	204198	864677
F_669966_2832122	"JENKS ST"	115	0	204206	863233
F_669996_2832498	"HALES POND LN"	2	0	204215	863347
F_669999_2837860	"SUMMIT CR"	25	0	204216	864981
F_670013_2833992	"WEST ST"	2663	0	204220	863802
F_670056_2837623	"SUMMIT CR"	26	0	204233	864909
F_670059_2835530	"WEST ST"	2570	0	204234	864271
F_670076_2836925	"OAK HILL AVE"	65	0	204240	864696
F_670115_2837214	"OAK HILL AVE"	58	0	204251	864785
F_670148_2837880	"SUMMIT CR"	29	0	204262	864988
F_670204_2837642	"SUMMIT CR"	30	0	204279	864915
F_670209_2836997	"OAK HILL AVE"	63	0	204280	864718
F_670213_2836398	"OAK HILL AVE"	0	0	204281	864536
F_670228_2835657	"WEST ST"	2550	0	204286	864310
F_670230_2832605	"HALES POND LN"	6	0	204287	863380
F_670313_2837899	"SUMMIT CR"	33	0	204312	864993
F_670341_2837070	"OAK HILL AVE"	57	0	204320	864741
F_670347_2837661	"SUMMIT CR"	38	0	204322	864921
F_670386_2832847	"HALES POND LN"	7	0	204334	863453
F_670396_2835793	"WEST ST"	2540	0	204337	864351
F_670418_2837516	"SUMMIT CR"	42	0	204344	864877
F_670422_2832544	"HALES POND LN"	10	0	204345	863361
F_670444_2832965	"WHIPPLE BROOK RD"	54	0	204352	863489
F_670503_2831708	"JENKS ST"	135	0	204370	863106
F_670525_2837834	"SUMMIT CR"	37	0	204376	864974
F_670546_2831944	"JENKS ST"	125	0	204383	863178
F_670556_2832371	"HALES POND LN"	14	0	204386	863308
F_670609_2835941	"WEST ST"	2510	0	204402	864397
F_670611_2837555	"SUMMIT CR"	48	0	204403	864888
F_670613_2837709	"SUMMIT CR"	41	0	204403	864935
F_670644_2832818	"HALES POND LN"	11	0	204413	863445
F_670681_2832345	"HALES POND LN"	18	0	204424	863300
F_670688_2833180	"WHIPPLE BROOK RD"	58	0	204426	863555
F_670712_2833978	"WHIPPLE BROOK RD"	82	0	204433	863798
F_670745_2836627	"OAK HILL AVE"	15	0	204443	864606
F_670785_2836064	"OAK HILL AVE"	3	0	204456	864434
F_670789_2836408	"OAK HILL AVE"	9	0	204457	864539
F_670798_2833499	"WHIPPLE BROOK RD"	70	0	204460	863652
F_670802_2832768	"HALES POND LN"	15	0	204461	863429
F_670806_2832345	"HALES POND LN"	22	0	204462	863300
F_670808_2835550	"WEST ST"	2507	0	204463	864277
F_670858_2833795	"WHIPPLE BROOK RD"	78	0	204478	863742
F_670928_2833594	"WHIPPLE BROOK RD"	74	0	204499	863681
F_670961_2832334	"HALES POND LN"	26	0	204509	863297
F_671004_2832571	"HALES POND LN"	30	0	204522	863369
F_671050_2833336	"WHIPPLE BROOK RD"	62	0	204536	863603
F_671059_2836830	"OAK HILL AVE"	12	0	204539	864668
F_671177_2832530	"HALES POND LN"	34	0	204575	863357
F_671251_2836142	"WEST ST"	2470	0	204598	864458
F_671353_2832660	"HALES POND LN"	38	0	204629	863396
F_671364_2837629	"WEST ST"	2490	0	204632	864911
F_671402_2832958	"HALES POND LN"	46	0	204644	863487
F_671408_2832332	"HALES POND LN"	0	0	204646	863297
F_671439_2832776	"HALES POND LN"	42	0	204655	863432
F_671491_2835921	"WEST ST"	2395	0	204671	864390
F_671504_2837210	"BLACKBERRY HILL RD"	45	0	204675	864783
F_671527_2837043	"BLACKBERRY HILL RD"	35	0	204682	864732
F_671598_2836905	"BLACKBERRY HILL RD"	25	0	204703	864690
F_671601_2837414	"BLACKBERRY HILL RD"	55	0	204704	864846
F_671641_2831655	"SPRING ST"	0	0	204717	863090
F_671651_2836610	"BLACKBERRY HILL RD"	5	0	204720	864600
