town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M002	2	acton	2012	200174	912605	F_656737_2994104	"ETHAN ALLEN DR"	51	0
M002	2	acton	2012	200227	912689	F_656913_2994380	"ETHAN ALLEN DR"	45	0
M002	2	acton	2012	200228	912560	F_656916_2993958	"ETHAN ALLEN DR"	51	0
M002	2	acton	2012	200233	912645	F_656931_2994235	"ETHAN ALLEN DR"	47	0
M002	2	acton	2012	200238	912600	F_656947_2994087	"ETHAN ALLEN DR"	49	0
M002	2	acton	2012	200241	912733	F_656956_2994525	"ETHAN ALLEN DR"	43	0
M002	2	acton	2012	200253	912777	F_656996_2994670	"ETHAN ALLEN DR"	41	0
M002	2	acton	2012	200269	912823	F_657049_2994821	"ETHAN ALLEN DR"	39	0
M002	2	acton	2012	200284	912501	F_657100_2993765	"WILLOW ST"	185	0
M002	2	acton	2012	200288	912868	F_657111_2994967	"ETHAN ALLEN DR"	37	0
M002	2	acton	2012	200296	912525	F_657138_2993842	"ETHAN ALLEN DR"	52	0
M002	2	acton	2012	200302	912583	F_657159_2994032	"ETHAN ALLEN DR"	50	0
M002	2	acton	2012	200309	912911	F_657182_2995110	"ETHAN ALLEN DR"	35	0
M002	2	acton	2012	200313	912628	F_657195_2994180	"ETHAN ALLEN DR"	48	0
M002	2	acton	2012	200321	912673	F_657221_2994329	"ETHAN ALLEN DR"	46	0
M002	2	acton	2012	200330	912718	F_657248_2994477	"ETHAN ALLEN DR"	44	0
M002	2	acton	2012	200336	912963	F_657269_2995278	"ETHAN ALLEN DR"	33	0
M002	2	acton	2012	200338	912764	F_657274_2994625	"ETHAN ALLEN DR"	42	0
M002	2	acton	2012	200346	912804	F_657302_2994759	"ETHAN ALLEN DR"	40	0
M002	2	acton	2012	200355	913001	F_657332_2995403	"ETHAN ALLEN DR"	31	0
M002	2	acton	2012	200359	912882	F_657343_2995015	"TICONDEROGA RD"	3	0
M002	2	acton	2012	200365	912679	F_657365_2994347	"ETHAN ALLEN DR"	38	0
M002	2	acton	2012	200375	913039	F_657397_2995530	"ETHAN ALLEN DR"	29	0
M002	2	acton	2012	200380	912936	F_657415_2995192	"ETHAN ALLEN DR"	34	0
M002	2	acton	2012	200395	913080	F_657463_2995663	"ETHAN ALLEN DR"	27	0
M002	2	acton	2012	200397	912856	F_657468_2994930	"TICONDEROGA RD"	5	0
M002	2	acton	2012	200405	912983	F_657494_2995346	"ETHAN ALLEN DR"	32	0
M002	2	acton	2012	200416	912917	F_657532_2995128	"TICONDEROGA RD"	6	0
M002	2	acton	2012	200417	913122	F_657535_2995800	"ETHAN ALLEN DR"	25	0
M002	2	acton	2012	200425	912431	F_657561_2993534	"WILLOW ST"	185	0
M002	2	acton	2012	200426	913025	F_657564_2995482	"ETHAN ALLEN DR"	30	0
M002	2	acton	2012	200435	912831	F_657593_2994847	"TICONDEROGA RD"	7	0
M002	2	acton	2012	200439	913164	F_657606_2995938	"ETHAN ALLEN DR"	23	0
M002	2	acton	2012	200441	912964	F_657613_2995284	"POWDER HORN LN"	7	0
M002	2	acton	2012	200445	913060	F_657625_2995599	"ETHAN ALLEN DR"	28	0
M002	2	acton	2012	200456	912604	F_657664_2994100	"TICONDEROGA RD"	9	0
M002	2	acton	2012	200461	912890	F_657678_2995039	"TICONDEROGA RD"	8	0
