LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_246361_832759	"ACUSHNET AVENUE (NEW BEDFORD)"	0	0	246361	832759
M_246366_832789	"ACUSHNET AVENUE"	4656	0	246366	832789
M_246370_832851	"ACUSHNET AVENUE"	4674	0	246370	832851
M_246425_832721	"ACUSHNET AVENUE (NEW BEDFORD)"	0	0	246425	832721
M_246427_832746	"ACUSHNET AVENUE"	4640	0	246427	832746
M_246431_832678	"GRANITE DRIVE"	1	0	246431	832678
M_246433_832786	"ACUSHNET AVENUE"	4654	0	246433	832786
M_246438_832600	"ACUSH/NB LINE"	0	0	246438	832600
M_246446_832878	"ACUSHNET AVENUE"	0	0	246446	832878
M_246458_832495	"HERSHEY WAY"	11	0	246458	832495
M_246471_832430	"HERSHEY WAY"	7	0	246471	832430
M_246479_832312	"NESTLE`S LANE"	0	0	246479	832312
M_246484_832531	"HERSHEY WAY"	15	0	246484	832531
M_246492_832297	"NORFOLK ST"	0	0	246492	832297
M_246496_832374	"HERSHEY WAY"	3	0	246496	832374
M_246502_832236	"ACUSH/NB LINE"	0	0	246502	832236
M_246512_832184	"ACUSHNET AVENUE (NEW BEDFORD)"	0	0	246512	832184
M_246517_832160	"ACUSH/NB LINE"	0	0	246517	832160
M_246523_832167	"NORTH WEST STREET"	0	0	246523	832167
M_246529_832107	"ACUSH/NB LINE"	0	0	246529	832107
M_246530_832304	"NESTLE`S LANE"	8	0	246530	832304
M_246539_832059	"ACUSH/NB LINE"	0	0	246539	832059
M_246545_832472	"HERSHEY WAY"	12	0	246545	832472
M_246560_832032	"PECKHAM ROAD"	0	0	246560	832032
M_246571_831993	"CRESCENT STREET"	883	0	246571	831993
M_246577_832435	"HERSHEY WAY"	8	0	246577	832435
M_246577_832560	"HERSHEY WAY"	17	0	246577	832560
M_246581_832391	"HERSHEY WAY"	4	0	246581	832391
M_246583_831935	"NORTH WEST STREET"	327	0	246583	831935
M_246591_831896	"NORTH WEST STREET"	325	0	246591	831896
M_246598_831862	"NORTH WEST STREET"	0	0	246598	831862
M_246608_831816	"MAY STREET"	0	0	246608	831816
M_246614_831788	"NORTH WEST STREET"	0	0	246614	831788
M_246619_831762	"NORTH WEST STREET"	0	0	246619	831762
M_246621_832009	"CRESCENT STREET"	881	0	246621	832009
M_246625_831736	"NORTH WEST STREET"	0	0	246625	831736
M_246625_832392	"NESTLE`S LANE"	21	0	246625	832392
M_246625_832514	"HERSHEY WAY"	16	0	246625	832514
M_246632_831945	"NORTH WEST STREET"	328	0	246632	831945
M_246634_831690	"TOBEY STREET"	0	0	246634	831690
M_246637_831909	"NORTH WEST STREET"	326	0	246637	831909
M_246640_831664	"NORTH WEST STREET"	0	0	246640	831664
M_246644_831870	"NORTH WEST STREET"	324	0	246644	831870
M_246645_831637	"NORTH WEST STREET"	0	0	246645	831637
M_246649_832417	"NESTLE`S LANE"	27	0	246649	832417
M_246652_831820	"NORTH WEST STREET"	322	0	246652	831820
M_246657_831784	"NORTH WEST STREET"	320	0	246657	831784
M_246664_831746	"TOBEY STREET"	903	0	246664	831746
M_246672_831693	"TOBEY STREET"	904	0	246672	831693
M_246678_831655	"NORTH WEST STREET"	304	0	246678	831655
M_246679_831569	"PECKHAM ROAD"	64	0	246679	831569
M_246684_831618	"NORTH WEST STREET"	300	0	246684	831618
M_246687_832321	"NESTLE`S LANE"	30	0	246687	832321
M_246690_831544	"BLUEBERRY DRIVE"	3	0	246690	831544
M_246691_832463	"NESTLE`S LANE"	41	0	246691	832463
M_246697_831509	"BLUEBERRY DRIVE"	5	0	246697	831509
M_246701_831761	"TOBEY STREET"	901	0	246701	831761
M_246703_832869	"NESTLE`S LANE"	0	0	246703	832869
M_246707_831471	"BLUEBERRY DRIVE"	7	0	246707	831471
M_246712_831690	"TOBEY STREET"	902	0	246712	831690
M_246716_831435	"BLUEBERRY DRIVE"	9	0	246716	831435
M_246721_831634	"PECKHAM ROAD"	65	0	246721	831634
M_246725_831399	"BLUEBERRY DRIVE"	11	0	246725	831399
M_246729_832509	"NESTLE`S LANE"	59	0	246729	832509
M_246732_831927	"PECKHAM ROAD"	0	0	246732	831927
M_246734_831572	"PECKHAM ROAD"	66	0	246734	831572
M_246734_832344	"NESTLE`S LANE"	38	0	246734	832344
M_246735_831363	"BLUEBERRY DRIVE"	13	0	246735	831363
M_246738_831768	"TOBEY STREET"	899	0	246738	831768
M_246744_831328	"BLUEBERRY DRIVE"	15	0	246744	831328
M_246744_831536	"BLUEBERRY DRIVE"	4	0	246744	831536
M_246750_831294	"BLUEBERRY DRIVE"	17	0	246750	831294
M_246751_831696	"TOBEY STREET"	900	0	246751	831696
M_246754_831498	"BLUEBERRY DRIVE"	6	0	246754	831498
M_246760_831641	"PECKHAM ROAD"	67	0	246760	831641
M_246764_831245	"BLUEBERRY DRIVE"	21	0	246764	831245
M_246764_831459	"BLUEBERRY DRIVE"	8	0	246764	831459
M_246772_831214	"BLUEBERRY DRIVE"	25	0	246772	831214
M_246773_831423	"BLUEBERRY DRIVE"	10	0	246773	831423
M_246773_831579	"ELDERBERRY DRIVE"	1	0	246773	831579
M_246777_831773	"TOBEY STREET"	897	0	246777	831773
M_246781_831180	"BLUEBERRY DRIVE"	29	0	246781	831180
M_246782_831386	"BLUEBERRY DRIVE"	12	0	246782	831386
M_246783_831542	"ELDERBERRY DRIVE"	3	0	246783	831542
M_246786_832590	"NESTLE`S LANE"	69	0	246786	832590
M_246787_832354	"NESTLE`S LANE"	56	0	246787	832354
M_246788_831702	"TOBEY STREET"	898	0	246788	831702
M_246790_831143	"BLUEBERRY DRIVE"	33	0	246790	831143
M_246792_831349	"BLUEBERRY DRIVE"	14	0	246792	831349
M_246793_831503	"ELDERBERRY DRIVE"	5	0	246793	831503
M_246796_831647	"PECKHAM ROAD"	69	0	246796	831647
M_246799_831106	"BLUEBERRY DRIVE"	37	0	246799	831106
M_246801_832507	"NESTLE`S LANE"	67	0	246801	832507
M_246802_831311	"BLUEBERRY DRIVE"	16	0	246802	831311
M_246803_831465	"ELDERBERRY DRIVE"	7	0	246803	831465
M_246809_831070	"BLUEBERRY DRIVE"	0	0	246809	831070
M_246812_831429	"ELDERBERRY DRIVE"	9	0	246812	831429
M_246815_831256	"BLUEBERRY DRIVE"	22	0	246815	831256
M_246819_831028	"BLUEBERRY DRIVE"	0	0	246819	831028
M_246822_831391	"ELDERBERRY DRIVE"	11	0	246822	831391
M_246824_831220	"BLUEBERRY DRIVE"	26	0	246824	831220
M_246824_831586	"ELDERBERRY DRIVE"	2	0	246824	831586
M_246825_831705	"TOBEY STREET"	0	0	246825	831705
M_246828_831349	"ELDERBERRY DRIVE"	0	0	246828	831349
M_246832_832381	"NESTLE`S LANE"	62	0	246832	832381
M_246834_831183	"BLUEBERRY DRIVE"	30	0	246834	831183
M_246834_831549	"ELDERBERRY DRIVE"	4	0	246834	831549
M_246834_831652	"PECKHAM ROAD"	71	0	246834	831652
M_246836_830967	"BLUEBERRY DRIVE"	52	0	246836	830967
M_246844_831146	"BLUEBERRY DRIVE"	34	0	246844	831146
M_246844_831513	"ELDERBERRY DRIVE"	6	0	246844	831513
