town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M006	6	alford	2012	38282	887146	M_38282_887146	"WHITES HILL RD"	0	0
M006	6	alford	2012	38325	887465	M_38325_887465	"WHITES HILL RD"	0	0
M006	6	alford	2012	38356	887290	M_38356_887290	"WHITES HILL RD"	0	0
M006	6	alford	2012	38454	887191	M_38454_887191	"WHITES HILL RD"	87	0
M006	6	alford	2012	38542	887092	M_38542_887092	"WHITES HILL RD"	0	0
M006	6	alford	2012	38569	887376	M_38569_887376	"WHITES HILL RD"	0	0
M006	6	alford	2012	38652	887170	M_38652_887170	"WHITES HILL RD"	0	0
M006	6	alford	2012	38661	887751	M_38661_887751	"ROUTE 71"	0	0
M006	6	alford	2012	38773	888809	M_38773_888809	"ROUTE 71"	155	0
M006	6	alford	2012	38798	888105	M_38798_888105	"RIVERSIDE FARM RD"	58	0
M006	6	alford	2012	38874	888359	M_38874_888359	"RIVERSIDE FARM RD"	34	0
M006	6	alford	2012	38875	886996	M_38875_886996	"WHITES HILL RD"	0	0
M006	6	alford	2012	38876	888624	M_38876_888624	"ROUTE 71"	125	0
M006	6	alford	2012	38931	889095	M_38931_889095	"ROUTE 71"	0	0
M006	6	alford	2012	38936	889286	M_38936_889286	"ROUTE 71"	150	0
M006	6	alford	2012	38948	887315	M_38948_887315	"ROUTE 71"	0	0
M006	6	alford	2012	38950	886992	M_38950_886992	"WHITES HILL RD"	0	0
M006	6	alford	2012	38955	889452	M_38955_889452	"GREEN RIVER RD"	0	0
M006	6	alford	2012	38997	888987	M_38997_888987	"ROUTE 71"	0	0
M006	6	alford	2012	39014	887825	M_39014_887825	"ROUTE 71"	0	0
M006	6	alford	2012	39015	888769	M_39015_888769	"ROUTE 71"	128	0
M006	6	alford	2012	39025	888029	M_39025_888029	"DELLEA RD"	15	0
M006	6	alford	2012	39037	888932	M_39037_888932	"ROUTE 71"	140	0
M006	6	alford	2012	39040	888834	M_39040_888834	"GREEN RVIER VALLEY R"	0	0
M006	6	alford	2012	39050	887500	M_39050_887500	"ROUTE 71"	43	0
M006	6	alford	2012	39051	887089	M_39051_887089	"WHITES HILL RD"	16	0
M006	6	alford	2012	39058	886963	M_39058_886963	"WHITES HILL RD"	0	0
M006	6	alford	2012	39089	888736	M_39089_888736	"ROUTE 71"	126	0
M006	6	alford	2012	39098	889729	M_39098_889729	"GREEN RIVER RD"	0	0
M006	6	alford	2012	39118	887298	M_39118_887298	"WHITES HILL RD"	0	0
M006	6	alford	2012	39127	886959	M_39127_886959	"WHITES HILL RD"	25	0
M006	6	alford	2012	39127	888335	M_39127_888335	"DELLEA RD"	0	0
M006	6	alford	2012	39146	888599	M_39146_888599	"ROUTE 71"	116	0
M006	6	alford	2012	39164	888906	M_39164_888906	"ROUTE 71"	0	0
M006	6	alford	2012	39170	887927	M_39170_887927	"DELLEA RD"	7	0
M006	6	alford	2012	39172	888820	M_39172_888820	"ROUTE 71"	122	0
M006	6	alford	2012	39211	887181	M_39211_887181	"ROUTE 71"	19	0
M006	6	alford	2012	39217	887835	M_39217_887835	"ROUTE 71"	65	0
M006	6	alford	2012	39224	888714	M_39224_888714	"ROUTE 71"	120	0
M006	6	alford	2012	39255	887736	M_39255_887736	"ROUTE 71"	61	0
M006	6	alford	2012	39262	888529	M_39262_888529	"ROUTE 71"	110	0
M006	6	alford	2012	39265	888637	M_39265_888637	"ROUTE 71"	112	0
M006	6	alford	2012	39266	888028	M_39266_888028	"ROUTE 71"	77	0
M006	6	alford	2012	39314	887310	M_39314_887310	"ROUTE 71"	21	0
M006	6	alford	2012	39314	888328	M_39314_888328	"CROOKED HILL RD"	0	0
M006	6	alford	2012	39322	887143	M_39322_887143	"ROUTE 71"	0	0
M006	6	alford	2012	39331	887564	M_39331_887564	"ROUTE 71"	49	0
M006	6	alford	2012	39378	889432	M_39378_889432	"GREEN RIVER RD"	326	0
M006	6	alford	2012	39397	888807	M_39397_888807	"CROOKED HILL RD"	56	0
M006	6	alford	2012	39407	887141	M_39407_887141	"ROUTE 71"	17	0
M006	6	alford	2012	39412	887862	M_39412_887862	"ROUTE 71"	66	0
M006	6	alford	2012	39416	888437	M_39416_888437	"CROOKED HILL RD"	0	0
M006	6	alford	2012	39417	886939	M_39417_886939	"WHITES HILL RD"	9	0
M006	6	alford	2012	39453	888002	M_39453_888002	"CROOKED HILL RD"	67	0
M006	6	alford	2012	39457	887790	M_39457_887790	"ROUTE 71"	62	0
