LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_240726_957020	"MEADOWBROOK LANDING DR"	6	0	240726	957020
M_240874_956811	"MEADOWBROOK RD"	0	0	240874	956811
M_240923_956979	"MEADOWBROOK LANDING DR"	4	0	240923	956979
M_240969_956957	"MEADOWBROOK LANDING DR"	2	0	240969	956957
M_240990_957136	"KIMBALL RD"	185	0	240990	957136
M_241031_956928	"MEADOWBROOK RD"	5	0	241031	956928
M_241066_956694	"MEADOWBROOK RD"	0	0	241066	956694
M_241161_956945	"MEADOWBROOK RD"	6	0	241161	956945
M_241179_957100	"KIMBALL RD"	181	0	241179	957100
M_241211_957065	"KIMBALL RD"	177	0	241211	957065
M_241256_957046	"KIMBALL RD"	175	0	241256	957046
M_241302_957106	"KIMBALL RD"	176	0	241302	957106
M_241312_957033	"KIMBALL RD"	173	0	241312	957033
M_241338_956240	"MEADOWBROOK RD"	0	0	241338	956240
M_241362_957024	"KIMBALL RD"	171	0	241362	957024
M_241379_956237	"BIRCHMEADOW RD"	0	0	241379	956237
M_241384_957019	"KIMBALL RD"	169	0	241384	957019
M_241401_957017	"KIMBALL RD"	167	0	241401	957017
M_241424_957017	"KIMBALL RD"	165	0	241424	957017
M_241447_957013	"KIMBALL RD"	163	0	241447	957013
M_241469_957009	"KIMBALL RD"	161	0	241469	957009
M_241505_956158	"BIRCHMEADOW RD"	61	0	241505	956158
M_241514_956978	"KIMBALL RD"	159	0	241514	956978
M_241521_956497	"MEADOWBROOK RD"	0	0	241521	956497
M_241560_956082	"BIRCHMEADOW RD"	58	0	241560	956082
M_241568_956990	"KIMBALL RD"	157	0	241568	956990
M_241581_957294	"TUXBURY POND ISLAND"	0	0	241581	957294
M_241618_956099	"BIRCHMEADOW RD"	56	0	241618	956099
M_241619_956995	"KIMBALL RD"	155	0	241619	956995
M_241648_956153	"BIRCHMEADOW RD"	55	0	241648	956153
M_241662_956990	"KIMBALL RD"	153	0	241662	956990
M_241683_956942	"KIMBALL RD"	137	0	241683	956942
M_241701_956981	"KIMBALL RD"	151	0	241701	956981
M_241707_956106	"BIRCHMEADOW RD"	54	0	241707	956106
M_241719_956812	"KIMBALL RD"	145	0	241719	956812
M_241737_956964	"KIMBALL RD"	149	0	241737	956964
M_241745_956576	"MEADOWBROOK RD"	0	0	241745	956576
M_241759_957051	"KIMBALL RD"	152	0	241759	957051
M_241788_956935	"KIMBALL RD"	147	0	241788	956935
M_241826_956913	"KIMBALL RD"	145	0	241826	956913
M_241828_957027	"KIMBALL RD"	150	0	241828	957027
M_241835_956176	"BIRCHMEADOW RD"	49	0	241835	956176
M_241853_956127	"BIRCHMEADOW RD"	46	0	241853	956127
M_241876_956884	"KIMBALL RD"	143	0	241876	956884
M_241878_957003	"KIMBALL RD"	148	0	241878	957003
M_241883_956193	"BIRCHMEADOW RD"	47	0	241883	956193
M_241886_956084	"BIRCHMEADOW RD"	46	0	241886	956084
M_241905_956112	"BIRCHMEADOW RD"	46	0	241905	956112
M_241906_956955	"KIMBALL RD"	146	0	241906	956955
M_241907_956192	"BIRCHMEADOW RD"	45.5	0	241907	956192
M_241913_956864	"KIMBALL RD"	141	0	241913	956864
M_241915_956157	"BIRCHMEADOW RD"	45	0	241915	956157
M_241925_956199	"BIRCHMEADOW RD"	43	0	241925	956199
M_241938_956114	"BIRCHMEADOW RD"	44	0	241938	956114
M_241952_956235	"BIRCHMEADOW RD"	37	0	241952	956235
M_241954_956165	"BIRCHMEADOW RD"	41	0	241954	956165
M_241956_956116	"BIRCHMEADOW RD"	42	0	241956	956116
M_241964_956836	"KIMBALL RD"	139	0	241964	956836
M_241969_956172	"BIRCHMEADOW RD"	39	0	241969	956172
M_241981_956981	"KIMBALL RD"	144	0	241981	956981
M_241984_956119	"BIRCHMEADOW RD"	40	0	241984	956119
M_241990_956228	"BIRCHMEADOW RD"	35	0	241990	956228
M_241993_957288	"POWOW COVE LN"	2	0	241993	957288
M_242001_956814	"KIMBALL RD"	137	0	242001	956814
M_242011_956124	"BIRCHMEADOW RD"	38	0	242011	956124
M_242017_956288	"BIRCHMEADOW RD"	29	0	242017	956288
M_242017_956909	"NEWTON RD"	47	0	242017	956909
M_242036_956135	"BIRCHMEADOW RD"	36	0	242036	956135
M_242036_956228	"BIRCHMEADOW RD"	33	0	242036	956228
M_242053_956166	"BIRCHMEADOW RD"	34	0	242053	956166
M_242064_956125	"STAR LN"	2	0	242064	956125
M_242065_956360	"BIRCHMEADOW RD"	25	0	242065	956360
M_242077_956163	"STAR LN"	3	0	242077	956163
M_242084_956288	"BIRCHMEADOW RD"	27	0	242084	956288
M_242085_956196	"BIRCHMEADOW RD"	32	0	242085	956196
M_242086_956118	"STAR LN"	4	0	242086	956118
M_242090_956816	"KIMBALL RD"	138	0	242090	956816
M_242094_956140	"STAR LN"	5	0	242094	956140
M_242094_956492	"BROOKSIDE LN"	10	0	242094	956492
M_242111_956101	"STAR LN"	6	0	242111	956101
M_242112_956255	"BIRCHMEADOW RD"	30	0	242112	956255
M_242116_956131	"STAR LN"	7	0	242116	956131
M_242116_956805	"KIMBALL RD"	136	0	242116	956805
M_242117_956231	"BIRCH LN"	3	0	242117	956231
M_242119_956192	"BIRCH LN"	5	0	242119	956192
M_242122_957412	"NEWTON RD"	39	0	242122	957412
M_242125_956154	"BIRCH LN"	7	0	242125	956154
M_242131_956919	"NEWTON RD"	45	0	242131	956919
M_242134_956445	"BROOKSIDE LN"	8	0	242134	956445
M_242138_956127	"STAR LN"	9	0	242138	956127
M_242141_956097	"STAR LN"	8	0	242141	956097
M_242142_956281	"BIRCHMEADOW RD"	28	0	242142	956281
M_242148_956251	"BIRCH LN"	2	0	242148	956251
M_242150_956847	"KIMBALL RD"	140	0	242150	956847
M_242152_957323	"POWOW COVE LN"	7	0	242152	957323
M_242153_956291	"BIRCHMEADOW RD"	26	0	242153	956291
M_242156_957167	"POWOW COVE LN"	5	0	242156	957167
M_242157_956350	"BIRCHMEADOW RD"	23	0	242157	956350
M_242158_956226	"BIRCH LN"	4	0	242158	956226
M_242159_956664	"KIMBALL RD"	135.5	0	242159	956664
M_242162_956113	"STAR LN"	10	0	242162	956113
M_242163_956299	"BIRCHMEADOW RD"	26	0	242163	956299
M_242165_956205	"BIRCH LN"	6	0	242165	956205
M_242167_956134	"BIRCH LN"	12	0	242167	956134
M_242171_956149	"BIRCH LN"	10	0	242171	956149
M_242171_956173	"BIRCH LN"	8	0	242171	956173
M_242176_956433	"BROOKSIDE LN"	6	0	242176	956433
M_242190_957066	"POWOW COVE LN"	3	0	242190	957066
M_242198_956422	"BROOKSIDE LN"	4	0	242198	956422
M_242205_956321	"BIRCHMEADOW RD"	22	0	242205	956321
M_242210_956368	"BIRCHMEADOW RD"	21	0	242210	956368
M_242213_956761	"KIMBALL RD"	134	0	242213	956761
