town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M011	11	ashburnham	2012	161852	930673	M_161852_930673	"BROGAN LANE"	10	1
M011	11	ashburnham	2012	161893	930684	M_161893_930684	"BROGAN LANE"	8	1
M011	11	ashburnham	2012	161816	930711	M_161816_930711	"BROGAN LANE"	4	1
M011	11	ashburnham	2012	161822	930748	M_161822_930748	"BROGAN LANE"	2	1
M011	11	ashburnham	2012	161868	930784	M_161868_930784	"BROGAN RD"	53	1
M011	11	ashburnham	2012	161112	930797	M_161112_930797	"MEIS WAY"	1	1
M011	11	ashburnham	2012	161911	930790	M_161911_930790	"BROGAN RD"	57	1
M011	11	ashburnham	2012	161929	930774	M_161929_930774	"BROGAN RD"	59	1
M011	11	ashburnham	2012	161945	930796	M_161945_930796	"BROGAN RD"	61	1
M011	11	ashburnham	2012	161988	930787	M_161988_930787	"BROGAN RD"	65	1
M011	11	ashburnham	2012	162028	930775	M_162028_930775	"BROGAN RD"	69	1
M011	11	ashburnham	2012	161997	930851	M_161997_930851	"BROGAN RD"	67	1
M011	11	ashburnham	2012	162032	930736	M_162032_930736	"BROGAN RD"	68	1
M011	11	ashburnham	2012	162011	930749	M_162011_930749	"BROGAN RD"	66	1
M011	11	ashburnham	2012	161989	930752	M_161989_930752	"BROGAN RD"	64	1
M011	11	ashburnham	2012	161679	930511	M_161679_930511	"OLD GARDNER RD"	319	1
M011	11	ashburnham	2012	161216	930631	M_161216_930631	"OLD GARDNER RD"	256	1
M011	11	ashburnham	2012	161221	930757	M_161221_930757	"OLD GARDNER RD"	248	1
M011	11	ashburnham	2012	161222	930845	M_161222_930845	"OLD GARDNER RD"	242	1
M011	11	ashburnham	2012	161916	930738	M_161916_930738	"BROGAN RD"	56	1
M011	11	ashburnham	2012	161938	930684	M_161938_930684	"BROGAN LANE"	9	1
M011	11	ashburnham	2012	161938	930669	M_161938_930669	"BROGAN LANE"	11	1
M011	11	ashburnham	2012	163515	936473	M_163515_936473	"EAST RINDGE RD"	21	1
M011	11	ashburnham	2012	162291	937496	M_162291_937496	"YOUNG RD"	80	1
M011	11	ashburnham	2012	163415	936956	M_163415_936956	"EAST RINDGE RD"	62	1
M011	11	ashburnham	2012	162720	937192	M_162720_937192	"YOUNG RD"	15	1
M011	11	ashburnham	2012	163164	936628	M_163164_936628	"EAST RINDGE RD"	23	1
M011	11	ashburnham	2012	163019	937007	M_163019_937007	"EAST RINDGE RD"	93	1
M011	11	ashburnham	2012	162960	937098	M_162960_937098	"EAST RINDGE RD"	95	1
M011	11	ashburnham	2012	162625	937187	M_162625_937187	"YOUNG RD"	21	1
M011	11	ashburnham	2012	162082	937103	M_162082_937103	"HEWITT RD"	5	1
M011	11	ashburnham	2012	162440	937247	M_162440_937247	"YOUNG RD"	33	1
M011	11	ashburnham	2012	162397	937294	M_162397_937294	"YOUNG RD"	39	1
M011	11	ashburnham	2012	162077	937559	M_162077_937559	"TUCKERMAN RD"	119	1
M011	11	ashburnham	2012	162312	937387	M_162312_937387	"YOUNG RD"	51	1
M011	11	ashburnham	2012	162281	937313	M_162281_937313	"YOUNG RD"	45	1
M011	11	ashburnham	2012	162203	937403	M_162203_937403	"YOUNG RD"	53	1
M011	11	ashburnham	2012	162151	937420	M_162151_937420	"YOUNG RD"	61	1
M011	11	ashburnham	2012	162043	937437	M_162043_937437	"YOUNG RD"	65	1
M011	11	ashburnham	2012	162141	937552	M_162141_937552	"YOUNG RD"	67	1
M011	11	ashburnham	2012	161964	937592	M_161964_937592	"TUCKERMAN RD"	125	1
M011	11	ashburnham	2012	163638	936813	M_163638_936813	"LAKESHORE DR"	6	1
M011	11	ashburnham	2012	164512	936812	M_164512_936812	"HARRIS RD"	129	1
M011	11	ashburnham	2012	164533	936900	M_164533_936900	"HARRIS RD"	135	1
M011	11	ashburnham	2012	164425	937280	M_164425_937280	"HILLTOP DR"	43	1
M011	11	ashburnham	2012	164363	937342	M_164363_937342	"HILLTOP DR"	51	1
M011	11	ashburnham	2012	163533	936843	M_163533_936843	"LAKESHORE DR"	2	1
M011	11	ashburnham	2012	163549	936741	M_163549_936741	"EAST RINDGE RD"	32	1
M011	11	ashburnham	2012	163707	936428	M_163707_936428	"EAST RINDGE RD"	6	1
M011	11	ashburnham	2012	163618	936686	M_163618_936686	"EAST RINDGE RD"	30	1
M011	11	ashburnham	2012	163616	936637	M_163616_936637	"EAST RINDGE RD"	24	1
M011	11	ashburnham	2012	163659	936538	M_163659_936538	"EAST RINDGE RD"	12	1
M011	11	ashburnham	2012	163814	936461	M_163814_936461	"CROSS RD"	9	1
M011	11	ashburnham	2012	163958	936553	M_163958_936553	"CROSS RD"	11	1
M011	11	ashburnham	2012	164311	936542	M_164311_936542	"CROSS RD"	43	1
M011	11	ashburnham	2012	164155	936551	M_164155_936551	"CROSS RD"	35	1
M011	11	ashburnham	2012	164017	936475	M_164017_936475	"CROSS RD"	29	1
M011	11	ashburnham	2012	164309	936720	M_164309_936720	"HARRIS RD"	121	1
M011	11	ashburnham	2012	164227	936847	M_164227_936847	"SLED RD"	25	1
M011	11	ashburnham	2012	164170	936781	M_164170_936781	"BROWN'S LAKE RD"	3	1
M011	11	ashburnham	2012	163757	935280	M_163757_935280	"SHERBERT RD"	36	1
M011	11	ashburnham	2012	163631	936079	M_163631_936079	"LAKE RD"	339	1
M011	11	ashburnham	2012	163660	936136	M_163660_936136	"LAKE RD"	343	1
M011	11	ashburnham	2012	163628	936158	M_163628_936158	"LAKE RD"	345	1
M011	11	ashburnham	2012	163670	936199	M_163670_936199	"LAKE RD"	347	1
M011	11	ashburnham	2012	162727	935860	M_162727_935860	"BACHMANN RD"	73	1
M011	11	ashburnham	2012	163778	936204	M_163778_936204	"LAKE RD"	344	1
M011	11	ashburnham	2012	164070	935048	M_164070_935048	"LAKE RD"	237	1
M011	11	ashburnham	2012	163792	936132	M_163792_936132	"LAKE RD"	342	1
M011	11	ashburnham	2012	163868	936012	M_163868_936012	"LAKE RD"	332	1
M011	11	ashburnham	2012	163854	936082	M_163854_936082	"LAKE RD"	336	1
M011	11	ashburnham	2012	163847	935905	M_163847_935905	"LAKE RD"	326	1
M011	11	ashburnham	2012	164129	935430	M_164129_935430	"HARRIS RD"	15	1
M011	11	ashburnham	2012	164108	936081	M_164108_936081	"HARRIS RD"	67	1
M011	11	ashburnham	2012	164257	935424	M_164257_935424	"HARRIS RD"	16	1
M011	11	ashburnham	2012	164222	935039	M_164222_935039	"LAKE RD"	238	1
