town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M012	12	ashby	2012	167645	939254	M_167645_939254	"WATATIC MT ROAD"	0	0
M012	12	ashby	2012	167789	940022	M_167789_940022	"BENNETT ROAD"	550	0
M012	12	ashby	2012	168031	939294	M_168031_939294	"WATATIC MT ROAD"	0	0
M012	12	ashby	2012	168299	939966	M_168299_939966	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168373	939258	M_168373_939258	"WATATIC MT ROAD"	0	0
M012	12	ashby	2012	168424	939816	M_168424_939816	"BENNETT ROAD"	446	0
M012	12	ashby	2012	168452	939746	M_168452_939746	"BENNETT ROAD"	414	0
M012	12	ashby	2012	168486	939944	M_168486_939944	"BENNETT ROAD"	495	0
M012	12	ashby	2012	168526	938419	M_168526_938419	"HARDY ROAD"	0	0
M012	12	ashby	2012	168546	939711	M_168546_939711	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168560	939833	M_168560_939833	"BENNETT ROAD"	405	0
M012	12	ashby	2012	168595	939542	M_168595_939542	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168615	939660	M_168615_939660	"BENNETT ROAD"	376	0
M012	12	ashby	2012	168639	939348	M_168639_939348	"WATATIC MT ROAD"	0	0
M012	12	ashby	2012	168642	939994	M_168642_939994	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168649	939802	M_168649_939802	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168708	938946	M_168708_938946	"WATATIC MT ROAD"	0	0
M012	12	ashby	2012	168733	939714	M_168733_939714	"BENNETT ROAD"	351	0
M012	12	ashby	2012	168770	939794	M_168770_939794	"BENNETT ROAD"	359	0
M012	12	ashby	2012	168807	938033	M_168807_938033	"HARDY ROAD"	66	0
M012	12	ashby	2012	168842	939698	M_168842_939698	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168849	940039	M_168849_940039	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168860	939539	M_168860_939539	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168874	939691	M_168874_939691	"BENNETT ROAD"	0	0
M012	12	ashby	2012	168962	939427	M_168962_939427	"WATATIC MT ROAD"	81	0
M012	12	ashby	2012	168975	939340	M_168975_939340	"WATATIC MT ROAD"	100	0
M012	12	ashby	2012	169024	939523	M_169024_939523	"WATATIC MT ROAD"	45	0
M012	12	ashby	2012	169033	937806	M_169033_937806	"PILLSBURY ROAD"	28	0
