town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M014	14	ashland	2013	198409	890721	M_198409_890721	"ROCK ST"	0	0
M014	14	ashland	2013	198720	890703	M_198720_890703	"AIKENS RD"	100	0
M014	14	ashland	2013	198721	889281	M_198721_889281	"ROCK ST"	0	0
M014	14	ashland	2013	198801	889538	M_198801_889538	"HOWE ST"	201	0
M014	14	ashland	2013	198818	890117	M_198818_890117	"AIKENS RD"	0	0
M014	14	ashland	2013	198818	890117	M_198818_890117	"HOWE ST"	0	0
M014	14	ashland	2013	198818	890117	M_198818_890117	"ROCK ST"	0	0
M014	14	ashland	2013	198913	890530	M_198913_890530	"HOWE ST"	0	0
M014	14	ashland	2013	199063	889189	M_199063_889189	"HOWE ST"	0	0
M014	14	ashland	2013	199143	889370	M_199143_889370	"HOWE ST"	255	0
M014	14	ashland	2013	199385	889249	M_199385_889249	"CROSS ST"	0	0
M014	14	ashland	2013	199526	890618	M_199526_890618	"CORDAVILLE RD"	320-322	0
M014	14	ashland	2013	199533	890721	M_199533_890721	"CORDAVILLE RD"	321	0
M014	14	ashland	2013	199540	890781	M_199540_890781	"TELLER DR"	65	0
M014	14	ashland	2013	199540	891355	M_199540_891355	"THOMAS RD"	96	0
M014	14	ashland	2013	199542	890832	M_199542_890832	"TELLER DR"	59	0
M014	14	ashland	2013	199543	890878	M_199543_890878	"TELLER DR"	53	0
M014	14	ashland	2013	199543	890923	M_199543_890923	"TELLER DR"	47	0
M014	14	ashland	2013	199543	890968	M_199543_890968	"TELLER DR"	41	0
M014	14	ashland	2013	199544	891016	M_199544_891016	"TELLER DR"	35	0
M014	14	ashland	2013	199544	891062	M_199544_891062	"TELLER DR"	29	0
M014	14	ashland	2013	199544	891106	M_199544_891106	"TELLER DR"	23	0
M014	14	ashland	2013	199544	891152	M_199544_891152	"TELLER DR"	17	0
M014	14	ashland	2013	199544	891199	M_199544_891199	"TELLER DR"	11	0
M014	14	ashland	2013	199546	891270	M_199546_891270	"TELLER DR"	5	0
M014	14	ashland	2013	199546	891426	M_199546_891426	"COLONIAL DR"	0	0
M014	14	ashland	2013	199550	889299	M_199550_889299	"SADDLE HILL LN"	14	0
M014	14	ashland	2013	199565	890627	M_199565_890627	"CORDAVILLE RD"	316	0
M014	14	ashland	2013	199565	890627	M_199565_890627	"CORDAVILLE RD"	318	0
M014	14	ashland	2013	199577	890728	M_199577_890728	"CORDAVILLE RD"	315	0
M014	14	ashland	2013	199588	891322	M_199588_891322	"THOMAS RD"	90	0
M014	14	ashland	2013	199601	890056	M_199601_890056	"HOLLY LN"	16	0
M014	14	ashland	2013	199601	891407	M_199601_891407	"THOMAS RD"	101	0
M014	14	ashland	2013	199602	890088	M_199602_890088	"HOLLY LN"	20	0
M014	14	ashland	2013	199602	890668	M_199602_890668	"CORDAVILLE RD"	310	0
M014	14	ashland	2013	199605	889901	M_199605_889901	"HOWE ST"	121	0
M014	14	ashland	2013	199607	890024	M_199607_890024	"HOLLY LN"	12	0
M014	14	ashland	2013	199608	890117	M_199608_890117	"HOLLY LN"	24	0
M014	14	ashland	2013	199612	890950	M_199612_890950	"DIANNE LN"	29	0
M014	14	ashland	2013	199613	891011	M_199613_891011	"TELLER DR"	36	0
M014	14	ashland	2013	199614	891072	M_199614_891072	"TELLER DR"	26	0
M014	14	ashland	2013	199615	890147	M_199615_890147	"HOLLY LN"	28	0
M014	14	ashland	2013	199617	889991	M_199617_889991	"HOLLY LN"	8	0
M014	14	ashland	2013	199618	890793	M_199618_890793	"TELLER DR"	60	0
M014	14	ashland	2013	199618	890883	M_199618_890883	"DIANNE LN"	24	0
M014	14	ashland	2013	199619	889352	M_199619_889352	"SADDLE HILL LN"	11	0
M014	14	ashland	2013	199619	891232	M_199619_891232	"TELLER DR"	6	0
M014	14	ashland	2013	199620	890840	M_199620_890840	"TELLER DR"	56	0
M014	14	ashland	2013	199622	890737	M_199622_890737	"CORDAVILLE RD"	305	0
M014	14	ashland	2013	199623	891138	M_199623_891138	"TELLER DR"	18	0
M014	14	ashland	2013	199624	891183	M_199624_891183	"TELLER DR"	12	0
