LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_209839_851495	"OAK ST"	0	0	209839	851495
M_209841_850302	"LEEDHAM ST"	0	0	209841	850302
M_209841_850391	"BROWN ST"	0	0	209841	850391
M_209841_851274	"BELAND AVE"	0	0	209841	851274
M_209843_849973	"W CARPENTER ST"	0	0	209843	849973
M_209843_851431	"WALNUT LANE"	0	0	209843	851431
M_209847_851558	"HIGHLAND AVE"	0	0	209847	851558
M_209849_850501	"ROBINSON ST"	0	0	209849	850501
M_209849_851228	"BELAND AVE"	0	0	209849	851228
M_209850_850340	"BROWN ST"	446	0	209850	850340
M_209850_851142	"MENDON RD"	567	0	209850	851142
M_209851_850775	"MENDON RD"	0	0	209851	850775
M_209853_851384	"WALNUT LANE"	92	0	209853	851384
M_209855_851198	"CYPRESS ST"	0	0	209855	851198
M_209856_850424	"BROWN ST"	435	0	209856	850424
M_209857_850101	"BROWN ST"	0	0	209857	850101
M_209859_849925	"W CARPENTER ST"	90	0	209859	849925
M_209860_851450	"WALNUT LANE"	31	0	209860	851450
M_209862_849551	"TURNER ST"	0	0	209862	849551
M_209863_851110	"MENDON RD"	561	0	209863	851110
M_209863_851110	"MENDON RD"	563	0	209863	851110
M_209863_851358	"BELAND AVE"	11	0	209863	851358
M_209864_850360	"BROWN ST"	444	0	209864	850360
M_209869_849896	"CENTRAL ST"	24	0	209869	849896
M_209869_850916	"MENDON RD"	0	0	209869	850916
M_209871_849978	"W CARPENTER ST"	89	0	209871	849978
M_209871_850480	"ROBINSON ST"	15	0	209871	850480
M_209872_851394	"WALNUT LANE"	0	0	209872	851394
M_209873_850181	"BROWN ST"	0	0	209873	850181
M_209873_851555	"MENDON RD"	0	0	209873	851555
M_209875_850373	"BROWN ST"	436	0	209875	850373
M_209875_851083	"MENDON RD"	553	0	209875	851083
M_209883_850594	"BROWN ST"	417	0	209883	850594
M_209886_850262	"BROWN ST"	446	0	209886	850262
M_209891_850042	"LAWN ST"	0	0	209891	850042
M_209893_851611	"HIGHLAND AVE"	540	0	209893	851611
M_209894_851402	"WALNUT LANE"	96	0	209894	851402
M_209895_851463	"WALNUT LANE"	25	0	209895	851463
M_209897_851058	"MENDON RD"	545	0	209897	851058
M_209901_850382	"BROWN ST"	420	0	209901	850382
M_209902_849935	"W CARPENTER ST"	76	0	209902	849935
M_209902_850443	"BROWN ST"	415	0	209902	850443
M_209903_849986	"W CARPENTER ST"	81	0	209903	849986
M_209903_851584	"WOODLAND AVE"	0	0	209903	851584
M_209906_849867	"LORD ST"	84	0	209906	849867
M_209908_851376	"BIRCH ST"	96	0	209908	851376
M_209910_851563	"CUMBERLAND ST"	0	0	209910	851563
M_209911_850757	"MENDON RD"	0	0	209911	850757
M_209914_850667	"MENDON RD"	0	0	209914	850667
M_209917_850495	"BROWN ST"	425	0	209917	850495
M_209918_849919	"W CARPENTER ST"	70	0	209918	849919
M_209921_849862	"LORD ST"	82	0	209921	849862
M_209922_851622	"HIGHLAND AVE"	536	0	209922	851622
M_209924_851527	"WOODLAND AVE"	0	0	209924	851527
M_209927_849986	"W CARPENTER ST"	73	0	209927	849986
M_209928_851401	"WOODLAND AVE"	64	0	209928	851401
M_209931_849465	"TURNER ST"	330	0	209931	849465
M_209939_851574	"CUMBERLAND ST"	15	0	209939	851574
M_209943_849853	"LORD ST"	72	0	209943	849853
M_209944_850019	"LAWN ST"	28	0	209944	850019
M_209946_851685	"HIGHLAND AVE"	0	0	209946	851685
M_209949_851504	"CUMBERLAND ST"	25	0	209949	851504
M_209950_850065	"LAWN STREET"	43	0	209950	850065
M_209951_850375	"LEEDHAM ST"	120	0	209951	850375
M_209953_850417	"BROWN ST"	416	0	209953	850417
M_209954_851546	"CUMBERLAND ST"	19	0	209954	851546
M_209955_849982	"W CARPENTER ST"	69	0	209955	849982
M_209960_851474	"WALNUT LANE"	17	0	209960	851474
M_209961_849902	"LORD ST"	73	0	209961	849902
M_209967_849684	"TURNER ST"	1	0	209967	849684
M_209967_850017	"LAWN ST"	32	0	209967	850017
M_209967_851413	"WOODLAND AVE"	54	0	209967	851413
M_209968_849933	"CENTRAL ST"	1	0	209968	849933
M_209968_851636	"CUMBERLAND ST"	6	0	209968	851636
M_209971_849841	"LORD ST"	66	0	209971	849841
M_209974_850062	"LAWN ST"	47	0	209974	850062
M_209974_850062	"LAWN ST"	47-53	0	209974	850062
M_209974_850062	"LAWN ST"	49	0	209974	850062
M_209981_850421	"BROWN ST"	414	0	209981	850421
M_209981_851604	"CUMBERLAND ST"	12	0	209981	851604
