town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M018	18	avon	2011	235616	875501	F_773016_2872373	"GRANT DR"	15	0
M018	18	avon	2011	235648	875653	F_773122_2872873	"STOCKWELL DR"	55	0
M018	18	avon	2011	235649	875417	F_773126_2872096	"GRANT DR"	25	0
M018	18	avon	2011	235689	875806	F_773255_2873373	"STOCKWELL DR"	75	0
M018	18	avon	2011	235724	875351	F_773372_2871882	"STOCKWELL DR"	15	0
M018	18	avon	2011	235724	875351	F_773372_2871882	"STOCKWELL DR"	5	0
M018	18	avon	2011	235724	875351	F_773372_2871882	"STOCKWELL DRIVE"	15	0
M018	18	avon	2011	235771	875030	F_773524_2870829	"CRESCENT RIDGE LN"	2	0
M018	18	avon	2011	235780	875188	F_773556_2871346	"HARRISON BLVD"	1	0
M018	18	avon	2011	235814	874865	F_773667_2870286	"CENTRAL ST"	476	0
M018	18	avon	2011	235816	874962	F_773674_2870604	"CENTRAL ST"	500	0
M018	18	avon	2011	235829	875064	F_773715_2870939	"CRESCENT RIDGE LN"	4	0
M018	18	avon	2011	235837	874834	F_773742_2870186	"CENTRAL ST"	464	0
M018	18	avon	2011	235852	874811	F_773790_2870108	"CENTRAL ST"	460	0
M018	18	avon	2011	235853	874934	F_773794_2870513	"CENTRAL ST"	475	0
M018	18	avon	2011	235856	876337	F_773804_2875115	"STOCKWELL DR"	120	0
M018	18	avon	2011	235864	875376	F_773831_2871964	"STOCKWELL DR"	20	0
M018	18	avon	2011	235865	876124	F_773834_2874417	"STOCKWELL DR"	100	0
M018	18	avon	2011	235869	874776	F_773848_2869994	"CENTRAL ST"	458	0
M018	18	avon	2011	235871	874635	F_773854_2869533	"HAMMAN CIR"	5	0
M018	18	avon	2011	235874	874914	F_773864_2870447	"CENTRAL ST"	463	0
M018	18	avon	2011	235883	875017	F_773893_2870785	"CRESCENT RIDGE LN"	3	0
M018	18	avon	2011	235895	874694	F_773933_2869726	"HAMMAN CIR"	10	0
M018	18	avon	2011	235897	874746	F_773939_2869895	"CENTRAL ST"	456	0
M018	18	avon	2011	235897	875907	F_773939_2873705	"STOCKWELL DR"	80	0
M018	18	avon	2011	235906	874886	F_773967_2870355	"CENTRAL ST"	461	0
M018	18	avon	2011	235911	874535	F_773984_2869205	"RUSSELL RD"	6	0
M018	18	avon	2011	235934	874651	F_774060_2869584	"HAMMAN CIR"	7	0
M018	18	avon	2011	235935	875703	F_774064_2873037	"STOCKWELL DR"	60	0
M018	18	avon	2011	235937	874853	F_774070_2870248	"CENTRAL ST"	459	0
M018	18	avon	2011	235954	874729	F_774127_2869840	"CENTRAL ST"	410	0
M018	18	avon	2011	235963	874829	F_774155_2870168	"CENTRAL ST"	457	0
M018	18	avon	2011	235969	874629	F_774176_2869512	"RUSSELL RD"	1	0
M018	18	avon	2011	235985	875468	F_774226_2872265	"STOCKWELL DR"	40	0
M018	18	avon	2011	235985	874686	F_774229_2869700	"CENTRAL ST"	408	0
M018	18	avon	2011	235991	874566	F_774246_2869306	"RUSSELL RD"	4	0
M018	18	avon	2011	235998	874786	F_774271_2870027	"CENTRAL ST"	437	0
M018	18	avon	2011	236014	874646	F_774322_2869569	"CENTRAL ST"	406	0
M018	18	avon	2011	236018	874755	F_774337_2869927	"CENTRAL ST"	417	0
M018	18	avon	2011	236042	874723	F_774413_2869820	"CENTRAL ST"	377	0
M018	18	avon	2011	236060	874688	F_774475_2869707	"CENTRAL ST"	361	0
M018	18	avon	2011	236062	874528	F_774481_2869179	"CENTRAL ST"	340	0
M018	18	avon	2011	236078	874655	F_774531_2869597	"CENTRAL ST"	357	0
M018	18	avon	2011	236087	876630	F_774563_2876078	"BODWELL ST"	284	0
M018	18	avon	2011	236100	876470	F_774605_2875552	"BODWELL ST"	264	0
M018	18	avon	2011	236112	874470	F_774644_2868991	"CENTRAL ST"	332	0
M018	18	avon	2011	236124	874440	F_774683_2868891	"CENTRAL ST"	318	0
M018	18	avon	2011	236135	876085	F_774719_2874290	"LEDIN AVE"	41	0
M018	18	avon	2011	236135	874003	F_774720_2867457	"CENTRAL ST"	200	0
M018	18	avon	2011	236135	876391	F_774721_2875294	"BODWELL ST"	258	0
M018	18	avon	2011	236141	874520	F_774739_2869156	"CENTRAL ST"	331	0
M018	18	avon	2011	236143	874409	F_774745_2868789	"CENTRAL ST"	314	0
M018	18	avon	2011	236145	874127	F_774752_2867866	"CENTRAL ST"	230	0
M018	18	avon	2011	236158	874626	F_774795_2869503	"OLD POND ST"	341	0
M018	18	avon	2011	236160	874378	F_774803_2868689	"CENTRAL ST"	310	0
M018	18	avon	2011	236171	874069	F_774837_2867674	"CENTRAL ST"	222	0
M018	18	avon	2011	236171	874478	F_774837_2869016	"CENTRAL ST"	321	0
M018	18	avon	2011	236171	874535	F_774839_2869205	"OLD POND ST"	364	0
M018	18	avon	2011	236175	874351	F_774851_2868601	"CENTRAL ST"	304	0
M018	18	avon	2011	236176	875948	F_774855_2873841	"LEDIN AVE"	40	0
M018	18	avon	2011	236187	876799	F_774889_2876633	"BODWELL ST"	304	0
M018	18	avon	2011	236187	874324	F_774891_2868510	"CENTRAL ST"	300	0
M018	18	avon	2011	236188	875813	F_774892_2873395	"STRAFELLO DR"	61	0
M018	18	avon	2011	236193	873949	F_774909_2867280	"CENTRAL ST"	190	0
M018	18	avon	2011	236193	874442	F_774911_2868897	"CENTRAL ST"	313	0
M018	18	avon	2011	236200	876907	F_774933_2876987	"PAGE ST"	600	0
M018	18	avon	2011	236202	874529	F_774939_2869184	"OLD POND ST"	356	0
M018	18	avon	2011	236202	874639	F_774941_2869546	"OLD POND ST"	353	0
M018	18	avon	2011	236203	874275	F_774942_2868352	"CENTRAL ST"	296	0
M018	18	avon	2011	236204	873806	F_774947_2866811	"CENTRAL ST"	182	0
M018	18	avon	2011	236207	873883	F_774956_2867065	"CENTRAL ST"	184	0
M018	18	avon	2011	236212	874411	F_774971_2868798	"CENTRAL ST"	309	0
M018	18	avon	2011	236218	873722	F_774991_2866536	"CENTRAL ST"	170	0
M018	18	avon	2011	236219	876384	F_774995_2875271	"BODWELL ST"	254	0
M018	18	avon	2011	236220	875657	F_774997_2872884	"ROBBIE RD"	11	0
M018	18	avon	2011	236220	875657	F_774997_2872884	"ROBBIE RD"	13	0
M018	18	avon	2011	236220	875657	F_774997_2872884	"ROBBIE ROAD"	11	0
M018	18	avon	2011	236223	873666	F_775007_2866354	"CENTRAL ST"	160	0
M018	18	avon	2011	236229	874470	F_775027_2868989	"OLD POND ST"	348	0
M018	18	avon	2011	236229	873772	F_775029_2866699	"CENTRAL ST"	180	0
M018	18	avon	2011	236230	874382	F_775032_2868703	"CENTRAL ST"	305	0
M018	18	avon	2011	236233	876110	F_775042_2874372	"LEDIN AVE"	21	0
M018	18	avon	2011	236236	873611	F_775051_2866173	"CENTRAL ST"	150	0
M018	18	avon	2011	236242	873556	F_775069_2865991	"CENTRAL ST"	140	0
M018	18	avon	2011	236243	874348	F_775075_2868590	"CENTRAL ST"	301	0
M018	18	avon	2011	236244	874043	F_775078_2867588	"CENTRAL ST"	213	0
M018	18	avon	2011	236248	874079	F_775089_2867706	"CENTRAL ST"	223	0
M018	18	avon	2011	236248	874006	F_775091_2867469	"CENTRAL ST"	203	0
M018	18	avon	2011	236249	874112	F_775094_2867815	"CENTRAL ST"	233	0
M018	18	avon	2011	236251	876333	F_775100_2875102	"BODWELL ST"	244	0
M018	18	avon	2011	236255	873494	F_775112_2865788	"CENTRAL ST"	130	0
M018	18	avon	2011	236256	874295	F_775116_2868416	"CENTRAL ST"	297	0
M018	18	avon	2011	236263	876186	F_775139_2874620	"LEDIN AVE"	11	0
M018	18	avon	2011	236264	874234	F_775144_2868215	"CENTRAL ST"	275	0
M018	18	avon	2011	236265	873431	F_775146_2865581	"CENTRAL ST"	120	0
M018	18	avon	2011	236268	876994	F_775155_2877270	"BODWELL ST EXT"	500	0
M018	18	avon	2011	236270	874183	F_775162_2868048	"CENTRAL ST"	253	0
M018	18	avon	2011	236276	876277	F_775183_2874919	"BODWELL ST"	238	0
M018	18	avon	2011	236277	876010	F_775184_2874042	"LEDIN AVE"	20	0
M018	18	avon	2011	236280	876652	F_775194_2876149	"BODWELL ST"	275	0
M018	18	avon	2011	236284	873976	F_775209_2867370	"CENTRAL ST"	193	0
M018	18	avon	2011	236285	873335	F_775212_2865268	"CENTRAL ST"	110	0
M018	18	avon	2011	236294	874075	F_775241_2867693	"CENTRAL ST"	243	0
M018	18	avon	2011	236295	873928	F_775245_2867211	"CENTRAL ST"	191	0
M018	18	avon	2011	236302	876470	F_775268_2875551	"BODWELL ST"	255	0
M018	18	avon	2011	236309	876237	F_775289_2874789	"BODWELL ST"	230	0
M018	18	avon	2011	236312	873888	F_775301_2867082	"CENTRAL ST"	187	0
M018	18	avon	2011	236313	877086	F_775302_2877574	"BODWELL ST EXT"	520	0
M018	18	avon	2011	236313	873769	F_775304_2866689	"CENTRAL ST"	173	0
M018	18	avon	2011	236313	875577	F_775305_2872623	"ROBBIE RD"	40	0
M018	18	avon	2011	236316	875735	F_775315_2873140	"STRAFELLO DR"	50	0
M018	18	avon	2011	236324	873857	F_775339_2866978	"OLD CENTRAL ST"	185	0
M018	18	avon	2011	236332	873698	F_775367_2866459	"CENTRAL ST"	163	0
M018	18	avon	2011	236333	873645	F_775370_2866282	"CENTRAL ST"	153	0
M018	18	avon	2011	236335	876815	F_775375_2876683	"BODWELL ST"	355	0
M018	18	avon	2011	236336	876044	F_775379_2874153	"LEDIN AVE"	12	0
M018	18	avon	2011	236339	873819	F_775388_2866853	"CENTRAL ST"	183	0
M018	18	avon	2011	236346	873394	F_775412_2865459	"CENTRAL ST"	103	0
M018	18	avon	2011	236349	876191	F_775421_2874636	"LEDIN AVE"	1	0
M018	18	avon	2011	236351	873586	F_775429_2866091	"CENTRAL ST"	143	0
M018	18	avon	2011	236352	873461	F_775433_2865680	"CENTRAL ST"	123	0
M018	18	avon	2011	236354	873269	F_775439_2865050	"SOUTH ST"	610	0
M018	18	avon	2011	236355	873211	F_775441_2864860	"CENTRAL ST"	63	0
M018	18	avon	2011	236355	873517	F_775441_2865864	"CENTRAL ST"	133	0
M018	18	avon	2011	236366	873342	F_775479_2865291	"CENTRAL ST"	83	0
M018	18	avon	2011	236368	876354	F_775484_2875173	"BODWELL ST"	235	0
M018	18	avon	2011	236370	873129	F_775491_2864592	"OLD SOUTH ST"	575	0
M018	18	avon	2011	236374	877131	F_775503_2877722	"BODWELL ST EXT"	520	0
M018	18	avon	2011	236375	872763	F_775507_2863391	"RESERVOIR ST"	36-38	0
M018	18	avon	2011	236383	876110	F_775533_2874370	"BODWELL ST"	210	0
M018	18	avon	2011	236398	876888	F_775584_2876923	"PAGE ST"	509	0
M018	18	avon	2011	236400	876816	F_775589_2876688	"PAGE ST"	506	0
M018	18	avon	2011	236406	872898	F_775608_2863832	"RESERVOIR ST"	12	0
M018	18	avon	2011	236412	873274	F_775627_2865065	"SOUTH ST"	600	0
M018	18	avon	2011	236415	877230	F_775639_2878044	"MACK DR"	1	0
M018	18	avon	2011	236419	876053	F_775650_2874183	"BODWELL ST"	200	0
M018	18	avon	2011	236419	876053	F_775650_2874183	"BODWELL STREET"	200	0
M018	18	avon	2011	236419	873153	F_775652_2864670	"OLD SOUTH ST"	561	0
M018	18	avon	2011	236424	873200	F_775669_2864824	"OLD SOUTH ST"	551	0
M018	18	avon	2011	236425	875713	F_775672_2873067	"STRAFELLO DR"	40	0
M018	18	avon	2011	236426	875970	F_775675_2873912	"BODWELL ST"	190	0
M018	18	avon	2011	236427	876794	F_775679_2876614	"PAGE ST"	504	0
M018	18	avon	2011	236432	875845	F_775693_2873502	"STRAFELLO DR"	20	0
M018	18	avon	2011	236432	876868	F_775693_2876857	"PAGE ST"	507	0
M018	18	avon	2011	236440	876966	F_775719_2877179	"BODWELL ST EXT"	525	0
M018	18	avon	2011	236440	873241	F_775721_2864958	"SOUTH ST"	561	0
M018	18	avon	2011	236446	873028	F_775741_2864259	"SOUTH ST"	576	0
M018	18	avon	2011	236447	876470	F_775742_2875553	"PARKER DR"	21	0
M018	18	avon	2011	236452	876683	F_775760_2876252	"PAGE ST"	500	0
M018	18	avon	2011	236463	876848	F_775797_2876791	"PAGE ST"	505	0
M018	18	avon	2011	236469	876757	F_775817_2876492	"PAGE ST"	502	0
M018	18	avon	2011	236473	876272	F_775830_2874902	"BODWELL ST"	225	0
M018	18	avon	2011	236494	876827	F_775896_2876722	"PAGE ST"	503	0
M018	18	avon	2011	236504	875902	F_775931_2873688	"BODWELL ST"	180	0
M018	18	avon	2011	236514	876804	F_775964_2876649	"PAGE ST"	501	0
M018	18	avon	2011	236524	876166	F_775997_2874556	"BODWELL ST"	215	0
M018	18	avon	2011	236525	876691	F_775998_2876277	"PAGE ST"	498	0
M018	18	avon	2011	236530	877495	F_776016_2878915	"WALES AVE"	100	0
M018	18	avon	2011	236535	875785	F_776032_2873303	"BODWELL ST"	154	0
M018	18	avon	2011	236554	876765	F_776095_2876520	"PAGE ST"	479+489	0
M018	18	avon	2011	236557	875392	F_776105_2872014	"KIDDIE  DR"	30	0
M018	18	avon	2011	236561	875971	F_776118_2873915	"BODWELL ST"	175	0
M018	18	avon	2011	236562	876644	F_776119_2876123	"PAGE ST"	460	0
M018	18	avon	2011	236564	875206	F_776126_2871404	"DOHERTY AVE"	27-REAR	0
M018	18	avon	2011	236569	873261	F_776144_2865025	"OLD SOUTH ST"	510	0
M018	18	avon	2011	236574	876059	F_776161_2874203	"BODWELL ST"	185	0
M018	18	avon	2011	236575	876371	F_776162_2875226	"SHAWN DR"	3	0
M018	18	avon	2011	236576	875584	F_776167_2872645	"KIDDIE DR"	1	0
M018	18	avon	2011	236584	873228	F_776194_2864916	"SOUTH  ST"	508	0
M018	18	avon	2011	236587	875701	F_776204_2873029	"BODWELL ST"	150	0
M018	18	avon	2011	236589	876721	F_776208_2876376	"PAGE ST"	459+469	0
M018	18	avon	2011	236589	873112	F_776210_2864536	"KATHERINES WAY"	3	0
M018	18	avon	2011	236598	873186	F_776237_2864779	"KATHERINES WAY"	1	0
M018	18	avon	2011	236598	876492	F_776239_2875624	"PAGE ST"	410	0
M018	18	avon	2011	236601	873038	F_776248_2864293	"KATHERINES WAY"	5	0
M018	18	avon	2011	236601	876569	F_776249_2875876	"PAGE ST"	430	0
M018	18	avon	2011	236611	872978	F_776280_2864095	"KATHERINES WAY"	7	0
M018	18	avon	2011	236616	876292	F_776297_2874968	"TEDDY DR"	5	0
M018	18	avon	2011	236617	873294	F_776301_2865133	"PARKVIEW LN"	1	0
M018	18	avon	2011	236620	872918	F_776312_2863898	"KATHERINES WAY"	9	0
M018	18	avon	2011	236624	875958	F_776324_2873873	"FREEMAN ST"	67	0
M018	18	avon	2011	236626	872850	F_776331_2863676	"KATHERINES WAY"	11	0
M018	18	avon	2011	236628	876785	F_776337_2876587	"WALES AVE"	33	0
M018	18	avon	2011	236629	876456	F_776340_2875505	"PAGE ST"	404	0
M018	18	avon	2011	236630	876536	F_776342_2875769	"PAGE ST"	420	0
M018	18	avon	2011	236634	876684	F_776356_2876254	"PAGE ST"	449	0
M018	18	avon	2011	236638	876385	F_776370_2875272	"SHAWN DR"	1	0
M018	18	avon	2011	236639	877141	F_776373_2877753	"WALES AVE"	91	0
M018	18	avon	2011	236640	876237	F_776378_2874788	"TEDDY DR"	7	0
M018	18	avon	2011	236645	875910	F_776392_2873716	"FREEMAN ST"	68	0
M018	18	avon	2011	236661	876184	F_776446_2874613	"TEDDY DR"	9	0
M018	18	avon	2011	236662	873249	F_776448_2864983	"PARKVIEW LN"	3	0
M018	18	avon	2011	236665	873334	F_776458_2865262	"SOUTH ST"	500	0
M018	18	avon	2011	236666	875982	F_776461_2873952	"FREEMAN ST"	65	0
M018	18	avon	2011	236672	876612	F_776482_2876019	"PAGE ST"	421	0
M018	18	avon	2011	236673	876128	F_776485_2874431	"TEDDY DR"	11	0
M018	18	avon	2011	236676	875442	F_776496_2872180	"BODWELL ST"	108	0
M018	18	avon	2011	236677	873148	F_776498_2864653	"KATHERINES WAY"	2	0
M018	18	avon	2011	236679	873090	F_776505_2864463	"KATHERINES  WAY"	4	0
M018	18	avon	2011	236680	877446	F_776506_2878755	"WALES AVE"	140	0
M018	18	avon	2011	236683	876013	F_776518_2874054	"FREEMAN ST"	63	0
M018	18	avon	2011	236684	873004	F_776520_2864180	"KATHERINES WAY"	6	0
M018	18	avon	2011	236687	875917	F_776530_2873739	"FREEMAN ST"	66	0
M018	18	avon	2011	236694	875860	F_776552_2873552	"BODWELL ST"	155	0
M018	18	avon	2011	236698	876062	F_776568_2874215	"TEDDY DR"	15	0
M018	18	avon	2011	236699	876859	F_776570_2876827	"BODWELL ST EXT"	625	0
M018	18	avon	2011	236701	876427	F_776575_2875412	"PAGE ST"	382	0
M018	18	avon	2011	236703	873316	F_776583_2865204	"PARKVIEW LN"	4	0
M018	18	avon	2011	236707	877048	F_776596_2877447	"BODWELL ST EXT"	650	0
M018	18	avon	2011	236711	873187	F_776608_2864780	"PARKVIEW LN"	5	0
M018	18	avon	2011	236711	873509	F_776610_2865838	"SOUTH ST"	443	0
M018	18	avon	2011	236712	872932	F_776611_2863943	"KATHERINES WAY"	8	0
M018	18	avon	2011	236714	876647	F_776620_2876134	KING	6	0
M018	18	avon	2011	236715	876311	F_776621_2875029	"TEDDY DR"	6	0
M018	18	avon	2011	236720	875322	F_776639_2871786	"BODWELL ST"	74	0
M018	18	avon	2011	236722	875095	F_776647_2871042	"DOHERTY AVE"	32	0
M018	18	avon	2011	236727	872888	F_776663_2863799	"KATHERINES WAY"	10	0
M018	18	avon	2011	236729	876569	F_776668_2875876	"PAGE ST"	407	0
M018	18	avon	2011	236729	876016	F_776670_2874064	"FREEMAN ST"	57	0
M018	18	avon	2011	236733	873578	F_776681_2866065	"SOUTH ST"	425	0
M018	18	avon	2011	236733	875968	F_776681_2873906	"FREEMAN ST"	64	0
M018	18	avon	2011	236736	873359	F_776691_2865345	"SOUTH ST"	454	0
M018	18	avon	2011	236739	877256	F_776700_2878132	"WALES AVE"	101	0
M018	18	avon	2011	236740	876505	F_776706_2875667	"PAGE ST"	387	0
M018	18	avon	2011	236745	876248	F_776721_2874824	"TEDDY DR"	8	0
M018	18	avon	2011	236746	876671	F_776723_2876213	"KING ST"	12	0
M018	18	avon	2011	236746	875268	F_776724_2871610	"DOHERTY AVE"	15	0
M018	18	avon	2011	236748	876367	F_776730_2875213	"PAGE ST"	366	0
M018	18	avon	2011	236748	873137	F_776732_2864618	"PARKVIEW LN"	7	0
M018	18	avon	2011	236752	876037	F_776745_2874130	"FREEMAN ST"	51	0
M018	18	avon	2011	236753	873262	F_776746_2865028	"PARKVIEW LN"	6	0
M018	18	avon	2011	236756	875989	F_776758_2873975	"FREEMAN ST"	58	0
M018	18	avon	2011	236761	876194	F_776775_2874647	"TEDDY DR"	10	0
M018	18	avon	2011	236765	873414	F_776787_2865526	"SOUTH ST"	452	0
M018	18	avon	2011	236770	876527	F_776803_2875740	"BLANCHARD ST"	2	0
M018	18	avon	2011	236771	876460	F_776805_2875520	"PAGE ST"	373	0
M018	18	avon	2011	236772	876720	F_776810_2876371	"KING ST"	14	0
M018	18	avon	2011	236773	876055	F_776813_2874191	"FREEMAN ST"	45	0
M018	18	avon	2011	236776	873524	F_776822_2865887	"SOUTH ST"	435	0
M018	18	avon	2011	236777	876123	F_776827_2874414	"TEDDY DR"	16	0
M018	18	avon	2011	236778	876008	F_776830_2874035	"FREEMAN ST"	52	0
M018	18	avon	2011	236779	876327	F_776833_2875083	"PAGE ST"	352	0
M018	18	avon	2011	236790	876430	F_776870_2875420	"PAGE ST"	365	0
M018	18	avon	2011	236791	873210	F_776871_2864856	"PARKVIEW LN"	8	0
M018	18	avon	2011	236793	876073	F_776879_2874250	"FREEMAN ST"	39	0
M018	18	avon	2011	236797	876596	F_776891_2875965	"KING ST"	5	0
M018	18	avon	2011	236798	876546	F_776895_2875801	"BLANCHARD ST"	4	0
M018	18	avon	2011	236800	876025	F_776900_2874093	"FREEMAN ST"	46	0
M018	18	avon	2011	236801	875513	F_776903_2872413	"BODWELL ST"	105	0
M018	18	avon	2011	236801	876475	F_776905_2875570	"BLANCHARD ST"	1	0
M018	18	avon	2011	236801	876292	F_776906_2874968	"PAGE ST"	342	0
M018	18	avon	2011	236810	873433	F_776933_2865589	"SOUTH ST"	440	0
M018	18	avon	2011	236810	876953	F_776935_2877137	"BODWELL ST EXT"	655	0
M018	18	avon	2011	236811	876398	F_776936_2875317	"PAGE ST"	357	0
M018	18	avon	2011	236811	876090	F_776939_2874305	"FREEMAN ST"	33	0
M018	18	avon	2011	236820	876042	F_776967_2874147	"FREEMAN ST"	40	0
M018	18	avon	2011	236820	877123	F_776967_2877696	"BODWELL ST EXT"	660	0
M018	18	avon	2011	236822	875164	F_776974_2871267	BODWELL	54	0
M018	18	avon	2011	236822	876257	F_776975_2874854	"PAGE ST"	324	0
M018	18	avon	2011	236828	876489	F_776992_2875613	"BLANCHARD ST"	3	0
M018	18	avon	2011	236828	873163	F_776993_2864701	"PARKVIEW LN"	10	0
M018	18	avon	2011	236830	876107	F_777000_2874360	"FREEMAN ST"	27	0
M018	18	avon	2011	236830	876366	F_777000_2875212	"PAGE ST"	349	0
M018	18	avon	2011	236835	876210	F_777016_2874700	"PAGE ST"	314	0
M018	18	avon	2011	236836	876450	F_777020_2875486	"BLANCHARD ST"	5	0
M018	18	avon	2011	236837	873534	F_777023_2865918	"SOUTH ST"	417	0
M018	18	avon	2011	236839	876057	F_777028_2874198	"FREEMAN ST"	34	0
M018	18	avon	2011	236846	876399	F_777053_2875320	"BRUCE ST"	2	0
M018	18	avon	2011	236847	875312	F_777056_2871754	"BODWELL ST"	65	0
M018	18	avon	2011	236850	876121	F_777067_2874408	"FREEMAN ST"	21	0
M018	18	avon	2011	236855	875909	F_777082_2873710	"BODWELL ST"	145	0
M018	18	avon	2011	236857	876071	F_777087_2874244	"FREEMAN ST"	28	0
M018	18	avon	2011	236858	875742	F_777090_2873164	"MURPHY DR"	40	0
M018	18	avon	2011	236858	876177	F_777090_2874591	"PAGE ST"	304	0
M018	18	avon	2011	236858	876323	F_777092_2875069	"PAGE ST"	335	0
M018	18	avon	2011	236862	876015	F_777104_2874059	"PAGE ST"	274	0
M018	18	avon	2011	236866	876422	F_777119_2875393	"BLANCHARD ST"	9	0
M018	18	avon	2011	236870	876133	F_777132_2874447	"FREEMAN ST"	15	0
M018	18	avon	2011	236872	876542	F_777136_2875788	"BLANCHARD ST"	6	0
M018	18	avon	2011	236873	873560	F_777140_2866005	"SOUTH ST"	409	0
M018	18	avon	2011	236873	873613	F_777142_2866178	"SOUTH ST"	401	0
M018	18	avon	2011	236875	876085	F_777148_2874288	"FREEMAN ST"	22	0
M018	18	avon	2011	236879	875025	F_777161_2870810	"POND ST"	291	0
M018	18	avon	2011	236881	876602	F_777167_2875984	"KING ST"	13	0
M018	18	avon	2011	236883	876351	F_777175_2875163	"BRUCE ST"	1	0
M018	18	avon	2011	236884	874882	F_777176_2870343	"POND ST"	299	0
M018	18	avon	2011	236884	876165	F_777176_2874551	"PAGE ST"	298	0
M018	18	avon	2011	236887	874930	F_777188_2870501	"POND ST"	297	0
M018	18	avon	2011	236895	876098	F_777212_2874333	"FREEMAN ST"	16	0
M018	18	avon	2011	236896	875363	F_777215_2871920	"BODWELL ST"	75	0
M018	18	avon	2011	236896	876287	F_777216_2874953	"PAGE ST"	323	0
M018	18	avon	2011	236897	876505	F_777218_2875668	"BLANCHARD ST"	8	0
M018	18	avon	2011	236900	877028	F_777228_2877382	"BODWELL ST EXT"	675	0
M018	18	avon	2011	236900	876877	F_777230_2876888	"KING ST"	4	0
M018	18	avon	2011	236901	876153	F_777233_2874511	"PAGE ST"	296	0
M018	18	avon	2011	236903	873474	F_777240_2865722	"SOUTH ST"	404	0
M018	18	avon	2011	236909	876240	F_777260_2874799	"PAGE ST"	305	0
M018	18	avon	2011	236910	876381	F_777261_2875260	"BRUCE ST"	3	0
M018	18	avon	2011	236912	875978	F_777269_2873937	"TOWER CIR"	3	0
M018	18	avon	2011	236915	876113	F_777279_2874382	"FREEMAN ST"	10	0
M018	18	avon	2011	236917	875487	F_777284_2872328	"BODWELL ST"	85	0
M018	18	avon	2011	236918	876472	F_777289_2875557	"BLANCHARD ST"	10	0
M018	18	avon	2011	236926	875938	F_777316_2873806	"TOWER CIR"	5	0
M018	18	avon	2011	236930	876211	F_777329_2874703	"PAGE ST"	301	0
M018	18	avon	2011	236935	876258	F_777343_2874855	"JOANNA RD"	13	0
M018	18	avon	2011	236936	876129	F_777346_2874433	"PAGE ST"	292	0
M018	18	avon	2011	236940	874930	F_777361_2870501	"POND ST"	269	0
M018	18	avon	2011	236948	873528	F_777387_2865900	"SOUTH PARK DR"	1	0
M018	18	avon	2011	236954	876804	F_777408_2876649	"KING ST"	26	0
M018	18	avon	2011	236955	876433	F_777409_2875429	"BRUCE ST"	5	0
M018	18	avon	2011	236955	876228	F_777411_2874759	"JOANNA RD"	14	0
M018	18	avon	2011	236958	876196	F_777419_2874653	"PAGE ST"	295	0
M018	18	avon	2011	236960	875163	F_777425_2871263	"BODWELL ST"	35	0
M018	18	avon	2011	236962	876282	F_777434_2874934	"JOANNA RD"	21	0
M018	18	avon	2011	236964	875240	F_777440_2871517	"BODWELL ST"	45	0
M018	18	avon	2011	236967	876031	F_777450_2874111	"PAGE ST"	262	0
