LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_142966_908312	"DANA ROAD"	1000	0	142966	908312
M_143339_908391	"DANA ROAD"	951	0	143339	908391
M_143369_908252	"OLD DANA ROAD"	1239	0	143369	908252
M_143457_908440	"OLD DANA ROAD"	1190	0	143457	908440
M_143499_908296	"OLD DANA ROAD"	1197	0	143499	908296
M_143537_908821	"DANA ROAD"	788	0	143537	908821
M_143589_908269	"OLD DANA ROAD"	1075	0	143589	908269
M_143696_908990	"DANA ROAD"	722/724	0	143696	908990
M_143721_907785	"SPRING HILL ROAD"	250/300	0	143721	907785
M_143741_908635	"DANA ROAD"	749	0	143741	908635
M_143772_908396	"OLD DANA ROAD"	1026/1030	0	143772	908396
M_143780_906376	"SPOONER ROAD"	234/238	0	143780	906376
M_143856_908927	"DANA ROAD"	686	0	143856	908927
M_143950_908188	"SPRING HILL ROAD"	62	0	143950	908188
M_143950_908261	"SPRING HILL ROAD"	54	0	143950	908261
M_143963_908342	"OLD DANA ROAD"	985	0	143963	908342
M_144008_908189	"SPRING HILL ROAD"	63	0	144008	908189
M_144012_908514	"OLD DANA ROAD"	960	0	144012	908514
M_144094_907304	"SPRING HILL ROAD"	330	0	144094	907304
M_144116_907110	"RACCOON HILL ROAD"	160	0	144116	907110
M_144136_908247	"OLD DANA ROAD"	945	0	144136	908247
M_144143_908473	"OLD DANA ROAD"	930	0	144143	908473
M_144211_908328	"OLD DANA ROAD"	907	0	144211	908328
M_144235_907267	"SPRING HILL ROAD"	370	0	144235	907267
M_144243_908488	"OLD DANA ROAD"	880	0	144243	908488
M_144304_909103	"DANA ROAD"	511	0	144304	909103
M_144326_909237	"DANA ROAD"	472	0	144326	909237
M_144344_909005	"SILVER BROOK ROAD"	52	0	144344	909005
M_144373_906805	"SPRING HILL ROAD"	549	0	144373	906805
M_144397_906133	"SPRING HILL ROAD"	830	0	144397	906133
M_144531_907488	"SPRING HILL ROAD"	221	0	144531	907488
M_144547_909161	"DANA ROAD"	451	0	144547	909161
M_144698_908394	"OLD DANA ROAD"	735	0	144698	908394
M_144754_908751	"OLD DANA ROAD"	684	0	144754	908751
M_144760_909609	"DANA ROAD"	289	0	144760	909609
M_144773_909458	"DANA ROAD"	315	0	144773	909458
M_144827_909721	"DANA ROAD"	267	0	144827	909721
M_144858_909955	"DANA ROAD"	190	0	144858	909955
M_144871_909814	"DANA ROAD"	213	0	144871	909814
M_144873_905585	"SPRING HILL ROAD"	1007	0	144873	905585
M_144879_910001	"DANA ROAD"	166	0	144879	910001
M_144908_910031	"DANA ROAD"	152	0	144908	910031
M_144920_909852	"DANA ROAD"	193	0	144920	909852
M_144956_908629	"OLD DANA ROAD"	630	0	144956	908629
M_145011_908513	"OLD DANA ROAD"	631	0	145011	908513
M_145029_908730	"OLD DANA ROAD"	598/600	0	145029	908730
M_145029_909941	"DANA ROAD"	169	0	145029	909941
M_145103_908369	"OLD DANA ROAD"	629	0	145103	908369
M_145112_908781	"OLD DANA ROAD"	550	0	145112	908781
M_145128_909702	"WEST STREET"	1797/1847	0	145128	909702
M_145136_908512	"OLD DANA ROAD"	627	0	145136	908512
M_145150_908899	"OLD DANA ROAD"	534	0	145150	908899
M_145175_909029	"OLD DANA ROAD"	464	0	145175	909029
M_145184_910203	"DANA ROAD"	30	0	145184	910203
M_145193_908054	"OLD DANA ROAD"	685	0	145193	908054
M_145209_909112	"OLD DANA ROAD"	444	0	145209	909112
M_145209_909273	"OLD DANA ROAD"	428	0	145209	909273
M_145221_908575	"OLD DANA ROAD"	559	0	145221	908575
M_145222_909940	"DANA ROAD"	37	0	145222	909940
M_145273_910466	"WEST STREET"	2291/2293	0	145273	910466
M_145285_908628	"OLD DANA ROAD"	545	0	145285	908628
M_145300_909409	"OLD DANA ROAD"	362	0	145300	909409
M_145339_908670	"OLD DANA ROAD"	525	0	145339	908670
M_145384_910127	"WEST STREET"	1980	0	145384	910127
M_145384_910256	"WEST STREET"	2130	0	145384	910256
M_145384_910335	"WEST STREET"	2246	0	145384	910335
M_145385_910297	"WEST STREET"	2190	0	145385	910297
M_145385_910375	"WEST STREET"	2258	0	145385	910375
M_145387_910214	"WEST STREET"	2080	0	145387	910214
M_145387_910415	"WEST STREET"	2272	0	145387	910415
