town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M023	23	bedford	2011	214779	914496	F_704653_3000308	"CONCORD ROAD"	447B	0
M023	23	bedford	2011	214834	914540	F_704836_3000453	"CONCORD ROAD"	447C	0
M023	23	bedford	2011	214916	914348	F_705105_2999825	"CONCORD ROAD"	447A	0
M023	23	bedford	2011	214929	914512	F_705147_3000361	"BONNIEVALE DRIVE"	15A	0
M023	23	bedford	2011	214954	915184	F_705229_3002567	"PUTNAM ROAD"	10A	0
M023	23	bedford	2011	214972	914418	F_705287_3000052	"BONNIEVALE DRIVE"	15	0
M023	23	bedford	2011	214982	914583	F_705321_3000594	"BONNIEVALE DRIVE"	9A	0
M023	23	bedford	2011	214993	914203	F_705356_2999347	"WHEELER DRIVE"	9-19	0
M023	23	bedford	2011	214996	915407	F_705366_3003298	"PUTNAM ROAD"	28A	0
M023	23	bedford	2011	215018	915063	F_705437_3002169	"RAND PLACE"	28A	0
M023	23	bedford	2011	215018	914368	F_705438_2999890	"BONNIEVALE DRIVE"	16	0
M023	23	bedford	2011	215019	914978	F_705441_3001889	"RIVERSIDE AVENUE"	40	0
M023	23	bedford	2011	215020	915559	F_705446_3003797	"DAVIS ROAD"	255L	0
M023	23	bedford	2011	215042	914441	F_705517_3000129	"BONNIEVALE DRIVE"	13	0
M023	23	bedford	2011	215043	915042	F_705521_3002100	"RAND PLACE"	28B	0
M023	23	bedford	2011	215051	915632	F_705546_3004037	"DAVIS ROAD"	255K	0
M023	23	bedford	2011	215060	916413	F_705575_3006598	"DAVIS ROAD"	255D	0
M023	23	bedford	2011	215065	914371	F_705593_2999900	"BONNIEVALE DRIVE"	14	0
M023	23	bedford	2011	215069	914253	F_705606_2999511	"CONCORD ROAD"	435	0
M023	23	bedford	2011	215072	914121	F_705614_2999079	"CONCORD ROAD"	445	0
M023	23	bedford	2011	215076	915801	F_705628_3004592	"DAVIS ROAD"	255J	0
M023	23	bedford	2011	215078	914178	F_705635_2999267	"CONCORD ROAD"	443	0
M023	23	bedford	2011	215091	915211	F_705677_3002656	"PUTNAM ROAD"	12	0
M023	23	bedford	2011	215092	914451	F_705680_3000162	"BONNIEVALE DRIVE"	11	0
M023	23	bedford	2011	215097	914719	F_705697_3001042	"SHERIDAN ROAD"	18A	0
M023	23	bedford	2011	215097	915163	F_705699_3002496	"PUTNAM ROAD"	10	0
M023	23	bedford	2011	215103	915011	F_705718_3001997	"RIVERSIDE AVENUE"	36	0
M023	23	bedford	2011	215104	915252	F_705722_3002788	"PUTNAM ROAD"	14	0
M023	23	bedford	2011	215110	914276	F_705739_2999587	"CONCORD ROAD"	431	0
M023	23	bedford	2011	215112	914380	F_705746_2999929	"BONNIEVALE DRIVE"	12	0
M023	23	bedford	2011	215115	915283	F_705755_3002892	"PUTNAM ROAD"	16	0
M023	23	bedford	2011	215115	914918	F_705756_3001692	"BONAIR AVENUE"	29A	0
M023	23	bedford	2011	215116	915933	F_705760_3005023	"DAVIS ROAD"	255H	0
M023	23	bedford	2011	215120	914227	F_705774_2999427	"CONCORD ROAD"	433	0
M023	23	bedford	2011	215123	914494	F_705782_3000302	"BONNIEVALE DRIVE"	9	0
M023	23	bedford	2011	215125	915314	F_705789_3002992	"PUTNAM ROAD"	18	0
M023	23	bedford	2011	215128	915981	F_705799_3005181	"DAVIS ROAD"	255G	0
M023	23	bedford	2011	215130	914287	F_705807_2999623	"CONCORD ROAD"	427	0
M023	23	bedford	2011	215134	915142	F_705819_3002428	"PUTNAM ROAD"	8	0
M023	23	bedford	2011	215134	915343	F_705819_3003088	"PUTNAM ROAD"	20	0
M023	23	bedford	2011	215144	915371	F_705850_3003181	"PUTNAM ROAD"	22	0
M023	23	bedford	2011	215148	915066	F_705865_3002179	"RIVERSIDE AVENUE"	35	0
M023	23	bedford	2011	215149	914399	F_705868_2999990	"BONNIEVALE DRIVE"	10	0
M023	23	bedford	2011	215151	915400	F_705873_3003275	"PUTNAM ROAD"	24	0
M023	23	bedford	2011	215154	914316	F_705885_2999719	"CONCORD ROAD"	423	0
M023	23	bedford	2011	215154	914541	F_705885_3000458	"BONNIEVALE DRIVE"	7	0
M023	23	bedford	2011	215154	914132	F_705886_2999114	"CONCORD ROAD"	440	0
M023	23	bedford	2011	215155	915428	F_705887_3003368	"PUTNAM ROAD"	26	0
M023	23	bedford	2011	215156	916093	F_705891_3005547	"DAVIS ROAD"	255F	0
M023	23	bedford	2011	215158	915458	F_705896_3003465	"PUTNAM ROAD"	28	0
M023	23	bedford	2011	215159	915488	F_705901_3003562	"PUTNAM ROAD"	30	0
M023	23	bedford	2011	215161	915234	F_705906_3002731	"PUTNAM ROAD"	11	0
M023	23	bedford	2011	215161	915202	F_705909_3002626	"PUTNAM ROAD"	3	0
M023	23	bedford	2011	215162	917256	F_705910_3009363	"CARLISLE ROAD"	308	0
M023	23	bedford	2011	215168	915552	F_705930_3003773	"PUTNAM ROAD"	32	0
M023	23	bedford	2011	215170	915265	F_705936_3002833	"PUTNAM ROAD"	15	0
M023	23	bedford	2011	215170	914431	F_705937_3000097	"BONNIEVALE DRIVE"	8	0
M023	23	bedford	2011	215171	915107	F_705939_3002315	"RAND PLACE"	28	0
M023	23	bedford	2011	215171	914157	F_705941_2999197	"PARKER ROAD"	2	0
M023	23	bedford	2011	215177	915149	F_705961_3002450	"PUTNAM ROAD"	4	0
M023	23	bedford	2011	215178	915301	F_705963_3002949	"PUTNAM ROAD"	17	0
M023	23	bedford	2011	215183	915072	F_705981_3002198	"RIVERSIDE AVENUE"	31	0
M023	23	bedford	2011	215185	914468	F_705985_3000216	"BONNIEVALE DRIVE"	6	0
M023	23	bedford	2011	215185	916208	F_705986_3005926	"DAVIS ROAD"	255E	0
M023	23	bedford	2011	215185	914204	F_705987_2999351	"PARKER ROAD"	1	0
M023	23	bedford	2011	215188	915592	F_705995_3003906	"PUTNAM ROAD"	34	0
M023	23	bedford	2011	215189	915342	F_705999_3003083	"PUTNAM ROAD"	21	0
M023	23	bedford	2011	215197	914609	F_706027_3000679	"BONNIEVALE DRIVE"	5	0
M023	23	bedford	2011	215198	915031	F_706030_3002064	"RIVERSIDE AVENUE"	28	0
M023	23	bedford	2011	215201	915385	F_706039_3003224	"PUTNAM ROAD"	23	0
M023	23	bedford	2011	215201	914110	F_706040_2999041	"PARKER ROAD"	4	0
M023	23	bedford	2011	215203	914739	F_706045_3001107	"SHERIDAN ROAD"	16A	0
M023	23	bedford	2011	215205	915000	F_706051_3001963	"BONAIR AVENUE"	29	0
M023	23	bedford	2011	215207	915214	F_706058_3002664	"PUTNAM ROAD"	1	0
M023	23	bedford	2011	215208	914236	F_706060_2999457	"CONCORD ROAD"	426	0
M023	23	bedford	2011	215209	914711	F_706066_3001013	"SHERIDAN ROAD"	14A	0
M023	23	bedford	2011	215210	915077	F_706067_3002214	"RIVERSIDE AVENUE"	27	0
M023	23	bedford	2011	215211	914789	F_706071_3001269	"SHERIDAN ROAD"	18	0
M023	23	bedford	2011	215212	915424	F_706074_3003355	"GLEASON ROAD"	6	0
