town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M024	24	belchertown	2011	119904	900497	M_119904_900497	"OLD AMHERST RD"	0	0
M024	24	belchertown	2011	119912	900434	M_119912_900434	"OLD AMHERST RD"	0	0
M024	24	belchertown	2011	119925	900330	M_119925_900330	"OLD AMHERST RD"	0	0
M024	24	belchertown	2011	119937	900520	M_119937_900520	"FEDERAL ST"	1317	0
M024	24	belchertown	2011	119977	900073	M_119977_900073	"CONCORD RD"	0	0
M024	24	belchertown	2011	119978	900465	M_119978_900465	"FEDERAL ST"	1311	0
M024	24	belchertown	2011	120013	900369	M_120013_900369	"OLD AMHERST RD"	151	0
M024	24	belchertown	2011	120027	900281	M_120027_900281	"OLD AMHERST RD"	147	0
M024	24	belchertown	2011	120035	900239	M_120035_900239	"OLD AMHERST RD"	145	0
M024	24	belchertown	2011	120043	899834	M_120043_899834	"OLD AMHERST RD (REAR)"	0	0
M024	24	belchertown	2011	120043	899997	M_120043_899997	"CONCORD RD"	0	0
M024	24	belchertown	2011	120045	900186	M_120045_900186	"OLD AMHERST RD"	137	0
M024	24	belchertown	2011	120066	900124	M_120066_900124	"CONCORD RD"	0	0
M024	24	belchertown	2011	120074	900513	M_120074_900513	"FEDERAL ST"	0	0
M024	24	belchertown	2011	120114	899064	M_120114_899064	"NORTH ST"	280	0
M024	24	belchertown	2011	120117	898974	M_120117_898974	"NORTH ST"	281	0
M024	24	belchertown	2011	120118	899163	M_120118_899163	"NORTH ST"	274	0
M024	24	belchertown	2011	120127	900123	M_120127_900123	"OLD AMHERST RD"	127	0
M024	24	belchertown	2011	120129	900574	M_120129_900574	"FEDERAL ST"	1310	0
M024	24	belchertown	2011	120140	899420	M_120140_899420	"WARREN WRIGHT ST"	599	0
M024	24	belchertown	2011	120140	900058	M_120140_900058	"OLD AMHERST RD"	107	0
M024	24	belchertown	2011	120142	899668	M_120142_899668	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120149	899593	M_120149_899593	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120156	899827	M_120156_899827	"OLD AMHERST RD"	0	0
M024	24	belchertown	2011	120158	898978	M_120158_898978	"NORTH ST"	277	0
M024	24	belchertown	2011	120160	899287	M_120160_899287	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120161	899525	M_120161_899525	"WARREN WRIGHT ST"	605	0
M024	24	belchertown	2011	120166	900011	M_120166_900011	"OLD AMHERST RD"	101	0
M024	24	belchertown	2011	120179	899073	M_120179_899073	"NORTH ST"	270	0
M024	24	belchertown	2011	120195	898823	M_120195_898823	"WARREN WRIGHT ST"	443	0
M024	24	belchertown	2011	120196	898983	M_120196_898983	"NORTH ST"	271	0
M024	24	belchertown	2011	120214	899200	M_120214_899200	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120220	899928	M_120220_899928	"OLD AMHERST RD"	0	0
M024	24	belchertown	2011	120221	899058	M_120221_899058	"NORTH ST"	266	0
M024	24	belchertown	2011	120233	898587	M_120233_898587	"WARREN WRIGHT ST"	425	0
M024	24	belchertown	2011	120236	898989	M_120236_898989	"NORTH ST"	267	0
M024	24	belchertown	2011	120236	899866	M_120236_899866	"OLD AMHERST RD"	81	0
M024	24	belchertown	2011	120238	900189	M_120238_900189	"FEDERAL ST"	0	0
M024	24	belchertown	2011	120240	900507	M_120240_900507	"FEDERAL ST"	1288	0
M024	24	belchertown	2011	120240	900507	M_120240_900507	"FEDERAL ST"	1300	0
M024	24	belchertown	2011	120240	900507	M_120240_900507	"FEDERAL ST"	1302	0
M024	24	belchertown	2011	120246	900084	M_120246_900084	"OLD AMHERST RD"	108	0
M024	24	belchertown	2011	120249	899831	M_120249_899831	"WARREN WRIGHT ST"	645	0
M024	24	belchertown	2011	120257	899722	M_120257_899722	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120266	899065	M_120266_899065	"NORTH ST"	260	0
M024	24	belchertown	2011	120268	900035	M_120268_900035	"OLD AMHERST RD"	100	0
M024	24	belchertown	2011	120270	898250	M_120270_898250	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120270	899796	M_120270_899796	"WARREN WRIGHT ST"	641	0
M024	24	belchertown	2011	120273	899384	M_120273_899384	"WARREN WRIGHT ST"	591	0
M024	24	belchertown	2011	120275	898994	M_120275_898994	"NORTH ST"	261	0
M024	24	belchertown	2011	120281	899474	M_120281_899474	"WARREN WRIGHT ST"	0	0
M024	24	belchertown	2011	120284	899577	M_120284_899577	"WARREN WRIGHT ST"	611	0
M024	24	belchertown	2011	120287	898481	M_120287_898481	"WARREN WRIGHT ST"	411	0
M024	24	belchertown	2011	120289	899121	M_120289_899121	"WARREN WRIGHT ST"	565	0
M024	24	belchertown	2011	120291	899999	M_120291_899999	"OLD AMHERST RD"	94	0
M024	24	belchertown	2011	120293	899757	M_120293_899757	"WARREN WRIGHT ST"	633	0
M024	24	belchertown	2011	120294	899319	M_120294_899319	"WARREN WRIGHT ST"	581	0
M024	24	belchertown	2011	120295	899164	M_120295_899164	"WARREN WRIGHT ST"	569	0
M024	24	belchertown	2011	120296	898935	M_120296_898935	"WARREN WRIGHT ST"	465	0
M024	24	belchertown	2011	120299	899206	M_120299_899206	"WARREN WRIGHT ST"	571	0
M024	24	belchertown	2011	120301	898873	M_120301_898873	"WARREN WRIGHT ST"	461	0
