town_id	assess_townID	town_name	"fiscal year"	x_meters	y_meters	LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
M025	25	bellingham	2013	199847	873295	F_655666_2865134	"GROVE ST"	0	0
M025	25	bellingham	2013	199943	873491	F_655979_2865779	"HARTFORD AV"	0	0
M025	25	bellingham	2013	199947	874084	F_655992_2867723	"MELLEN ST"	0	0
M025	25	bellingham	2013	199951	873705	F_656005_2866482	"GROVE ST"	0	0
M025	25	bellingham	2013	199962	873910	F_656041_2867153	"MELLEN ST"	0	0
M025	25	bellingham	2013	199980	874103	F_656102_2867785	"MELLEN ST"	66	0
M025	25	bellingham	2013	200002	872829	F_656173_2863607	"HARTFORD AV"	12	0
M025	25	bellingham	2013	200019	873074	F_656228_2864410	"HARTFORD AV"	0	0
M025	25	bellingham	2013	200019	873462	F_656229_2865684	"GROVE ST"	0	0
M025	25	bellingham	2013	200023	874020	F_656241_2867514	"MELLEN ST"	28	0
M025	25	bellingham	2013	200028	874132	F_656257_2867880	"MELLEN ST"	64	0
M025	25	bellingham	2013	200049	872645	F_656326_2863004	"HARTFORD AV"	8	0
M025	25	bellingham	2013	200064	874009	F_656376_2867478	"MELLEN ST"	26	0
M025	25	bellingham	2013	200069	872902	F_656394_2863847	"HARTFORD AV"	0	0
M025	25	bellingham	2013	200081	873925	F_656432_2867202	"MELLEN ST"	0	0
M025	25	bellingham	2013	200085	873773	F_656444_2866705	"MELLEN ST"	0	0
M025	25	bellingham	2013	200090	874182	F_656462_2868044	"MELLEN ST"	62	0
M025	25	bellingham	2013	200122	872519	F_656568_2862588	"HARTFORD AV"	1	0
M025	25	bellingham	2013	200132	872677	F_656599_2863107	"HARTFORD AV"	10	0
M025	25	bellingham	2013	200135	874056	F_656610_2867633	"GROVE ST"	0	0
M025	25	bellingham	2013	200144	866504	F_656639_2842855	"MOHAWK ST"	0	0
M025	25	bellingham	2013	200147	866704	F_656648_2843512	"INDIAN RUN RD"	105	0
M025	25	bellingham	2013	200147	864139	F_656649_2835095	"DEXTER ST"	0	0
M025	25	bellingham	2013	200148	862993	F_656651_2831336	"PULASKI BV"	0	0
M025	25	bellingham	2013	200148	863994	F_656651_2834619	"FREEMAN ST"	0	0
M025	25	bellingham	2013	200148	866620	F_656653_2843235	"MOHAWK ST"	41	0
M025	25	bellingham	2013	200149	863037	F_656656_2831480	"PULASKI BV"	0	0
M025	25	bellingham	2013	200152	864041	F_656664_2834773	"MILLER ST"	85	0
M025	25	bellingham	2013	200154	866657	F_656671_2843358	"INDIAN RUN RD"	102	0
M025	25	bellingham	2013	200154	863648	F_656672_2833486	"ELMWOOD AV"	0	0
M025	25	bellingham	2013	200154	863891	F_656673_2834283	"FREEMAN ST"	0	0
M025	25	bellingham	2013	200155	863003	F_656676_2831368	"PULASKI BV"	11	0
M025	25	bellingham	2013	200156	866012	F_656677_2841241	"ELM ST"	0	0
M025	25	bellingham	2013	200156	867573	F_656679_2846362	"LAKESHORE DR"	190	0
M025	25	bellingham	2013	200156	863918	F_656680_2834372	"FREEMAN ST"	0	0
M025	25	bellingham	2013	200157	863368	F_656681_2832568	"NORFOLK ST"	0	0
M025	25	bellingham	2013	200158	867494	F_656684_2846102	"PELLETIER DR"	5	0
M025	25	bellingham	2013	200158	866793	F_656685_2843804	"LAKESHORE DR"	99	0
M025	25	bellingham	2013	200158	872810	F_656685_2863545	"HARTFORD AV"	14	0
M025	25	bellingham	2013	200159	873144	F_656688_2864639	"GROVE ST"	36	0
M025	25	bellingham	2013	200160	864397	F_656690_2835944	"MORRISON ST"	0	0
M025	25	bellingham	2013	200160	863951	F_656691_2834480	"FREEMAN ST"	60	0
M025	25	bellingham	2013	200160	863413	F_656693_2832714	"NORFOLK ST"	105	0
M025	25	bellingham	2013	200162	873986	F_656697_2867404	"GROVE ST"	0	0
M025	25	bellingham	2013	200164	866350	F_656705_2842351	"CHESTNUT ST"	90	0
M025	25	bellingham	2013	200164	863595	F_656706_2833310	"ELMWOOD AV"	0	0
