LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
F_760422_2749640	"DILLINGHAM AVE"	42	0	231777	838092
F_760609_2749228	"COVE AVE"	14	0	231834	837966
F_760668_2749454	"DILLINGHAM AVE"	36	0	231852	838035
F_760693_2749306	"COVE AVE"	11	0	231860	837990
F_760712_2749143	"COVE AVE"	12	0	231865	837940
F_760748_2749310	"COVE AVE"	9	0	231876	837991
F_760765_2749134	"COVE AVE"	10	0	231882	837938
F_760781_2749641	"DILLINGHAM AVE"	37	0	231887	838092
F_760811_2753953	"BEACH ST"	0	0	231896	839407
F_760833_2761503	"SWING DR"	25	0	231902	841708
F_760838_2761807	"SWING DR"	23	0	231904	841800
F_760880_2751287	"42ND ST WEST"	8	0	231917	838594
F_760897_2749320	"COVE AVE"	1	0	231922	837994
F_760900_2754363	"WATER ST"	53	0	231923	839532
F_760910_2754108	"BEACH ST"	1	0	231926	839454
F_760922_2753959	"BEACH ST"	3	0	231929	839408
F_760928_2751139	"42ND ST WEST"	4	0	231931	838549
F_760934_2753809	"BEACH ST"	7	0	231933	839363
F_760936_2751221	"42ND ST WEST"	6	0	231934	838574
F_760946_2749047	"DILLINGHAM AVE"	14	0	231937	837911
F_760958_2751356	"42ND ST WEST"	3	0	231940	838615
F_760961_2749165	"DILLINGHAM AVE"	18	0	231941	837947
F_760974_2761931	"SWING DR"	21	0	231945	841838
F_760998_2751417	"42ND ST WEST"	5	0	231953	838634
F_761025_2754304	"WATER ST"	49	0	231961	839514
F_761034_2748842	"DILLINGHAM AVE"	12	0	231964	837849
F_761054_2746290	"CONSPIRACY ISLAND"	0	0	231970	837071
F_761055_2748794	"DILLINGHAM AVE"	10	0	231970	837834
F_761084_2748722	"DILLINGHAM AVE"	8	0	231979	837812
F_761087_2751670	"42ND ST"	32	0	231980	838711
F_761092_2751762	"42ND ST"	34	0	231981	838739
F_761096_2751590	"42ND ST"	30	0	231983	838686
F_761096_2762043	"SWING DR"	19	0	231983	841872
F_761100_2751462	"42ND ST"	26	0	231984	838647
F_761102_2751532	"42ND ST"	28	0	231984	838669
F_761105_2753586	"JESSIE LN"	1	0	231985	839295
F_761116_2754261	"WATER ST"	47	0	231989	839500
F_761131_2748397	"RIVERSIDE DR"	86	0	231993	837713
F_761132_2753818	"BEACH ST"	6	0	231993	839365
F_761136_2748328	"RIVERSIDE DR"	82	0	231995	837692
F_761136_2753453	"JESSIE LN"	3	0	231995	839254
F_761142_2748629	"DILLINGHAM AVE"	4	0	231997	837784
F_761149_2753944	"BEACH ST"	4	0	231999	839404
F_761153_2753202	"JESSIE LN"	7	0	232000	839178
F_761156_2753328	"JESSIE LN"	5	0	232001	839216
F_761161_2748556	"RIVERSIDE DR"	90	0	232002	837762
F_761166_2754037	"WATER ST"	38	0	232004	839432
F_761175_2748208	"RIVERSIDE DR"	76	0	232007	837655
F_761184_2751091	"42ND ST WEST"	2	0	232009	838534
F_761187_2748507	"RIVERSIDE DR"	88	0	232010	837747
F_761189_2761483	"SWING DR"	27	0	232011	841702
F_761190_2747826	"RIVERSIDE DR"	62	0	232011	837539
F_761191_2748008	"RIVERSIDE DR"	70	0	232011	837595
F_761201_2752438	"BAY VIEW AVE"	171	0	232015	838945
F_761205_2752998	"JESSIE LN"	9	0	232016	839115
F_761206_2754218	"WATER ST"	45	0	232016	839487
F_761215_2751322	"42ND ST WEST"	1	0	232019	838605
F_761224_2761686	"SWING DR"	20	0	232022	841764
F_761225_2753787	"FREEMAN ST"	23	0	232022	839356
F_761228_2761816	"SWING DR"	22	0	232023	841803
F_761230_2749648	"DILLINGHAM AVE"	15	0	232023	838094
F_761239_2747730	"RIVERSIDE DR"	56	0	232026	837510
F_761241_2762114	"SWING DR"	17	0	232027	841894
F_761260_2747588	"RIVERSIDE DR"	50	0	232033	837466
F_761288_2747451	"RIVERSIDE DR"	46	0	232041	837425
F_761292_2759608	"POINT ST"	81	0	232042	841130
F_761293_2753933	"WATER ST"	36	0	232043	839400
F_761296_2754175	"WATER ST"	43	0	232043	839474
F_761308_2747381	"RIVERSIDE DR"	42	0	232047	837403
F_761315_2753745	"FREEMAN ST"	21	0	232049	839343
F_761325_2747333	"RIVERSIDE DR"	40	0	232052	837389
F_761328_2748732	"DILLINGHAM AVE"	3	0	232053	837815
F_761349_2747206	"RIVERSIDE DR"	36	0	232060	837350
F_761351_2748412	"RIVERSIDE DR"	81	0	232060	837718
F_761373_2747113	"RIVERSIDE DR"	32	0	232067	837322
F_761373_2748116	"RIVERSIDE DR"	65	0	232067	837627
F_761378_2759921	"POINT ST"	79	0	232068	841226
F_761382_2762165	"SWING DR"	15	0	232070	841910
F_761384_2748012	"RIVERSIDE DR"	63	0	232070	837596
F_761384_2753890	"WATER ST"	34	0	232070	839387
F_761387_2754133	"WATER ST"	41	0	232071	839461
F_761393_2747932	"RIVERSIDE DR"	59	0	232073	837571
F_761398_2747019	"RIVERSIDE DR"	26	0	232075	837293
F_761401_2747837	"RIVERSIDE DR"	55	0	232075	837542
F_761405_2753702	"FREEMAN ST"	19	0	232077	839330
F_761406_2753466	"FREEMAN ST"	14	0	232077	839258
F_761410_2747713	"RIVERSIDE DR"	49	0	232078	837505
F_761417_2748540	"RIVERSIDE DR"	83	0	232080	837757
F_761421_2746957	"RIVERSIDE DR"	24	0	232082	837274
F_761422_2748262	"RIVERSIDE DR"	69	0	232082	837672
F_761422_2761554	"SWING DR"	29	0	232082	841723
F_761425_2746899	"RIVERSIDE DR"	22	0	232083	837256
F_761426_2747530	"RIVERSIDE DR"	47	0	232083	837449
F_761445_2746722	"RIVERSIDE DR"	16	0	232089	837203
F_761450_2762247	"SWING DR"	13	0	232090	841935
F_761455_2746641	"RIVERSIDE DR"	12	0	232092	837178
F_761455_2746811	"RIVERSIDE DR"	20	0	232092	837230
F_761474_2753848	"WATER ST"	32	0	232098	839375
F_761477_2754090	"WATER ST"	39	0	232099	839448
F_761479_2760115	"POINT ST"	75	0	232099	841285
F_761481_2754501	"BAY VIEW AVE"	137	0	232100	839574
F_761484_2751417	"42ND ST"	23	0	232101	838634
F_761494_2751606	"42ND ST"	25	0	232104	838691
F_761496_2753659	"FREEMAN ST"	17	0	232104	839317
F_761497_2753263	"JESSIE LN"	6	0	232105	839196
F_761498_2747391	"RIVERSIDE DR"	41	0	232105	837406
F_761500_2753042	"JESSIE LN"	8	0	232106	839129
F_761501_2748371	"RIDGE RD"	16	0	232106	837705
F_761502_2747603	"BROADVIEW AVE"	16	0	232106	837471
F_761507_2746506	"RIVERSIDE DR"	6	0	232108	837137
F_761508_2760328	"POINT ST"	73	0	232108	841350
F_761521_2747506	"BROADVIEW AVE"	14	0	232112	837442
F_761528_2747985	"RIDGE RD"	4	0	232114	837588
F_761530_2747259	"RIVERSIDE DR"	35	0	232115	837366
F_761533_2747079	"RIVERSIDE DR"	27	0	232116	837311
F_761542_2747743	"SHORE RD"	21	0	232118	837514
F_761547_2747029	"RIVERSIDE DR"	25	0	232120	837296
F_761552_2746382	"RIVERSIDE DR"	2	0	232122	837099
F_761556_2747162	"RIVERSIDE DR"	31	0	232123	837337
F_761556_2751034	"42ND ST"	22	0	232123	838517
F_761564_2753805	"WATER ST"	30	0	232125	839361
F_761566_2746947	"RIVERSIDE DR"	23	0	232126	837271
F_761567_2754047	"WATER ST"	37	0	232126	839435
F_761569_2753389	"FREEMAN ST"	12	0	232127	839235
F_761569_2760589	"POINT ST"	71	0	232127	841429
F_761583_2755710	"BAY VIEW AVE"	121	0	232131	839942
F_761586_2753616	"FREEMAN ST"	15	0	232132	839304
F_761587_2746872	"RIVERSIDE DR"	19	0	232132	837248
F_761612_2746779	"RIVERSIDE DR"	15	0	232140	837220
F_761629_2747077	"JUNIPER TR"	23	0	232145	837311
F_761638_2747587	"BROADVIEW AVE"	15	0	232148	837466
F_761639_2759561	"POINT ST"	80	0	232148	841116
F_761640_2746659	"RIVERSIDE DR"	9	0	232148	837183
F_761655_2753762	"WATER ST"	28	0	232153	839348
F_761658_2754004	"WATER ST"	35	0	232154	839422
F_761668_2746921	"JUNIPER TR"	24	0	232157	837263
F_761671_2747822	"RIDGE RD"	1	0	232158	837538
F_761677_2753574	"FREEMAN ST"	13	0	232160	839291
F_761678_2746796	"SUNSET AVE"	0	0	232160	837225
F_761682_2753336	"FREEMAN ST"	10	0	232161	839218
F_761698_2762207	"SWING DR"	11	0	232166	841922
F_761701_2746585	"RIVERSIDE DR"	5	0	232167	837161
F_761716_2761790	"SWING DR"	31	0	232172	841795
F_761720_2752714	"MICHELLE LEE DRIVE"	10	0	232173	839029
F_761721_2746806	"BROADVIEW AVE"	2	0	232173	837228
F_761721_2747425	"BROADVIEW AVE"	11	0	232173	837417
F_761723_2761336	"BERKLEY ST"	765	0	232174	841657
F_761748_2747238	"BROADVIEW AVE"	9	0	232181	837360
F_761748_2753961	"WATER ST"	33	0	232181	839409
F_761749_2746325	"BAY VIEW AVE"	272	0	232182	837082
F_761765_2752467	"MICHELLE LEE DRIVE"	8	0	232186	838954
F_761780_2747007	"BROADVIEW AVE"	3	0	232191	837289
F_761787_2751440	"42ND ST"	19	0	232193	838641
F_761790_2753698	"WATER ST"	24	0	232194	839329
F_761795_2753283	"FREEMAN ST"	8	0	232196	839202
F_761798_2750631	"BAY VIEW AVE"	181	0	232196	838394
F_761802_2747092	"JUNIPER TR"	27	0	232198	837315
F_761812_2753509	"FREEMAN ST"	9	0	232201	839271
F_761820_2746593	"BAY VIEW AVE"	263	0	232203	837163
F_761836_2762236	"SWING DR"	9	0	232208	841931
F_761838_2747513	"SHORE RD"	14	0	232209	837444
F_761838_2753918	"WATER ST"	31	0	232209	839396
F_761839_2763097	"BERKLEY ST"	743	0	232209	842194
F_761856_2752064	"MICHELLE LEE DRIVE"	6	0	232214	838831
F_761863_2759809	"POINT ST"	78	0	232216	841191
F_761867_2751092	"42ND ST"	20	0	232218	838535
F_761880_2760671	"POINT ST"	63	0	232221	841454
F_761882_2762629	"BERKLEY ST"	747	0	232222	842051
F_761883_2746947	"JUNIPER TR"	28	0	232222	837271
F_761894_2753067	"FREEMAN ST"	4	0	232226	839136
F_761900_2752875	"MICHELLE LEE DRIVE"	12	0	232228	839078
F_761911_2751590	"BAY VIEW AVE"	175	0	232231	838686
F_761923_2753233	"FREEMAN ST"	6	0	232235	839187
F_761926_2753633	"WATER ST"	22	0	232236	839309
F_761929_2753875	"WATER ST"	29	0	232236	839383
F_761943_2762257	"SWING DR"	9	0	232241	841938
F_761947_2746756	"BAY VIEW AVE"	253	0	232242	837213
F_761948_2753445	"FREEMAN ST"	7	0	232242	839252
F_761973_2746496	"BAY VIEW AVE"	258	0	232250	837134
F_761990_2747860	"SHORE RD"	15	0	232255	837549
F_762001_2747234	"SHORE RD"	10	0	232258	837359
F_762012_2761029	"BERKLEY ST"	769	0	232262	841563
F_762016_2753590	"WATER ST"	20	0	232263	839296
F_762020_2753832	"WATER ST"	27	0	232264	839370
F_762024_2751302	"42ND ST"	17	0	232265	838599
F_762038_2753403	"FREEMAN ST"	5	0	232270	839239
F_762049_2761867	"SWING DR"	8	0	232273	841819
F_762057_2752262	"MICHELLE LEE DRIVE"	0	0	232275	838891
F_762065_2760255	"POINT ST"	76	0	232278	841327
F_762071_2762266	"SWING DR"	7	0	232280	841940
F_762106_2753548	"WATER ST"	18	0	232290	839283
F_762110_2751816	"MICHELLE LEE DRIVE"	4	0	232292	838755
F_762111_2753789	"WATER ST"	25	0	232292	839357
F_762127_2754779	"BAY VIEW AVE"	131	0	232297	839658
F_762129_2753360	"FREEMAN ST"	3	0	232297	839226
F_762140_2747024	"BAY VIEW AVE"	243	0	232301	837295
F_762161_2751274	"42ND ST"	15	0	232307	838590
F_762180_2769079	"TOWN LANDING RD"	21	0	232313	844017
F_762191_2746798	"BAY VIEW AVE"	244	0	232316	837226
F_762197_2753505	"WATER ST"	16	0	232318	839270
F_762197_2763042	"BERKLEY ST"	745	0	232318	842177
F_762202_2753746	"WATER ST"	23	0	232320	839343
F_762209_2769308	"TOWN LANDING RD"	19	0	232322	844087
F_762219_2762261	"SWING DR"	5	0	232325	841939
F_762228_2753076	"FREEMAN ST"	2	0	232328	839139
F_762229_2769473	"TOWN LANDING RD"	17	0	232328	844137
F_762233_2747211	"BAY VIEW AVE"	231	0	232329	837352
F_762237_2752946	"HILLSIDE AVE"	12	0	232330	839100
F_762238_2753308	"FREEMAN ST"	1	0	232331	839210
F_762239_2760722	"POINT ST"	57	0	232331	841470
F_762242_2751257	"42ND ST"	13	0	232332	838585
F_762263_2762501	"BERKLEY ST"	751	0	232338	842012
F_762265_2770097	"SAINTS WAY"	10	0	232339	844327
F_762269_2753461	"HILLSIDE AVE"	14	0	232340	839257
F_762277_2763367	"BERKLEY ST"	741	0	232342	842276
F_762289_2762657	"BERKLEY ST"	749	0	232346	842060
F_762293_2753702	"WATER ST"	21	0	232347	839330
F_762299_2769673	"TOWN LANDING RD"	15	0	232349	844198
F_762306_2770333	"SAINTS WAY"	12	0	232351	844399
F_762313_2769889	"SAINTS WAY"	8	0	232353	844264
F_762323_2751241	"42ND ST"	11	0	232357	838580
F_762363_2762274	"SWING DR"	3	0	232369	841943
F_762373_2747415	"BAY VIEW AVE"	225	0	232372	837414
F_762385_2751727	"MICHELLE LEE DRIVE"	2	0	232375	838728
F_762402_2758248	"GRASSY ISLAND"	0	0	232381	840716
F_762405_2751224	"42ND ST"	9	0	232382	838575
F_762412_2753669	"WATER ST"	19	0	232384	839320
F_762427_2761870	"BERKLEY ST"	761	0	232388	841820
F_762451_2752798	"HILLSIDE AVE"	10	0	232396	839055
F_762456_2753568	"HILLSIDE AVE"	17	0	232397	839289
F_762459_2752218	"MICHELLE LEE DRIVE"	3	0	232398	838878
F_762463_2752406	"MICHELLE LEE DRIVE"	5	0	232399	838935
F_762468_2768618	"TOWN LANDING RD"	22	0	232401	843876
F_762472_2753454	"HILLSIDE AVE"	15	0	232402	839254
F_762472_2762375	"BERKLEY ST"	753	0	232402	841974
F_762485_2768822	"TOWN LANDING RD"	20	0	232406	843939
F_762486_2751208	"42ND ST"	7	0	232406	838570
F_762493_2753358	"HILLSIDE AVE"	13	0	232408	839225
F_762499_2747627	"BAY VIEW AVE"	223	0	232410	837478
F_762508_2748049	"BAY VIEW AVE"	219	0	232413	837607
F_762509_2747866	"BAY VIEW AVE"	221	0	232413	837551
F_762512_2748203	"BAY VIEW AVE"	217	0	232414	837654
F_762515_2753260	"HILLSIDE AVE"	11	0	232415	839195
F_762516_2762228	"SWING DR"	1	0	232415	841929
F_762518_2768087	"KARENS WAY"	11	0	232416	843715
F_762522_2752570	"MICHELLE LEE DRIVE"	7	0	232417	838985
F_762522_2760273	"POINT ST"	58	0	232417	841333
F_762524_2767918	"KARENS WAY"	12	0	232418	843663
F_762525_2749483	"BAY VIEW AVE"	205	0	232418	838044
F_762527_2748430	"BAY VIEW AVE"	215	0	232419	837723
F_762531_2753137	"HILLSIDE AVE"	9	0	232420	839158
F_762534_2752026	"MICHELLE LEE DRIVE"	1	0	232421	838819
F_762542_2748676	"BAY VIEW AVE"	213	0	232423	837798
F_762548_2749337	"BAY VIEW AVE"	207	0	232425	838000
F_762549_2748878	"BAY VIEW AVE"	211	0	232425	837860
F_762549_2749109	"BAY VIEW AVE"	209	0	232425	837930
F_762551_2749609	"BAY VIEW AVE"	203	0	232426	838082
F_762559_2749861	"BAY VIEW AVE"	201	0	232428	838159
